,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
83,MeanVoicedSegmentLengthSec,0.43151281476896175,0.0007196831448057162,0.18620330930983228,0.46448092539851915,0.0002397743431518448,0.2157425300590647,0.46448092539851915,0.03452702629590438,0.0013187588873351463,True,True
84,StddevVoicedSegmentLengthSec,0.4218648889468085,0.0009726914498836373,0.17796998452610308,0.503191462251852,5.675426294600442e-05,0.25320164768315695,0.503191462251852,0.03452702629590438,0.0004161979282706991,True,True
82,VoicedSegmentsPerSec,-0.4074068472202071,0.001502998231959173,0.16598033916190916,-0.4291195975747284,0.0007761679623540679,0.18414362902269685,0.4291195975747284,0.03452702629590438,0.004017810628656351,True,True
65,slopeV5001500_sma3nz_stddevNorm,0.4048501347457961,0.0016200075974686845,0.1639036316036893,0.11742891035743837,0.3800052273475356,0.013789548987735297,0.11742891035743837,0.03452702629590438,0.5650423661076492,True,False
13,loudness_sma3_percentile500,0.3884982930461219,0.002581233342027805,0.1509309236997504,0.5845229864376158,1.4526409080776353e-06,0.3416671216739492,0.5845229864376158,0.03452702629590438,5.629244192199206e-05,True,True
29,mfcc4_sma3_stddevNorm,-0.3868567954237608,0.0027013538597335436,0.1496581801655415,-0.3664424193779284,0.004667550613462526,0.13428004671954955,0.3664424193779284,0.03452702629590438,0.022819136332483458,True,True
54,F3bandwidth_sma3nz_amean,-0.3862570174463596,0.0027464680008105757,0.14919448352655734,-0.47147235352607,0.0001871681105142369,0.2222861801394115,0.47147235352607,0.03452702629590438,0.0010980529150168565,True,True
10,loudness_sma3_amean,0.3710731644395191,0.004135403670763221,0.13769529336715838,0.5772268390433288,2.1023189114619094e-06,0.3331908237119531,0.5772268390433288,0.041009929611835326,5.629244192199206e-05,True,True
12,loudness_sma3_percentile200,0.370536520986055,0.0041941973466649764,0.13729731338444917,0.5439591922618319,1.018404681840497e-05,0.2958916028461446,0.5439591922618319,0.041009929611835326,0.0001280280171456625,True,True
17,loudness_sma3_stddevRisingSlope,0.3596142483449598,0.00556216587753134,0.12932240761271044,0.5535658094738901,6.570338029324793e-06,0.30643510541848323,0.5535658094738901,0.04113777797675531,9.63649577634303e-05,True,True
