,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
83,MeanVoicedSegmentLengthSec,0.4190578714764501,0.0008605572877423258,0.17560949964637296,0.456730249598085,0.00024432856395825605,0.20860252089792902,0.456730249598085,0.028260256698816436,0.0014333942418884357,True,True
65,slopeV5001500_sma3nz_stddevNorm,0.4122846714559133,0.0010630940728937857,0.16997865031751036,0.11270246751224645,0.3912450980947375,0.012701846183348967,0.11270246751224645,0.028260256698816436,0.6334676961884472,True,False
82,VoicedSegmentsPerSec,-0.41017977536355366,0.0011342575764668433,0.16824744811729533,-0.3921578780747789,0.001942418768096603,0.15378780133611317,0.3921578780747789,0.028260256698816436,0.010683303224531317,True,True
84,StddevVoicedSegmentLengthSec,0.4028749086439374,0.001415700920200899,0.16230819201486088,0.49573805581617714,5.635975700853647e-05,0.24575621998440317,0.49573805581617714,0.028260256698816436,0.00041330488472926747,True,True
54,F3bandwidth_sma3nz_amean,-0.39234458902935093,0.0019319156104003492,0.1539342765406103,-0.3033718552850038,0.018457910260346974,0.0920344825790653,0.3033718552850038,0.028260256698816436,0.07734743347193017,True,False
13,loudness_sma3_percentile500,0.3899551925616887,0.002070237528249274,0.15206505220582373,0.5873183372961539,8.104951479772888e-07,0.3449428293243188,0.5873183372961539,0.028260256698816436,3.173014476721601e-05,True,True
10,loudness_sma3_amean,0.3745947866981456,0.0031907010034555113,0.14032125422142921,0.5804454496395518,1.1662725442178618e-06,0.3369169200072615,0.5804454496395518,0.028260256698816436,3.173014476721601e-05,True,True
12,loudness_sma3_percentile200,0.37311563650387847,0.003322847332016498,0.13921527820369436,0.5481189857517478,5.807581079416037e-06,0.3004344225415247,0.5481189857517478,0.028260256698816436,7.300959071265875e-05,True,True
17,loudness_sma3_stddevRisingSlope,0.36876352150920794,0.0037402458952688765,0.13598653479587205,0.5579199328661354,3.633510548728198e-06,0.311274651489353,0.5579199328661354,0.028260256698816436,5.329148804801358e-05,True,True
29,mfcc4_sma3_stddevNorm,-0.3658336663167174,0.0040467551796845615,0.13383427141073131,-0.35904171917621497,0.004844128958416167,0.12891095610901201,0.35904171917621497,0.028260256698816436,0.02507549107886016,True,True
87,equivalentSoundLevel_dBp,0.36566299514045575,0.004065275434066338,0.13370942601508898,0.4606027361054036,0.00021286446146172427,0.21215488050778405,0.4606027361054036,0.028260256698816436,0.0013380051863308383,True,True
14,loudness_sma3_percentile800,0.3654069883760634,0.004093196270919669,0.13352226715406454,0.5685531680428398,2.147345689131139e-06,0.32325270489154967,0.5685531680428398,0.028260256698816436,3.779328412870805e-05,True,True
18,loudness_sma3_meanFallingSlope,0.3646674132789298,0.004174810648688792,0.1329823223075458,0.5854857395258565,8.938166529106016e-07,0.34279355118813903,0.5854857395258565,0.028260256698816436,3.173014476721601e-05,True,True
16,loudness_sma3_meanRisingSlope,0.3601730723040413,0.00470239759640783,0.12972464201293216,0.5763600335210537,1.4422793076007278e-06,0.3321908882403901,0.5763600335210537,0.029557927748849216,3.173014476721601e-05,True,True
66,spectralFluxV_sma3nz_amean,0.3502456988848255,0.0060805454984121515,0.12267204958731985,0.5287629031229318,1.405644821472867e-05,0.279590207718991,0.5287629031229318,0.035672533590684626,0.00011245158571782937,True,True
20,spectralFlux_sma3_amean,0.34287839310953355,0.007320909896873595,0.11756559246137582,0.5310829878194433,1.2679494120652606e-05,0.28204913995122693,0.5310829878194433,0.03763155383241565,0.00011157954826174294,True,True
19,loudness_sma3_stddevFallingSlope,0.3416552496796588,0.007546932103828789,0.11672830963367001,0.5393813036954497,8.714197239124923e-06,0.2909321907762029,0.5393813036954497,0.03763155383241565,8.520548411588813e-05,True,True
15,loudness_sma3_pctlrange02,0.3408587841904381,0.007697363283903201,0.11618471075978364,0.5444415703660617,6.898715751943319e-06,0.2964166235426633,0.5444415703660617,0.03763155383241565,7.588587327137651e-05,True,True
64,slopeV5001500_sma3nz_amean,-0.31798884657138504,0.013288154518293538,0.10111690654379986,-0.3509687480233247,0.0059693783213037015,0.12317906208905996,0.3509687480233247,0.06154513671630691,0.02764764696182767,False,True
80,spectralFluxUV_sma3nz_amean,0.3092561713860004,0.016200813770972874,0.09563937954032727,0.48722925525129346,7.880226002866704e-05,0.23739234717273008,0.48722925525129346,0.07128358059228064,0.0005334306832709768,False,True
55,F3bandwidth_sma3nz_stddevNorm,0.2877800483730837,0.02577132051301363,0.08281735624161439,0.30820188579860014,0.01658690670267422,0.09498840240981336,0.30820188579860014,0.10799410500691425,0.07298238949176657,False,False
75,mfcc4V_sma3nz_stddevNorm,-0.25905040036904947,0.04564674738142367,0.06710710993136483,-0.05436674716452159,0.6799219547621962,0.0029557431972510166,0.05436674716452159,0.16895785088072748,0.819631945466757,False,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.25708768184204117,0.04737081886912609,0.06609407615491458,-0.29856228395732054,0.020496790406017092,0.0891394374018117,0.29856228395732054,0.16895785088072748,0.08198716162406837,False,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.25393026508120176,0.050255940563832466,0.0644805795242094,0.2623267550791037,0.04288366433056906,0.06881532643033206,0.2623267550791037,0.16895785088072748,0.14514471004192606,False,False
74,mfcc4V_sma3nz_amean,-0.2536458131207658,0.05052275452920174,0.06433619851369445,-0.292647693300558,0.023263461772078175,0.08564267239413746,0.292647693300558,0.16895785088072748,0.08743048430977467,False,False
30,jitterLocal_sma3nz_amean,-0.2523408398348068,0.05176166375393266,0.06367589944853563,-0.17725569626279422,0.1754524333227464,0.03141958185760796,0.17725569626279422,0.16895785088072748,0.37658083249760205,False,False
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.2512279714570599,0.052837647575685716,0.0631154936424293,0.09793049814981503,0.4566338002389883,0.009590382467870924,0.09793049814981503,0.16895785088072748,0.6697295736838496,False,False
50,F2amplitudeLogRelF0_sma3nz_amean,0.25028927998762124,0.05375931618932238,0.06264472367672186,0.25051267870263894,0.05353879219936753,0.0627566021907716,0.25051267870263894,0.16895785088072748,0.15198108753368847,False,False
31,jitterLocal_sma3nz_stddevNorm,-0.24628192890201298,0.05784208683510941,0.060654788503696176,0.041847404544179664,0.7508878229688019,0.001751205267084229,0.041847404544179664,0.1755208152237803,0.8640591399904047,False,False
56,F3amplitudeLogRelF0_sma3nz_amean,0.23507110010429608,0.07061013273565075,0.05525842210424399,0.252471895602221,0.051636135213991616,0.06374205806897877,0.252471895602221,0.20712305602457556,0.15146599662770874,False,False
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.22292500139367966,0.08688506797777244,0.04969555624637208,-0.2573833473599444,0.04710774317928622,0.06624618749820979,0.2573833473599444,0.2209572315803997,0.15146599662770874,False,False
34,HNRdBACF_sma3nz_amean,0.22278277541346167,0.08709176017852137,0.0496321650209249,0.10483803862492831,0.4253409595420205,0.01099101434272196,0.10483803862492831,0.2209572315803997,0.6439205415467985,False,False
69,mfcc1V_sma3nz_stddevNorm,-0.22266899462928727,0.08725739202903163,0.04958148116921756,-0.2344146382018098,0.07142248097682896,0.05495022260328539,0.2344146382018098,0.2209572315803997,0.1731894294381559,False,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.22235609747280766,0.08771415617114635,0.04944223408333674,-0.2535228714114233,0.05063843016280764,0.06427384632869308,0.2535228714114233,0.2209572315803997,0.15146599662770874,False,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.22224231668863326,0.08788071710584079,0.04939164732713076,-0.23330046835944923,0.07281828283195192,0.05442910853673837,0.23330046835944923,0.2209572315803997,0.1731894294381559,False,False
22,mfcc1_sma3_amean,0.2099255468017552,0.10742732262434397,0.04406873520001592,0.25441788836818463,0.049801229447202194,0.06472846192172606,0.25441788836818463,0.2626001219706186,0.15146599662770874,False,False
32,shimmerLocaldB_sma3nz_amean,-0.2075645955301366,0.11153040168755561,0.0430830613175892,-0.12945352248264866,0.3242288350033003,0.016758214483165623,0.12945352248264866,0.263151725082762,0.5793811668174044,False,False
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.203923610436556,0.11809271850200269,0.04158483889348025,-0.1935447206107979,0.1384190013830249,0.03745955887631181,0.1935447206107979,0.263151725082762,0.30896069603993037,False,False
78,slopeUV0500_sma3nz_amean,-0.2035538228879892,0.11877536186895557,0.04143415881231488,-0.29148150388398897,0.023844677539029455,0.08496146710647187,0.29148150388398897,0.263151725082762,0.08743048430977467,False,False
33,shimmerLocaldB_sma3nz_stddevNorm,0.20310152140914445,0.11961442049216454,0.04125022799870916,0.10877103741402387,0.40808304471231327,0.01183113858012298,0.10877103741402387,0.263151725082762,0.6334676961884472,False,False
35,HNRdBACF_sma3nz_stddevNorm,-0.1951624900551277,0.13508881220237723,0.03808839752451782,0.06134060510455788,0.6415118388396657,0.0037626698345933126,0.06134060510455788,0.28994671887339507,0.7972852662379472,False,False
23,mfcc1_sma3_stddevNorm,-0.18933122486619008,0.1473812761475915,0.035846312709331835,-0.2400436464051106,0.06469382800896874,0.057620952179461775,0.2400436464051106,0.30619458137146127,0.1728894803112073,False,False
68,mfcc1V_sma3nz_amean,0.1875107323193998,0.1513844638267723,0.03516027473495761,0.19257871800266488,0.14043668001815016,0.03708656262754992,0.19257871800266488,0.30619458137146127,0.30896069603993037,False,False
63,slopeV0500_sma3nz_stddevNorm,0.18674271202622264,0.15309729068573064,0.03487284049490872,0.35467662398132516,0.005426865260403944,0.12579550759879032,0.35467662398132516,0.30619458137146127,0.02653134127308595,False,True
53,F3frequency_sma3nz_stddevNorm,-0.18500755506756314,0.15701979484860742,0.03422779543207741,-0.0685318467483525,0.6028608331150228,0.004696614018739673,0.0685318467483525,0.30706093214838787,0.7972852662379472,False,False
42,F1bandwidth_sma3nz_amean,0.17954607742719228,0.16984997233568042,0.03223679391949132,0.08360759732814857,0.5253555303100315,0.006990230330985836,0.08360759732814857,0.3249303818595625,0.723069016079368,False,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.174539722923519,0.18226846997406176,0.03046411487821878,0.02677955202870359,0.8390519320373054,0.0007171444068580426,0.02677955202870359,0.34126862463228586,0.8857664879035765,False,False
49,F2bandwidth_sma3nz_stddevNorm,-0.17052895028137163,0.19268053069082494,0.029080122884066518,-0.1322868527162949,0.3136605099237693,0.017499811401582698,0.1322868527162949,0.35324763959984573,0.5750442681935771,False,False
28,mfcc4_sma3_amean,-0.16694485557987823,0.20233918670860102,0.0278705848045864,-0.2784503687963783,0.031216655760214405,0.07753460788283909,0.2784503687963783,0.3633846618440182,0.1098826282759547,False,False
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.14461537668565358,0.2702752049888273,0.020913607173933476,-0.17342395119724935,0.18512333599230454,0.030075866848865925,0.17342395119724935,0.475684360780336,0.3878774658886381,False,False
24,mfcc2_sma3_amean,-0.12914119003793614,0.32540749399045554,0.01667744696441434,-0.23864826788945573,0.06631232353299098,0.056952995766637426,0.23864826788945573,0.5614874406109821,0.1728894803112073,False,False
59,alphaRatioV_sma3nz_stddevNorm,0.12410639033821926,0.34478103337819754,0.015402396122782441,0.1666393638362699,0.20317805491371183,0.027768677579756738,0.1666393638362699,0.5834755949477188,0.40635610982742365,False,False
43,F1bandwidth_sma3nz_stddevNorm,-0.10550323212570598,0.42239329663557446,0.011130931988970598,-0.13681998586884903,0.2972165425072645,0.01871970853315205,0.13681998586884903,0.6800636593130911,0.5588936284951702,False,False
70,mfcc2V_sma3nz_amean,-0.10524722536131359,0.42352635354721924,0.011076978446255131,-0.2137023114530867,0.10110703494214605,0.04566867792039208,0.2137023114530867,0.6800636593130911,0.2341426072344435,False,False
27,mfcc3_sma3_stddevNorm,0.10490588300879042,0.4250397870706819,0.011005244289854022,0.0635804549553922,0.6293649988955086,0.004042474252334657,0.0635804549553922,0.6800636593130911,0.7972852662379472,False,False
62,slopeV0500_sma3nz_amean,-0.10234581536486657,0.4364881692889546,0.010474665922699359,-0.2382347016081568,0.06679820830205736,0.05675577305032751,0.2382347016081568,0.681089986835308,0.1728894803112073,False,False
85,MeanUnvoicedSegmentLength,0.09943709028249545,0.4497031504433101,0.00988773492384915,0.021301689187947392,0.8716606562915661,0.0004537619622599148,0.021301689187947392,0.681089986835308,0.8857664879035765,False,False
79,slopeUV5001500_sma3nz_amean,-0.09850571389898082,0.45398080847211164,0.009703375670747862,-0.13646041376594048,0.29850000612810224,0.018621444525171678,0.13646041376594048,0.681089986835308,0.5588936284951702,False,False
72,mfcc3V_sma3nz_amean,-0.09731101566514969,0.45950042247631884,0.009469433769783007,0.024693422199063394,0.85144166821798,0.0006097650999011969,0.024693422199063394,0.681089986835308,0.8857664879035765,False,False
26,mfcc3_sma3_amean,-0.09605942703923136,0.46532191037722803,0.009227413523105412,-0.023813928833126663,0.8566759698244869,0.0005671032064692214,0.023813928833126663,0.681089986835308,0.8857664879035765,False,False
46,F2frequency_sma3nz_amean,-0.09460872204100783,0.4721191954199294,0.00895081028623268,-0.061677574562207856,0.6396783481727862,0.0038041232038767098,0.061677574562207856,0.681089986835308,0.7972852662379472,False,False
0,F0semitoneFrom275Hz_sma3nz_amean,0.09054105900677328,0.4914591016420399,0.008197683366068001,-0.03706949517401349,0.7785604888009645,0.0013741474724562096,0.03706949517401349,0.6975548539435404,0.8640591399904047,False,False
73,mfcc3V_sma3nz_stddevNorm,0.08655873156066952,0.510786997666099,0.007492414009392046,-0.03447388603375576,0.7937116089165748,0.0011884488182683803,0.03447388603375576,0.7118732868172973,0.8640591399904047,False,False
48,F2bandwidth_sma3nz_amean,0.08422622548509448,0.5222845596841423,0.007094057059465979,0.05936127942669552,0.6523243087401386,0.0035237614951742252,0.05936127942669552,0.7118732868172973,0.7972852662379472,False,False
39,logRelF0H1A3_sma3nz_stddevNorm,-0.08351509558400452,0.5258154959445946,0.006974771190405411,-0.1482094804366146,0.25842116544431826,0.02196605009129125,0.1482094804366146,0.7118732868172973,0.5053569457577779,False,False
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,-0.08161380293509295,0.5353138853642947,0.006660812829528186,-0.11827637916441398,0.3680897508290322,0.013989301868244222,0.11827637916441398,0.7137518471523929,0.61642082931015,False,False
52,F3frequency_sma3nz_amean,-0.07663135814145373,0.5605976011439069,0.005872365050603748,-0.034492263857285384,0.7936040594822611,0.0011897162660005956,0.034492263857285384,0.7363072970248329,0.8640591399904047,False,False
38,logRelF0H1A3_sma3nz_amean,-0.07344549618457073,0.5770540821841206,0.005394240909797794,-0.07436364023017353,0.5722887574795953,0.005529950988282683,0.07436364023017353,0.7467758710618031,0.7747909332031444,False,False
36,logRelF0H1H2_sma3nz_amean,-0.07139744206943165,0.5877489106488064,0.005097594734057848,-0.10340752282739196,0.4317194539916035,0.01069311577729759,0.10340752282739196,0.7495928135810864,0.6439205415467985,False,False
37,logRelF0H1H2_sma3nz_stddevNorm,0.0690649359938566,0.6000366805724608,0.0047699653838355095,0.11750262789187958,0.3712534540163403,0.013806867561497517,0.11750262789187958,0.7543318270053794,0.61642082931015,False,False
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.06448525943083729,0.6244855107689429,0.004158348683862389,-0.08350446381743244,0.5258683753304495,0.0069729954774368835,0.08350446381743244,0.7740102105305208,0.723069016079368,False,False
67,spectralFluxV_sma3nz_stddevNorm,0.061669185022521056,0.6397239707019446,0.0038030883813419355,0.04513980767300177,0.7319966000497424,0.0020376022367555894,0.04513980767300177,0.7758360934278706,0.8640591399904047,False,False
86,StddevUnvoicedSegmentLength,-0.060958902013977107,0.6435913047753927,0.003715987734749662,-0.03858435339724474,0.7697552778313048,0.0014887523270834717,0.03858435339724474,0.7758360934278706,0.8640591399904047,False,False
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,-0.05673309127191225,0.6667916946846575,0.003218643645267126,-0.12536778350412178,0.33986132209435677,0.01571708114073635,0.12536778350412178,0.790775589479201,0.5864273793000665,False,False
77,hammarbergIndexUV_sma3nz_amean,-0.055439687088973025,0.6739564683061372,0.0030735589045232424,-0.09341220521941153,0.47776532260428467,0.008725840083953454,0.09341220521941153,0.790775589479201,0.6781185224060814,False,False
40,F1frequency_sma3nz_amean,0.04753192258885271,0.7183688917213968,0.0022592836649926863,-0.02062564118443495,0.8757009596319449,0.00042541707426905915,0.02062564118443495,0.8315388858009725,0.8857664879035765,False,False
11,loudness_sma3_stddevNorm,-0.045910546414367606,0.7275965250758509,0.0021077782720658024,-0.06759788430325496,0.6078226843307384,0.004569473962276243,0.06759788430325496,0.8315388858009725,0.7972852662379472,False,False
41,F1frequency_sma3nz_stddevNorm,-0.042326451712874226,0.7481297763589481,0.0017915285146022735,0.06053340291218794,0.6459125725095052,0.0036642928681292837,0.06053340291218794,0.8440438502511209,0.7972852662379472,False,False
