,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
66,spectralFluxV_sma3nz_amean,0.41470753221782136,5.599892330899664e-12,0.17198233727819534,0.44585020433428085,8.270668183627868e-14,0.19878240470491998,0.44585020433428085,4.927905251191704e-10,1.2130313335987542e-12,True,True
54,F3bandwidth_sma3nz_amean,-0.40528480393774907,1.844973800139401e-11,0.1642557723028597,-0.4376605452017658,2.6136599357955383e-13,0.19154675282630687,0.4376605452017658,6.747220761227928e-10,3.2857439192858197e-12,True,True
14,loudness_sma3_percentile800,0.40350917934830877,2.300188895873157e-11,0.16281965781834562,0.48083862972710084,4.2205690455781113e-16,0.231205787837836,0.48083862972710084,6.747220761227928e-10,1.2380335867029127e-14,True,True
10,loudness_sma3_amean,0.3942482486359659,7.115069804504653e-11,0.1554316815525264,0.4494121151214385,4.965770414052699e-14,0.20197124921792511,0.4494121151214385,1.5653153569910238e-09,8.73975592873275e-13,True,True
18,loudness_sma3_meanFallingSlope,0.3901410796089892,1.1610570297124978e-10,0.15221006199846765,0.48116783321081863,4.004395088524858e-16,0.23152248371679418,0.48116783321081863,2.043460372293996e-09,1.2380335867029127e-14,True,True
16,loudness_sma3_meanRisingSlope,0.37605714820638214,5.917924110372247e-10,0.14141897871711687,0.4498813815147567,4.64092893729796e-14,0.20239325743362607,0.4498813815147567,8.679622028545962e-09,8.73975592873275e-13,True,True
13,loudness_sma3_percentile500,0.37161544667922836,9.734601102720487e-10,0.1380980402106024,0.4213800036577955,2.3528999919625245e-12,0.17756110748264373,0.4213800036577955,1.2237784243420041e-08,2.588189991158777e-11,True,True
15,loudness_sma3_pctlrange02,0.3695773253365486,1.2201374612362392e-09,0.13658739940291706,0.4820255369751151,3.490839023581593e-16,0.23234861829614803,0.4820255369751151,1.3421512073598631e-08,1.2380335867029127e-14,True,True
20,spectralFlux_sma3_amean,0.3670240164005861,1.6155953363500232e-09,0.13470662861481766,0.40003694368478265,3.527099823485731e-11,0.16002955631266197,0.40003694368478265,1.579693217764467e-08,3.1038478446674435e-10,True,True
19,loudness_sma3_stddevFallingSlope,0.3646438863044252,2.0942531409349885e-09,0.13296516381919457,0.3982878727886264,4.366418821226297e-11,0.15863322961048903,0.3982878727886264,1.84294276402279e-08,3.4931350569810374e-10,True,True
87,equivalentSoundLevel_dBp,0.35317919841975154,7.097326909700976e-09,0.12473554619641823,0.36083495640473257,3.1584124152479306e-09,0.13020186576360526,0.36083495640473257,5.677861527760781e-08,2.138002250321676e-08,True,True
74,mfcc4V_sma3nz_amean,-0.3434004400605732,1.9355538267925408e-08,0.11792386223379532,-0.31550813635569014,2.81640939360533e-07,0.09954538410664077,0.31550813635569014,1.4194061396478634e-07,1.7124833850072359e-06,True,True
17,loudness_sma3_stddevRisingSlope,0.3351329237850584,4.4021545141044193e-08,0.11231407660472174,0.4025867017320793,2.5780818090078018e-11,0.16207605241151415,0.4025867017320793,2.979919978778376e-07,2.5207911021409615e-10,True,True
28,mfcc4_sma3_amean,-0.3189162062623821,2.0596332833967345e-07,0.10170754661679024,-0.2767255193685752,7.596709009178444e-06,0.07657701306980769,0.2767255193685752,1.2946266352779473e-06,3.9324140753394296e-05,True,True
78,slopeUV0500_sma3nz_amean,-0.3177413440672014,2.2952577597475103e-07,0.10095956172963166,-0.37767147333622436,4.929435296424437e-10,0.14263574177195443,0.37767147333622436,1.3465512190518729e-06,3.6149192173779206e-09,True,True
12,loudness_sma3_percentile200,0.30775405984159215,5.65797452706494e-07,0.09471256134898229,0.315115751122003,2.9190057698986974e-07,0.09929793660518414,0.315115751122003,3.111885989885717e-06,1.7124833850072359e-06,True,True
38,logRelF0H1A3_sma3nz_amean,-0.2721778296170113,1.0837532625359978e-05,0.07408077093502684,-0.2775157584731559,7.137250114912833e-06,0.07701499620093101,0.2775157584731559,5.610016888421636e-05,3.925487563202058e-05,True,True
65,slopeV5001500_sma3nz_stddevNorm,0.27051497302932165,1.2321565181003275e-05,0.07317835063305461,0.0729197073313172,0.24688082292503288,0.005317283717284954,0.0729197073313172,6.023876310712712e-05,0.3950093166800526,True,False
42,F1bandwidth_sma3nz_amean,-0.26451299985252574,1.944499336853735e-05,0.06996712709098228,-0.2624239889862682,2.2733430554045403e-05,0.068866349995465,0.2624239889862682,9.006102191743615e-05,0.00011114121604199975,True,True
64,slopeV5001500_sma3nz_amean,-0.24920106639740847,5.930639160384125e-05,0.062101171493605584,-0.220539755188054,0.00039832775069651734,0.04863778361840679,0.220539755188054,0.0002609481230569015,0.0016691829552996917,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.23006067814037745,0.00021712746416810622,0.052927915626410346,0.22599560330554466,0.0002822145239185738,0.05107401271343711,0.22599560330554466,0.0009098674688949212,0.0013026974818748979,True,True
40,F1frequency_sma3nz_amean,-0.21651343190998226,0.0005109567703921536,0.04687806619743853,-0.22524473724357127,0.0002960676095170222,0.050735191655925466,0.22524473724357127,0.0020438270815686145,0.0013026974818748979,True,True
60,hammarbergIndexV_sma3nz_amean,-0.21358598967055223,0.0006106511935440351,0.04561897498354924,-0.1979464518342406,0.0015211498113354102,0.03918279779376533,0.1979464518342406,0.002336404566603265,0.005354447335900643,True,True
80,spectralFluxUV_sma3nz_amean,0.20994500389043472,0.0007597071665132248,0.04407690465855465,0.1255984759499136,0.045525887276153705,0.015774977160941027,0.1255984759499136,0.0027855929438818246,0.11783170824416253,True,False
41,F1frequency_sma3nz_stddevNorm,-0.2037846022809222,0.0010903474909326008,0.041528164126793644,-0.20098230291493988,0.0012807718396425649,0.04039388608499265,0.20098230291493988,0.003838023168082754,0.004696163412022739,True,True
30,jitterLocal_sma3nz_amean,-0.1982793363225403,0.0014929088585978081,0.03931469521250705,-0.21801753186994535,0.0004658146906923472,0.047531644202662635,0.21801753186994535,0.005052922290638735,0.001863258762769389,True,True
53,F3frequency_sma3nz_stddevNorm,-0.19183119409533914,0.002135035702217525,0.03679920702804368,-0.19019369519784474,0.002333994738644161,0.03617364169301067,0.19019369519784474,0.006958634881301563,0.007607093962988376,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.1872676729542539,0.0027319920648723925,0.0350691813337014,-0.11000824545133336,0.08013384580618958,0.012101814067280808,0.11000824545133336,0.008586260775313234,0.1682366136990019,True,False
52,F3frequency_sma3nz_amean,-0.1850741656024728,0.0030697350995849935,0.03425244677345153,-0.20888738042829166,0.0008089176033057794,0.04363393770219385,0.20888738042829166,0.00931505823322343,0.003094989090909069,True,True
72,mfcc3V_sma3nz_amean,0.17916157709596095,0.004176745219559361,0.03209887070751196,0.15613009599536437,0.012726663702459638,0.024376606875521692,0.15613009599536437,0.012251785977374127,0.03612730341343381,True,True
