,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.35004678604215983,1.258299778493602e-10,0.12253275241844562,-0.3017816600070374,3.8514093672675036e-08,0.0910721703166031,0.3017816600070374,1.1073038050743697e-08,2.4208858879967166e-07,True,True
74,mfcc4V_sma3nz_amean,-0.301903522399703,3.800872017593448e-08,0.09114573683734796,-0.3003078925919005,4.5163285254918755e-08,0.09018483035298844,0.3003078925919005,1.4075208400238136e-06,2.6495794016219003e-07,True,True
66,spectralFluxV_sma3nz_amean,0.2980931083975035,5.728018624477893e-08,0.08885950127408579,0.49756531844384,2.3438887721268096e-21,0.2475712461181199,0.49756531844384,1.4075208400238136e-06,3.4377035324526543e-20,True,True
28,mfcc4_sma3_amean,-0.2957546478453579,7.345944029544283e-08,0.08747081172213166,-0.27948249643495804,3.904004935579751e-07,0.07811046581351633,0.27948249643495804,1.4075208400238136e-06,2.147202714568863e-06,True,True
14,loudness_sma3_percentile800,0.2949513080845321,7.997277500135304e-08,0.08699627414077658,0.5246035930420735,5.908211761218396e-24,0.27520892983265344,0.5246035930420735,1.4075208400238136e-06,1.7330754499573961e-22,True,True
18,loudness_sma3_meanFallingSlope,0.2872122051218018,1.7889620724759485e-07,0.08249085077092795,0.5263114536727571,3.975617317555797e-24,0.27700374626713076,0.5263114536727571,2.623811039631391e-06,1.7330754499573961e-22,True,True
10,loudness_sma3_amean,0.2855180834211278,2.126950759785784e-07,0.08152057596047409,0.499154901960807,1.6729649504146072e-21,0.24915561615150283,0.499154901960807,2.6738809551592714e-06,2.944418312729709e-20,True,True
15,loudness_sma3_pctlrange02,0.27781602585467136,4.6051067229782106e-07,0.07718174422168342,0.5267348300557686,3.6024868898255905e-24,0.2774495811938794,0.5267348300557686,5.065617395276032e-06,1.7330754499573961e-22,True,True
16,loudness_sma3_meanRisingSlope,0.27526609908575816,5.916765126961496e-07,0.07577142530589043,0.4992067574239818,1.6546130633329073e-21,0.2492073866577662,0.4992067574239818,5.785281457473462e-06,2.944418312729709e-20,True,True
19,loudness_sma3_stddevFallingSlope,0.26868321268706424,1.1169098920677192e-06,0.0721906687798422,0.4549734136953134,1.0537645247976368e-17,0.20700080716956681,0.4549734136953134,8.961166404571174e-06,9.273127818219204e-17,True,True
13,loudness_sma3_percentile500,0.26865283768390413,1.1201458005713968e-06,0.07217434719561414,0.47675470987220797,1.653603600615469e-19,0.2272950533853332,0.47675470987220797,8.961166404571174e-06,2.078815955059447e-18,True,True
78,slopeUV0500_sma3nz_amean,-0.26517419938495873,1.5564979520353685e-06,0.07031735601945385,-0.38239768700278215,1.5087917957081184e-12,0.14622799102507775,0.38239768700278215,1.1414318314926036e-05,1.021335984787034e-11,True,True
20,spectralFlux_sma3_amean,0.2635563690046205,1.810975223767265e-06,0.06946195964289968,0.4600823777821107,4.0833993981868594e-18,0.21167579434564082,0.4600823777821107,1.2258909207039947e-05,4.185692373377579e-17,True,True
42,F1bandwidth_sma3nz_amean,-0.2596108041077091,2.6090883548703387e-06,0.0673977696094513,-0.11443262039504841,0.04109969727665793,0.01309482461047725,0.11443262039504841,1.5473982435721346e-05,0.08411100838013716,True,False
38,logRelF0H1A3_sma3nz_amean,-0.2594923339492239,2.637610642452502e-06,0.06733627137841552,-0.21098354201095912,0.00014686321773822763,0.044514054999490155,0.21098354201095912,1.5473982435721346e-05,0.0006461981580482015,True,True
87,equivalentSoundLevel_dBp,0.2548249383457577,4.031029494799234e-06,0.06493574920291921,0.40032274460412576,1.044456567340866e-13,0.1602582998473801,0.40032274460412576,2.2170662221395785e-05,8.355652538726928e-13,True,True
17,loudness_sma3_stddevRisingSlope,0.24689233430299695,8.135540169223186e-06,0.060955824737582806,0.45982994824671647,4.280821745499797e-18,0.21144358130457794,0.45982994824671647,4.211338440539061e-05,4.185692373377579e-17,True,True
65,slopeV5001500_sma3nz_stddevNorm,0.2378892065255118,1.7551520714543267e-05,0.0565912745813376,-0.025739684322773272,0.646954836440706,0.0006625313490360202,0.025739684322773272,8.580743460443374e-05,0.7298977641895145,True,False
12,loudness_sma3_percentile200,0.23206176464539285,2.8420678455832604e-05,0.0538526626103337,0.38827748901647624,6.39646304111472e-13,0.15075940847693983,0.38827748901647624,0.00013163261600596153,4.690739563484129e-12,True,True
70,mfcc2V_sma3nz_amean,-0.20447968159333144,0.0002362618464203146,0.041811940184510205,-0.18784607108572346,0.0007464254239358778,0.03528614642234267,0.18784607108572346,0.0010395521242493842,0.0029857016957435113,True,True
40,F1frequency_sma3nz_amean,-0.1972646608937119,0.00039363037465599477,0.03891334643751115,-0.18228383128506342,0.00107412797808049,0.03322739514796147,0.18228383128506342,0.0016494987128441686,0.003938469252961797,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.19473522898611753,0.0004688058841856224,0.03792180940827563,0.20431244973637577,0.00023912195630365726,0.04174357711727908,0.20431244973637577,0.0018752235367424895,0.0010020348645105638,True,True
64,slopeV5001500_sma3nz_amean,-0.19355823736396058,0.0005081514051146666,0.03746479125144331,-0.27450618639472607,6.372488464558404e-07,0.0753536463689761,0.27450618639472607,0.0019210916558538155,3.2986999110655265e-06,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.19310974319255228,0.0005239340879601315,0.03729137291589349,-0.1638675037692068,0.0033339317152588145,0.026852558791551007,0.1638675037692068,0.0019210916558538155,0.010433045872584973,True,True
25,mfcc2_sma3_stddevNorm,0.1891842571021051,0.0006827951134813476,0.035790683135275406,0.07111386613063322,0.20524377007195807,0.005057181956045623,0.07111386613063322,0.0024034387994543434,0.30612630112427647,True,False
60,hammarbergIndexV_sma3nz_amean,-0.18449188537817152,0.0009307657667873767,0.03403725577039238,-0.14357537746567672,0.010240889287028262,0.02061388901441155,0.14357537746567672,0.00315028413374189,0.02816244553932772,True,True
24,mfcc2_sma3_amean,-0.18056321044127716,0.0011996438122485365,0.03260307296486094,-0.18702442829991034,0.0007881650331781236,0.0349781367809083,0.18702442829991034,0.003909950202884119,0.0030155879530293426,True,True
30,jitterLocal_sma3nz_amean,-0.17915583900170146,0.0013121866105005545,0.032096814648403575,-0.17096428401493272,0.0021830919007144248,0.029228786408738577,0.17096428401493272,0.004124015061573172,0.0073889264331872834,True,True
41,F1frequency_sma3nz_stddevNorm,-0.17462708213376632,0.0017433917637914792,0.03049461781455317,-0.12432718917784923,0.026387594721401827,0.01545724996886471,0.12432718917784923,0.005290292248746558,0.06275968474279353,True,False
53,F3frequency_sma3nz_stddevNorm,-0.1736200857866421,0.0018554014116471543,0.03014393418856096,-0.14760043949767807,0.008281890377118453,0.021785889739907725,0.14760043949767807,0.005442510807498319,0.023509882360852382,True,True
72,mfcc3V_sma3nz_amean,0.16961146932881813,0.0023695698660466404,0.02876805052788061,0.21846133612068075,8.349161568235139e-05,0.04772535537963305,0.21846133612068075,0.006726520910067882,0.000408181232224829,True,True
52,F3frequency_sma3nz_amean,-0.16634470172055635,0.0028811826525031014,0.027670559790500864,-0.07817548438395698,0.16364694858663195,0.006111406358666302,0.07817548438395698,0.007923252294383528,0.25727150671527294,True,False
71,mfcc2V_sma3nz_stddevNorm,0.1601274630224011,0.004140363075643672,0.025640804413990435,0.011351319637782268,0.8399544976496024,0.00012885245751910137,0.011351319637782268,0.01104096820171646,0.9069827174201781,True,False
80,spectralFluxUV_sma3nz_amean,0.14435462131799104,0.009832343015702152,0.020838256695860594,0.2170508812091138,9.301526182881517e-05,0.047111085033652834,0.2170508812091138,0.02544841721711145,0.0004308075284703018,True,True
39,logRelF0H1A3_sma3nz_stddevNorm,0.1382249633886756,0.013475179686630116,0.01910614050380071,0.04438522319492663,0.42951441219708686,0.0019700480380634533,0.04438522319492663,0.03388045178352715,0.524962059351995,True,False
76,alphaRatioUV_sma3nz_amean,0.13361196494423383,0.016952632708657916,0.01785215717625917,0.11753643596090618,0.03587818626950637,0.0138148137783922,0.11753643596090618,0.041439768843386016,0.07893200979291401,True,False
46,F2frequency_sma3nz_amean,-0.12931074213021118,0.020876818912797697,0.016721268030265975,-0.08316460442909789,0.13831237069693017,0.006916351429848327,0.08316460442909789,0.049652974711518846,0.22965072870433687,True,False
77,hammarbergIndexUV_sma3nz_amean,-0.12773544400527476,0.022499558192645527,0.016316343655224684,-0.13101197409476392,0.019239321056931834,0.017164137356207095,0.13101197409476392,0.05186477579041665,0.048373150086000044,False,True
48,F2bandwidth_sma3nz_amean,-0.1272828338935375,0.022985525634389197,0.01620091980396986,-0.09393214995834888,0.09397332395863364,0.00882324879579774,0.09393214995834888,0.05186477579041665,0.18377005574132801,False,False
26,mfcc3_sma3_amean,0.12673831817977016,0.02358217350879104,0.01606260129503666,0.17721498814586095,0.0014833275652093602,0.031405152023537636,0.17721498814586095,0.05188078171934029,0.0052213130295369475,False,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.12601238247968663,0.02439838084132437,0.015879120538206833,-0.13162016300480797,0.018681647597843125,0.01732386730941222,0.13162016300480797,0.05236725643991572,0.04835249966500574,False,True
58,alphaRatioV_sma3nz_amean,0.12463624816255217,0.02601266869884348,0.01553419435603729,0.049284263520360055,0.38031128923617036,0.002428938630744293,0.049284263520360055,0.054502734416624427,0.4910851263927976,False,False
23,mfcc1_sma3_stddevNorm,0.12051243503337049,0.03141155902527743,0.014523246997672342,0.02849716896306769,0.6120982054610405,0.0008120886389096285,0.02849716896306769,0.0642841207959166,0.7092166680855845,False,False
36,logRelF0H1H2_sma3nz_amean,-0.11884136498179022,0.03385731277649591,0.014123270030735076,-0.16334068826557854,0.0034381628443745935,0.02668018044307291,0.16334068826557854,0.06771462555299182,0.010433045872584973,False,True
43,F1bandwidth_sma3nz_stddevNorm,-0.11022764422056289,0.04918344312941262,0.01215013355041499,-0.1522757093954952,0.006430859330568412,0.023187891671901304,0.1522757093954952,0.09618095545307356,0.018863854036334008,False,True
37,logRelF0H1H2_sma3nz_stddevNorm,-0.10296448326606687,0.06625867323254674,0.010601684814248166,-0.006333850894011688,0.9102816902594183,4.0117667147572655e-05,0.006333850894011688,0.1267557227057416,0.9314510318933582,False,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.09957247577597783,0.07575671021489709,0.009914677932157692,-0.11645493801868279,0.03762977062970919,0.01356175258893525,0.11645493801868279,0.13975544929578093,0.08076633696132704,False,False
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.0994126350859581,0.07623024507042596,0.009882872014733868,-0.09315411757525131,0.09674003062339,0.008677689621223745,0.09315411757525131,0.13975544929578093,0.18506788467083304,False,False
73,mfcc3V_sma3nz_stddevNorm,-0.09677018640812625,0.08441255642835169,0.009364468977463502,-0.02995675548281905,0.5939892394147008,0.0008974071990574093,0.02995675548281905,0.15115881142072027,0.7063655820066712,False,False
