,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.34768491723298844,4.899826584630648e-18,0.12088480167131002,-0.43858540392469064,7.498943847225007e-29,0.19235715653578406,0.43858540392469064,3.542926749096136e-16,2.1996901951860022e-27,True,True
66,spectralFluxV_sma3nz_amean,0.3455445905978871,8.052106247945764e-18,0.11940106409146141,0.4100781164482371,4.303146897846154e-25,0.1681640615897339,0.4100781164482371,3.542926749096136e-16,5.4096703858637365e-24,True,True
14,loudness_sma3_percentile800,0.32440422342849856,8.891492155660053e-16,0.10523810017824721,0.4332253514865783,4.067823952712538e-28,0.18768420517066933,0.4332253514865783,2.6081710323269493e-14,8.949212695967584e-27,True,True
18,loudness_sma3_meanFallingSlope,0.32237882539738616,1.3693192914054291e-15,0.10392810706459839,0.4614622780652973,3.8863094330276077e-32,0.21294743407721378,0.4614622780652973,3.012502441091944e-14,3.419952301064295e-30,True,True
20,spectralFlux_sma3_amean,0.31490300078329697,6.554291535709047e-15,0.09916389990232513,0.3718249161076067,1.3798720442226233e-20,0.13825376823842878,0.3718249161076067,1.1182230478047021e-13,1.0119061657632571e-19,True,True
10,loudness_sma3_amean,0.31375977347959627,8.295495569901072e-15,0.09844519545396756,0.41903842447874706,3.0960597486270376e-26,0.1755932011896306,0.41903842447874706,1.1182230478047021e-13,5.449065157583587e-25,True,True
19,loudness_sma3_stddevFallingSlope,0.3125497577079317,1.0632998380469168e-14,0.09768735104328681,0.40060379687974573,6.38693411601574e-24,0.16048340207446857,0.40060379687974573,1.1182230478047021e-13,6.245002246770946e-23,True,True
16,loudness_sma3_meanRisingSlope,0.312521636385808,1.0694377589294966e-14,0.09766977320926318,0.44037595984035144,4.2339759627652844e-29,0.19393098600531083,0.44037595984035144,1.1182230478047021e-13,1.862949423616725e-27,True,True
87,equivalentSoundLevel_dBp,0.31219368386665375,1.1436372079820818e-14,0.09746489624623214,0.34713402662444787,5.57012635340303e-18,0.12050203244050288,0.34713402662444787,1.1182230478047021e-13,3.770547069995897e-17,True,True
13,loudness_sma3_percentile500,0.30328818489566095,6.84902852208743e-14,0.09198372309730463,0.40950220311650437,5.082479619860019e-25,0.1676920543572708,0.40950220311650437,6.027145099436939e-13,5.59072758184602e-24,True,True
78,slopeUV0500_sma3nz_amean,-0.2988864108223429,1.6223355037059346e-13,0.08933308657426234,-0.37619459091454777,4.5145405802671275e-21,0.14152237023336395,0.37619459091454777,1.2978684029647477e-12,3.611632464213702e-20,True,True
15,loudness_sma3_pctlrange02,0.2943820925432889,3.861941602468889e-13,0.08666081641016551,0.4174950937955958,4.899384551364435e-26,0.17430215334339333,0.4174950937955958,2.8320905084771854e-12,7.185764008667839e-25,True,True
17,loudness_sma3_stddevRisingSlope,0.2829853286972428,3.2399654241191417e-12,0.08008069625788655,0.3858866630358302,3.562607476011822e-22,0.14890851670892835,0.3858866630358302,2.193207364019111e-11,3.1350945788904036e-21,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.23293713841175456,1.2290164977279278e-08,0.0542597104514569,-0.24486009097170497,2.0205313743621353e-09,0.059956464150671636,0.24486009097170497,7.725246557146975e-08,1.1853784062924528e-08,True,True
12,loudness_sma3_percentile200,0.22478973099870395,3.994875077030544e-08,0.05053042316246968,0.3237537666087056,1.0217720405496574e-15,0.10481650139332421,0.3237537666087056,2.3436600451912527e-07,6.422567112026418e-15,True,True
65,slopeV5001500_sma3nz_stddevNorm,0.22144674523017618,6.39776194405383e-08,0.04903866097303856,0.054742576818225794,0.18647785497569538,0.002996749716699352,0.054742576818225794,3.5187690692296066e-07,0.26187742072948483,True,False
53,F3frequency_sma3nz_stddevNorm,-0.2116961774832768,2.4231875717232743e-07,0.04481527156103103,-0.21012979550070335,2.983954201797713e-07,0.04415453095716741,0.21012979550070335,1.2543559194802832e-06,1.458822054212215e-06,True,True
74,mfcc4V_sma3nz_amean,-0.19893891505691289,1.2610674500866154e-06,0.0395766919240216,-0.20439533175476657,6.30806881817228e-07,0.04177745164314109,0.20439533175476657,6.165218644867897e-06,2.9216318736797927e-06,True,True
80,spectralFluxUV_sma3nz_amean,0.19151315047366113,3.1403016193097674e-06,0.03667728680434717,0.19067661413975387,3.472656657664351e-06,0.03635757117980058,0.19067661413975387,1.4544554868382081e-05,1.5279689293723144e-05,True,True
43,F1bandwidth_sma3nz_stddevNorm,-0.18454254587735477,7.165026169451829e-06,0.03405595123889559,-0.21500734501902408,1.5524050213436407e-07,0.046228158412129655,0.21500734501902408,3.152611514558805e-05,8.03597893401414e-07,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.1829715218297845,8.592931671439567e-06,0.0334785778007073,0.17747277290185068,1.603811841237229e-05,0.03149658512147187,0.17747277290185068,3.6008475575556276e-05,6.415247364948916e-05,True,True
41,F1frequency_sma3nz_stddevNorm,-0.1698532986995567,3.6926687939811994e-05,0.02885014307912083,-0.18716490962907842,5.272200070315015e-06,0.03503070339646109,0.18716490962907842,0.00014770675175924798,2.2093028866081966e-05,True,True
38,logRelF0H1A3_sma3nz_amean,-0.16585534225234938,5.639365369751786e-05,0.02750799455364395,-0.15565593150951962,0.00015899727215665777,0.024228769014096263,0.15565593150951962,0.00021576702284267706,0.0004824744810270995,True,True
28,mfcc4_sma3_amean,-0.1634399989632463,7.249182533786646e-05,0.02671263326110595,-0.16701091795326795,4.9947199633934656e-05,0.027892646715593196,0.16701091795326795,0.00026113238259897894,0.00016832184906303654,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.16321616926085808,7.418533596561902e-05,0.026639517908189074,0.052851834419922826,0.202175729103132,0.0027933164015509393,0.052851834419922826,0.00026113238259897894,0.27371483324731716,True,False
