,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.3189303456281359,9.369329478461752e-18,0.1017165653624822,-0.26410317796321153,1.850999054033257e-12,0.06975048861026778,0.26410317796321153,8.245009941046342e-16,1.1634851196780473e-11,True,True
66,spectralFluxV_sma3nz_amean,0.28856048022094627,1.1137394444431877e-14,0.08326715074534312,0.4435264146303658,1.433666381246806e-34,0.19671568047486715,0.4435264146303658,4.900453555550025e-13,1.8023234507102703e-33,True,True
14,loudness_sma3_percentile800,0.2768975326803143,1.3597144852857302e-13,0.07667224360444573,0.47859198758488614,9.878470969163853e-41,0.22905029058045182,0.47859198758488614,3.988495823504809e-12,8.693054452864191e-39,True,True
10,loudness_sma3_amean,0.2668498184320993,1.0691327754577192e-12,0.07120882559724437,0.4671581807430377,1.2104752139508072e-38,0.2182367658351447,0.4671581807430377,1.988794772637519e-11,3.5507272942557014e-37,True,True
20,spectralFlux_sma3_amean,0.2657597330384052,1.3303517068227768e-12,0.07062823570464441,0.4119242461717962,1.3365918924322844e-29,0.16968158458420254,0.4119242461717962,1.988794772637519e-11,1.1762008653404103e-28,True,True
87,equivalentSoundLevel_dBp,0.26566428275639925,1.3559964358892175e-12,0.07057751113247206,0.3650314480910799,3.83578717447445e-23,0.13324795809547077,0.3650314480910799,1.988794772637519e-11,2.812910594614597e-22,True,True
18,loudness_sma3_meanFallingSlope,0.25980292214512124,4.316345298567379e-12,0.06749755835514393,0.4768048760234316,2.1198937571599924e-40,0.22734288979971995,0.4768048760234316,5.426262661056134e-11,9.327532531503966e-39,True,True
19,loudness_sma3_stddevFallingSlope,0.25814939093385353,5.952922595775037e-12,0.06664110803951954,0.42429526600611167,1.7500579191972657e-31,0.18002647275519706,0.42429526600611167,6.548214855352541e-11,1.925063711116992e-30,True,True
13,loudness_sma3_percentile500,0.2574170968268269,6.85877309718128e-12,0.06626356173875197,0.4591899955238135,3.1064316546975287e-37,0.21085545198915986,0.4591899955238135,6.706355917243918e-11,5.4673197122676506e-36,True,True
16,loudness_sma3_meanRisingSlope,0.2535658797355998,1.434179628352408e-11,0.06429565536608867,0.45995373497813186,2.284477779413607e-37,0.21155743832033355,0.45995373497813186,1.262078072950119e-10,5.025851114709935e-36,True,True
78,slopeUV0500_sma3nz_amean,-0.24892334040957179,3.43364695013011e-11,0.06196282940065955,-0.3523353924918051,1.439747491039955e-21,0.12414022880235437,0.3523353924918051,2.544532513782372e-10,9.745983016270464e-21,True,True
15,loudness_sma3_pctlrange02,0.24886704161501924,3.469817064248689e-11,0.06193480440221172,0.4447848751142017,8.86097298046825e-35,0.19783358513035604,0.4447848751142017,2.544532513782372e-10,1.2996093704686767e-33,True,True
17,loudness_sma3_stddevRisingSlope,0.23868258099425482,2.2142238552135348e-10,0.056969374470079014,0.41965113771783924,9.101750088061114e-31,0.17610707738787687,0.41965113771783924,1.4988592250676236e-09,8.899488974993089e-30,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.21564736122203734,1.0803010216702875e-08,0.046503784402027855,-0.19647955480237067,2.0063699160325808e-07,0.03860421545533778,0.19647955480237067,6.790463564784665e-08,8.828027630543356e-07,True,True
65,slopeV5001500_sma3nz_stddevNorm,0.21373407457060722,1.464466498728056e-08,0.04568225463255389,0.013734979914581419,0.7189299755138792,0.000188649673253955,0.013734979914581419,8.591536792537929e-08,0.7731007826135908,True,False
53,F3frequency_sma3nz_stddevNorm,-0.20729020276605273,3.996840431739148e-08,0.04296922816279125,-0.16158481145230397,2.028376711844252e-05,0.026109651292076624,0.16158481145230397,2.1982622374565312e-07,6.865275024703623e-05,True,True
74,mfcc4V_sma3nz_amean,-0.19005451950770821,5.020671341326154e-07,0.036120720385305845,-0.21645922625071556,9.486481105019748e-09,0.04685459662905847,0.21645922625071556,2.5156807035045215e-06,4.910649042598458e-08,True,True
12,loudness_sma3_percentile200,0.18987918029621506,5.145710529895612e-07,0.03605410310996254,0.3769073480572818,1.1115803823132406e-24,0.14205914901957298,0.3769073480572818,2.5156807035045215e-06,8.892643058505925e-24,True,True
38,logRelF0H1A3_sma3nz_amean,-0.18513044253321229,9.931697204879633e-07,0.03427328075254302,-0.1370398506955134,0.0003090007230411956,0.0187799206786486,0.1370398506955134,4.59994396857583e-06,0.0009711451295580433,True,True
43,F1bandwidth_sma3nz_stddevNorm,-0.18228528988366177,1.4610241540498814e-06,0.033227926907970606,-0.17343624321942544,4.672620978400076e-06,0.030080130462067697,0.17343624321942544,6.428506277819478e-06,1.6447625843968267e-05,True,True
70,mfcc2V_sma3nz_amean,-0.16837992358072926,8.850259288611534e-06,0.028351798665052226,-0.17720309272883178,2.8686025730716974e-06,0.031400936072662956,0.17720309272883178,3.708680082846738e-05,1.0975522888274321e-05,True,True
24,mfcc2_sma3_amean,-0.1643510446083477,1.4529569994798935e-05,0.027011265863855098,-0.20298355702422083,7.681703610786665e-08,0.04120232442220511,0.20298355702422083,5.811827997919574e-05,3.55784167236435e-07,True,True
28,mfcc4_sma3_amean,-0.1619138431992273,1.9500168517051184e-05,0.026216092619543965,-0.19412227328430395,2.819149744306887e-07,0.03768345698506599,0.19412227328430395,7.46093404130654e-05,1.181357988090505e-06,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.15964052956677613,2.556054689477459e-05,0.025485098680360724,0.1767800267443638,3.0317415265331333e-06,0.03125117785573798,0.1767800267443638,9.137245603810091e-05,1.1116385597288156e-05,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.1595099495490613,2.5958084101733215e-05,0.025443424005144082,-0.10715659934290678,0.004866546564093373,0.011482536782736249,0.10715659934290678,9.137245603810091e-05,0.011574489125411265,True,True
41,F1frequency_sma3nz_stddevNorm,-0.1536847840659775,5.1041365610553166e-05,0.02361901285340613,-0.11487550359865445,0.0025288085757997902,0.013196381327044471,0.11487550359865445,0.00017275539129725685,0.006545151607952398,True,True
