,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
12,loudness_sma3_percentile200,0.6104878126768583,7.691731983468109e-05,0.3726953694269748,0.6674978378589337,8.714118734459932e-06,0.44555336354635133,0.6674978378589337,0.005523697404341006,0.00019171061215811849,True,True
13,loudness_sma3_percentile500,0.5959489612077795,0.0001255385773713865,0.3551551643646315,0.6739401022562417,6.614820039317043e-06,0.4541952614291535,0.6739401022562417,0.005523697404341006,0.00019171061215811849,True,True
20,spectralFlux_sma3_amean,0.5709018309541193,0.00027683031382818137,0.32592890058676577,0.6355810747496957,3.112707868568116e-05,0.4039633025799783,0.6355810747496957,0.006442643598422226,0.00030435365825999354,True,True
10,loudness_sma3_amean,0.5619769914384471,0.00036143519312602696,0.3158181389062085,0.6388526683789147,2.750045726819306e-05,0.4081327318948596,0.6388526683789147,0.006442643598422226,0.00030250502995012366,True,True
38,logRelF0H1A3_sma3nz_amean,-0.5615451443651082,0.0003660592953648992,0.3153329491600302,-0.5689942376963328,0.00029325563135076905,0.32375444253163094,0.5689942376963328,0.006442643598422226,0.0018433211113476912,True,True
66,spectralFluxV_sma3nz_amean,0.5549234892405773,0.00044388317877185133,0.30794007891093717,0.5836491613255446,0.0001866073138635578,0.34064634351601153,0.5836491613255446,0.006510286621987153,0.0012631879707686988,True,True
47,F2frequency_sma3nz_stddevNorm,-0.5403846377714986,0.0006684774854890837,0.29201555673943375,-0.6471939002058313,1.9921016524129336e-05,0.41885994446363556,0.6471939002058313,0.008403716960434196,0.00025043563630334023,True,True
14,loudness_sma3_percentile800,0.5327553394758435,0.0008226765689327353,0.2838282517400213,0.5511571226144186,0.0004944390051480764,0.3037741738086053,0.5511571226144186,0.009049442258260088,0.0029007088302020483,True,True
21,spectralFlux_sma3_stddevNorm,-0.5269973784979906,0.0009591147710933338,0.2777262369437543,-0.6534281465063132,1.555533222058297e-05,0.42696834264667594,0.6534281465063132,0.009378011095134819,0.00025043563630334023,True,True
18,loudness_sma3_meanFallingSlope,0.4940330518997824,0.002196339048923984,0.2440686563694131,0.44827332456274815,0.006108540391206219,0.20094897351453894,0.44827332456274815,0.01932778363053106,0.01990931683059805,True,True
78,slopeUV0500_sma3nz_amean,-0.47834155235793663,0.0031685266032706514,0.22881064071220064,-0.5076093780905196,0.0015770162587750336,0.25766728072544415,0.5076093780905196,0.02534821282616521,0.007240588945998516,True,True
60,hammarbergIndexV_sma3nz_amean,-0.4671145843283199,0.0040763086271627955,0.21819603489221912,-0.5058956932862003,0.0016455883968178443,0.25593045248552526,0.5058956932862003,0.02884460691425107,0.007240588945998516,True,True
87,equivalentSoundLevel_dBp,0.46509929798607147,0.004261135112332544,0.2163173569871365,0.5418058306331692,0.0006427740445487094,0.29355355810809847,0.5418058306331692,0.02884460691425107,0.0035352572450179014,True,True
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,-0.45660630554373827,0.005122018196950508,0.20848931826230166,-0.305294045825034,0.07019965880526456,0.09320445441621796,0.305294045825034,0.03144163583410113,0.14366441802007632,True,False
58,alphaRatioV_sma3nz_amean,0.4525757328592412,0.005580524360953603,0.20482479397307923,0.4796902491024265,0.0030723279973124077,0.23010273508394802,0.4796902491024265,0.03144163583410113,0.011754994076673561,True,True
67,spectralFluxV_sma3nz_stddevNorm,-0.4501285994436538,0.005875806339970172,0.20261575603710533,-0.5322004839107966,0.0008350306660974069,0.283237355074886,0.5322004839107966,0.03144163583410113,0.004322511683327753,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.4485451601747442,0.006073952377042264,0.20119276071618694,-0.3254289212959669,0.05277593259766264,0.10590398281585661,0.3254289212959669,0.03144163583410113,0.11908415560498237,True,False
43,F1bandwidth_sma3nz_stddevNorm,-0.43558974797457506,0.007922254736368116,0.1897384285405538,-0.3408356294844116,0.04193098057931562,0.11616892632603511,0.3408356294844116,0.03873102315557745,0.10249795252721595,True,False
11,loudness_sma3_stddevNorm,-0.4288241438255979,0.00906544581024691,0.18389014632775708,-0.6878708149091416,3.5594333534827515e-06,0.47316625800376655,0.6878708149091416,0.04198732796324885,0.00015661506755324105,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.41845981406546257,0.011088182366495147,0.1751086159877015,0.45359954521881785,0.005460832416764548,0.20575254742271837,0.45359954521881785,0.04568176781767458,0.018482817410587698,True,True
83,MeanVoicedSegmentLengthSec,0.4170020209765416,0.011401273768637,0.17389068549852005,0.6505059961747938,1.7479836459927273e-05,0.42315805105936083,0.6505059961747938,0.04568176781767458,0.00025043563630334023,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.41471713942985816,0.011907061949747815,0.17199030573688442,0.4965682504706593,0.002066704115595148,0.2465800273754914,0.4965682504706593,0.04568176781767458,0.008278477995478449,True,True
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.4145731904054118,0.011939552952346765,0.17187093020292182,-0.35300552101704197,0.034703220804370105,0.12461289786851326,0.35300552101704197,0.04568176781767458,0.08725381230813055,True,False
85,MeanUnvoicedSegmentLength,-0.41227595313729454,0.012468309374622672,0.16997146153526468,-0.4729459516747964,0.0035800772210201797,0.22367787320557886,0.4729459516747964,0.045717134373616464,0.013126949810407327,True,True
52,F3frequency_sma3nz_amean,-0.40363306454749126,0.014638528612047627,0.16291965079599924,-0.597364624539367,0.0001198151546117404,0.35684449465105894,0.597364624539367,0.05152762071440765,0.0009585212368939233,False,True
46,F2frequency_sma3nz_amean,-0.39845089966742364,0.01608612131782549,0.1587631194457793,-0.6024034152730172,0.0001012982845845812,0.3628898747325952,0.6024034152730172,0.053528827401049424,0.0008914249043443146,False,True
35,HNRdBACF_sma3nz_stddevNorm,-0.39729930747185305,0.016423617498049256,0.15784673971761404,-0.2966208687855808,0.07897021783728037,0.08798393979911275,0.2966208687855808,0.053528827401049424,0.15443064821512606,False,False
53,F3frequency_sma3nz_stddevNorm,-0.38895026405396627,0.019052481315708393,0.15128230790765007,-0.5859468717385204,0.00017349790413952583,0.34333373650015814,0.5859468717385204,0.0592068494037323,0.0012631879707686988,False,True
77,hammarbergIndexUV_sma3nz_amean,-0.3875929966549831,0.019511348098957236,0.15022833105598973,-0.409722642923157,0.013079103901480113,0.16787264412393682,0.409722642923157,0.0592068494037323,0.03836537144434167,False,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.3804572716116332,0.022078083590715558,0.14474773552216802,0.41564071770912336,0.011700374869444965,0.17275720621775517,0.41564071770912336,0.06476237853276565,0.03550458581072955,False,True
40,F1frequency_sma3nz_amean,-0.3700929418514979,0.026300544782099526,0.1369687856082962,-0.5111678242957363,0.0014425973326284763,0.2612925445952367,0.5111678242957363,0.07465961099434704,0.007052698070628106,False,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.3620317964825038,0.030027160195426436,0.13106702166434903,0.1814572670255391,0.28953422266880724,0.032926739756377804,0.1814572670255391,0.0825746905374227,0.39810955616960997,False,False
86,StddevUnvoicedSegmentLength,-0.3551950135336261,0.03351773751061703,0.12616349763915283,-0.36145292597190987,0.03031064145425103,0.13064821769365495,0.36145292597190987,0.08549029042557879,0.08335426399919033,False,False
84,StddevVoicedSegmentLengthSec,-0.3536303707434344,0.034361466911992614,0.12505443911213887,-0.3166506197743444,0.05989105718904855,0.10026761500347642,0.3166506197743444,0.08549029042557879,0.13176032581590683,False,False
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,-0.35281910049008225,0.03480571635735177,0.12448131767063075,-0.2595323327864526,0.1263722251848475,0.06735703176157798,0.2595323327864526,0.08549029042557879,0.19858492529047464,False,False
54,F3bandwidth_sma3nz_amean,-0.3506598235512442,0.03601099149855837,0.12296231185298971,-0.6901924719510653,3.199598159180435e-06,0.476365648337922,0.6901924719510653,0.08549029042557879,0.00015661506755324105,False,True
41,F1frequency_sma3nz_stddevNorm,-0.3497961294045662,0.03650250783748331,0.12235733214641605,-0.4965097247308808,0.0020696194988696123,0.246521906752335,0.4965097247308808,0.08549029042557879,0.008278477995478449,False,True
62,slopeV0500_sma3nz_amean,-0.34907638428233456,0.03691626177468175,0.12185432206362812,-0.46005515969878896,0.004755862421329336,0.21165074996547822,0.46005515969878896,0.08549029042557879,0.01674063572307926,False,True
37,logRelF0H1H2_sma3nz_stddevNorm,-0.3444700155000523,0.03965546341326881,0.11865959157860627,-0.19690489865013333,0.2497129975722547,0.038771539112419276,0.19690489865013333,0.08821553182900725,0.36624572977264025,False,False
34,HNRdBACF_sma3nz_amean,0.34375027037782063,0.04009796901318511,0.11816424838482478,0.19002281016051967,0.2669769935610734,0.0361086683813009,0.19002281016051967,0.08821553182900725,0.3789350876350719,False,False
82,VoicedSegmentsPerSec,-0.3322051315047022,0.04775886505695892,0.11036024939805648,-0.3568891762202895,0.032623323611926575,0.12736988410319683,0.3568891762202895,0.10250683231737526,0.08443683758380996,False,False
74,mfcc4V_sma3nz_amean,-0.3284916737865104,0.05045858007563688,0.10790677974706316,-0.3072944026165747,0.06828953920635761,0.09442984987947751,0.3072944026165747,0.10370264192353505,0.14308284405141594,False,False
39,logRelF0H1A3_sma3nz_stddevNorm,-0.32820377573761766,0.05067288184900008,0.10771771840842843,-0.2449080869503963,0.14997528185860182,0.05997997105370287,0.2449080869503963,0.10370264192353505,0.2315407860273151,False,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.32431715207756695,0.0536378363142679,0.1051816151317037,0.16603721552979792,0.33314192067006576,0.027568356940888567,0.16603721552979792,0.1072756726285358,0.4375595375965043,False,False
76,alphaRatioUV_sma3nz_amean,0.3200726086279844,0.057032146197458604,0.1024464747939229,0.3377098127841059,0.043971444267865756,0.11404791765067585,0.3377098127841059,0.11152953034169683,0.1045807323127618,False,False
31,jitterLocal_sma3nz_stddevNorm,-0.30661142207066916,0.06893706719229566,0.09401056414419803,-0.29930491700662026,0.07616966822905864,0.08958343334433984,0.29930491700662026,0.12907365772174506,0.15233933645811729,False,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.30661142207066916,0.06893706719229566,0.09401056414419803,0.43823585854845115,0.0075099463617981305,0.19205066771769808,0.43823585854845115,0.12907365772174506,0.02360268856565127,False,True
28,mfcc4_sma3_amean,-0.30502798280175963,0.07045684258828736,0.09304207029211058,-0.3124629457008467,0.0635427875706021,0.09763309243605028,0.3124629457008467,0.12917087807852684,0.13638451966373133,False,False
69,mfcc1V_sma3nz_stddevNorm,-0.2995579198727993,0.07590972621750529,0.08973494735851843,-0.13674825814287117,0.42645091076476016,0.018700086105109332,0.13674825814287117,0.13226060194294997,0.5212177798235957,False,False
30,jitterLocal_sma3nz_amean,-0.29912607279946035,0.07635383550733219,0.08947640742842805,-0.26500628562252004,0.11828855975964522,0.07022833141944468,0.26500628562252004,0.13226060194294997,0.19638986765190902,False,False
23,mfcc1_sma3_stddevNorm,-0.2988381747505677,0.07665103067148238,0.08930425468825082,-0.13131557379439562,0.44522365975935974,0.01724377992095136,0.13131557379439562,0.13226060194294997,0.5367079734085433,False,False
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,-0.2902769332863219,0.08590731238840195,0.08426069799811178,-0.3583849871158864,0.0318499402126958,0.12843979899005406,0.3583849871158864,0.14538160558037252,0.08443683758380996,False,False
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.28257193498813316,0.09495442816049965,0.07984689844293776,-0.15443019046553613,0.3684971344859759,0.023848683727221768,0.15443019046553613,0.15560072759668317,0.47687864462890994,False,False
24,mfcc2_sma3_amean,-0.28214008791479417,0.09548226466160104,0.07960302920856778,-0.27922663282449683,0.09910213735706391,0.07796751247850638,0.27922663282449683,0.15560072759668317,0.17099976642003184,False,False
19,loudness_sma3_stddevFallingSlope,0.27414409563583414,0.10566615001560471,0.07515498517198937,0.2851422496357884,0.09185884992310032,0.08130610252735826,0.2851422496357884,0.16906584002496755,0.16840789152568394,False,False
72,mfcc3V_sma3nz_amean,-0.26486620498123536,0.11849047221233665,0.07015410654116179,-0.17133345238318307,0.3177298642299917,0.029355151905540458,0.17133345238318307,0.18421817652909248,0.4236398189733223,False,False
26,mfcc3_sma3_amean,-0.26429040888345007,0.11932313706998035,0.06984942022778122,-0.18545017431210709,0.2788709717112995,0.0343917671523909,0.18545017431210709,0.18421817652909248,0.3895340557237199,False,False
32,shimmerLocaldB_sma3nz_amean,-0.2570929576611339,0.13010404294157565,0.06609678887894958,-0.28017009310861996,0.09791865064938905,0.07849528107249278,0.28017009310861996,0.19739923756652858,0.17099976642003184,False,False
70,mfcc2V_sma3nz_amean,-0.24471334155875002,0.15030986191385115,0.05988461953684945,-0.2904697903257196,0.0856897183682705,0.08437269909186752,0.2904697903257196,0.2241909804816763,0.16392815687843051,False,False
65,slopeV5001500_sma3nz_stddevNorm,0.24312990228984047,0.15305046915398526,0.05911214938746737,0.12641174833526786,0.46254799706486105,0.015979930117179096,0.12641174833526786,0.22447402142584508,0.5500570775906456,False,False
64,slopeV5001500_sma3nz_amean,-0.23895538058089713,0.1604493792939862,0.05709967390856139,-0.3279591278626926,0.05085556127852505,0.10755718954845796,0.3279591278626926,0.23146795701427517,0.11777077348711064,False,False
61,hammarbergIndexV_sma3nz_stddevNorm,-0.23607640009197062,0.16570029081912782,0.05573206668038418,-0.10279185898570808,0.5507953823666181,0.010566166273737696,0.10279185898570808,0.2351875095497298,0.6305381118226131,False,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,0.23132608228524193,0.1746323052743595,0.05351175634543852,0.26400655554875524,0.11973522808224155,0.06969946137271799,0.26400655554875524,0.24393083911339103,0.19638986765190902,False,False
59,alphaRatioV_sma3nz_stddevNorm,0.21477194447391473,0.20843008486355277,0.04612698813310631,0.07410213573048875,0.6675499099997796,0.005491126519819778,0.07410213573048875,0.28659136668738505,0.7343049009997575,False,False
15,loudness_sma3_pctlrange02,0.21002162666718605,0.218912252798446,0.04410908366793087,0.13724454002204714,0.42475828032171664,0.0188360637658633,0.13724454002204714,0.2963735114809731,0.5212177798235957,False,False
49,F2bandwidth_sma3nz_stddevNorm,-0.20771844227604488,0.22412246823711876,0.04314695126158659,-0.28868115539463635,0.08772416947891731,0.08333680947998218,0.28868115539463635,0.29882995764949166,0.16424950881158987,False,False
16,loudness_sma3_meanRisingSlope,0.1920279986113956,0.2618679841871593,0.03687475225069815,0.22449251622375574,0.1880756134133112,0.05039688984047323,0.22449251622375574,0.3439460090816421,0.28051955898934555,False,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.18468659836463314,0.280890138321386,0.03410913961549931,0.3652097433265516,0.028509372590194818,0.1333781566206457,0.3652097433265516,0.3635048848864995,0.08092983186894012,False,False
55,F3bandwidth_sma3nz_stddevNorm,-0.18022417860679713,0.2928795274163972,0.03248075455449471,-0.19202960386168094,0.26186392020816585,0.03687536875927411,0.19202960386168094,0.3735275132267095,0.37777090128391133,False,False
36,logRelF0H1H2_sma3nz_amean,-0.1692840527488765,0.3236398225779603,0.028657090515084402,-0.07532112996600807,0.6624024568565391,0.005673272619356278,0.07532112996600807,0.4068614912408644,0.7343049009997575,False,False
