,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
38,logRelF0H1A3_sma3nz_amean,-0.6099327476752567,8.674084299023471e-06,0.3720179566866884,-0.4785663208568977,0.0008831288169780257,0.22902572345850716,0.4785663208568977,0.00039796609829888854,0.004857208493379141,True,True
13,loudness_sma3_percentile500,0.6058604443064107,1.0331456578717959e-05,0.3670668779751614,0.7278809170787398,1.4665275620418754e-08,0.5298106294473873,0.7278809170787398,0.00039796609829888854,6.46318604773818e-07,True,True
12,loudness_sma3_percentile200,0.5994009286178964,1.3567026078371198e-05,0.35928147322799653,0.727857027646214,1.4689059199404953e-08,0.5297758526939814,0.727857027646214,0.00039796609829888854,6.46318604773818e-07,True,True
10,loudness_sma3_amean,0.5805840785687462,2.903629693704606e-05,0.33707787228752,0.703799638304151,6.92577662688217e-08,0.49533393087705385,0.703799638304151,0.0006387985326150133,2.031561143885437e-06,True,True
60,hammarbergIndexV_sma3nz_amean,-0.5682267442081101,4.667452878120989e-05,0.32288163283334903,-0.4852697510611603,0.0007282543605977562,0.2354867312949605,0.4852697510611603,0.0006761933139139355,0.004577598838043039,True,True
58,alphaRatioV_sma3nz_amean,0.5647161378556568,5.322903934813584e-05,0.31890431635460914,0.48084395201589003,0.000827488066982976,0.23121090619025955,0.48084395201589003,0.0006761933139139355,0.00485459665963346,True,True
20,spectralFlux_sma3_amean,0.5644352893474605,5.3788104515881234e-05,0.3185871958607514,0.6128721923936076,7.6339817554765e-06,0.37561232420934715,0.6128721923936076,0.0006761933139139355,0.00011196506574698868,True,True
14,loudness_sma3_percentile800,0.5562906826097684,7.25287824173217e-05,0.30945932355844213,0.6294894328130157,3.6169404241614103e-06,0.39625694602325223,0.6294894328130157,0.0007978166065905387,6.365815146524083e-05,True,True
66,spectralFluxV_sma3nz_amean,0.544495045265525,0.00011031776199893346,0.29647485431870607,0.554334778868688,7.78370029162821e-05,0.3072870470633972,0.554334778868688,0.0010786625617673492,0.0007610729174036472,True,True
47,F2frequency_sma3nz_stddevNorm,-0.5058081632614883,0.0003933907168589712,0.25584189802196033,-0.494502877740046,0.0005547735551595479,0.24453309609318685,0.494502877740046,0.0034618383083589465,0.004068339404503352,True,True
87,equivalentSoundLevel_dBp,0.49787419290494356,0.0005013423763564467,0.24787871196074895,0.5000151686269287,0.00046985934210082503,0.25001516885701597,0.5000151686269287,0.004010739010851573,0.0037588747368066003,True,True
46,F2frequency_sma3nz_amean,-0.4634702506509001,0.0013443529861033629,0.21480467323840816,-0.30030747966838833,0.04503107629748925,0.09018458234477947,0.30030747966838833,0.009671878371097281,0.10615602705744534,True,False
54,F3bandwidth_sma3nz_amean,-0.46122346258533,0.0014288002139120986,0.21272708243920127,-0.5661382345535056,5.0478783329040765e-05,0.3205125006233602,0.5661382345535056,0.009671878371097281,0.0005552666166194484,True,True
21,spectralFlux_sma3_stddevNorm,-0.44261724891732684,0.0023300194030904816,0.19591002903914287,-0.48665305392101516,0.0006995032793419297,0.2368311948906505,0.48665305392101516,0.013931152450827204,0.004577598838043039,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.4408619457411001,0.0024366447719324723,0.1943592552026287,0.42352368053137657,0.003744266203106702,0.17937230797084353,0.42352368053137657,0.013931152450827204,0.017341864519652094,True,True
83,MeanVoicedSegmentLengthSec,0.43763405582559467,0.002644007417508561,0.19152356681835972,0.6457669194824335,1.6658115821793875e-06,0.4170149142978317,0.6457669194824335,0.013931152450827204,3.664785480794652e-05,True,True
53,F3frequency_sma3nz_stddevNorm,-0.4369300666263523,0.002691245359818892,0.19090788312210866,-0.5006451053314603,0.0004609409622745007,0.25064552149234903,0.5006451053314603,0.013931152450827204,0.0037588747368066003,True,True
11,loudness_sma3_stddevNorm,-0.434542854306684,0.0028570114906362382,0.188827492229,-0.580599330411478,2.9018945537188818e-05,0.33709558247425664,0.580599330411478,0.013967611731999386,0.00036480960103894513,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.41298773130261995,0.004809696603762758,0.17055886620648503,0.4343811519851152,0.0028685581985084963,0.18868698519991572,0.4343811519851152,0.022276489533216984,0.014849007145220451,True,True
82,VoicedSegmentsPerSec,-0.4104710113725094,0.005100273075581223,0.16848645117717076,-0.3671782277934826,0.01309637846830428,0.1348198509655626,0.3671782277934826,0.022441201532557385,0.05010788283525116,True,False
