,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
78,slopeUV0500_sma3nz_amean,-0.24747216724997853,7.255705115504828e-16,0.061242473563401345,-0.2563332119020782,6.021189594314153e-17,0.06570671552403572,0.2563332119020782,6.385020501644248e-14,5.298646842996454e-15,True,True
62,slopeV0500_sma3nz_amean,-0.21110868075173836,7.33610222233281e-12,0.04456687508873938,-0.22738726088884217,1.4359436646362313e-13,0.05170496641453037,0.22738726088884217,3.2278849778264364e-10,6.318152124399418e-12,True,True
16,loudness_sma3_meanRisingSlope,0.17221275963153954,2.5881811347513646e-08,0.029657234579910412,0.143252857795284,3.8330598899028535e-06,0.020521381266515856,0.143252857795284,7.59199799527067e-07,4.216365878893139e-05,True,True
19,loudness_sma3_stddevFallingSlope,0.16759525739825792,6.102166491439405e-08,0.02808817030238833,0.15659544555579694,4.2878047850751905e-07,0.024522133568818563,0.15659544555579694,1.342476628116669e-06,7.546536421732336e-06,True,True
17,loudness_sma3_stddevRisingSlope,0.16475469876987797,1.0223632653885279e-07,0.02714411076675323,0.14507159238107617,2.8755082003135063e-06,0.021045766915981118,0.14507159238107617,1.7993593470838091e-06,3.6149245946798364e-05,True,True
63,slopeV0500_sma3nz_stddevNorm,0.16156504293072554,1.8060522601329497e-07,0.02610326309720719,0.004314303390429541,0.8899016754728882,1.8613213744671837e-05,0.004314303390429541,2.648876648194993e-06,0.9322779457335019,True,False
14,loudness_sma3_percentile800,0.15840637263008936,3.138633631218817e-07,0.025092578889822723,0.11813675977835018,0.00014246865792901775,0.013956294010927617,0.11813675977835018,3.581869582111602e-06,0.0010447701581461303,True,True
13,loudness_sma3_percentile500,0.15776234398464964,3.508349834779707e-07,0.024888957179530918,0.1150796836421077,0.0002116068329700548,0.013243333587167592,0.1150796836421077,3.581869582111602e-06,0.0014324154847203709,True,True
10,loudness_sma3_amean,0.15751173365866716,3.663275708977775e-07,0.024809946240158903,0.12167994154631982,8.900166583180084e-05,0.014806008174715809,0.12167994154631982,3.581869582111602e-06,0.0007832146593198474,True,True
15,loudness_sma3_pctlrange02,0.15209966804060804,9.162130293269648e-07,0.02313430901806316,0.11216857150778967,0.0003057011772097456,0.012581788434098124,0.11216857150778967,8.06267465807729e-06,0.0017934469062971742,True,True
18,loudness_sma3_meanFallingSlope,0.15070088079042435,1.1552585973980314e-06,0.02271075547100969,0.15273560920374687,8.239900225084438e-07,0.023328166318839688,0.15273560920374687,9.242068779184251e-06,1.208518699679051e-05,True,True
87,equivalentSoundLevel_dBp,0.14613223435534722,2.4278048327821642e-06,0.021354629917686125,0.11824243224112788,0.00014050972265801452,0.013981272782297717,0.11824243224112788,1.6680163234398495e-05,0.0010447701581461303,True,True
80,spectralFluxUV_sma3nz_amean,0.14559302569362245,2.6463350370562577e-06,0.021197329130623808,0.09165592369986651,0.0032080988614677838,0.008400808349275752,0.09165592369986651,1.6680163234398495e-05,0.014062742283513426,True,True
