,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
78,slopeUV0500_sma3nz_amean,-0.2225768050950836,1.0965175401592333e-15,0.04954043416633483,-0.25842865190401126,8.853755142708072e-21,0.06678536812492462,0.25842865190401126,9.649354353401252e-14,7.791304525583103e-19,True,True
62,slopeV0500_sma3nz_amean,-0.18885839106096936,1.2283132015038871e-11,0.03566749187413803,-0.18584072947806501,2.6176782542319385e-11,0.03453677673293934,0.18584072947806501,5.404578086617103e-10,7.678522879080354e-10,True,True
63,slopeV0500_sma3nz_stddevNorm,0.170996699743993,9.024019557615549e-10,0.0292398713233373,0.0069411599088327275,0.8050403322933327,4.817970087998676e-05,0.0069411599088327275,2.6470457369005614e-08,0.9082506313052985,True,False
13,loudness_sma3_percentile500,0.15161964659106084,5.862474981229179e-08,0.022988517232398187,0.12850770028037262,4.4591307121005596e-06,0.01651422903135008,0.12850770028037262,1.2897444958704194e-06,3.270029188873744e-05,True,True
10,loudness_sma3_amean,0.14889645894987,1.0126686555591899e-07,0.02217015548781032,0.1341248110594927,1.6585635605101123e-06,0.017989464941744616,0.1341248110594927,1.7822968337841743e-06,1.6217065924987763e-05,True,True
16,loudness_sma3_meanRisingSlope,0.14713100680287902,1.4358280610756832e-07,0.021647533162828834,0.15092228526812418,6.749563469631707e-08,0.022777536190553054,0.15092228526812418,2.1058811562443354e-06,7.424519816594877e-07,True,True
17,loudness_sma3_stddevRisingSlope,0.14631328968251894,1.6855217656206863e-07,0.021407578737720704,0.15277743786145223,4.633053880928253e-08,0.0233409455195099,0.15277743786145223,2.1189416482088627e-06,5.824410593166947e-07,True,True
14,loudness_sma3_percentile800,0.14447737001848593,2.4081554324207374e-07,0.020873710447458498,0.13020106763046488,3.3236854371471237e-06,0.016952318012112888,0.13020106763046488,2.648970975662811e-06,2.658948349717699e-05,True,True
19,loudness_sma3_stddevFallingSlope,0.14382843074788995,2.7289551634020184e-07,0.020686617491400574,0.16267792600874068,5.758308745308762e-09,0.026464107610505307,0.16267792600874068,2.668311715326418e-06,1.0134623391743421e-07,True,True
12,loudness_sma3_percentile200,0.14261111777127053,3.445347339657318e-07,0.020337930911971194,0.12278846920395388,1.1709409240932093e-05,0.01507700816945033,0.12278846920395388,3.03190565889844e-06,7.360200094300173e-05,True,True
80,spectralFluxUV_sma3nz_amean,0.13533455342986725,1.3332682172887008e-06,0.018315441352061593,0.10295702182955611,0.00024170637105778634,0.010600148344011694,0.10295702182955611,1.0666145738309607e-05,0.001012864793004057,True,True
87,equivalentSoundLevel_dBp,0.13219518301243494,2.3402973546986817e-06,0.017475566411691165,0.133125516298428,1.983507974600672e-06,0.01772240308972302,0.133125516298428,1.5486600215181942e-05,1.7454870176485917e-05,True,True
15,loudness_sma3_pctlrange02,0.13199385022265037,2.425233370082777e-06,0.01742237649659946,0.12357047007863267,1.0286674475309899e-05,0.015269661075454253,0.12357047007863267,1.5486600215181942e-05,6.963287337132855e-05,True,True
20,spectralFlux_sma3_amean,0.13190470649237182,2.4637773069607633e-06,0.017398851594838758,0.10462355753499869,0.00019099679952819877,0.01094608879127918,0.10462355753499869,1.5486600215181942e-05,0.0008403859179240747,True,True
66,spectralFluxV_sma3nz_amean,0.12503862568955088,8.048903377204447e-06,0.015634657914331614,0.11278946676940393,5.7311029944513836e-05,0.012721463814126475,0.11278946676940393,4.722023314626609e-05,0.0003152106646948261,True,True
18,loudness_sma3_meanFallingSlope,0.12167697223610287,1.4057846229947538e-05,0.014805285572545348,0.15797916922168537,1.5744713275431025e-08,0.0249574179079739,0.15797916922168537,7.731815426471146e-05,2.3092246137298838e-07,True,True
28,mfcc4_sma3_amean,0.10146677834920408,0.0002974863997837831,0.010295507108566509,0.1938853996519638,3.3863398004704765e-12,0.03759154819820173,0.1938853996519638,0.0015399295988807594,1.4899895122070096e-10,True,True
74,mfcc4V_sma3nz_amean,0.09371276062348997,0.0008385086702450441,0.008782081503675532,0.17617040591915456,2.718593942842629e-10,0.03103601192171969,0.17617040591915456,0.004099375721197993,5.980906674253784e-09,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.09278961629380839,0.0009439613646488841,0.00860991289195219,-0.0034439017606961485,0.9025308773175077,1.1860459337326032e-05,0.0034439017606961485,0.004372031583636937,0.9685697219992766,True,False
65,slopeV5001500_sma3nz_stddevNorm,-0.08763711770976827,0.0017940235022647594,0.00768026440047578,0.0019159136550112262,0.9456824769442518,3.670725133458476e-06,0.0019159136550112262,0.00789370340996494,0.98415103243966,True,False
38,logRelF0H1A3_sma3nz_amean,-0.08655394132335595,0.0020449168152981705,0.0074915847586069445,-0.04504311880386171,0.10903666290132406,0.0020288825515788005,0.04504311880386171,0.008569175226011382,0.2665340648699033,True,False
68,mfcc1V_sma3nz_amean,-0.08448738354557508,0.002614732484185108,0.007138117978377111,0.04321389703291704,0.12419632550813985,0.001867440896771556,0.04321389703291704,0.009487780814546265,0.2876125432820081,True,False
22,mfcc1_sma3_amean,-0.08432534414470957,0.002665036855434742,0.007110763665123705,0.018296439928936543,0.5152579870797329,0.00033475971407318346,0.018296439928936543,0.009487780814546265,0.719725442270103,True,False
54,F3bandwidth_sma3nz_amean,-0.08393919114586446,0.002788497118524929,0.00704578781022197,0.022377156867534824,0.426132540037418,0.0005007371494742609,0.022377156867534824,0.009487780814546265,0.6603283156878106,True,False
76,alphaRatioUV_sma3nz_amean,0.08393611542011696,0.0027895010923662533,0.007045271471819196,0.00934648414112554,0.7396125606405892,8.735676580031123e-05,0.00934648414112554,0.009487780814546265,0.8748660632610717,True,False
81,loudnessPeaksPerSec,-0.08389422439364738,0.0028032079679341237,0.007038240886611659,-0.003558509805786618,0.8993042238894529,1.2662992037879514e-05,0.003558509805786618,0.009487780814546265,0.9685697219992766,True,False
55,F3bandwidth_sma3nz_stddevNorm,0.08097371300421251,0.003924756247420751,0.006556742197688574,0.03648960040908358,0.19428887195778777,0.0013314909380145923,0.03648960040908358,0.012734517933436012,0.4070814460067934,True,False
30,jitterLocal_sma3nz_amean,0.0806923771706156,0.00405189206972964,0.006511259733444886,0.11839284137763241,2.3905341008818065e-05,0.01401686488946923,0.11839284137763241,0.012734517933436012,0.00014024466725173266,True,True
83,MeanVoicedSegmentLengthSec,0.07985761411202089,0.0044514008666428195,0.006377238531664438,-0.00043275285144470284,0.9877221502830563,1.8727503043352104e-07,0.00043275285144470284,0.013507699181536832,0.9877221502830563,True,False
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.07785079090588266,0.005561589299347949,0.006060745644671463,-0.0013057733459384741,0.9629650772137649,1.7050440309633581e-06,0.0013057733459384741,0.01631399527808732,0.9853596138931547,True,False
39,logRelF0H1A3_sma3nz_stddevNorm,0.07640991817693252,0.006506487825442249,0.005838475595805522,-0.024269864856857185,0.3880500948724013,0.0005890263401701114,0.024269864856857185,0.018385231649886466,0.6443095914862511,True,False
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.076158321929399,0.006685538781776897,0.005800089999101977,0.018734382504787473,0.5052516032377762,0.00035097708783568695,0.018734382504787473,0.018385231649886466,0.7171313078213597,True,False
72,mfcc3V_sma3nz_amean,0.07550720000968048,0.007169629451879489,0.0057013372533018915,0.03905652073554812,0.16471948527019153,0.0015254118119663001,0.03905652073554812,0.019119011871678637,0.3623828675944214,True,False
49,F2bandwidth_sma3nz_stddevNorm,0.07141210341073492,0.011001613450703059,0.0050996885135454985,0.033793730989336725,0.2293472623699803,0.0011420162541796572,0.033793730989336725,0.028474764225349093,0.4586945247399606,True,False
60,hammarbergIndexV_sma3nz_amean,-0.06815581165072974,0.015248210132668878,0.004645214661769748,-0.009632584694183629,0.731943922665093,9.278668789062072e-05,0.009632584694183629,0.038338356904996033,0.8748660632610717,True,False
59,alphaRatioV_sma3nz_stddevNorm,-0.06400712390714035,0.022701700258410402,0.004096911910864018,0.03964616750870565,0.15843202586990227,0.0015718185981283476,0.03964616750870565,0.055493045076114314,0.3574876481167025,False,False
85,MeanUnvoicedSegmentLength,-0.06365905328962551,0.023451233204361707,0.00405247506573138,-0.07708611783173655,0.006046420223507532,0.0059422695623683715,0.07708611783173655,0.055775905999562975,0.02418568089403013,False,True
43,F1bandwidth_sma3nz_stddevNorm,0.06313609144094916,0.024617683063222283,0.003986166042439894,0.019407290726140912,0.49007812310143584,0.00037664293332895503,0.019407290726140912,0.05700937130430423,0.7069979480807599,False,False
33,shimmerLocaldB_sma3nz_stddevNorm,-0.06249551499022632,0.026114598936514116,0.0039056893938936026,-0.014722785159930302,0.6005791677355092,0.00021676040286546392,0.014722785159930302,0.05892524888239083,0.8090516649180822,False,False
56,F3amplitudeLogRelF0_sma3nz_amean,0.06173201999967528,0.028000829940888868,0.003810842293240309,0.022438754691063417,0.4248598539294968,0.0005034977120857205,0.022438754691063417,0.06152063542009916,0.6603283156878106,False,False
52,F3frequency_sma3nz_amean,-0.0614744746670087,0.028663023320728016,0.0037791110355846944,0.04891349471600859,0.08178944247241984,0.002392529965333,0.04891349471600859,0.06152063542009916,0.22492096679915458,False,False
23,mfcc1_sma3_stddevNorm,0.05925601118370636,0.034945804101516105,0.003511274861403533,-0.007915511469936734,0.7783434203833552,6.265532183069999e-05,0.007915511469936734,0.07321978002222422,0.8895353375809775,False,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.058378970083086915,0.03773540998212651,0.003408104147961957,0.020592381007703407,0.46396179640764057,0.00042404615556642397,0.020592381007703407,0.0772259553122589,0.6804773013978729,False,False
50,F2amplitudeLogRelF0_sma3nz_amean,0.05709702904150444,0.04215190152298045,0.0032600707253664014,0.022553830308539902,0.42248820320487673,0.0005086752615864131,0.022553830308539902,0.0843038030459609,0.6603283156878106,False,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.0552397938323014,0.049319677199473194,0.0030514348226351636,-0.030228252027811906,0.28230462661034333,0.0009137472206569146,0.030228252027811906,0.09479275154485645,0.5175584821189628,False,False
67,spectralFluxV_sma3nz_stddevNorm,0.05518379650665549,0.04955075648935678,0.0030452513968879627,0.0665372590140148,0.0178518109952431,0.004427206837098094,0.0665372590140148,0.09479275154485645,0.06830258119919098,False,False
21,spectralFlux_sma3_stddevNorm,-0.04945403308428298,0.07846669937449256,0.0024457013883013553,-0.028467894469123383,0.31129038420824,0.0008104210155051457,0.028467894469123383,0.14691637329692225,0.5478710762065023,False,False
82,VoicedSegmentsPerSec,0.048969732146899154,0.08143851735286024,0.0023980346665390486,0.06339157885277896,0.024041699024738735,0.0040184922694480926,0.06339157885277896,0.14700639804876278,0.08815289642404203,False,False
53,F3frequency_sma3nz_stddevNorm,0.048902876954695036,0.081855835277152,0.0023914913744460427,0.10554773189790413,0.00016736769619222336,0.011140323708791849,0.10554773189790413,0.14700639804876278,0.000818242070273092,False,True
42,F1bandwidth_sma3nz_amean,-0.046772342596069376,0.09608717281939518,0.0021876520319240858,0.056631822185766935,0.043859150597217164,0.0032071632840803242,0.056631822185766935,0.1687764705423862,0.14373971935314225,False,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.04653146359400149,0.09781363633706473,0.002165177104199886,0.0037054814630334827,0.895168850335828,1.3730592872884759e-05,0.0037054814630334827,0.1687764705423862,0.9685697219992766,False,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.04410662390922202,0.11660441234547139,0.0019453942726695556,-0.02633621098475179,0.34892672461424384,0.0006935960090333609,0.02633621098475179,0.19733054396925928,0.6020696424716364,False,False
