,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
19,loudness_sma3_stddevFallingSlope,0.2547949554136866,2.48340111057139e-07,0.06492046930426253,0.1755522507241393,0.0004266116100076593,0.030818592734311066,0.1755522507241393,2.119774415326323e-05,0.0025027881120449347,True,True
16,loudness_sma3_meanRisingSlope,0.24879443421925185,4.817669125741644e-07,0.06189867049847764,0.18834242015738561,0.0001541700639571637,0.035472867230741174,0.18834242015738561,2.119774415326323e-05,0.0019207704502001415,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.23976986457592936,1.2646463683801545e-06,0.057489587958759504,-0.17567906961644753,0.00042246895680108157,0.030863135501300615,0.17567906961644753,2.809370261809838e-05,0.0025027881120449347,True,True
18,loudness_sma3_meanFallingSlope,0.23764851999123146,1.5780745038823544e-06,0.05647681905402274,0.16409542703436597,0.0010024158560840786,0.026927309173590926,0.16409542703436597,2.809370261809838e-05,0.004200599777876139,True,True
17,loudness_sma3_stddevRisingSlope,0.23753836467012265,1.5962331033010444e-06,0.05642447469015618,0.18406898780226366,0.00021826936934092516,0.03388139227054989,0.18406898780226366,2.809370261809838e-05,0.0019207704502001415,True,True
10,loudness_sma3_amean,0.23214018416688897,2.7774906769974844e-06,0.05388906510503713,0.1809368201234039,0.0002802536795428384,0.032738132876369015,0.1809368201234039,3.2700751725983275e-05,0.002055193649980815,True,True
12,loudness_sma3_percentile200,0.2320316431910033,2.808216158491321e-06,0.05383868344191707,0.1988164341239621,6.364120127869348e-05,0.03952797447776776,0.1988164341239621,3.2700751725983275e-05,0.0019207704502001415,True,True
14,loudness_sma3_percentile800,0.2314689014385113,2.972795611453025e-06,0.05357785233315125,0.1812394707202958,0.0002736146172709464,0.03284774574697296,0.1812394707202958,3.2700751725983275e-05,0.002055193649980815,True,True
13,loudness_sma3_percentile500,0.22843953514653545,4.0294853080139335e-06,0.0521846212179652,0.18477830931255998,0.00020613932433057264,0.03414302359240809,0.18477830931255998,3.6164121142410286e-05,0.0019207704502001415,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.22824211022189303,4.109559220728442e-06,0.05209446087854277,-0.2016420677768704,4.972682240019863e-05,0.040659523497332,0.2016420677768704,3.6164121142410286e-05,0.0019207704502001415,True,True
15,loudness_sma3_pctlrange02,0.2239224072892048,6.293254142647694e-06,0.05014124448619251,0.16794261341750513,0.0007569399528648511,0.028204721401501574,0.16794261341750513,4.872901821255649e-05,0.003907146514805485,True,True
36,logRelF0H1H2_sma3nz_amean,-0.22336517330276817,6.644866119894066e-06,0.04989200064457566,-0.17556317449508982,0.00042625329348714385,0.030822428238793356,0.17556317449508982,4.872901821255649e-05,0.0025027881120449347,True,True
52,F3frequency_sma3nz_amean,-0.2159276949367659,1.3548380458358428e-05,0.04662476944070503,-0.1856400847618707,0.0001922509769017918,0.034462241070394535,0.1856400847618707,9.171211387196473e-05,0.0019207704502001415,True,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,-0.205495701143311,3.532269160191745e-05,0.04222848318838099,-0.14322011964898135,0.004148593726332328,0.020512002672268534,0.14322011964898135,0.00022202834721205255,0.01303843742561589,True,True
66,spectralFluxV_sma3nz_amean,0.2045994546600137,3.826907702622209e-05,0.041860936847175,0.11346259205631315,0.023413016808867725,0.012873759796137335,0.11346259205631315,0.00022451191855383628,0.04578545509289689,True,True
