,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.22912996871834324,1.5309826014398563e-06,0.05250054256486895,-0.1835858786788726,0.00012664206696134342,0.03370377485029373,0.1835858786788726,0.00013472646892670736,0.0013148706263466428,True,True
52,F3frequency_sma3nz_amean,-0.2167257938255765,5.616016668155758e-06,0.04697006970932629,-0.02620938642952675,0.587381797366735,0.0006869319370122609,0.02620938642952675,0.00018112833382906234,0.6801262916877985,True,False
36,logRelF0H1H2_sma3nz_amean,-0.21443263583615113,7.083751981682643e-06,0.0459813553116394,-0.17077470890629148,0.0003690601980670754,0.02916400120202859,0.17077470890629148,0.00018112833382906234,0.0023198069592787595,True,True
19,loudness_sma3_stddevFallingSlope,0.21249339235030137,8.603741429125374e-06,0.04515344179253912,0.17794683376370413,0.00020463845007403155,0.03166507564652735,0.17794683376370413,0.00018112833382906234,0.0018008183606514777,True,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,-0.21069064837031762,1.0291382603923997e-05,0.044390549310704824,-0.09944581470792115,0.039048918004625864,0.009889470062922186,0.09944581470792115,0.00018112833382906234,0.08181678058112085,True,False
16,loudness_sma3_meanRisingSlope,0.20694070553739952,1.4864226813984268e-05,0.04282445560831669,0.19060975456969853,6.826933889451577e-05,0.03633207853712071,0.19060975456969853,0.00021800865993843596,0.0013148706263466428,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.20316661433146024,2.1376617897736768e-05,0.041276673178908305,-0.16965338813467265,0.0004038669202296691,0.028782272105573888,0.16965338813467265,0.0002687346250001194,0.0023693525986807256,True,True
12,loudness_sma3_percentile200,0.1995863434597597,2.998876698641324e-05,0.03983470849563717,0.20107164478582173,2.607842746593952e-05,0.04042980633687567,0.20107164478582173,0.00029336974263025745,0.0013148706263466428,True,True
40,F1frequency_sma3nz_amean,-0.19958102304163108,3.000372367809451e-05,0.03983258475834408,-0.07325845304505943,0.12888608992348913,0.005366800942555177,0.07325845304505943,0.00029336974263025745,0.20253528416548292,True,False
17,loudness_sma3_stddevRisingSlope,0.1975196162899824,3.636196100062102e-05,0.03901399881934189,0.18608986113125828,0.00010186645473400551,0.03462943641585099,0.18608986113125828,0.00030770712800389844,0.0013148706263466428,True,True
18,loudness_sma3_meanFallingSlope,0.19691300886185817,3.8463391000487305e-05,0.03877473305903023,0.16709784117637527,0.0004949236790248517,0.027921688525805136,0.16709784117637527,0.00030770712800389844,0.0027220802346366846,True,True
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,-0.19344642732460143,5.2853129058237584e-05,0.037421520244652305,-0.04453505455187491,0.35634896563832924,0.001983371083938474,0.04453505455187491,0.0003740198899364479,0.475131954184439,True,False
10,loudness_sma3_amean,0.1928746569530038,5.5667888999217714e-05,0.0372006332947389,0.18348493194342308,0.0001277508139976119,0.0336667202502826,0.18348493194342308,0.0003740198899364479,0.0013148706263466428,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,-0.19196113328199688,6.046055708960997e-05,0.03684907669090857,-0.07984551761909726,0.09783000233522574,0.006375306683861571,0.07984551761909726,0.0003740198899364479,0.16880470991176205,True,False
