,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
13,loudness_sma3_percentile500,0.25654589898928615,3.1141296944234816e-07,0.06581579828822101,0.20310354248909201,5.70681018916766e-05,0.0412510489716184,0.20310354248909201,8.920024115732365e-06,0.00071742756663822,True,True
10,loudness_sma3_amean,0.2549043098275343,3.724252683638918e-07,0.0649762071686516,0.20467520114875593,4.9827672089605326e-05,0.0418919379652837,0.20467520114875593,8.920024115732365e-06,0.00071742756663822,True,True
16,loudness_sma3_meanRisingSlope,0.25396961563764586,4.1213821809822785e-07,0.06450056566713358,0.2133628785082249,2.3100354387413894e-05,0.045523717925315545,0.2133628785082249,8.920024115732365e-06,0.0006187278625788238,True,True
14,loudness_sma3_percentile800,0.25236400024560496,4.900371635075603e-07,0.0636875886199637,0.21117301460966328,2.81239937535829e-05,0.04459404209933306,0.21117301460966328,8.920024115732365e-06,0.0006187278625788238,True,True
18,loudness_sma3_meanFallingSlope,0.2520504254206101,5.06819552030248e-07,0.06352941695471055,0.1937976201190594,0.00012477534690517704,0.03755751756381126,0.1937976201190594,8.920024115732365e-06,0.0013725288159569474,True,True
15,loudness_sma3_pctlrange02,0.24871900481633807,7.228151239244259e-07,0.0618611433568296,0.21556457671812013,1.891498058392896e-05,0.0464680867356623,0.21556457671812013,9.436488477770237e-06,0.0006187278625788238,True,True
12,loudness_sma3_percentile200,0.24836186638004587,7.506297652771779e-07,0.06168361667177976,0.17685585563065537,0.0004731699900960975,0.03127799367085121,0.17685585563065537,9.436488477770237e-06,0.004626551014272953,True,True
17,loudness_sma3_stddevRisingSlope,0.23801805597252387,2.185732522236009e-06,0.056652594968939506,0.22846489930493669,5.6232926529962785e-06,0.05219621021441486,0.22846489930493669,2.40430577445961e-05,0.0004948497534636725,True,True
19,loudness_sma3_stddevFallingSlope,0.23666706417014227,2.504342691904627e-06,0.05601129926291424,0.16563624113958617,0.001073472443832013,0.027435364378851138,0.16563624113958617,2.448690632084524e-05,0.008587779550656104,True,True
76,alphaRatioUV_sma3nz_amean,0.22834730998019961,5.6876646178227515e-06,0.05214249397519337,0.1303202022617329,0.010277200862175135,0.016983355117538974,0.1303202022617329,5.0051448636840215e-05,0.034784372148900455,True,True
87,equivalentSoundLevel_dBp,0.22322150384416167,9.287082733872172e-06,0.04982783977844908,0.20393219684959887,5.313521387504653e-05,0.04158834091190355,0.20393219684959887,7.429666187097737e-05,0.00071742756663822,True,True
20,spectralFlux_sma3_amean,0.21941764159374352,1.3265284471125139e-05,0.04814410144256049,0.15440387889297402,0.0023195234309974656,0.023840557817196188,0.15440387889297402,9.558957229644942e-05,0.01275737887048606,True,True
66,spectralFluxV_sma3nz_amean,0.21874361260070166,1.4121186816520938e-05,0.04784876805360585,0.16066755916462427,0.0015186065197075297,0.02581406456791804,0.16066755916462427,9.558957229644942e-05,0.010279797979558662,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.20782099822904046,3.785995956441939e-05,0.043189567304914835,-0.13862579047708573,0.006305273869738199,0.019217109785396872,0.13862579047708573,0.00022723279632364362,0.025709981988475128,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.20691089299937662,4.100885020837861e-05,0.04281211764179948,-0.07636796848892614,0.1337009970469758,0.005832066611125617,0.07636796848892614,0.00022723279632364362,0.28013542238413974,True,False
80,spectralFluxUV_sma3nz_amean,0.20682594915147176,4.131505387702611e-05,0.04277697324240718,0.10886189382531562,0.03227366050050601,0.011850911927234292,0.10886189382531562,0.00022723279632364362,0.08875256637639152,True,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.1953274945085484,0.00010998846698347263,0.038152830110987,-0.15742566422654258,0.0018944417208845796,0.024782839757168128,0.15742566422654258,0.0005693520643850348,0.011907919388417358,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.1922133719474138,0.00014204181339812243,0.03694598035539485,0.16582176395639703,0.001059458921524571,0.027496857401611053,0.16582176395639703,0.000671950853758348,0.008587779550656104,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.19195344585223365,0.0001450802979705524,0.036846125374546394,0.16279556120542238,0.0013105013068661678,0.026502394748188423,0.16279556120542238,0.000671950853758348,0.009610342917018564,True,True
59,alphaRatioV_sma3nz_stddevNorm,-0.18501383499267535,0.0002526892397720875,0.0342301191386969,0.010622077631861392,0.8350019175612847,0.00011282853321729012,0.010622077631861392,0.001111832654997185,0.9542879057843254,True,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.18145056013906938,0.0003334379609062207,0.03292430577478203,0.15511556552855535,0.0022122334554431442,0.024060838669243547,0.15511556552855535,0.0013625300478343147,0.01275737887048606,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.18117347892160732,0.00034063251195857867,0.03282382946455809,-0.13830751061332627,0.006427495497118782,0.01912896749205536,0.13830751061332627,0.0013625300478343147,0.025709981988475128,True,True
