,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
13,loudness_sma3_percentile500,0.22017817200859954,4.724912425338204e-06,0.04847842742904845,0.2051546677894073,2.0692032144733006e-05,0.04208843771578207,0.2051546677894073,0.0001109076595496846,0.00030348313812275077,True,True
12,loudness_sma3_percentile200,0.21974128797179576,4.939628750768073e-06,0.04828623363950367,0.18063679447426195,0.00018448655466302304,0.03262965151793675,0.18063679447426195,0.0001109076595496846,0.001803868534482892,True,True
16,loudness_sma3_meanRisingSlope,0.21822661963214796,5.7584560337430614e-06,0.04762285751607418,0.2148171829453959,8.100845904019327e-06,0.04614642208859569,0.2148171829453959,0.0001109076595496846,0.00022324806965881534,True,True
18,loudness_sma3_meanFallingSlope,0.21792996217057303,5.933314950261675e-06,0.04749346841166739,0.19649023064574075,4.624858921772238e-05,0.0386084107392164,0.19649023064574075,0.0001109076595496846,0.0005087344813949461,True,True
10,loudness_sma3_amean,0.217150811464806,6.417008812400417e-06,0.04715447491982372,0.2065146866621423,1.818092449085418e-05,0.04264831580716281,0.2065146866621423,0.0001109076595496846,0.00030348313812275077,True,True
14,loudness_sma3_percentile800,0.21550935427134355,7.5618858783875855e-06,0.04644428177845146,0.21253642480916804,1.0147639529946153e-05,0.04517173187066314,0.21253642480916804,0.0001109076595496846,0.00022324806965881534,True,True
15,loudness_sma3_pctlrange02,0.21196740804280378,1.0730227592325205e-05,0.04493018207238448,0.21653038497874524,6.828821311401026e-06,0.046885407619043626,0.21653038497874524,0.0001348942897320883,0.00022324806965881534,True,True
19,loudness_sma3_stddevFallingSlope,0.20773831997747458,1.6171344675081582e-05,0.04315520958706361,0.1699510461359135,0.0004401231778861466,0.028883358082691397,0.1699510461359135,0.0001778847914258974,0.0038730839653980903,True,True
17,loudness_sma3_stddevRisingSlope,0.20515037292392752,2.0700459856739952e-05,0.04208667551082653,0.22879121317854662,1.9313284057527815e-06,0.05234541922771116,0.22879121317854662,0.00020240449637701287,0.00016995689970624478,True,True
87,equivalentSoundLevel_dBp,0.1941160275073145,5.73078934882424e-05,0.03768103213522048,0.20132511652821106,2.965023329098169e-05,0.04053180254509776,0.20132511652821106,0.0005043094626965332,0.0003727457899437698,True,True
76,alphaRatioUV_sma3nz_amean,0.1898827179852959,8.346316977420096e-05,0.03605544658948342,0.12479068857143134,0.010109152076970601,0.015572715954131965,0.12479068857143134,0.0005734962336013248,0.0329483475101264,True,True
66,spectralFluxV_sma3nz_amean,0.1896670578853102,8.50587501912103e-05,0.03597359284686961,0.16463353020845298,0.0006658825925372821,0.027104199268897598,0.16463353020845298,0.0005734962336013248,0.0053270607402982565,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.18943324101736606,8.682109396794921e-05,0.035884952802343495,-0.14246723661523408,0.0032828662204124107,0.020296913508781093,0.14246723661523408,0.0005734962336013248,0.014444611369814607,True,True
20,spectralFlux_sma3_amean,0.18886630497786192,9.123803716384712e-05,0.035670481155990745,0.15871119461920472,0.001040929768293042,0.025189243297455075,0.15871119461920472,0.0005734962336013248,0.006106787973985847,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.18496466984495394,0.0001278758847738727,0.03421192909085281,-0.08205773708447094,0.09150129365511593,0.006733472215424157,0.08205773708447094,0.0007502051906733865,0.20130284604125506,True,False
80,spectralFluxUV_sma3nz_amean,0.17634310649166002,0.000263218963437262,0.031096891207128944,0.11472987669184825,0.018114610246707626,0.013162944605726706,0.11472987669184825,0.001447704298904941,0.054968472472767975,True,False
56,F3amplitudeLogRelF0_sma3nz_amean,0.17430502090635877,0.0003107043581142702,0.030382240313166168,0.16077992137544944,0.0008920566305882847,0.025850183117495703,0.16077992137544944,0.0015705711223354354,0.006046298506374919,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.1738920076761329,0.00032125318411406635,0.030238430333636258,-0.15390829130990694,0.0014790145575983092,0.023687762133935177,0.15390829130990694,0.0015705711223354354,0.007785434446069927,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.17278268180570414,0.0003512633164328887,0.029853855131971203,0.16076265490929842,0.0008932133034947156,0.02584463121348617,0.16076265490929842,0.0016269037813733793,0.006046298506374919,True,True
27,mfcc3_sma3_stddevNorm,-0.16553043701527084,0.0006214991826274299,0.02740032557846655,0.0024144635532851568,0.9604649345646983,5.829634250142385e-06,0.0024144635532851568,0.0027345964035606915,0.9828013283917842,True,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.16440124030512188,0.0006778468711422172,0.02702776781386243,0.15367577959885903,0.0015040043816271448,0.023616245235317097,0.15367577959885903,0.0028248901219242555,0.007785434446069927,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.1638651530845684,0.0007062225304810639,0.026851788395429035,-0.14247444924972363,0.00328127336157725,0.020298968689012074,0.14247444924972363,0.0028248901219242555,0.014444611369814607,True,True
59,alphaRatioV_sma3nz_stddevNorm,-0.14977820058729616,0.0019849206471659374,0.022433509371168323,0.0009137284250999775,0.9850331378586418,8.348996348356852e-07,0.0009137284250999775,0.0075944789978522826,0.9872241961830981,True,False
83,MeanVoicedSegmentLengthSec,0.14653297861015555,0.002488518213061997,0.021471913820364303,0.11521773823871448,0.017625946922415595,0.013275127204844929,0.11521773823871448,0.008931347960460316,0.054968472472767975,True,False
49,F2bandwidth_sma3nz_stddevNorm,0.14625126521515278,0.002537314761494408,0.021389432577032956,0.0727845079231973,0.13457928037915495,0.0052975845936219694,0.0727845079231973,0.008931347960460316,0.2888530895942838,True,False
