,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
15,loudness_sma3_pctlrange02,0.17607664983974983,4.5822064125476496e-10,0.031002986618789873,0.12190182278304637,1.728315795994434e-05,0.014860054397829243,0.12190182278304637,4.032341643041931e-08,0.000760458950237551,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.1650180287079932,5.356994202339718e-09,0.02723094979867207,-0.07400281002260532,0.009250951906004529,0.005476415891241815,0.07400281002260532,2.3570774490294758e-07,0.04788728045461168,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.1611724110752392,1.2131972172133948e-08,0.025976546091805885,-0.06943094965504543,0.01462856153074736,0.004820656770001453,0.06943094965504543,3.5587118371592916e-07,0.06775333761609303,True,False
30,jitterLocal_sma3nz_amean,-0.1507961581089206,1.0005077316413283e-07,0.022739481300410584,-0.0400178714313108,0.15971233929548018,0.0016014300338929213,0.0400178714313108,2.038513942558893e-06,0.31232635240005013,True,False
54,F3bandwidth_sma3nz_amean,-0.15004982457321203,1.1582465582720983e-07,0.022514949854451707,-0.044499838904716406,0.1178966744226025,0.0019802356625457118,0.044499838904716406,2.038513942558893e-06,0.28040290132943296,True,False
16,loudness_sma3_meanRisingSlope,0.14143464876700604,5.961091491459113e-07,0.020003759871846362,0.1080803039714128,0.000140623552050942,0.01168135210655299,0.1080803039714128,8.742934187473367e-06,0.002170747987844494,True,True
67,spectralFluxV_sma3nz_stddevNorm,0.13548621004495676,1.7486024214430445e-06,0.01835651311234614,0.0928452976577048,0.0010834828469507307,0.008620249297147805,0.0928452976577048,2.1982430440998275e-05,0.00953464905316643,True,True
79,slopeUV5001500_sma3nz_amean,0.1288592859568397,5.50254381919758e-06,0.016604715577306587,0.07977597371932292,0.005011352557970097,0.006364205982866101,0.07977597371932292,6.052798201117338e-05,0.029399935006757905,True,True
69,mfcc1V_sma3nz_stddevNorm,0.12768624237681353,6.70199215351717e-06,0.016303776492310372,-0.03868261155016972,0.1741183287942973,0.001496344436341324,0.03868261155016972,6.553058994550121e-05,0.31783679596353953,True,False
14,loudness_sma3_percentile800,0.12253336700424601,1.561643744319959e-05,0.015014426029397244,0.11127546584987072,8.843490964108632e-05,0.012382229300105744,0.11127546584987072,0.0001374246495001564,0.001945568012103899,True,True
18,loudness_sma3_meanFallingSlope,0.11927453051713936,2.621429382134591e-05,0.01422641363008401,0.0789515877926745,0.005482738547341289,0.006233353214984389,0.0789515877926745,0.00020971435057076727,0.030155062010377088,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.11703417960719553,3.714368646079123e-05,0.013696999196329303,-0.057112637202215585,0.044696001894619676,0.0032618533281918998,0.057112637202215585,0.0002723870340458024,0.13562924712850108,True,False
48,F2bandwidth_sma3nz_amean,-0.11563893024277032,4.6002869884809005e-05,0.0133723621876923,-0.011113280258891578,0.6962969674390893,0.00012350499811266926,0.011113280258891578,0.00031140404229716863,0.8109538831328372,True,False
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.11392955435022267,5.9591584372958415e-05,0.012979943354440342,0.09349723193136489,0.0009985039766797611,0.008741732378827438,0.09349723193136489,0.0003745756732014529,0.00953464905316643,True,True
17,loudness_sma3_stddevRisingSlope,0.11317496001945655,6.672802136054787e-05,0.012808571575405589,0.06713852185405175,0.01824290476735839,0.0045075811167469846,0.06713852185405175,0.0003914710586485475,0.07297161906943356,True,False
78,slopeUV0500_sma3nz_amean,-0.11100827868100441,9.197616230823249e-05,0.012322837935719538,-0.1753939902164061,5.358268860075438e-10,0.030763051804032753,0.1753939902164061,0.0005058688926952786,4.7152765968663854e-08,True,True
34,HNRdBACF_sma3nz_amean,0.1098286140301933,0.00010927171245255541,0.012062324459793172,0.1135265386760377,6.330799033911364e-05,0.012888274983761883,0.1135265386760377,0.0005656418056367575,0.0018570343832806668,True,True
49,F2bandwidth_sma3nz_stddevNorm,0.10871965830246194,0.0001282871251756095,0.011819964101404082,0.03391286364541856,0.23349508634617092,0.0011500823206327519,0.03391286364541856,0.0005845534329041314,0.3805105110826489,True,False
62,slopeV0500_sma3nz_amean,0.1085126165980044,0.0001321658970478356,0.011774987960945501,-0.017380551909375857,0.541548987475239,0.00030208358467450876,0.017380551909375857,0.0005845534329041314,0.690671172432189,True,False
59,alphaRatioV_sma3nz_stddevNorm,-0.10847653490727913,0.00013285305293275713,0.011767158625490147,-0.009034607820301315,0.7510061706563574,8.162413846664968e-05,0.009034607820301315,0.0005845534329041314,0.8159079384908575,True,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.10699988834792026,0.00016404029539825564,0.011448976106467402,0.10528769512189179,0.00020878467308815745,0.011085498744080435,0.10528769512189179,0.0006874069521450712,0.0026247216045368364,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.10665686862080057,0.00017221040640619053,0.011375687623994712,0.06126762980044568,0.031254488842399945,0.0037537224613644594,0.06126762980044568,0.0006888416256247621,0.1100158007252478,True,False
50,F2amplitudeLogRelF0_sma3nz_amean,0.10570396123596772,0.00019695835431140157,0.011173327420974965,0.06760254574352603,0.017453923015966797,0.004570104191005529,0.06760254574352603,0.0007535797904088408,0.07297161906943356,True,False
21,spectralFlux_sma3_stddevNorm,0.10268103099635849,0.00029937059715616726,0.010543394126475132,0.04411152845651287,0.12114027039105002,0.001945826942769745,0.04411152845651287,0.0010976921895726134,0.2805353630108527,True,False
10,loudness_sma3_amean,0.10193750578581826,0.00033128291238694965,0.010391255085833731,0.10093035828708762,0.00037959849537826226,0.010186937223959875,0.10093035828708762,0.0011661158516020626,0.004175583449160885,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.10128169380650544,0.00036204227458727016,0.010257981500314721,0.0672231579181881,0.01809671403524201,0.004518952960493656,0.0672231579181881,0.0012027154021751513,0.07297161906943356,True,False
0,F0semitoneFrom275Hz_sma3nz_amean,0.10114029102636087,0.00036901495294010327,0.010229358468896972,0.06251513195842974,0.027966384844934584,0.003908141723779884,0.06251513195842974,0.0012027154021751513,0.1065425243061244,True,False
53,F3frequency_sma3nz_stddevNorm,-0.09441481969267418,0.0008893054595653771,0.008914158177600176,-0.03690616625878722,0.19475807147167148,0.0013620651079212442,0.03690616625878722,0.0027949600157768997,0.32337189225485075,True,False
11,loudness_sma3_stddevNorm,0.09317324260339944,0.0010399339257416767,0.008681253137231929,0.07185151851503813,0.011511379842949915,0.005162640712916867,0.07185151851503813,0.0031556615677678468,0.05627785700997736,True,False
58,alphaRatioV_sma3nz_amean,0.09270558825931731,0.0011025420902930085,0.00859432609450607,-0.0011585207389878424,0.9675440897473554,1.3421703026649364e-06,0.0011585207389878424,0.003172656489041351,0.978665286181233,True,False
33,shimmerLocaldB_sma3nz_stddevNorm,0.09259648847676237,0.0011176403540941124,0.008574109678227186,0.08532742094676986,0.0026796568836268447,0.00728076876542726,0.08532742094676986,0.003172656489041351,0.01837904399379371,True,True
42,F1bandwidth_sma3nz_amean,-0.09230703064014877,0.001158628420665606,0.008520587905601363,0.05143877757245863,0.07063927434930994,0.002645947838148873,0.05143877757245863,0.0031862281568304164,0.19425800446060235,True,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.09182772976523415,0.0012295614686215126,0.00843233195383687,0.060634645770915416,0.03304598533755401,0.0036765602677643907,0.060634645770915416,0.0032074044459908667,0.11184795037325973,True,False
13,loudness_sma3_percentile500,0.09176442154541634,0.0012392244450419258,0.00842070906156487,0.08858238650928585,0.0018254601533700856,0.007846839199680508,0.08858238650928585,0.0032074044459908667,0.014603681226960685,True,True
31,jitterLocal_sma3nz_stddevNorm,0.0881187313303183,0.001929523618257143,0.007764910811264821,0.08247323084575818,0.0037137539951539937,0.006801833806137718,0.08247323084575818,0.004851373668760817,0.02334359654096796,True,True
19,loudness_sma3_stddevFallingSlope,0.0876990481275504,0.0020283803465990396,0.007691123042478402,0.05030369691627861,0.07708657205034596,0.0025304619234448184,0.05030369691627861,0.004870937365934069,0.19951818648324837,True,False
81,loudnessPeaksPerSec,-0.08761795960400388,0.00204800775613137,0.007676906845168857,-0.02719247541752343,0.33947174131471775,0.0007394307193326161,0.02719247541752343,0.004870937365934069,0.5063307328083926,True,False
