,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.2294340810636117,1.0519196493292084e-22,0.05263999755350395,-0.14794285915886968,3.5271034443161603e-10,0.021887089576101148,0.14794285915886968,9.256892914097034e-21,2.217036450713015e-09,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.2240746739167213,1.0516360188345933e-21,0.05020945949088498,-0.13989375309126814,3.051333522901401e-09,0.019570262153960696,0.13989375309126814,4.6271984828722107e-20,1.790115666768822e-08,True,True
15,loudness_sma3_pctlrange02,0.22114088664965556,3.617045347820473e-21,0.048903291748195805,0.20240848690611277,6.383956715444485e-18,0.04096919557162202,0.20240848690611277,1.0609999686940055e-19,5.617881909591147e-16,True,True
16,loudness_sma3_meanRisingSlope,0.204244247124195,3.16555005417913e-18,0.04171571248332924,0.1925680844305219,2.446750701794045e-16,0.03708246714124061,0.1925680844305219,6.964210119194086e-17,5.382851543946898e-15,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.1973262420841175,4.2983383833970384e-17,0.038937645815039744,-0.1367474808529976,6.86519548634275e-09,0.018699873519640944,0.1367474808529976,7.565075554778788e-16,3.775857517488513e-08,True,True
14,loudness_sma3_percentile800,0.196387681278005,6.078817189736508e-17,0.03856812135775127,0.1977489966286774,3.674986368502122e-17,0.03910466566764866,0.1977489966286774,8.91559854494688e-16,1.077996001427289e-15,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.18676747126437665,1.9196890857042437e-15,0.034882088322489756,0.15223553452795804,1.0624211153284333e-10,0.023175657973013106,0.15223553452795804,2.2224432859306745e-14,8.499368922627466e-10,True,True
10,loudness_sma3_amean,0.18662109013932424,2.020402987209704e-15,0.03482743128478978,0.19001168675674843,6.114973038275817e-16,0.03610444110414469,0.19001168675674843,2.2224432859306745e-14,1.0762352547365439e-14,True,True
18,loudness_sma3_meanFallingSlope,0.18500387627416692,3.5446590943396107e-15,0.03422643423646726,0.16278385562258202,4.80879608780012e-12,0.026498583651353626,0.16278385562258202,3.465888892243175e-14,5.2896756965801324e-11,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.18308380323918283,6.863748352794422e-15,0.03351967900852381,0.15254948770639531,9.718453743314872e-11,0.023271346199483654,0.15254948770639531,6.040098550459092e-14,8.499368922627466e-10,True,True
17,loudness_sma3_stddevRisingSlope,0.18146196942636866,1.1927507751320578e-14,0.03292844634809636,0.15786079099219777,2.092854935346777e-11,0.024920029332682347,0.15786079099219777,9.542006201056463e-14,2.0463470478946265e-10,True,True
13,loudness_sma3_percentile500,0.1796472527790013,2.2001708941219222e-14,0.032273135431042384,0.18014962080250876,1.8583282534739182e-14,0.0324538858752877,0.18014962080250876,1.6134586556894097e-13,2.336184090081497e-13,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.17498274854053106,1.031020467295637e-13,0.030618962286798723,0.15128257488563707,1.3908281019992506e-10,0.022886417464028388,0.15128257488563707,6.979215470924312e-13,1.0199406081327838e-09,True,True
12,loudness_sma3_percentile200,0.16753492656790991,1.113659780993998e-12,0.028067951620114967,0.1501160206292986,1.9295965456323932e-10,0.022534819649576005,0.1501160206292986,7.0001471948194165e-12,1.30618843088962e-09,True,True
87,equivalentSoundLevel_dBp,0.16321935545318894,4.212872327363505e-12,0.026640557994554438,0.19888499087944012,2.4079622939892055e-17,0.039555239597114975,0.19888499087944012,2.47155176538659e-11,1.0595034093552503e-15,True,True
