,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
15,loudness_sma3_pctlrange02,0.19290320825588492,2.0447842154272723e-28,0.03721164775541331,0.1373558634568517,4.6637161066681946e-15,0.018866633225977286,0.1373558634568517,1.3213888944399898e-26,1.3680233912893372e-13,True,True
16,loudness_sma3_meanRisingSlope,0.19231186645078885,3.0031565782727045e-28,0.036983853977786044,0.1500674278480724,1.0459229139478518e-17,0.022520232900936413,0.1500674278480724,1.3213888944399898e-26,4.602060821370548e-16,True,True
18,loudness_sma3_meanFallingSlope,0.17825406720544895,1.9355090358208564e-24,0.03177451247528471,0.13625493766185856,7.709468053484814e-15,0.018565408037236962,0.13625493766185856,5.67749317174118e-23,1.696082971766659e-13,True,True
14,loudness_sma3_percentile800,0.17048948667895686,1.823715804161667e-22,0.029066665068054207,0.1351237718499181,1.2866797925130564e-14,0.01825843371894872,0.1351237718499181,3.835150186521616e-21,2.2645564348229793e-13,True,True
17,loudness_sma3_stddevRisingSlope,0.1701778927120905,2.1790626059781907e-22,0.028960515167927782,0.13139491201584,6.754022845547764e-14,0.017264622903650335,0.13139491201584,3.835150186521616e-21,9.316301917281687e-13,True,True
19,loudness_sma3_stddevFallingSlope,0.1617904172508022,2.3137041125438864e-20,0.026176139114188677,0.12041732617030866,6.800759552989515e-12,0.014500332442006504,0.12041732617030866,3.3934326983977003e-19,5.984668406630773e-11,True,True
10,loudness_sma3_amean,0.16114278996752185,3.2835644166345526e-20,0.02596699875851686,0.12894275748431694,1.959282167026886e-13,0.016626234707659372,0.12894275748431694,4.1279095523405805e-19,2.1552103837295745e-12,True,True
13,loudness_sma3_percentile500,0.1551738844595055,7.728224877651208e-19,0.024078934418251964,0.12076443638785445,5.914013519247747e-12,0.014584049096076144,0.12076443638785445,8.501047365416329e-18,5.7825909965977964e-11,True,True
87,equivalentSoundLevel_dBp,0.14574040166352184,8.871508774207413e-17,0.02124026467704468,0.13118310302777614,7.410694706928615e-14,0.01720900651999613,0.13118310302777614,8.674364134780582e-16,9.316301917281687e-13,True,True
66,spectralFluxV_sma3nz_amean,0.1444454562000159,1.6614901464211716e-16,0.02086448981683071,0.09442374190873343,7.743800733511688e-08,0.0089158430360471,0.09442374190873343,1.462111328850631e-15,4.973504718534867e-07,True,True
20,spectralFlux_sma3_amean,0.13664514726877838,6.454399550431306e-15,0.018671896272106133,0.09042270139085393,2.684215831121122e-07,0.008176264926819537,0.09042270139085393,5.163519640345045e-14,1.574739954257725e-06,True,True
