,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
16,loudness_sma3_meanRisingSlope,0.19697881388450017,2.9581783724385078e-37,0.03880065311934456,0.18350002454269695,1.7849499395957554e-32,0.033672259007170385,0.18350002454269695,2.603196967745887e-35,7.853779734221324e-31,True,True
15,loudness_sma3_pctlrange02,0.19378673892714834,4.322471030181366e-36,0.03755330018401875,0.170849456054286,2.592636626964897e-28,0.029189536634045405,0.170849456054286,1.901887253279801e-34,4.563040463458219e-27,True,True
14,loudness_sma3_percentile800,0.18463590798010782,7.287933196037464e-33,0.03409041851563884,0.17120908245582062,1.9939814349911e-28,0.029312549915363983,0.17120908245582062,2.137793737504323e-31,4.38675915698042e-27,True,True
10,loudness_sma3_amean,0.17979252323412198,3.1898438982291244e-31,0.032325351410892295,0.16466092084636333,2.171214317943978e-26,0.02711321885397233,0.16466092084636333,7.017656576104074e-30,2.388335749738376e-25,True,True
17,loudness_sma3_stddevRisingSlope,0.17860119846419775,7.9507256707941e-31,0.03189838809284776,0.16626991884717326,6.979778533595163e-27,0.027645685913445583,0.16626991884717326,1.3993277180597617e-29,8.774578727948206e-26,True,True
18,loudness_sma3_meanFallingSlope,0.17738833904926687,2.0015518000985054e-30,0.03146662283065766,0.1666766995055085,5.2293688979937446e-27,0.02778112215804958,0.1666766995055085,2.9356093068111415e-29,7.669741050390826e-26,True,True
13,loudness_sma3_percentile500,0.17490517377978496,1.298178252872114e-29,0.030591819814936774,0.15667314826884163,5.128330137117521e-24,0.02454647538847043,0.15667314826884163,1.631995517896372e-28,5.014367245181576e-23,True,True
19,loudness_sma3_stddevFallingSlope,0.16894324823980386,1.0326013915988266e-27,0.02854182112581599,0.15234095384525978,8.83497414062579e-23,0.02320776621848357,0.15234095384525978,1.1358615307587092e-26,7.774777243750695e-22,True,True
66,spectralFluxV_sma3nz_amean,0.16458629861633184,2.2879146757114804e-26,0.027088649692224357,0.12970722431247014,6.754845998474756e-17,0.016823964038845445,0.12970722431247014,2.237072127362336e-25,5.403876798779805e-16,True,True
87,equivalentSoundLevel_dBp,0.16277266500108517,8.105102741709467e-26,0.026494940471555498,0.17444390333765605,1.831652980589295e-29,0.030430675411677488,0.17444390333765605,7.132490412704331e-25,5.372848743061932e-28,True,True
20,spectralFlux_sma3_amean,0.15772609867395,2.535774947361753e-24,0.02487752220290461,0.125410182415848,6.896741387573234e-16,0.015727713853576273,0.125410182415848,2.0286199578894025e-23,4.668563400818804e-15,True,True
12,loudness_sma3_percentile200,0.15212133108843878,1.018420105496677e-22,0.023140899372118412,0.12632813779301114,4.2262868280726474e-16,0.01595879839825001,0.12632813779301114,7.468414106975633e-22,3.099277007253275e-15,True,True
80,spectralFluxUV_sma3nz_amean,0.13263654092615637,1.3247625390016306e-17,0.017592451988855954,0.09651379963929764,5.56474398131951e-10,0.00931491352081449,0.09651379963929764,8.967623340934115e-17,3.0927618546779592e-09,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.13036380960260213,4.7035373823556026e-17,0.0169947228541035,-0.09061053616635507,5.838908185666009e-09,0.008210269264354341,0.09061053616635507,2.9565092117663787e-16,2.704336422834783e-08,True,True
54,F3bandwidth_sma3nz_amean,-0.12729342525346257,2.5155184821987214e-16,0.016203616112758862,-0.005415682903200895,0.7284266427393591,2.9329621308022473e-05,0.005415682903200895,1.4757708428899166e-15,0.801269307013295,True,False
59,alphaRatioV_sma3nz_stddevNorm,-0.12610817673656552,4.754058303400993e-16,0.015903272239820843,-0.0059827478475421225,0.7012924118496024,3.57932718072699e-05,0.0059827478475421225,2.614732066870546e-15,0.7811864840856331,True,False
77,hammarbergIndexUV_sma3nz_amean,-0.11979312311264041,1.277157094667777e-14,0.014350392345080223,-0.023386394520519573,0.13372291269818776,0.0005469234486693879,0.023386394520519573,6.611166137103787e-14,0.217918820693343,True,False
68,mfcc1V_sma3nz_amean,-0.11827761702356222,2.7435252949768923e-14,0.013989594688772457,0.043260600220273955,0.005522314476895726,0.0018714795314183669,0.043260600220273955,1.341279033099814e-13,0.01278851773596905,True,True
76,alphaRatioUV_sma3nz_amean,0.11777986930513529,3.519265228610669e-14,0.013872097613534749,0.03377273747553865,0.030319175828317675,0.0011405977965916526,0.03377273747553865,1.6299754743038886e-13,0.06204854588120826,True,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.11645036312641696,6.808961732487847e-14,0.01356068707227437,-0.06577941736662982,2.422509891798639e-05,0.0043269317490932805,0.06577941736662982,2.9959431622946527e-13,9.268733499055663e-05,True,True
60,hammarbergIndexV_sma3nz_amean,-0.1136933155310705,2.613159380264049e-13,0.012926169996447556,0.0007528163837931772,0.9615046812081228,5.667325077074362e-07,0.0007528163837931772,1.0950382164916014e-12,0.983865255189707,True,False
69,mfcc1V_sma3nz_stddevNorm,0.11114667524511174,8.797201485779342e-13,0.012353583418042335,0.00911813862677329,0.5588133264158276,8.314045201705511e-05,0.00911813862677329,3.5188805943117366e-12,0.6437830243277034,True,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.10985047922287881,1.6148469891593225e-12,0.01206712778549613,-0.06321772178625044,4.96756773971313e-05,0.003996480347843764,0.06321772178625044,6.178545002000886e-12,0.00017485838443790218,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.10673417913337367,6.7581089687485405e-12,0.0113921849952751,0.09648833079767433,5.623203372141744e-10,0.009309997980121427,0.09648833079767433,2.4779732885411318e-11,3.0927618546779592e-09,True,True
49,F2bandwidth_sma3nz_stddevNorm,0.10294805716319574,3.642954409803943e-11,0.01059830247367662,0.048345777356343655,0.0019259808427203764,0.002337314188189151,0.048345777356343655,1.2823199522509877e-10,0.004984891592923328,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.10232547710237674,4.7783552810709156e-11,0.010470503264229027,0.09629726742444501,6.0812737917109e-10,0.009273163713415078,0.09629726742444501,1.617289479747079e-10,3.14795349217976e-09,True,True
78,slopeUV0500_sma3nz_amean,-0.10197796050964306,5.555745213516361e-11,0.01039950442970632,-0.18404493061769034,1.1623073546187145e-32,0.03387253648607045,0.18404493061769034,1.8107614029238509e-10,7.853779734221324e-31,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.10165499054934307,6.388321131732878e-11,0.010333737103587029,0.09596602555177079,6.963104430874807e-10,0.009209478060203124,0.09596602555177079,2.0077580699731902e-10,3.4041843884276836e-09,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.10065617527527639,9.811701942840395e-11,0.010131665621047161,0.05790700355640484,0.00020262567483637448,0.0033532210608814826,0.05790700355640484,2.9773440378274303e-10,0.0006148641167448605,True,True
63,slopeV0500_sma3nz_stddevNorm,0.10038272993044814,1.1026805842324157e-10,0.01007669246828929,0.013931633250717756,0.37172615803162445,0.00019409040503250459,0.013931633250717756,3.2345297137484196e-10,0.5276113210771444,True,False
38,logRelF0H1A3_sma3nz_amean,-0.09975944719378006,1.437216987768075e-10,0.009951947304408593,-0.011625703904897824,0.4560383740050474,0.0001351569912843565,0.011625703904897824,4.0798417717287284e-10,0.5652306607386504,True,False
22,mfcc1_sma3_amean,-0.0926632833509609,2.6206581801959575e-09,0.008586484081380467,0.03274205374268608,0.035749943029020965,0.0010720420832889435,0.03274205374268608,7.206809995538883e-09,0.07149988605804193,True,False
85,MeanUnvoicedSegmentLength,-0.09050351473000294,6.085053106052117e-09,0.00819088617848386,-0.0629691263153748,5.3187077089620966e-05,0.0039651108689216265,0.0629691263153748,1.6226808282805645e-08,0.00018001779938025557,True,True
52,F3frequency_sma3nz_amean,-0.09000528572463594,7.370205583935045e-09,0.008100951458373353,0.028333144865756492,0.06923353167760771,0.0008027670979839435,0.028333144865756492,1.9075826217243648e-08,0.1194617801495976,True,False
72,mfcc3V_sma3nz_amean,0.08932562249244147,9.556183088013422e-09,0.007979066833662165,0.05024989082240336,0.0012653841959921325,0.002525051527663457,0.05024989082240336,2.402697462129089e-08,0.00337435785597902,True,True
86,StddevUnvoicedSegmentLength,-0.084940565400006,4.8788144781787746e-08,0.007214899650472696,-0.04738033603379756,0.002370412109383367,0.002244896242675575,0.04738033603379756,1.1925990946659227e-07,0.005959893303592466,True,True
