,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
10,loudness_sma3_amean,0.4088349784996405,2.5768771358774176e-08,0.16714603964480151,0.28493855831622616,0.00015154391323879564,0.08118998201532941,0.28493855831622616,7.086076530200888e-07,0.004445288121671339,True,True
66,spectralFluxV_sma3nz_amean,0.4078510651145752,2.8033338748868263e-08,0.16634249131509346,0.26123031121512835,0.0005375283895093447,0.06824127549755281,0.26123031121512835,7.086076530200888e-07,0.004673463013171236,True,True
20,spectralFlux_sma3_amean,0.40432438761991346,3.782926742034687e-08,0.16347821042421803,0.26229415682938306,0.0005090809199973306,0.068798224706837,0.26229415682938306,7.086076530200888e-07,0.004673463013171236,True,True
14,loudness_sma3_percentile800,0.40402684272876727,3.8791817354553306e-08,0.16323768964537605,0.26949420823830444,0.00035024797010140235,0.0726271282739906,0.26949420823830444,7.086076530200888e-07,0.004673463013171236,True,True
13,loudness_sma3_percentile500,0.4035858598622079,4.0261798467050495e-08,0.16288154628071772,0.2729402255329651,0.00029176641776215446,0.07449636671398585,0.2729402255329651,7.086076530200888e-07,0.004673463013171236,True,True
87,equivalentSoundLevel_dBp,0.39854656371773495,6.135168753975505e-08,0.15883936345121455,0.3464540851133956,3.2307520222376278e-06,0.12003043309175995,0.3464540851133956,8.998247505830741e-07,0.0002843061779569112,True,True
17,loudness_sma3_stddevRisingSlope,0.3376067620477936,5.92415656637455e-06,0.11397832578039553,0.267259404072985,0.0003937954793046082,0.07142758906544706,0.267259404072985,6.759259098228648e-05,0.004673463013171236,True,True
71,mfcc2V_sma3nz_stddevNorm,-0.33549312642662327,6.828874570668451e-06,0.11255563787951023,-0.1537273186441848,0.04407280391474249,0.023632088497530724,0.1537273186441848,6.759259098228648e-05,0.11407078660286292,True,False
25,mfcc2_sma3_stddevNorm,-0.33531056900337014,6.912878623188391e-06,0.11243317768536384,-0.036398371300379255,0.6354739125711377,0.0013248414333202722,0.036398371300379255,6.759259098228648e-05,0.7078696747627864,True,False
12,loudness_sma3_percentile200,0.33312343623777324,7.998545639587002e-06,0.11097122377086177,0.27881128807187666,0.00021253774476389343,0.07773573435629899,0.27881128807187666,7.038720162836562e-05,0.004673463013171236,True,True
15,loudness_sma3_pctlrange02,0.32279116025677435,1.5697033659852546e-05,0.10419413313991457,0.16661270725780744,0.02892818351981967,0.02775979421977584,0.16661270725780744,0.00012557626927882037,0.07955250467950409,True,False
18,loudness_sma3_meanFallingSlope,0.31142636794036366,3.204491953773916e-05,0.09698638264852677,0.2524579520141317,0.0008344726221114194,0.06373501753516961,0.2524579520141317,0.00023499607661008718,0.0056487377496773,True,True
16,loudness_sma3_meanRisingSlope,0.30664786811482364,4.28903266825774e-05,0.09403291501936627,0.23924269233980613,0.0015734218731772334,0.05723706583799913,0.23924269233980613,0.0002903345190820624,0.009890080345685467,True,True
22,mfcc1_sma3_amean,-0.28475164626477434,0.0001531333364494994,0.08108350005049918,-0.06906129722704266,0.3680131156541783,0.00476946277468193,0.06906129722704266,0.0009625524005397105,0.4833605101129506,True,False
0,F0semitoneFrom275Hz_sma3nz_amean,0.2629846371363782,0.0004913686971928135,0.06916091936975252,0.14449170453430812,0.0586097786171091,0.0208778526792298,0.14449170453430812,0.0028826963568645064,0.13821505220578129,True,False
24,mfcc2_sma3_amean,0.25682747313393345,0.0006715746662480107,0.06596035095636131,0.11246105190394672,0.1418811455576558,0.012647488195342197,0.11246105190394672,0.003693660664364059,0.23677860827483552,True,False
80,spectralFluxUV_sma3nz_amean,0.2514098173263426,0.0008786068164963797,0.06320689624806496,0.25959324634685593,0.0005841828766464045,0.06738865354889943,0.25959324634685593,0.004548082344216554,0.004673463013171236,True,True
68,mfcc1V_sma3nz_amean,-0.24578037815149564,0.00115456602187835,0.060407994284292194,-0.07590093571148657,0.3223690663639923,0.005760952041879217,0.07590093571148657,0.0056445449958497105,0.4298254218186564,True,False
70,mfcc2V_sma3nz_amean,0.23403861661044542,0.00200131422106435,0.05477407406493106,0.09866087690378011,0.19787338009253777,0.009733968631422852,0.09866087690378011,0.009269244813350674,0.29759367882209037,True,False
63,slopeV0500_sma3nz_stddevNorm,0.2265454641923759,0.0028043893288143763,0.05132284734613907,0.07867593539036485,0.3049422720793546,0.006189902809548865,0.07867593539036485,0.012339313046783257,0.41929562410911253,True,False
59,alphaRatioV_sma3nz_stddevNorm,-0.2122846472979959,0.005178377538565514,0.04506477147843452,0.027139440616212172,0.7237884781548538,0.0007365492369609069,0.027139440616212172,0.021699867780655486,0.77674861070277,True,False
76,alphaRatioUV_sma3nz_amean,0.20978013472035245,0.00574518802946951,0.044007704923289225,0.08433400394594999,0.27136444585041414,0.007112224221555509,0.08433400394594999,0.02298075211787804,0.3892266233997745,True,False
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.20663840699309713,0.0065342577047164995,0.04269943124464485,0.03915972278427136,0.610033433497989,0.0015334838885409812,0.03915972278427136,0.025000638174567477,0.6882428480490133,True,False
19,loudness_sma3_stddevFallingSlope,0.20315273603840758,0.00752152525820486,0.041271034159890904,0.1947246081488727,0.010475713567977881,0.03791767301873203,0.1947246081488727,0.027578925946751154,0.04851909442010808,True,True
78,slopeUV0500_sma3nz_amean,-0.1906111815443312,0.012258277688999347,0.036332622529725994,-0.2565024547363359,0.0006825997713669676,0.06579350928576606,0.2565024547363359,0.0415322155509255,0.005005731656691096,True,True
26,mfcc3_sma3_amean,-0.19058402268714628,0.012270881867318898,0.036322269703614685,-0.1968293535464179,0.009655275308592772,0.03874179441750077,0.1968293535464179,0.0415322155509255,0.04720356817534244,True,True
72,mfcc3V_sma3nz_amean,-0.18921365657493486,0.012921811624152455,0.03580180783445739,-0.1905876342707682,0.012269205108480716,0.03632364633692809,0.1905876342707682,0.042115534182422816,0.05141381188315728,True,False
62,slopeV0500_sma3nz_amean,-0.18318451985632997,0.01615858528613287,0.03355656831499415,-0.2001812339629808,0.008465588778022944,0.040072526430941655,0.2001812339629808,0.049184008821595696,0.04537696502694414,True,True
23,mfcc1_sma3_stddevNorm,0.18310035377158346,0.016208366543480398,0.033525739551279014,-0.021187029640360816,0.7826478356285124,0.0004488902249815278,0.021187029640360816,0.049184008821595696,0.819916780182251,True,False
77,hammarbergIndexUV_sma3nz_amean,-0.16997510139323027,0.02580096786595784,0.028891535093638912,-0.06718323470641631,0.38121224707160856,0.004513587025617421,0.06718323470641631,0.07568283907347634,0.4861837353956747,False,False
60,hammarbergIndexV_sma3nz_amean,-0.16464782876926262,0.030901205866517782,0.027108907518432424,-0.04972786037583605,0.5171012679127036,0.002472860097558645,0.04972786037583605,0.08771955213721176,0.6111891668047643,False,False
54,F3bandwidth_sma3nz_amean,-0.15195771697754706,0.04659685285214634,0.023091147749028294,-0.19298220149447276,0.011200800640917174,0.037242130093653285,0.19298220149447276,0.12814134534340244,0.049283522820035564,False,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.1496152918584037,0.0501223373451947,0.022384735557875318,0.17358400065937032,0.0227713889185148,0.030131405284912278,0.17358400065937032,0.13365956625385253,0.06909938706307939,False,False
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,-0.14721940881386208,0.053954734526836384,0.021673554331503052,-0.11292591800265321,0.14023074792753143,0.012752262956741957,0.11292591800265321,0.13964754818710595,0.23677860827483552,False,False
69,mfcc1V_sma3nz_stddevNorm,0.13851248129873925,0.06997494471610266,0.01918570747553359,-0.05035022332953092,0.5118639368458262,0.00253514498933364,0.05035022332953092,0.17593700385762956,0.6111891668047643,False,False
48,F2bandwidth_sma3nz_amean,0.13740409694327416,0.07226693673566907,0.01887988585679668,0.10147021039528768,0.18534142741717127,0.010296203597663948,0.10147021039528768,0.17665251202052437,0.2861411511001943,False,False
52,F3frequency_sma3nz_amean,0.13058545864099036,0.08773969409712903,0.017052562008477802,0.001518560051916427,0.9842264376329729,2.3060246312764217e-06,0.001518560051916427,0.2086781913661447,0.9842264376329729,False,False
58,alphaRatioV_sma3nz_amean,0.12413667693646606,0.10470753273877667,0.015409914560828544,0.06602092115944144,0.38952348118731783,0.004358762030741183,0.06602092115944144,0.24169401647106853,0.48968666206405675,False,False
64,slopeV5001500_sma3nz_amean,-0.12329027433774725,0.10711439366331446,0.01520049174627698,-0.18804396835788273,0.013501171215452214,0.0353605340357804,0.18804396835788273,0.24169401647106853,0.051656655085208475,False,False
61,hammarbergIndexV_sma3nz_stddevNorm,0.11570584320805123,0.1306651878866079,0.013387842152486135,-0.05634450867742876,0.46285948142999295,0.0031747036581008447,0.05634450867742876,0.2874634133505374,0.5657171439699914,False,False
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,-0.11470487587597268,0.1340499284668286,0.013157208549722299,-0.11386685705724915,0.13693501440216765,0.012965661136096011,0.11386685705724915,0.2877169196361199,0.23677860827483552,False,False
84,StddevVoicedSegmentLengthSec,-0.11277531354927262,0.1407638229397195,0.012718271346136751,-0.12130748008668303,0.11292280380658289,0.014715504724981,0.12130748008668303,0.29493372425465036,0.2208268163328732,False,False
53,F3frequency_sma3nz_stddevNorm,-0.10867619697499441,0.15587317081122784,0.011810515788947784,-0.26455162365196105,0.0004532645981125967,0.06998756157688885,0.26455162365196105,0.31699941291686834,0.004673463013171236,False,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,0.10799457023232867,0.15849970645843417,0.01166282719966537,-0.06768726379012754,0.37764193405349983,0.004581565679394312,0.06768726379012754,0.31699941291686834,0.4861837353956747,False,False
40,F1frequency_sma3nz_amean,0.10421657992124066,0.17366258971828002,0.010861095530480341,-0.07979043555722157,0.29812105395792193,0.006366513606411128,0.07979043555722157,0.3396068421157476,0.4164230594967798,False,False
81,loudnessPeaksPerSec,0.10320336635775947,0.17790610708189886,0.010650934827573918,0.0626019082317847,0.4145972625836841,0.003918998914260793,0.0626019082317847,0.34034211789580654,0.513867029681186,False,False
36,logRelF0H1H2_sma3nz_amean,-0.097301921156077,0.20415128345243175,0.009467663860663424,-0.13455937723861394,0.07842916070056326,0.018106226002843617,0.13455937723861394,0.38224070093221263,0.16833575955242847,False,False
32,shimmerLocaldB_sma3nz_amean,0.09352037453154895,0.22237357176141517,0.008746060452521189,-0.11194608184253195,0.1437266445758493,0.012531925239894862,0.11194608184253195,0.4076848815625945,0.23677860827483552,False,False
43,F1bandwidth_sma3nz_stddevNorm,0.08891139231331542,0.2461066804567556,0.007905235683092284,-0.1364914616503705,0.07419955669527045,0.01862991910345456,0.1364914616503705,0.4419875077590713,0.163239024729595,False,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.0866092720798253,0.2585977852061393,0.007501166010197206,0.021759210742024394,0.7769299760296018,0.0004734632521158298,0.021759210742024394,0.4551321019628051,0.819916780182251,False,False
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.08417793912468205,0.27225554905440846,0.007085925435278677,0.18905149966073614,0.013000805358303865,0.03574046952397332,0.18905149966073614,0.4697742807213322,0.051656655085208475,False,False
42,F1bandwidth_sma3nz_amean,0.08293204398287048,0.2794405526673084,0.006877723919176763,0.048461158267291006,0.5278451895132056,0.0023484838606074275,0.048461158267291006,0.47289939682159876,0.6111891668047643,False,False
82,VoicedSegmentsPerSec,0.0803751239412302,0.29458322518013585,0.006460160548568116,-0.11396040476505304,0.1366106185675747,0.012986973854214722,0.11396040476505304,0.48911931728022556,0.23677860827483552,False,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,0.07714473657818524,0.3144799778783774,0.005951310381717592,-0.027630969212326027,0.7189944008680413,0.0007634704596125088,0.027630969212326027,0.511445983315148,0.77674861070277,False,False
55,F3bandwidth_sma3nz_stddevNorm,0.07632678448698639,0.3196537395719675,0.005825778030122866,-0.07715302444126636,0.3144278358212724,0.005952589180434644,0.07715302444126636,0.511445983315148,0.4256869161887995,False,False
65,slopeV5001500_sma3nz_stddevNorm,-0.07511882335520141,0.3273947588951547,0.005642837622269953,0.018051847657630345,0.8141772333873863,0.0003258692038542942,0.018051847657630345,0.5144774782638145,0.8429129004481176,False,False
44,F1amplitudeLogRelF0_sma3nz_amean,-0.07251086016587174,0.3445150788593324,0.0052578248419946055,0.10857379661971003,0.15626565054538788,0.011788269312418158,0.10857379661971003,0.5318829287652852,0.24556030799989526,False,False
28,mfcc4_sma3_amean,-0.07111085810832703,0.3539349100471859,0.0050567541409026195,-0.13038431325403513,0.08823349902012295,0.01700006914272636,0.13038431325403513,0.535777042305125,0.18487018842311476,False,False
29,mfcc4_sma3_stddevNorm,0.06992542029499536,0.36203592888219416,0.00488956440343175,0.035247264812283956,0.6462086970862544,0.0012423696767472707,0.035247264812283956,0.535777042305125,0.7108295667948799,False,False
33,shimmerLocaldB_sma3nz_stddevNorm,-0.0686095843221972,0.3711617343735437,0.004707275060864688,-0.1656250579937677,0.029906062670703313,0.027431659835438913,0.1656250579937677,0.535777042305125,0.07974950045520883,False,False
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,0.06753320678769205,0.3787310303532141,0.004560734019029175,-0.10936566945468926,0.1532498417467802,0.011960849655272351,0.10936566945468926,0.535777042305125,0.2451997467948483,False,False
35,HNRdBACF_sma3nz_stddevNorm,0.06733405323505232,0.38014177014357486,0.004533874725060859,-0.12495729271890688,0.10241483534100294,0.015614325003638577,0.12495729271890688,0.535777042305125,0.2048296706820059,False,False
73,mfcc3V_sma3nz_stddevNorm,0.06590204435654767,0.39037963539279097,0.004343079450372377,-0.0108292080614209,0.8878760667880818,0.0001172717472375434,0.0108292080614209,0.535777042305125,0.8980815388201288,False,False
83,MeanVoicedSegmentLengthSec,-0.06535172577163426,0.3943577932129436,0.004270848061330885,0.31958874506220836,1.924981365678916e-05,0.10213696597043721,0.31958874506220836,0.535777042305125,0.0008469918008987231,False,True
47,F2frequency_sma3nz_stddevNorm,0.0648707134589491,0.39785478052451106,0.00420820946467308,-0.17981515333053436,0.018258708882556016,0.03233348936728358,0.17981515333053436,0.535777042305125,0.061798706987112664,False,False
75,mfcc4V_sma3nz_stddevNorm,0.06432659750262987,0.40183278172884374,0.004137911146265347,0.04390327710113393,0.5674145396342062,0.001927497740218951,0.04390327710113393,0.535777042305125,0.64847375958195,False,False
74,mfcc4V_sma3nz_amean,-0.059454448089836694,0.43849466603479903,0.003534831397667086,-0.11812551669392088,0.12275473679050265,0.013953637694205781,0.11812551669392088,0.5759332927024227,0.23483514864270075,False,False
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,-0.05516329330077925,0.4723060917606191,0.003042988927787797,-0.11481453536465877,0.13367587235557954,0.01318237753100248,0.11481453536465877,0.6061503093677099,0.23677860827483552,False,False
