,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
10,loudness_sma3_amean,0.4164177503611118,3.2509968906224034e-10,0.17340374281580923,0.3312515625766939,9.061408255135904e-07,0.10972759770950137,0.3312515625766939,1.4342322371231033e-08,2.4197172717902476e-05,True,True
13,loudness_sma3_percentile500,0.41639301214443225,3.2596187207343257e-10,0.1733831405627133,0.32030002422014603,2.144150960428886e-06,0.10259210551542614,0.32030002422014603,1.4342322371231033e-08,3.7737056903548396e-05,True,True
14,loudness_sma3_percentile800,0.39754639706883005,2.3053827746352905e-09,0.1580431378224079,0.3096149029963022,4.811745558995196e-06,0.0958613881574096,0.3096149029963022,6.762456138930186e-08,7.057226819859621e-05,True,True
12,loudness_sma3_percentile200,0.3861811395216845,7.078853250277562e-09,0.14913587252226673,0.3375213829679065,5.450176237331502e-07,0.11392068396056822,0.3375213829679065,1.3315491774599933e-07,2.3980775444258607e-05,True,True
87,equivalentSoundLevel_dBp,0.3854936775002739,7.565620326477234e-09,0.1486053753926852,0.3288249367007963,1.0998714871773853e-06,0.10812583899628271,0.3288249367007963,1.3315491774599933e-07,2.4197172717902476e-05,True,True
20,spectralFlux_sma3_amean,0.364466193322659,5.3788097906390435e-08,0.13283560607510986,0.25677641232403153,0.00016848694250421093,0.06593412592600105,0.25677641232403153,7.888921026270598e-07,0.0014429776338303404,True,True
66,spectralFluxV_sma3nz_amean,0.3612148878981215,7.195421388804894e-08,0.1304761952392525,0.2582494726741315,0.00015404830166277367,0.06669279013646699,0.2582494726741315,9.04567260306901e-07,0.0014429776338303404,True,True
25,mfcc2_sma3_stddevNorm,-0.3175169640990914,2.654603709207269e-06,0.1008170224907037,-0.036132894261682556,0.6026035575781838,0.0013055860477259322,0.036132894261682556,2.920064080127996e-05,0.6712545957832934,True,False
71,mfcc2V_sma3nz_stddevNorm,-0.31183669241643863,4.077781195604268e-06,0.09724212273722456,-0.01826922386972393,0.7924057017224211,0.00033376454080209057,0.01826922386972393,3.9871638357019505e-05,0.8203729617832124,True,False
68,mfcc1V_sma3nz_amean,-0.28909117471766194,2.0854189936289956e-05,0.08357370729963774,-0.14073573379589316,0.04160665628012574,0.019806546767068504,0.14073573379589316,0.0001835168714393516,0.08321331256025148,True,False
0,F0semitoneFrom275Hz_sma3nz_amean,0.27518697691547894,5.2916046266753584e-05,0.07572787226388034,0.1599214965486015,0.02041713086400531,0.02557488505834436,0.1599214965486015,0.0004233283701340287,0.05444568230401416,True,False
17,loudness_sma3_stddevRisingSlope,0.27147198179573157,6.730192190093538e-05,0.07369703690010201,0.2783387022890498,4.3032658076183916e-05,0.07747243319195228,0.2783387022890498,0.0004935474272735261,0.00047335923883802305,True,True
22,mfcc1_sma3_amean,-0.2682078392054355,8.289994414464088e-05,0.07193544501124875,-0.11596361324689781,0.09371831821766012,0.013447559597276094,0.11596361324689781,0.0005611688526714152,0.14219331039920846,True,False
76,alphaRatioUV_sma3nz_amean,0.2537456248776724,0.0002022558095889552,0.06438684214456043,0.13868295442044346,0.044704720907951544,0.019232961846782796,0.13868295442044346,0.0012713222317020042,0.08552207478042904,True,False
54,F3bandwidth_sma3nz_amean,-0.2493224868564503,0.00026299796310160075,0.062161702452284834,-0.213753480543215,0.001838341478669504,0.04569055044433859,0.213753480543215,0.0014864444232618893,0.009516120595465668,True,True
72,mfcc3V_sma3nz_amean,-0.2488589701959412,0.0002702626224112526,0.06193078704698435,-0.17571336852382047,0.010741148899387421,0.03087518787798794,0.17571336852382047,0.0014864444232618893,0.03635465781331127,True,True
58,alphaRatioV_sma3nz_amean,0.24740592358603047,0.00029426425913893516,0.06120969102545675,0.13504698412570565,0.05066602166086419,0.018237687921448593,0.13504698412570565,0.0015232502826015468,0.09288770637825101,True,False
