,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
78,slopeUV0500_sma3nz_amean,-0.21494459685175002,2.3898643605498988e-08,0.04620117971576134,-0.1848852263274949,1.7038809620147666e-06,0.03418254691416901,0.1848852263274949,2.103080637283911e-06,7.497076232864973e-05,True,True
62,slopeV0500_sma3nz_amean,-0.19688414723234338,3.3551830820711e-07,0.03876336743140706,-0.21076896858809815,4.4962383116600453e-08,0.044423558119690704,0.21076896858809815,1.476280556111284e-05,3.95668971426084e-06,True,True
17,loudness_sma3_stddevRisingSlope,0.16012613398088082,3.5379243194670315e-05,0.025640378783662997,0.119052913802536,0.0021697368245018906,0.014173596284874069,0.119052913802536,0.0010377911337103294,0.03182280675936106,True,True
63,slopeV0500_sma3nz_stddevNorm,0.15740681083255612,4.811043888683519e-05,0.024776904096476104,-0.025471191164708782,0.5132864889223117,0.0006487815793491387,0.025471191164708782,0.0010584296555103741,0.6949109388486681,True,False
87,equivalentSoundLevel_dBp,0.1524245312303153,8.339876408608129e-05,0.023233237720781362,0.09857336640900154,0.01122245497911317,0.009716708565203272,0.09857336640900154,0.0012670802469046403,0.12344700477024487,True,False
16,loudness_sma3_meanRisingSlope,0.15155743039886982,9.1621141990481e-05,0.02296965470910827,0.10366614344807745,0.007644208705552411,0.010746669297397371,0.10366614344807745,0.0012670802469046403,0.0960986237269446,True,False
14,loudness_sma3_percentile800,0.1500186305666285,0.00010812438212357692,0.022505589517086564,0.08256419358311778,0.033810397962738825,0.006816846062030548,0.08256419358311778,0.0012670802469046403,0.18595718879506354,True,False
20,spectralFlux_sma3_amean,0.14911861556754702,0.00011903432747990387,0.022236361508781877,0.0636476208304936,0.10206246192836955,0.0040510196373822836,0.0636476208304936,0.0012670802469046403,0.309706781024018,True,False
10,loudness_sma3_amean,0.14831903044325884,0.00012958775252433822,0.021998534791628343,0.08305007576244576,0.03277256488124678,0.0068973150841479805,0.08305007576244576,0.0012670802469046403,0.18595718879506354,True,False
13,loudness_sma3_percentile500,0.14716651378220463,0.00014635639082957,0.021657982778807826,0.07634335943856788,0.049770564001978976,0.0058283085303663705,0.07634335943856788,0.001287936239300216,0.2102999155835649,True,False
