,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
78,slopeUV0500_sma3nz_amean,-0.21806031613829088,1.1887189115217382e-10,0.04755030147433136,-0.20462968186736927,1.5880021393046187e-09,0.041873306701140756,0.20462968186736927,1.0460726421391295e-08,1.3974418825880645e-07,True,True
63,slopeV0500_sma3nz_stddevNorm,0.18836715825672853,2.91667186686579e-08,0.03548218630971541,-0.02074856633746918,0.544834726015146,0.00043050300506035924,0.02074856633746918,1.2833356214209474e-06,0.7156038192437739,True,False
62,slopeV0500_sma3nz_amean,-0.1786297391167319,1.4816910998638607e-07,0.031908583696911706,-0.16937515277889204,6.409222299935392e-07,0.028687942378873017,0.16937515277889204,4.3462938929339915e-06,2.322389439538473e-05,True,True
12,loudness_sma3_percentile200,0.14518695289525646,2.0514943410155596e-05,0.021079251291009418,0.08926960124451325,0.009050460598654936,0.007969061706354402,0.08926960124451325,0.0003652914226157385,0.04447852952383776,True,True
13,loudness_sma3_percentile500,0.14509914659885786,2.075519446680332e-05,0.021053762343716847,0.09416243305813533,0.00589032067078461,0.008866563799427818,0.09416243305813533,0.0003652914226157385,0.03582706193264455,True,True
65,slopeV5001500_sma3nz_stddevNorm,-0.14309675253651466,2.7017614850071477e-05,0.020476680586496515,-0.0014158155824547116,0.9670454187242048,2.0045337635215743e-06,0.0014158155824547116,0.0003916593917606097,0.9723646424642628,True,False
10,loudness_sma3_amean,0.1419644299440619,3.131383999215405e-05,0.020153899369342455,0.09967671091993402,0.0035468886413300383,0.009935446699816095,0.09967671091993402,0.0003916593917606097,0.02601051670308695,True,True
17,loudness_sma3_stddevRisingSlope,0.1409719029586682,3.560539925096452e-05,0.019873077423788167,0.12695365638630615,0.00019951632171150222,0.016117230869852294,0.12695365638630615,0.0003916593917606097,0.0025082051872303136,True,True
14,loudness_sma3_percentile800,0.13654924150067554,6.245513477432707e-05,0.01864569535440981,0.09799700751198212,0.004150363606470231,0.00960341348130348,0.09799700751198212,0.0006106724289045313,0.028094769028413867,True,True
87,equivalentSoundLevel_dBp,0.13173503021871397,0.00011295681999627443,0.01735411818672548,0.11820115135906667,0.0005375603253333547,0.013971512182608989,0.11820115135906667,0.0009175437656769205,0.005256145403259469,True,True
80,spectralFluxUV_sma3nz_amean,0.1316089372477005,0.00011469297070961506,0.01732091236346917,0.06869125810369854,0.044769434233977834,0.004718488939868931,0.06869125810369854,0.0009175437656769205,0.14070393616393034,True,False
30,jitterLocal_sma3nz_amean,0.13056582217006618,0.00013005014502712615,0.017047433918945344,0.1363039234141043,6.440072859204644e-05,0.01857875953807801,0.1363039234141043,0.0009357037082900386,0.0009445440193500146,True,True
20,spectralFlux_sma3_amean,0.12972489287406816,0.00014381791724172034,0.01682854783118846,0.07708582009743589,0.02427468814383293,0.005942223660094251,0.07708582009743589,0.0009357037082900386,0.09287706768075209,True,False
16,loudness_sma3_meanRisingSlope,0.12943565655771663,0.00014886195359159704,0.016753589188527172,0.11401682073564975,0.0008439719108680934,0.012999835410665291,0.11401682073564975,0.0009357037082900386,0.0074269528156392225,True,True
