,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.27506661203982097,4.86665882502172e-06,0.07566164105906538,-0.21330514939869083,0.0004377937971901387,0.045499086759997816,0.21330514939869083,0.00024835619119115626,0.0077051708305464406,True,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,-0.27326295204921447,5.644458890708097e-06,0.07467264096265129,-0.191203544204684,0.0016633220728797594,0.036558795316432545,0.191203544204684,0.00024835619119115626,0.018296542801677352,True,True
36,logRelF0H1H2_sma3nz_amean,-0.26483584131103816,1.1128709510188925e-05,0.07013802284292539,-0.21895901500116113,0.0003042167183704997,0.04794305025027871,0.21895901500116113,0.0003264421456322085,0.006692767804150993,True,True
52,F3frequency_sma3nz_amean,-0.24897247302034903,3.757683619681921e-05,0.06198729232186843,-0.2374277321607403,8.674362697292715e-05,0.05637192799899224,0.2374277321607403,0.0007992788993724341,0.003816719586808795,True,True
19,loudness_sma3_stddevFallingSlope,0.24640710052067505,4.5413573827979207e-05,0.06071645918700606,0.17004563810954043,0.0052527462841790665,0.02891551904008079,0.17004563810954043,0.0007992788993724341,0.033927257917494534,True,True
40,F1frequency_sma3nz_amean,-0.24077450295876873,6.834900781148267e-05,0.057972361275042135,-0.16816754931158232,0.005783055326845659,0.028280324641463468,0.16816754931158232,0.0010024521145684125,0.033927257917494534,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,-0.2357757254352716,9.745092974703335e-05,0.05559019270452857,-0.16243018184470528,0.007712942025004967,0.026383563974104025,0.16243018184470528,0.0012250974025341335,0.03572309990528617,True,True
16,loudness_sma3_meanRisingSlope,0.23331724345641738,0.00011570428092337517,0.05443693609410114,0.133385836637717,0.029022695488633246,0.017791781415543727,0.133385836637717,0.0012727470901571268,0.07569487501366713,True,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.22877894151967745,0.0001580969397301646,0.052339804082864,-0.16916151556890807,0.005496695801998421,0.028615618349569927,0.16916151556890807,0.001545836744028276,0.033927257917494534,True,True
0,F0semitoneFrom275Hz_sma3nz_amean,-0.22607689961508437,0.0001898345611509383,0.051110764539568934,-0.15868182217421264,0.009265529680691218,0.025179920688528444,0.15868182217421264,0.001670544138128257,0.038826981519087006,True,True
12,loudness_sma3_percentile200,0.22311969969305065,0.0002313409055205364,0.04978240039111711,0.14503116161308605,0.01751385037972684,0.021034037838841082,0.14503116161308605,0.0018507272441642911,0.057082179015406,True,False
17,loudness_sma3_stddevRisingSlope,0.22095900655518985,0.0002668642065689093,0.048822882577856434,0.15900854503350517,0.00911993877072589,0.02528371739367224,0.15900854503350517,0.001957004181505335,0.038826981519087006,True,True
