,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.274006234027833,1.843981232383148e-06,0.07507941628611557,-0.191877200388539,0.0009437783962561014,0.036816860028943556,0.191877200388539,0.00011813809942899902,0.02076312471763423,True,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,-0.2697905113797395,2.6849568052045233e-06,0.07278692003054134,-0.12422771976160334,0.03323423898090681,0.015432526357167452,0.12422771976160334,0.00011813809942899902,0.10084872518344137,True,False
36,logRelF0H1H2_sma3nz_amean,-0.24397254852468933,2.341882258807323e-05,0.05952260443363189,-0.20718757429049714,0.0003485245636195722,0.04292669094038027,0.20718757429049714,0.0005416146799534123,0.010223387199507453,True,True
52,F3frequency_sma3nz_amean,-0.243342894192266,2.4618849088791468e-05,0.059215764153868373,-0.027569154146051204,0.6377919581175838,0.0007600582603287323,0.027569154146051204,0.0005416146799534123,0.7289050949915243,True,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,-0.23321575597304148,5.400174200080469e-05,0.054389588834077233,-0.10462341355509976,0.07326209598374121,0.010946058663921432,0.10462341355509976,0.0009504306592141626,0.17375746949896675,True,False
40,F1frequency_sma3nz_amean,-0.2297906167126061,6.989403978062158e-05,0.05280372752915984,-0.09696847116370742,0.09701653349613415,0.009402884399826759,0.09696847116370742,0.0010251125834491166,0.18741931363024214,True,False
0,F0semitoneFrom275Hz_sma3nz_amean,-0.21537808052557356,0.0001984385745600926,0.04638771757088045,-0.09113745975040465,0.11893214318580327,0.008306036569756627,0.09113745975040465,0.002494656365898307,0.22268145958192953,True,False
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,-0.21286422632061006,0.0002364226395094831,0.0453111788470719,-0.017721557304355665,0.7622017929083589,0.0003140535932915616,0.017721557304355665,0.002600649034604314,0.8490349085561466,True,False
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.19816876293248029,0.0006323060765827031,0.039270858602189575,-0.06166335281530806,0.2919721040820003,0.0038023690804251608,0.06166335281530806,0.006182548304364208,0.4354838162578988,True,False
31,jitterLocal_sma3nz_stddevNorm,-0.19648148903284932,0.0007048526611306044,0.038604975532565686,-0.08982673654046598,0.12435343782203771,0.008068842597510286,0.08982673654046598,0.006202703417949319,0.22798130267373581,True,False
