,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
76,alphaRatioUV_sma3nz_amean,0.2538851161411059,3.823075266492864e-05,0.06445765219798284,0.1403619746936385,0.024426325184102426,0.019701483939897617,0.1403619746936385,0.002715501755082435,0.16064909214414155,True,False
18,loudness_sma3_meanFallingSlope,0.24153009524556876,9.183495367493953e-05,0.05833678690933352,0.1691113742813158,0.006578795464063578,0.028598656911315284,0.1691113742813158,0.002715501755082435,0.07236675010469935,True,False
16,loudness_sma3_meanRisingSlope,0.23328338268777793,0.00016078832145252801,0.054421136638252245,0.1883931335760331,0.002424160288920683,0.03549197277859705,0.1883931335760331,0.002715501755082435,0.07236675010469935,True,False
77,hammarbergIndexUV_sma3nz_amean,-0.22961800066780114,0.0002049443440896048,0.05272442623067832,-0.07169231568406643,0.2521317690207132,0.005139788128143838,0.07169231568406643,0.002715501755082435,0.5838840966795464,True,False
14,loudness_sma3_percentile800,0.22802859818525315,0.00022741198356795726,0.05199704159033163,0.17919127497694856,0.003951417296794713,0.03210951302786439,0.17919127497694856,0.002715501755082435,0.07236675010469935,True,False
17,loudness_sma3_stddevRisingSlope,0.22693481321074638,0.00024418651893450563,0.051499409446996346,0.2195919155726424,0.00039030877737014565,0.04822060938486251,0.2195919155726424,0.002715501755082435,0.03434717240857282,True,True
13,loudness_sma3_percentile500,0.22628138322597613,0.0002547510086562613,0.05120326439466107,0.17147642827141105,0.005850967743200346,0.029404165452720378,0.17147642827141105,0.002715501755082435,0.07236675010469935,True,False
15,loudness_sma3_pctlrange02,0.2251574126271729,0.0002739257399336527,0.050695860460963,0.18616295969095362,0.0027345161800180415,0.03465664756089562,0.18616295969095362,0.002715501755082435,0.07236675010469935,True,False
10,loudness_sma3_amean,0.2249436273821557,0.0002777217704061581,0.05059963549984211,0.17034291941195687,0.006190274175982439,0.02901671019378843,0.17034291941195687,0.002715501755082435,0.07236675010469935,True,False
19,loudness_sma3_stddevFallingSlope,0.21755915830426825,0.00044323143681430054,0.04733198736206165,0.13878702732319995,0.026090810618825868,0.01926183895321065,0.13878702732319995,0.003735690445106564,0.16064909214414155,True,False
