,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
18,loudness_sma3_meanFallingSlope,0.20837246107182664,0.0004078553602621997,0.043419082533129906,0.17051906697664318,0.003950319306021612,0.029076752202584922,0.17051906697664318,0.010512304232984066,0.045345642266219136,True,True
76,alphaRatioUV_sma3nz_amean,0.20802652254399878,0.0004172159965157276,0.043275034081748834,0.13061290479174287,0.02774618574268753,0.017059730898136886,0.13061290479174287,0.010512304232984066,0.16277762302376686,True,False
77,hammarbergIndexUV_sma3nz_amean,-0.2034527728357572,0.0005612615168455867,0.04139303077455822,-0.07781619706904422,0.19101520326735047,0.006055360526288326,0.07781619706904422,0.010512304232984066,0.44235099704018005,True,False
16,loudness_sma3_meanRisingSlope,0.2010570417778509,0.0006539327101297455,0.04042393404846047,0.18826506800821388,0.0014363022118182697,0.0354437358321374,0.18826506800821388,0.010512304232984066,0.045345642266219136,True,True
17,loudness_sma3_stddevRisingSlope,0.19651592846616686,0.000869504054115825,0.03861851014091961,0.2170335251600552,0.00022833767052516987,0.04710355104340031,0.2170335251600552,0.010512304232984066,0.020093715006214947,True,True
14,loudness_sma3_percentile800,0.19233617765459537,0.001124068239650107,0.03699320523478007,0.179256256291571,0.0024281492307649233,0.03213280541966938,0.179256256291571,0.010512304232984066,0.045345642266219136,True,True
13,loudness_sma3_percentile500,0.19223405919134437,0.0011310688112638801,0.03695393351318129,0.17236974948364844,0.0035699449493856845,0.029711330537055724,0.17236974948364844,0.010512304232984066,0.045345642266219136,True,True
19,loudness_sma3_stddevFallingSlope,0.19186085305503,0.001156995745202076,0.03681058693500382,0.14252408489935411,0.016236828090781245,0.0203131147763983,0.14252408489935411,0.010512304232984066,0.11238511456401791,True,False
12,loudness_sma3_percentile200,0.18998139958576282,0.0012960641341710909,0.03609293218856528,0.14624088273951893,0.013628743764286253,0.02138639578443373,0.14624088273951893,0.010512304232984066,0.11238511456401791,True,False
10,loudness_sma3_amean,0.1897753203158516,0.0013122117321341699,0.036014672200984074,0.17118549883138653,0.0038093207378408233,0.02930447501015064,0.17118549883138653,0.010512304232984066,0.045345642266219136,True,True
15,loudness_sma3_pctlrange02,0.1897521594272792,0.0013140380291230083,0.036005882007315575,0.18561220706924622,0.0016806181047453353,0.034451891413116734,0.18561220706924622,0.010512304232984066,0.045345642266219136,True,True
63,slopeV0500_sma3nz_stddevNorm,0.18710851009522358,0.001538507451606811,0.03500959455005439,0.01989600202852069,0.7384945050044269,0.0003958508967188994,0.01989600202852069,0.011282387978449947,0.9133230533266001,True,False
66,spectralFluxV_sma3nz_amean,0.1789503396027534,0.002470801082872191,0.03202322404394077,0.14297513958096345,0.015898652679387375,0.02044189053819598,0.14297513958096345,0.01672542271482714,0.11238511456401791,True,False
20,spectralFlux_sma3_amean,0.1769120786330392,0.0027728294440884237,0.031297883566262646,0.13245822587202563,0.025600063458070983,0.01754518160116456,0.13245822587202563,0.017429213648555805,0.16091468459358904,True,False
87,equivalentSoundLevel_dBp,0.17106921810682002,0.0038335900964147026,0.029264677383678758,0.16973455025158496,0.0041223311151108305,0.02880981754910782,0.16973455025158496,0.02249039523229959,0.045345642266219136,True,True
80,spectralFluxUV_sma3nz_amean,0.1698557940259713,0.004095313270383837,0.02885099076419319,0.10413036373201792,0.07979752791748879,0.010843132650962354,0.10413036373201792,0.0225242229871111,0.28501155432387437,True,False
