,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
79,slopeUV5001500_sma3nz_amean,0.163316262742632,6.116072203077851e-06,0.02667220167622041,0.12226717351612539,0.0007366140006667477,0.014949261719622313,0.12226717351612539,0.0003417399536681901,0.021607344019557936,True,True
34,HNRdBACF_sma3nz_amean,0.15914227927728763,1.0566657225087466e-05,0.025326265053570215,0.10746735507612773,0.0030324401263344806,0.011549232407058517,0.10746735507612773,0.0003417399536681901,0.05337094622348686,True,False
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.15838584966176641,1.1650225693233752e-05,0.025086077373079673,0.09047203579579739,0.012648783542481397,0.008185189261036044,0.09047203579579739,0.0003417399536681901,0.10119026833985117,True,False
21,spectralFlux_sma3_stddevNorm,0.15461129425040296,1.8835587126911456e-05,0.023904652309784686,0.09094861516084964,0.0121865016013992,0.008271650599676328,0.09094861516084964,0.00034961997616253835,0.10119026833985117,True,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.15418785132111257,1.9864771372871497e-05,0.023773893495021514,0.09946006606990822,0.006099076044662093,0.009892304742630509,0.09946006606990822,0.00034961997616253835,0.07254692093354256,True,False
53,F3frequency_sma3nz_stddevNorm,-0.14805038454950126,4.2281737863331894e-05,0.0219189163652552,-0.05338602098832592,0.1417226073676884,0.002850067236965976,0.05338602098832592,0.0005402054282801944,0.44541390886987786,True,False
67,spectralFluxV_sma3nz_stddevNorm,0.14791637678488104,4.297088634047e-05,0.021879254521166895,0.09768272877420385,0.007077776876777534,0.009541915500774673,0.09768272877420385,0.0005402054282801944,0.07254692093354256,True,False
30,jitterLocal_sma3nz_amean,-0.1432914360643318,7.444075433296907e-05,0.02053243564937849,-0.03560004881767826,0.3273459571943009,0.0012673634758210753,0.03560004881767826,0.0008188482976626597,0.6205775906239417,True,False
15,loudness_sma3_pctlrange02,0.1380023139884829,0.0001367609105647407,0.019044638666175822,0.044244938552679,0.22340137028651866,0.0019576145875303402,0.044244938552679,0.0013372177921885757,0.5335592794892986,True,False
0,F0semitoneFrom275Hz_sma3nz_amean,0.1370155191283615,0.0001528326201055283,0.018773252482014394,0.05198807225099133,0.15246571888715005,0.0027027596563742947,0.05198807225099133,0.0013449270569286492,0.4626545952437657,True,False
81,loudnessPeaksPerSec,-0.12477538566961885,0.0005702916793309436,0.015568896869002124,-0.03903254256453299,0.28283086828509174,0.0015235393790520798,0.03903254256453299,0.004011057592110804,0.6140946288386729,True,False
62,slopeV0500_sma3nz_amean,0.12441899749154854,0.0005915803319931893,0.015480086936801963,0.03718088912806234,0.30630912855878506,0.0013824185163532642,0.03718088912806234,0.004011057592110804,0.6140946288386729,True,False
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.12440317144247913,0.0005925425988345507,0.015476149064946855,0.029143482514885233,0.42269838689353817,0.0008493425730954214,0.029143482514885233,0.004011057592110804,0.640253439309218,True,False
11,loudness_sma3_stddevNorm,0.11981476863771473,0.0009417564759188104,0.014355578783709109,0.1124074781805647,0.0019250925766805896,0.012635441150914127,0.1124074781805647,0.005919612134346808,0.04235203668697297,True,True
54,F3bandwidth_sma3nz_amean,-0.10287638514327395,0.004552545623437899,0.010583550620147236,-0.0015845493942980577,0.9652373270745561,2.5107967829703416e-06,0.0015845493942980577,0.026708267657502345,0.9763320089949533,True,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.09855349983996359,0.006581948474201048,0.009712792330705702,-0.055950589150951774,0.12353543992634171,0.0031304684263386024,0.055950589150951774,0.03620071660810576,0.4026340264265952,True,False
69,mfcc1V_sma3nz_stddevNorm,0.0969692984456161,0.007508682207610289,0.009403044841034963,-0.04749310390198463,0.1912079737474842,0.0022555949182447074,0.04749310390198463,0.03886847260410032,0.5335592794892986,True,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.09578569044771335,0.008275547404076595,0.009174898494545164,-0.025172207973713428,0.4886485416055517,0.0006336400542718819,0.025172207973713428,0.04045823175326335,0.6476700725518353,True,False
65,slopeV5001500_sma3nz_stddevNorm,-0.09254565396323045,0.01074443398907108,0.008564698067481991,-0.011703907338380703,0.7475120071932734,0.00013698144698540168,0.011703907338380703,0.048652513395099684,0.8938014715737129,True,False
33,shimmerLocaldB_sma3nz_stddevNorm,0.09218358639947576,0.0110573894079772,0.008497813601469612,0.06208680761361033,0.08739189770361848,0.0038547716796494616,0.06208680761361033,0.048652513395099684,0.32600307469247497,True,False
50,F2amplitudeLogRelF0_sma3nz_amean,0.09041284396614165,0.01270726781863057,0.008174482354045876,0.03082459403263858,0.39642792183001385,0.0009501555972769779,0.03082459403263858,0.05324950323997572,0.6353383128466691,False,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.08908474691673497,0.014083812321275932,0.007936092133218721,0.03185636401332627,0.3808031954901037,0.001014827928149549,0.03185636401332627,0.05633524928510373,0.6353383128466691,False,False
24,mfcc2_sma3_amean,0.08778163776357628,0.015560442085856893,0.007705615928455722,0.0598401980629086,0.09948529582121834,0.00358084930420813,0.0598401980629086,0.05953560450240899,0.3367194627795082,False,False
17,loudness_sma3_stddevRisingSlope,0.08721237439946293,0.01624707276590788,0.007605998248392097,0.011277730323760678,0.7564098280830768,0.00012718720125547112,0.011277730323760678,0.059572600141662234,0.8938014715737129,False,False
56,F3amplitudeLogRelF0_sma3nz_amean,0.08579341459776833,0.018075438791883496,0.007360509988344569,0.020849606638539905,0.5662917466003717,0.0004347060969818473,0.020849606638539905,0.0636255445474299,0.7328481426593046,False,False
63,slopeV0500_sma3nz_stddevNorm,0.08516463456224119,0.01894154425552434,0.007253014980120086,0.02491444268692815,0.4931124416019655,0.0006207294544002276,0.02491444268692815,0.06410984209562083,0.6476700725518353,False,False
16,loudness_sma3_meanRisingSlope,0.08404509372142549,0.020573531763392452,0.007063577778643195,0.01660117421278493,0.6479303535112394,0.0002755989852432353,0.01660117421278493,0.06705447389550133,0.814541015842701,False,False
55,F3bandwidth_sma3nz_stddevNorm,0.07982263499385567,0.027878261523153362,0.006371653057362312,0.0339020581408814,0.3509599513486166,0.001149349546187703,0.0339020581408814,0.087617393358482,0.6353383128466691,False,False
40,F1frequency_sma3nz_amean,-0.07739132349931901,0.03302235396111452,0.005989416952976247,-0.046115272686479254,0.20442147440665828,0.0021266183749483396,0.046115272686479254,0.09977146547793377,0.5335592794892986,False,False
