,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
15,loudness_sma3_pctlrange02,0.2203114511947988,1.0871038038071435e-13,0.048537135527558214,0.17329924200576605,6.0086957992400345e-09,0.03003262727977307,0.17329924200576605,9.566513473502863e-12,2.643826151665615e-07,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.19219866489002732,1.031120808403788e-10,0.03694032678550902,-0.154129884895564,2.406595030163971e-07,0.02375602141791981,0.154129884895564,4.536931556976667e-09,3.877735286310957e-06,True,True
14,loudness_sma3_percentile800,0.1892102372371976,2.0179726655173224e-10,0.0358005138753566,0.1584858707465867,1.0804725722238763e-07,0.02511777122630379,0.1584858707465867,5.5732320257748e-09,2.377039658892528e-06,True,True
16,loudness_sma3_meanRisingSlope,0.18818694849475484,2.533287284443091e-10,0.03541432758376751,0.151735459464308,3.7026396163201215e-07,0.023023649658844656,0.151735459464308,5.5732320257748e-09,4.65474694623101e-06,True,True
17,loudness_sma3_stddevRisingSlope,0.18591282292816794,4.1803809548961134e-10,0.034563577729120325,0.1440961555854685,1.4005740892398678e-06,0.020763702054511547,0.1440961555854685,7.357470480617159e-09,1.1204592713918942e-05,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.1815779414332256,1.0674993011197797e-09,0.0329705488151279,-0.12353411812508806,3.6174102794592055e-05,0.015260678340943211,0.12353411812508806,1.4589475434201296e-08,0.00021222140306160673,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.18077423767620368,1.2670021694499262e-09,0.03267932500741258,0.14707730411510683,8.400213910072537e-07,0.021631733385767623,0.14707730411510683,1.4589475434201296e-08,7.392188240863833e-06,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.18030993051620497,1.3983352776291869e-09,0.032511671042758664,0.15361033766152815,2.6439104224847433e-07,0.023596135836488695,0.15361033766152815,1.4589475434201296e-08,3.877735286310957e-06,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.1795277484818256,1.6501247211097534e-09,0.03223021247495363,0.14911989669466313,5.883241300094325e-07,0.022236743590227006,0.14911989669466313,1.4589475434201296e-08,6.236504417861449e-06,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.1795055043763518,1.6578949357046926e-09,0.03222222610140845,-0.12476788647952211,3.016378279229633e-05,0.015567025496566916,0.12476788647952211,1.4589475434201296e-08,0.0001896009204087198,True,True
10,loudness_sma3_amean,0.17700588958567948,2.8001811841781257e-09,0.03133108494801776,0.1486589803479011,6.378243154631028e-07,0.022099492438077642,0.1486589803479011,2.2401449473425006e-08,6.236504417861449e-06,True,True
13,loudness_sma3_percentile500,0.17295316068557198,6.447308066597037e-09,0.029912795791129283,0.14022958575468641,2.6772807497413217e-06,0.01966433672093095,0.14022958575468641,4.728025915504494e-08,1.9633392164769693e-05,True,True
18,loudness_sma3_meanFallingSlope,0.17154171031869142,8.580858947644899e-09,0.029426558379061843,0.12047860056889186,5.632033994011325e-05,0.01451509319503859,0.12047860056889186,5.808581441482701e-08,0.0003097618696706229,True,True
87,equivalentSoundLevel_dBp,0.1684429054034477,1.5940918064869334e-08,0.02837301238075483,0.20265047692480298,9.040255534978939e-12,0.0410672157978501,0.20265047692480298,1.002000564077501e-07,7.955424870781466e-10,True,True
66,spectralFluxV_sma3nz_amean,0.1523835484776405,3.297247877467375e-07,0.02322074584663741,0.10453722361909928,0.00048010525579122694,0.010928031121989569,0.10453722361909928,1.934385421447527e-06,0.0022236453952435772,True,True
19,loudness_sma3_stddevFallingSlope,0.15113434800095937,4.1212855505179053e-07,0.02284159114567509,0.09381157712500887,0.0017380133973998017,0.008800612002681488,0.09381157712500887,2.266707052784848e-06,0.005275639690976508,True,True
83,MeanVoicedSegmentLengthSec,0.14824449663131548,6.857416239563601e-07,0.021976430781472104,0.07912781493843546,0.008294982219369208,0.006261211096931289,0.07912781493843546,3.5497213475388054e-06,0.021469365744249715,True,True
12,loudness_sma3_percentile200,0.14727026896605644,8.123949844072833e-07,0.021688532121334606,0.10137841561987392,0.0007103433512059997,0.010277583153595896,0.10137841561987392,3.971708812657829e-06,0.0028303467523616236,True,True
67,spectralFluxV_sma3nz_stddevNorm,0.14601937463887776,1.008286007002202e-06,0.021321657769928937,0.1371877087828234,4.404272214778706e-06,0.018820467441080763,0.1371877087828234,4.669956242957567e-06,2.9813534992348163e-05,True,True
21,spectralFlux_sma3_stddevNorm,0.14150431248062745,2.1664261818540363e-06,0.020023470450615057,0.10104628540792189,0.0007397497193672425,0.010210351794739208,0.10104628540792189,9.53227520015776e-06,0.0028303467523616236,True,True
20,spectralFlux_sma3_amean,0.13767964863118817,4.066511066215386e-06,0.018955685647207437,0.0949691098892503,0.001521718655437848,0.009019131833156498,0.0949691098892503,1.7040617801283523e-05,0.005128651512632935,True,True
86,StddevUnvoicedSegmentLength,-0.13528631302445537,5.979841615668254e-06,0.018302386491750925,-0.09380880803412475,0.0017385630799808948,0.008800092464783268,0.09380880803412475,2.3919366462673015e-05,0.005275639690976508,True,True
