,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
15,loudness_sma3_pctlrange02,0.17143789257892852,5.080163339837556e-15,0.029390951011904237,0.08665291894497938,8.383317754767241e-05,0.007508728361685166,0.08665291894497938,4.4705437390570487e-13,0.0010539028034564533,True,True
16,loudness_sma3_meanRisingSlope,0.16262803667775413,1.1960937369278236e-13,0.026447878313660945,0.09711936344877238,1.0319140563923301e-05,0.009432170756694745,0.09711936344877238,5.262812442482423e-12,0.00018161687392505011,True,True
17,loudness_sma3_stddevRisingSlope,0.1551606026769288,1.523333168634837e-12,0.024074812623067765,0.098911451191028,7.050588403100042e-06,0.009783475176715113,0.098911451191028,4.468443961328856e-11,0.00018161687392505011,True,True
18,loudness_sma3_meanFallingSlope,0.15101241040089353,5.9416526585237765e-12,0.022804748095087896,0.08239197951934318,0.0001846890164939028,0.006788438289115867,0.08239197951934318,1.3071635848752308e-10,0.0020315791814329307,True,True
14,loudness_sma3_percentile800,0.14477465427466693,4.2896157632606555e-11,0.020959700520349334,0.07352781453357278,0.0008509762481363743,0.005406339510083477,0.07352781453357278,7.549723743338754e-10,0.008320656648444549,True,True
87,equivalentSoundLevel_dBp,0.1347432983987768,8.652714155590553e-10,0.018155756463381807,0.09721257016698466,1.0118355777182145e-05,0.009450283798470916,0.09721257016698466,1.188023300445134e-08,0.00018161687392505011,True,True
19,loudness_sma3_stddevFallingSlope,0.13443769956989776,9.45018534444993e-10,0.018073495065646088,0.06838629413917462,0.0019232166897510065,0.0046766852260897085,0.06838629413917462,1.188023300445134e-08,0.011595384779598046,True,True
10,loudness_sma3_amean,0.13309541268400477,1.3886584577099763e-09,0.017714388877525536,0.06530174309239536,0.003060193532181014,0.004264317650905206,0.06530174309239536,1.527524303480974e-08,0.015841001813642897,True,True
66,spectralFluxV_sma3nz_amean,0.1306101501548559,2.8035947456781257e-09,0.017059011323474,0.0516494334492323,0.019205604458124553,0.002667663975626676,0.0516494334492323,2.7412926402186118e-08,0.06036047115410574,True,False
13,loudness_sma3_percentile500,0.1267039727464632,8.23846736793021e-09,0.016053896709736486,0.056965088031215846,0.00979811722558065,0.0032450212544041707,0.056965088031215846,7.249851283778585e-08,0.037488448515265095,True,True
