,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
15,loudness_sma3_pctlrange02,0.18344409605702175,1.125910132311712e-21,0.033651736378177824,0.136130635343297,1.5451383880598105e-12,0.018531549878969704,0.136130635343297,5.120931417347262e-20,2.7194435629852667e-11,True,True
16,loudness_sma3_meanRisingSlope,0.18337945305433861,1.163848049397105e-21,0.03362802380250838,0.14625328815742308,2.923760939162691e-14,0.02139002429685823,0.14625328815742308,5.120931417347262e-20,7.953810411494898e-13,True,True
17,loudness_sma3_stddevRisingSlope,0.17462964465414282,9.227935282842241e-20,0.030495512792032192,0.1457295010722443,3.6153683688613177e-14,0.021237087482765253,0.1457295010722443,2.7068610163003908e-18,7.953810411494898e-13,True,True
14,loudness_sma3_percentile800,0.17119186761727803,4.8401489593319e-19,0.02930665553829165,0.13125527125999958,9.432674335490117e-12,0.017227946233536073,0.13125527125999958,1.064832771053018e-17,1.3834589025385507e-10,True,True
10,loudness_sma3_amean,0.16534016154765285,7.515313421096987e-18,0.027337369020603942,0.12461272031049032,9.981603759663286e-11,0.015528330063180489,0.12461272031049032,1.1562491777182702e-16,1.0979764135629615e-09,True,True
18,loudness_sma3_meanFallingSlope,0.16523620718844273,7.883517120806388e-18,0.027303004166021973,0.12711274271335843,4.166595124218479e-11,0.016157649360112457,0.12711274271335843,1.1562491777182702e-16,5.238005299017516e-10,True,True
13,loudness_sma3_percentile500,0.1604961310789372,6.755230721931741e-17,0.025759008091307392,0.1166281009813488,1.449459872643079e-09,0.013602113938515695,0.1166281009813488,8.492290050428475e-16,1.4172496532510104e-08,True,True
87,equivalentSoundLevel_dBp,0.15950352689038527,1.0506784190436438e-16,0.025441375090471858,0.16091910724741218,5.59146235607055e-17,0.025894959077304144,0.16091910724741218,1.155746260948008e-15,4.920486873342084e-15,True,True
66,spectralFluxV_sma3nz_amean,0.15912733038724816,1.2412361563131868e-16,0.025321507276172432,0.10108180994194912,1.6147422580733e-07,0.010217532301140324,0.10108180994194912,1.213653130617338e-15,1.1841443225870867e-06,True,True
19,loudness_sma3_stddevFallingSlope,0.15770428294532743,2.32317667237544e-16,0.02487064085929989,0.1135579183157976,3.871883858866464e-09,0.01289540081221736,0.1135579183157976,2.0443954716903872e-15,3.407257795802488e-08,True,True
