,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
10,loudness_sma3_amean,0.4004796801515042,1.4565385607139425e-05,0.1603839742142511,0.2733887488204843,0.003854413791440223,0.07474140798162986,0.2733887488204843,0.00047438386740626166,0.02537882763477293,True,True
14,loudness_sma3_percentile800,0.39345236867974587,2.116429495380548e-05,0.15480476641970267,0.27542152390431923,0.003589019992490725,0.0758570158297775,0.27542152390431923,0.00047438386740626166,0.02537882763477293,True,True
13,loudness_sma3_percentile500,0.39246401132436304,2.2291245423008126e-05,0.15402800018480975,0.2587310628046258,0.006348213805585303,0.06694176286001123,0.2587310628046258,0.00047438386740626166,0.03593779280511376,True,True
66,spectralFluxV_sma3nz_amean,0.3911310890193972,2.3900436875627947e-05,0.1529835287974996,0.3109177941062843,0.0009463107139014465,0.09666987469191779,0.3109177941062843,0.00047438386740626166,0.011896477546189613,True,True
87,equivalentSoundLevel_dBp,0.38847884565747554,2.743173580100626e-05,0.1509158135233647,0.3463535992070021,0.0002101446449615532,0.11996081568364464,0.3463535992070021,0.00047438386740626166,0.005384737353191865,True,True
20,spectralFlux_sma3_amean,0.38527801862582306,3.2344354595881474e-05,0.14843915163624005,0.311535701381854,0.000923214325824994,0.09705449323548371,0.311535701381854,0.00047438386740626166,0.011896477546189613,True,True
17,loudness_sma3_stddevRisingSlope,0.35218164846850947,0.00016120121607777539,0.12403191351799678,0.32440957711968743,0.0005450657427437314,0.10524157372697443,0.32440957711968743,0.0019323688329020727,0.009593157072289672,True,True
18,loudness_sma3_meanFallingSlope,0.3503046762431495,0.00017566989390018842,0.12271336619781778,0.3810039983062472,4.019583624695365e-05,0.14516404672534683,0.3810039983062472,0.0019323688329020727,0.003537233589731921,True,True
16,loudness_sma3_meanRisingSlope,0.3464419218083507,0.00020930995524324244,0.12002200518626338,0.34294983806724666,0.0002447607887814484,0.1176145914303507,0.34294983806724666,0.0020465862290450373,0.005384737353191865,True,True
15,loudness_sma3_pctlrange02,0.3150230389055859,0.0008022437026132735,0.0992395150413103,0.2393752462227154,0.011780929613222935,0.05730050850418562,0.2393752462227154,0.007059744582996807,0.060983635644918724,True,False
12,loudness_sma3_percentile200,0.30435512671652304,0.001226306377448773,0.0926320431586308,0.23422949539491583,0.013781030891439065,0.0548634565129569,0.23422949539491583,0.009810451019590183,0.06737392880259098,True,False
25,mfcc2_sma3_stddevNorm,-0.29366454578077705,0.0018472508381583758,0.0862388654486301,-0.01783905208200193,0.8532486772974824,0.00031823177918437743,0.01783905208200193,0.013352361837483995,0.9330898060966198,True,False
71,mfcc2V_sma3nz_stddevNorm,-0.2919145185368424,0.0019725079987192268,0.08521408613259651,-0.07318294184998407,0.44737372320609325,0.0053557429778181495,0.07318294184998407,0.013352361837483995,0.8007280813303689,True,False
80,spectralFluxUV_sma3nz_amean,0.2582126098554153,0.006458071522253565,0.0666737518883449,0.2897461354085661,0.0021383487248870423,0.08395282298419911,0.2897461354085661,0.040593592425593836,0.01710678979909634,True,True
63,slopeV0500_sma3nz_stddevNorm,0.2538763616026149,0.007444939669660558,0.06445320698058167,0.05748667022219816,0.5508202794548279,0.0033047172532357644,0.05748667022219816,0.043676979395341944,0.8357273205521527,True,False
72,mfcc3V_sma3nz_amean,-0.24529850785773308,0.009797016132636099,0.06017135795723034,-0.29990098734684045,0.0014572819172039863,0.08994060221160975,0.29990098734684045,0.05388358872949854,0.014248978745994532,False,True
26,mfcc3_sma3_amean,-0.23769087647088757,0.012405704088214203,0.05649695275749873,-0.3013422884667816,0.0013785428847094246,0.09080717481839704,0.3013422884667816,0.06421776233899117,0.014248978745994532,False,True
78,slopeUV0500_sma3nz_amean,-0.22663741025717343,0.017270023297188013,0.05136451572807834,-0.35244988372488906,0.00015922624464710048,0.12422092053768781,0.35244988372488906,0.08254522992515677,0.005384737353191865,False,True
19,loudness_sma3_stddevFallingSlope,0.22494603335183747,0.01814392338471934,0.05060071792072597,0.2720580026231191,0.004037540760077511,0.07401555679128106,0.2720580026231191,0.08254522992515677,0.02537882763477293,False,True
22,mfcc1_sma3_amean,-0.22379493475415246,0.01876027952844472,0.050084172821615355,-0.06769407480011856,0.48225668534669947,0.004582487763044047,0.06769407480011856,0.08254522992515677,0.8007280813303689,False,False
62,slopeV0500_sma3nz_amean,-0.21679482577841383,0.022910973654798474,0.0469999964842928,-0.29036524369966266,0.00208975777039298,0.08431197474876448,0.29036524369966266,0.09600788960106027,0.01710678979909634,False,True
59,alphaRatioV_sma3nz_stddevNorm,-0.19668311372117503,0.03945336214310451,0.03868424722305667,-0.003180504636604326,0.9736933789813077,1.0115609743461616e-05,0.003180504636604326,0.15781344857241805,0.9736933789813077,False,False
23,mfcc1_sma3_stddevNorm,0.19488774898387418,0.04132471139698304,0.03798123470400155,0.004641162269963326,0.9616197190072319,2.154038721613113e-05,0.004641162269963326,0.15811193925802206,0.9736933789813077,False,False
48,F2bandwidth_sma3nz_amean,0.19260273931821859,0.04381308453591492,0.037095815192881666,0.1547530080778287,0.10647045037356585,0.02394849350913652,0.1547530080778287,0.16064797663168806,0.34701480121754796,False,False
54,F3bandwidth_sma3nz_amean,-0.17690689911484603,0.06448228255641175,0.03129605095443031,-0.12555456450392932,0.1912252475882118,0.01576394866777135,0.12555456450392932,0.22697763459856934,0.5802697168194013,False,False
24,mfcc2_sma3_amean,0.17414131201950886,0.0688391312821852,0.03032519655187594,-0.0033673703420520427,0.9721483755056963,1.133918302053169e-05,0.0033673703420520427,0.23299398280124223,0.9736933789813077,False,False
47,F2frequency_sma3nz_stddevNorm,0.17198778108461515,0.07239441825790398,0.029579796842409505,-0.012154311336963703,0.8997129887353928,0.0001477272840758444,0.012154311336963703,0.2359521780257611,0.9425564643894592,False,False
0,F0semitoneFrom275Hz_sma3nz_amean,0.156727180817558,0.10202546630453277,0.024563409207019517,-0.015853192960931153,0.869431512023696,0.00025132372705651706,0.015853192960931153,0.3206514655285316,0.9330898060966198,False,False
64,slopeV5001500_sma3nz_amean,-0.15077436793857812,0.11588727433512964,0.022732910027277734,-0.21716421685152482,0.02267376917713403,0.047160297080736095,0.21716421685152482,0.34256515518362496,0.10501535197830497,False,False
81,loudnessPeaksPerSec,0.150408935919461,0.11678357563078122,0.022622848004424524,0.2578581643755513,0.006534144146384319,0.06649083293512884,0.2578581643755513,0.34256515518362496,0.03593779280511376,False,True
68,mfcc1V_sma3nz_amean,-0.14412789141109572,0.1330420943394968,0.0207728490826086,-0.022665195575300685,0.8141860443743315,0.0005137110904666298,0.022665195575300685,0.3776678807056683,0.9330898060966198,False,False
52,F3frequency_sma3nz_amean,0.14238239791649768,0.13785369305512116,0.020272747236451883,0.003492113465633551,0.9711170578175109,1.219485645685917e-05,0.003492113465633551,0.3790976559015832,0.9736933789813077,False,False
40,F1frequency_sma3nz_amean,0.13985256578666463,0.14506063045075202,0.01955874015711336,0.030740136418693546,0.7498799730918048,0.0009449559870398893,0.030740136418693546,0.38682834786867204,0.9330898060966198,False,False
70,mfcc2V_sma3nz_amean,0.13036342842512258,0.17463993441556935,0.01699462347075206,-0.03232176759693602,0.7374676793821165,0.0010446966605903434,0.03232176759693602,0.449838724498604,0.9330898060966198,False,False
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,-0.12909351372579161,0.17891312906194476,0.016665135286071147,-0.11562447773511295,0.2290282627335453,0.01336901985151763,0.11562447773511295,0.449838724498604,0.6298277225172495,False,False
76,alphaRatioUV_sma3nz_amean,0.12504682353883012,0.1930409292878519,0.01563670807715132,0.08879249922969802,0.3562944271576905,0.007884107919455924,0.08879249922969802,0.46602271349346114,0.7925731263284588,False,False
69,mfcc1V_sma3nz_stddevNorm,0.12424286682068787,0.1959413681733871,0.015436289955823183,-0.04403338867844376,0.6478348826789393,0.001938939318506899,0.04403338867844376,0.46602271349346114,0.8907729636835415,False,False
58,alphaRatioV_sma3nz_amean,0.12127326100520287,0.20692764875600553,0.01470720383483606,0.17629210382777355,0.06543089227149505,0.03107890587202249,0.17629210382777355,0.4792008708033812,0.2617235690859802,False,False
44,F1amplitudeLogRelF0_sma3nz_amean,-0.11825378394701509,0.2185434295540758,0.013983957417787324,0.020159673859039676,0.8344151892277536,0.00040641245010284766,0.020159673859039676,0.49312363591688896,0.9330898060966198,False,False
75,mfcc4V_sma3nz_stddevNorm,0.11261379977226192,0.2414615527313543,0.0126818678991471,0.06563136363744643,0.49573278920538427,0.004307475892910725,0.06563136363744643,0.5138419735146805,0.8078608416680336,False,False
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.11258206352690558,0.2415950623287387,0.012674721027976205,-0.034478204112447515,0.7206531934778391,0.0011887465588195927,0.034478204112447515,0.5138419735146805,0.9330898060966198,False,False
83,MeanVoicedSegmentLengthSec,-0.11171964308871717,0.2452427600865521,0.01248127865187035,0.18046223059055902,0.05921375335136605,0.0325666166697201,0.18046223059055902,0.5138419735146805,0.24813382356762914,False,False
60,hammarbergIndexV_sma3nz_amean,-0.10944924273530235,0.25502720619041364,0.011979136735331134,-0.01584847246411841,0.8694700465900321,0.00025117407944591947,0.01584847246411841,0.5219161429013116,0.9330898060966198,False,False
21,spectralFlux_sma3_stddevNorm,0.10520565335622763,0.27402505643936864,0.011068229498110729,-0.07930840805212935,0.4101725761431943,0.006289823587763056,0.07930840805212935,0.5480501128787373,0.8007280813303689,False,False
42,F1bandwidth_sma3nz_amean,0.10005078036049261,0.29835551184613635,0.010010158650743535,0.01640903786104678,0.8648961763767423,0.0002692565235252667,0.01640903786104678,0.5721194359004337,0.9330898060966198,False,False
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,0.09977422165095891,0.2996998421662533,0.009954895306054678,-0.0501268188720312,0.603024607521629,0.002512697970229423,0.0501268188720312,0.5721194359004337,0.8423200866968786,False,False
53,F3frequency_sma3nz_stddevNorm,-0.09857731182609167,0.3055637896286407,0.009717486406858513,-0.16514560083160268,0.08468347772535688,0.027273069474031048,0.16514560083160268,0.5721194359004337,0.3105060849929752,False,False
39,logRelF0H1A3_sma3nz_stddevNorm,-0.09560317226127008,0.32045749811391144,0.00913996654641808,-0.19662753565037525,0.0395102098530457,0.03866238777593959,0.19662753565037525,0.5807715976525973,0.1738449233534011,False,False
82,VoicedSegmentsPerSec,0.09502931399151746,0.32338418505655986,0.009030570517698415,-0.01731076979275922,0.8575480139777957,0.00029966275081790505,0.01731076979275922,0.5807715976525973,0.9330898060966198,False,False
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,-0.09083216595625437,0.3453097865375564,0.008250482372304536,-0.05028232030718407,0.6018992463679176,0.0025283117354742554,0.05028232030718407,0.6077452243060992,0.8423200866968786,False,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,0.08747415970071346,0.3635085978275383,0.007651728615345922,-0.07159461271659268,0.45731981454483445,0.005125788570038894,0.07159461271659268,0.6100683892473656,0.8007280813303689,False,False
49,F2bandwidth_sma3nz_stddevNorm,-0.0874333559566839,0.36373331055142666,0.007644591733848192,-0.17325053015298567,0.07029218806966932,0.030015746198290595,0.17325053015298567,0.6100683892473656,0.2689440239187348,False,False
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,0.0857241324567788,0.37322311312913403,0.007348626885467357,-0.08605865047829515,0.3713540320740112,0.00740609132214537,0.08605865047829515,0.6100683892473656,0.7925731263284588,False,False
61,hammarbergIndexV_sma3nz_stddevNorm,0.08450908763456509,0.3800602209411601,0.007141785892826602,-0.054446218491365134,0.5721194599650892,0.0029643907080094704,0.054446218491365134,0.6100683892473656,0.8391085412821309,False,False
32,shimmerLocaldB_sma3nz_amean,0.08429146766640741,0.3812927432796035,0.0071050515213570056,-0.0632933701723839,0.5112437037675497,0.004006050707778416,0.0632933701723839,0.6100683892473656,0.8109238837885964,False,False
43,F1bandwidth_sma3nz_stddevNorm,0.08106343813873518,0.3998579566428878,0.006571281002872545,-0.08324032182594811,0.38728005036504237,0.0069289511776874126,0.08324032182594811,0.6283482175816809,0.7925731263284588,False,False
56,F3amplitudeLogRelF0_sma3nz_amean,-0.0788101647184359,0.4131290081387937,0.006211042062946998,0.017657219839910154,0.8547280100433354,0.00031177741247491675,0.017657219839910154,0.6378132055476113,0.9330898060966198,False,False
84,StddevVoicedSegmentLengthSec,-0.07508912986831284,0.43559895955098527,0.005638377424380352,-0.11019213124079472,0.25179665095967374,0.012142305787388527,0.11019213124079472,0.6557862743757132,0.633088722412894,False,False
50,F2amplitudeLogRelF0_sma3nz_amean,-0.07442602910992599,0.4396748885018986,0.00553923380907155,0.05501784571959793,0.5680857543701038,0.0030269633476254806,0.05501784571959793,0.6557862743757132,0.8391085412821309,False,False
11,loudness_sma3_stddevNorm,0.07221355943365626,0.4534294949396006,0.005214798166078205,-0.07386003526091468,0.4431709324352994,0.00545530480874356,0.07386003526091468,0.6650299259114143,0.8007280813303689,False,False
86,StddevUnvoicedSegmentLength,0.06980694018519105,0.46865914307876866,0.0048730088980188414,-0.0837785700549617,0.3842071679874104,0.007018848800454125,0.0837785700549617,0.6665493578293171,0.7925731263284588,False,False
35,HNRdBACF_sma3nz_stddevNorm,0.06952957982637824,0.47043210400481505,0.004834362470832704,-0.088003031061381,0.3606037719543984,0.00774453347599039,0.088003031061381,0.6665493578293171,0.7925731263284588,False,False
28,mfcc4_sma3_amean,-0.0684777499802828,0.4771887448096248,0.004689202242362122,-0.12662328735228617,0.1874440483961723,0.016033456899899635,0.12662328735228617,0.6665493578293171,0.5802697168194013,False,False
77,hammarbergIndexUV_sma3nz_amean,-0.0665450661903155,0.489739054515113,0.0044282458342734705,-0.029349814844372588,0.760844026713427,0.0008614116313989535,0.029349814844372588,0.6733911999582803,0.9330898060966198,False,False
74,mfcc4V_sma3nz_amean,-0.05805466025539732,0.5468844310166144,0.0033703435773696096,-0.121032403015873,0.2078376690594963,0.014648842579796702,0.121032403015873,0.7295138007436016,0.6096571625745225,False,False
31,jitterLocal_sma3nz_stddevNorm,0.05801839026070437,0.5471353505577012,0.003366133608443396,0.06862420210991893,0.47624485306122727,0.004709281115223001,0.06862420210991893,0.7295138007436016,0.8007280813303689,False,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.054037758343153504,0.5750099670468853,0.002920079326753056,0.016446527963825255,0.8645904375297756,0.0002704882820648861,0.016446527963825255,0.7552369716436703,0.9330898060966198,False,False
33,shimmerLocaldB_sma3nz_stddevNorm,-0.05273203853420744,0.5842953903095829,0.002780667887973138,-0.11206232408010598,0.2437888197720321,0.012557964478234701,0.11206232408010598,0.7561469756947543,0.6309828276452596,False,False
79,slopeUV5001500_sma3nz_amean,-0.04937963458735499,0.6084449350521318,0.002438348311980705,-0.16038663542745196,0.09417239205658436,0.02572387282373839,0.16038663542745196,0.7641470774339061,0.3314868200391769,False,False
34,HNRdBACF_sma3nz_amean,-0.04862446163523126,0.6139448489113709,0.0023643382693160765,0.03830203956013175,0.6911668738996244,0.0014670462344658975,0.03830203956013175,0.7641470774339061,0.9330898060966198,False,False
37,logRelF0H1H2_sma3nz_stddevNorm,-0.048270829186975034,0.6165277556569014,0.0023300729503981208,-0.061212281103490064,0.5252575156357954,0.003746943357892687,0.061212281103490064,0.7641470774339061,0.8109238837885964,False,False
27,mfcc3_sma3_stddevNorm,0.044797977195125405,0.6421382184709918,0.002006858760774976,0.019914025402051613,0.836404569076346,0.0003965684077135569,0.019914025402051613,0.7777868920578032,0.9330898060966198,False,False
65,slopeV5001500_sma3nz_stddevNorm,-0.04438540600549314,0.6452095809115868,0.001970064266272467,0.03514113522079526,0.7155103103431744,0.0012348993846062171,0.03514113522079526,0.7777868920578032,0.9330898060966198,False,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.04080827777890131,0.672085172518745,0.0016653155352799704,-0.062472496122202355,0.5167482851526861,0.0039028127717385883,0.062472496122202355,0.7913616001154832,0.8109238837885964,False,False
41,F1frequency_sma3nz_stddevNorm,0.04049544907467465,0.6744559091893323,0.001639881395759568,-0.1164265656135158,0.22579304647231072,0.0135551451805583,0.1164265656135158,0.7913616001154832,0.6298277225172495,False,False
67,spectralFluxV_sma3nz_stddevNorm,0.03857767310528511,0.6890585268478867,0.0014882368622182378,-0.11275906167038038,0.24085111150115057,0.012714605988784647,0.11275906167038038,0.7921134334082135,0.6309828276452596,False,False
30,jitterLocal_sma3nz_amean,-0.0371132720695574,0.7002867718031965,0.0013773949637089892,-0.07294347050141467,0.44886547884076466,0.005320749888790752,0.07294347050141467,0.7921134334082135,0.8007280813303689,False,False
29,mfcc4_sma3_stddevNorm,0.03687751710405324,0.7021005432481893,0.001359951267759739,-0.014235434597189029,0.882654974789768,0.00020264759817084638,0.014235434597189029,0.7921134334082135,0.9358269612228864,False,False
36,logRelF0H1H2_sma3nz_amean,-0.03190399408178297,0.7407398684456793,0.0010178648383704426,-0.07537949620713949,0.4338209322520446,0.005682068448442157,0.07537949620713949,0.825127954724301,0.8007280813303689,False,False
73,mfcc3V_sma3nz_stddevNorm,0.022505531706973236,0.8154716536491766,0.0005064989574135776,-0.09108312065849494,0.34397313428092946,0.008296134868889948,0.09108312065849494,0.8970188190140943,0.7925731263284588,False,False
85,MeanUnvoicedSegmentLength,0.01792495868885673,0.8525499434746493,0.00032130414399722036,-0.08848320725746679,0.35797888204191025,0.007829277966567825,0.08848320725746679,0.9098025536080215,0.7925731263284588,False,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.01724638247649601,0.8580723069592633,0.0002974377085255887,0.07138830639897574,0.4586206243691141,0.005096290290514041,0.07138830639897574,0.9098025536080215,0.8007280813303689,False,False
38,logRelF0H1A3_sma3nz_amean,0.017241848727159392,0.8581092266984749,0.00029728134753024795,0.03132255926022655,0.7453016219649459,0.000981102718610404,0.03132255926022655,0.9098025536080215,0.9330898060966198,False,False
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.014195169172951895,0.8829845292317775,0.00020150282784872379,0.018967101107056884,0.8440827693067693,0.0003597509244053185,0.018967101107056884,0.9250314115761479,0.9330898060966198,False,False
46,F2frequency_sma3nz_amean,-0.002683979607278033,0.977799099738266,7.203746532284344e-06,-0.15513028680006385,0.10560948305430531,0.024065405882670067,0.15513028680006385,0.9934177042817514,0.34701480121754796,False,False
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.0022940771643288594,0.9810235798797382,5.26279003589514e-06,-0.06919250025875963,0.4725917127699646,0.004787602092058451,0.06919250025875963,0.9934177042817514,0.8007280813303689,False,False
55,F3bandwidth_sma3nz_stddevNorm,-0.0019449784654092502,0.9839108753822371,3.782941230905722e-06,-0.05049925179022648,0.6003308789914451,0.002550174431372693,0.05049925179022648,0.9934177042817514,0.8423200866968786,False,False
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,-0.0007956748021335273,0.9934177042817514,6.330983907502278e-07,-0.10365070801030547,0.2812190674992618,0.010743469271037602,0.10365070801030547,0.9934177042817514,0.6874243872204177,False,False
