,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
10,loudness_sma3_amean,0.41961886664393155,6.070066640255608e-07,0.17607999324353762,0.3664535155596503,1.671529593086093e-05,0.13428817906602686,0.3664535155596503,2.7709716799182708e-05,0.0007670586228254943,True,True
13,loudness_sma3_percentile500,0.4190763243445321,6.297662908905161e-07,0.17562496562612348,0.3522576679091029,3.688295481100228e-05,0.12408546460075982,0.3522576679091029,2.7709716799182708e-05,0.0007670586228254943,True,True
14,loudness_sma3_percentile800,0.4033667703386539,1.7787446007882554e-06,0.16270475141343638,0.3491754915622724,4.3582876296903087e-05,0.12192352390775456,0.3491754915622724,5.217650828978883e-05,0.0007670586228254943,True,True
87,equivalentSoundLevel_dBp,0.3967165983915597,2.7176499111181653e-06,0.15738405943937006,0.3498255729015775,4.208129285794626e-05,0.12237793145591692,0.3498255729015775,5.978829804459963e-05,0.0007670586228254943,True,True
66,spectralFluxV_sma3nz_amean,0.3710980851095404,1.279631698444985e-05,0.1377137887719677,0.3098355276027865,0.0003166528248412405,0.09599805416489707,0.3098355276027865,0.0001998618331997726,0.0027865448586029164,True,True
20,spectralFlux_sma3_amean,0.3700111623374571,1.3626943172711767e-05,0.13690826025431604,0.3133825063775299,0.00026770169979596284,0.09820859530346257,0.3133825063775299,0.0001998618331997726,0.002617527731338303,True,True
12,loudness_sma3_percentile200,0.3651631977314373,1.799004197661068e-05,0.13334416097744878,0.354106475017409,3.334121368810771e-05,0.1253913956492549,0.354106475017409,0.00022616052770596285,0.0007670586228254943,True,True
17,loudness_sma3_stddevRisingSlope,0.3137720870546597,0.0002627756658903033,0.09845292261463695,0.3152524385832226,0.00024481326832940175,0.09938410003266854,0.3152524385832226,0.0028905323247933367,0.002617527731338303,True,True
16,loudness_sma3_meanRisingSlope,0.31116949552932277,0.00029734540804029493,0.09682645494797322,0.31723102436114864,0.00022257987790657148,0.10063552281722368,0.31723102436114864,0.002907377323060661,0.002617527731338303,True,True
18,loudness_sma3_meanFallingSlope,0.27415306993366334,0.001531269631276086,0.0751599057540521,0.28662669641052335,0.0009031623451590798,0.08215486309521032,0.28662669641052335,0.013475172755229557,0.006623190531166586,True,True
22,mfcc1_sma3_amean,-0.2693158487395128,0.0018670716216135973,0.07253102638228415,-0.13922651557345025,0.1127433282133629,0.019384022638724185,0.13922651557345025,0.014936572972908778,0.26232088007104115,True,False
72,mfcc3V_sma3nz_amean,-0.26686267819390425,0.002061766598018634,0.0712156890128233,-0.25360613336642546,0.0034692725718689925,0.06431607088106918,0.25360613336642546,0.015119621718803319,0.023484306640343948,True,True
54,F3bandwidth_sma3nz_amean,-0.2641365337939102,0.002299576492681455,0.06976810848466147,-0.22336451681092756,0.010332226754129174,0.04989170737017914,0.22336451681092756,0.01556636395045908,0.04329695020777939,True,True
