,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
78,slopeUV0500_sma3nz_amean,-0.2687565495854611,5.178681350369545e-05,0.0722300829450824,-0.4733196097555303,9.714889132947168e-14,0.22403145297912747,0.4733196097555303,0.001860344085447537,8.549102436993508e-12,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.2673035275210198,5.704882896997373e-05,0.0714511758251806,-0.014526349447641753,0.8299728298648853,0.00021101482827500184,0.014526349447641753,0.001860344085447537,0.9470148472853835,True,False
62,slopeV0500_sma3nz_amean,-0.26570408554085406,6.342082109480239e-05,0.07059866107310149,-0.34420398558851645,1.5274174547061908e-07,0.11847638369501964,0.34420398558851645,0.001860344085447537,4.4804245338048264e-06,True,True
16,loudness_sma3_meanRisingSlope,0.24424853819545803,0.0002462716694207813,0.059657348410618115,0.18524183530074814,0.00574225422741653,0.0343145375455895,0.18524183530074814,0.005417976727257188,0.04210986433438789,True,True
15,loudness_sma3_pctlrange02,0.23281996080398717,0.00048380478842656975,0.05420513414877012,0.14814479538502068,0.02766486950108069,0.021946880399669643,0.14814479538502068,0.007774990198797541,0.1058481963519609,True,False
17,loudness_sma3_stddevRisingSlope,0.23119760578357446,0.0005310857310454068,0.0534523329200571,0.15110244242249513,0.02467359957584838,0.022831948106043453,0.15110244242249513,0.007774990198797541,0.09933103998970555,True,False
19,loudness_sma3_stddevFallingSlope,0.22852292747572214,0.0006184651294498044,0.05222272838207416,0.2701950800166579,4.702986016957279e-05,0.07300538126520816,0.2701950800166579,0.007774990198797541,0.0008277255389844811,True,True
63,slopeV0500_sma3nz_stddevNorm,0.20977167773410743,0.001714099863575376,0.04400415677938222,0.159348984575,0.01775795223915577,0.025392098885083585,0.159348984575,0.01616516314486307,0.0868166553914282,True,False
41,F1frequency_sma3nz_stddevNorm,-0.20806717108158979,0.0018727467213024095,0.04329194768189555,-0.20149367306316554,0.0026180007657162314,0.04059970028448584,0.20149367306316554,0.01616516314486307,0.029691168818053126,True,True
14,loudness_sma3_percentile800,0.2072819803121513,0.0019502410540606207,0.04296581936212708,0.13344179660886957,0.047549197627956376,0.017806713082202913,0.13344179660886957,0.01616516314486307,0.14428722038828143,True,False
47,F2frequency_sma3nz_stddevNorm,-0.20659291254082204,0.0020206453931078837,0.04268063151209975,-0.16499048034859598,0.014060901234995099,0.027221858605660437,0.16499048034859598,0.01616516314486307,0.07278584168703345,True,False
18,loudness_sma3_meanFallingSlope,0.20248533093557458,0.0024905865745042353,0.04100030924408916,0.24076065098786925,0.00030367317270598343,0.057965691064102584,0.24076065098786925,0.01735621373557338,0.004453873199687757,True,True
66,spectralFluxV_sma3nz_amean,0.20190859294691946,0.0025639861200278855,0.04076707990580481,0.16659430304693437,0.013141463487405837,0.027753661807693807,0.16659430304693437,0.01735621373557338,0.0722780491807321,True,False
20,spectralFlux_sma3_amean,0.19987771518454264,0.0028383558818262005,0.039951101027393146,0.13620375209433888,0.043097069505647255,0.01855146208457612,0.13620375209433888,0.01784109411433612,0.14046452283322067,True,False
80,spectralFluxUV_sma3nz_amean,0.19837998474888782,0.00305746710423877,0.039354618348968966,0.15596903574073837,0.020356463855457863,0.024326340109895723,0.15596903574073837,0.01793714034486745,0.09428256943580483,True,False
87,equivalentSoundLevel_dBp,0.19285738319473059,0.004004099762556583,0.03719397025271915,0.15166833564688628,0.024134159383157654,0.023003284037896556,0.15166833564688628,0.022022548694061204,0.09933103998970555,True,False
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.18851117065813067,0.00492679491562954,0.03553646146289886,-0.17060099877358395,0.011071466884591614,0.02910470078254439,0.17060099877358395,0.023668380121881282,0.06495260572293747,True,False
21,spectralFlux_sma3_stddevNorm,0.18674127801271315,0.005354329444435718,0.03487230491382142,0.06415810378014836,0.3424433972643286,0.004116262280664287,0.06415810378014836,0.023668380121881282,0.6027003791852182,True,False
10,loudness_sma3_amean,0.18670551131574228,0.005363302074017795,0.03485894795567277,0.12568256461530125,0.06215156277989889,0.015796107048279374,0.12568256461530125,0.023668380121881282,0.16573750074639704,True,False
25,mfcc2_sma3_stddevNorm,0.18664236074140308,0.005379177300427564,0.034835370823124046,-0.022079709095815754,0.7441089741342318,0.0004875135537558489,0.022079709095815754,0.023668380121881282,0.897008078408389,True,False
13,loudness_sma3_percentile500,0.1764645000346321,0.008560584570433032,0.031139719772472672,0.12664979939175935,0.06015120909339658,0.01604017168597289,0.12664979939175935,0.035872925818957464,0.16573750074639704,True,False
28,mfcc4_sma3_amean,0.1675546805064062,0.01261654506089685,0.028074570959603858,0.3483333786014144,1.0582591051566747e-07,0.1213361426478763,0.3483333786014144,0.0504661802435874,4.4804245338048264e-06,False,True
