,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.26911134142866144,1.5444867696139105e-05,0.0724209140855336,-0.00147019531665604,0.9815098646586274,2.161474269117354e-06,0.00147019531665604,0.0013591483572602413,0.9901747904618367,True,False
62,slopeV0500_sma3nz_amean,-0.23646579049204147,0.00015595527676302018,0.05591607007302605,-0.2936206394775262,2.2084293055763888e-06,0.08621307992719142,0.2936206394775262,0.0068620321775728875,6.478059296357408e-05,True,True
47,F2frequency_sma3nz_stddevNorm,-0.20104543259165397,0.001364691735452512,0.04041926596596528,-0.08520854424140875,0.1784097952182213,0.007260496011740112,0.08520854424140875,0.03253244746270885,0.4331297760562682,True,False
41,F1frequency_sma3nz_stddevNorm,-0.19961865498702427,0.0014787476119413113,0.03984760741882863,-0.10816867529122395,0.08723233728288082,0.011700462314258243,0.10816867529122395,0.03253244746270885,0.3306050567325329,True,False
16,loudness_sma3_meanRisingSlope,0.19092237630504472,0.002384129995322186,0.0364513537739651,0.2054437260969772,0.0010619317949646142,0.042207124592609786,0.2054437260969772,0.037270360511169366,0.01334999970812658,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.1897330155013922,0.0025411609439433655,0.03599861717125154,-0.13641836583490563,0.03072656380358118,0.01860997053706615,0.13641836583490563,0.037270360511169366,0.1351968807357572,True,False
15,loudness_sma3_pctlrange02,0.18487967954920922,0.003284144047991035,0.034180495910218295,0.17195008285333754,0.006314745945022594,0.029566830993269646,0.17195008285333754,0.04128638231760158,0.05051796756018075,True,False
25,mfcc2_sma3_stddevNorm,0.18165568789248993,0.0038811210306062944,0.03299878894369371,-0.014068005235114249,0.824487027948263,0.00019790877129520192,0.014068005235114249,0.042692331336669234,0.9901747904618367,True,False
17,loudness_sma3_stddevRisingSlope,0.17909052518359592,0.004424275832617228,0.0320734162105362,0.1723655633745771,0.006187552714855782,0.029709887437435353,0.1723655633745771,0.043259585918924,0.05051796756018075,True,False
24,mfcc2_sma3_amean,-0.17186323262863237,0.006341627582139673,0.029536970729563405,-0.14344885034501945,0.02302125798763311,0.020577572665307787,0.14344885034501945,0.05580632272282913,0.10662477383745862,False,False
19,loudness_sma3_stddevFallingSlope,0.1696156651243324,0.007073852785045676,0.02876947385556967,0.28350599583887665,5.039669119406989e-06,0.08037564967659314,0.28350599583887665,0.05659082228036541,0.00011087272062695376,False,True
14,loudness_sma3_percentile800,0.1646534783442707,0.008963530232423888,0.027110767930867218,0.15866533662334795,0.011830855759069439,0.02517468904580032,0.15866533662334795,0.06379941540028695,0.06810298754213379,False,False
69,mfcc1V_sma3nz_stddevNorm,-0.16323925765593597,0.009578440320217735,0.02664705524006105,-0.12180813051099636,0.05393555689105276,0.014837220658583922,0.12180813051099636,0.06379941540028695,0.22573781405934776,False,False
53,F3frequency_sma3nz_stddevNorm,-0.15895473068019456,0.011675607334577672,0.025266606405613186,-0.012340849126443343,0.8457473585285499,0.00015229655716163742,0.012340849126443343,0.06379941540028695,0.9901747904618367,False,False
21,spectralFlux_sma3_stddevNorm,0.15824133410554012,0.012061602092033434,0.025040319819501174,0.07091736005077766,0.262993413386998,0.005029271956571635,0.07091736005077766,0.06379941540028695,0.5644736677574591,False,False
20,spectralFlux_sma3_amean,0.15762368196695387,0.012404828087725807,0.024845225116819417,0.15766364871006805,0.012382361371297054,0.02485782612457174,0.15766364871006805,0.06379941540028695,0.06810298754213379,False,False
18,loudness_sma3_meanFallingSlope,0.15556141010422977,0.013613897949256841,0.024199352313616362,0.25650380307403026,3.913739546463157e-05,0.0657942009914409,0.25650380307403026,0.06379941540028695,0.0006888181601775157,False,True
66,spectralFluxV_sma3nz_amean,0.15552558092745586,0.013635787809972225,0.024188206322822623,0.18615603588429044,0.003071742432345497,0.034654069696153235,0.18615603588429044,0.06379941540028695,0.033789166755800466,False,True
80,spectralFluxUV_sma3nz_amean,0.15529909857870675,0.01377487377960741,0.024117810019358876,0.175861965750944,0.005204774419320293,0.030927430997786203,0.175861965750944,0.06379941540028695,0.05051796756018075,False,False
78,slopeUV0500_sma3nz_amean,-0.15385981658909992,0.014688208298606328,0.023672843160831465,-0.4237869157414499,2.3183617127529133e-12,0.17959534995365076,0.4237869157414499,0.06462811651386785,2.0401583072225636e-10,False,True
87,equivalentSoundLevel_dBp,0.14898646496230394,0.018186251386692238,0.022196966741963822,0.16666587422449566,0.00814895633024932,0.027777513631015407,0.16666587422449566,0.07535748640305892,0.05975901308849502,False,False
10,loudness_sma3_amean,0.1481686477788055,0.01883937160076473,0.021953948184599725,0.15138841464706781,0.016380643213170037,0.022918452089352538,0.15138841464706781,0.07535748640305892,0.08008314459772017,False,False
13,loudness_sma3_percentile500,0.13876203446818827,0.027943747635909948,0.01925490220975067,0.15213339025202974,0.015853396073477764,0.023144568429576375,0.15213339025202974,0.10691520834609024,0.08008314459772017,False,False
36,logRelF0H1H2_sma3nz_amean,-0.13602487895189136,0.031216241942997068,0.018502767693876696,-0.1582051183684685,0.01208149362630684,0.025028859477981134,0.1582051183684685,0.11445955379098925,0.06810298754213379,False,False
28,mfcc4_sma3_amean,0.13408274761826913,0.03373176045737289,0.017978183208864455,0.30519339823401626,8.259240323798562e-07,0.09314301032562684,0.30519339823401626,0.11873579680995255,3.6340657424713675e-05,False,True
70,mfcc2V_sma3nz_amean,-0.1265679249759421,0.04514860886343536,0.01601943963271571,-0.08282796316311257,0.19089360890901594,0.006860471481749932,0.08282796316311257,0.15281067615316582,0.4331297760562682,False,False
63,slopeV0500_sma3nz_stddevNorm,0.12525845307219005,0.0474371980446943,0.015689680066038037,0.16114289874067086,0.01055875081804573,0.025967033814546105,0.16114289874067086,0.1545026459316194,0.06810298754213379,False,False
85,MeanUnvoicedSegmentLength,0.12430715652331527,0.04915993279642435,0.015452269162912001,-0.013459342244487174,0.8319655785409497,0.00018115389365423704,0.013459342244487174,0.1545026459316194,0.9901747904618367,False,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.12131842522426406,0.05491509874250064,0.01471816029889535,0.08878189245004484,0.16081988420210666,0.007882224427011328,0.08878189245004484,0.16505192451227896,0.4162397002878055,False,False
81,loudnessPeaksPerSec,-0.12065397825969999,0.05626770153827691,0.014557382469892159,0.10002547310331796,0.11393332009678293,0.010005095269542583,0.10002547310331796,0.16505192451227896,0.3858646278161791,False,False
32,shimmerLocaldB_sma3nz_amean,-0.11969606747852106,0.058266125990268404,0.014327148569822666,-0.02167998221859051,0.7325004864884408,0.0004700216289984007,0.02167998221859051,0.1654006157143103,0.9764426374980737,False,False
11,loudness_sma3_stddevNorm,0.11391716782693255,0.07160080532913235,0.012977121125709517,0.043103354727257195,0.49663557599488556,0.0018578991887437653,0.043103354727257195,0.19690221465511396,0.8569398174029397,False,False
35,HNRdBACF_sma3nz_stddevNorm,-0.11208230296978766,0.07632104369554928,0.012562442639011273,-0.01195932272332239,0.8504594008771693,0.00014302540000057524,0.01195932272332239,0.20158732175461386,0.9901747904618367,False,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.11149429604052383,0.07788601067791899,0.012430978049571967,0.09139626955326606,0.14879945883110185,0.008353278088253268,0.09139626955326606,0.20158732175461386,0.41450871463683286,False,False
50,F2amplitudeLogRelF0_sma3nz_amean,-0.11017582057994114,0.08148957738419359,0.012138711440463383,-0.08922335643952084,0.1587404878842417,0.007960807334333785,0.08922335643952084,0.20488808028025818,0.4162397002878055,False,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,0.10767080727615698,0.08870593993757166,0.011593002739499338,0.10718433246596451,0.09016501547250896,0.011488481126174413,0.10718433246596451,0.2168367420696196,0.3306050567325329,False,False
