,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
55,F3bandwidth_sma3nz_stddevNorm,0.3558157337721097,0.0013883480611507188,0.12660483639978484,0.16859011483863734,0.1400802545772849,0.028422626821304926,0.16859011483863734,0.12217462938126325,0.425071117337968,False,False
49,F2bandwidth_sma3nz_stddevNorm,0.30170150569035414,0.0072660938309111744,0.09102379853582679,0.16271741397962308,0.15462455246397389,0.026476956812216037,0.16271741397962308,0.14535597811053552,0.4489893437524354,False,False
19,loudness_sma3_stddevFallingSlope,0.28713229043757377,0.010807642752424745,0.08244495221192721,0.20448494096710307,0.07252122165301388,0.04181409108231963,0.20448494096710307,0.14535597811053552,0.30843307157983335,False,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.28434868927621876,0.011633552064309757,0.08085417709310361,-0.20134993518497268,0.07710826789495834,0.0405417963989927,0.20134993518497268,0.14535597811053552,0.30843307157983335,False,False
18,loudness_sma3_meanFallingSlope,0.2766235576128251,0.0142193248999738,0.07652059262637596,0.27345367124309733,0.015416195117101784,0.07477691031632795,0.27345367124309733,0.14535597811053552,0.16957814628811962,False,False
17,loudness_sma3_stddevRisingSlope,0.27192463455145516,0.01602394020405222,0.07394300687594244,0.2877987955550496,0.010617639816431969,0.08282814672293724,0.2877987955550496,0.14535597811053552,0.14658758107326234,False,False
12,loudness_sma3_percentile200,0.2669064911734159,0.018165728587681566,0.07123907503050475,0.2335225700072499,0.0396227215668689,0.054532790702790934,0.2335225700072499,0.14535597811053552,0.2717697035228789,False,False
40,F1frequency_sma3nz_amean,-0.2656168410940726,0.018754292601298985,0.0705523062727938,-0.21548143117892787,0.0581350558026125,0.04643224718291903,0.21548143117892787,0.14535597811053552,0.3009344065076412,False,False
15,loudness_sma3_pctlrange02,0.2649273252100672,0.01907562382095253,0.07018648764296069,0.30199276841987216,0.0072071968450841024,0.09119963217789853,0.30199276841987216,0.14535597811053552,0.14658758107326234,False,False
14,loudness_sma3_percentile800,0.262807702307384,0.02009312300670841,0.06906788839208657,0.28426120257435783,0.011660375767191321,0.0808044312890201,0.28426120257435783,0.14535597811053552,0.14658758107326234,False,False
13,loudness_sma3_percentile500,0.2611988319113714,0.020896107888911872,0.06822482979186484,0.284979261885332,0.01144179857529238,0.08121317970470865,0.284979261885332,0.14535597811053552,0.14658758107326234,False,False
10,loudness_sma3_amean,0.26071361703003426,0.021143593678601875,0.06797159010488336,0.26705362109013425,0.01809960056999922,0.071317636537353,0.26705362109013425,0.14535597811053552,0.17697387223999234,False,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.260075176396696,0.021473042220874566,0.06763909737777253,0.20899066101144267,0.06631476924996267,0.043677096389999746,0.20899066101144267,0.14535597811053552,0.30843307157983335,False,False
16,loudness_sma3_meanRisingSlope,0.25647437122466793,0.02341429016147716,0.06577910309508878,0.30551325837153576,0.006527825689231584,0.09333835104079276,0.30551325837153576,0.14717553815785642,0.14658758107326234,False,False
