,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
55,F3bandwidth_sma3nz_stddevNorm,0.3515498334669843,0.0012901883458179405,0.12358728541066441,0.16403706611461777,0.143379956120336,0.026908159059491482,0.16403706611461777,0.11353657443197876,0.4703566957474635,False,False
49,F2bandwidth_sma3nz_stddevNorm,0.2977994890994289,0.006932015998630112,0.08868453570788086,0.154928248003484,0.16726774049487722,0.024002762029429046,0.154928248003484,0.13561145970569255,0.4906520387849732,False,False
19,loudness_sma3_stddevFallingSlope,0.2845244199621841,0.010042493382376361,0.0809541455548173,0.21120207586087103,0.05839982881198551,0.04460631684794112,0.21120207586087103,0.13561145970569255,0.3023049962032191,False,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.2832014749278882,0.010410839459461111,0.0802030754013313,-0.19589017431840286,0.07966509862909654,0.03837296039449426,0.19589017431840286,0.13561145970569255,0.3894738155200275,False,False
18,loudness_sma3_meanFallingSlope,0.2708045675806502,0.01447572612504415,0.07333511382254293,0.2791990316806721,0.011597963656068706,0.07795209929142495,0.2791990316806721,0.13561145970569255,0.12757760021675577,False,False
40,F1frequency_sma3nz_amean,-0.2701887138577883,0.014709282181186415,0.0730019410961258,-0.16258344104982983,0.1470094410434394,0.02643337530360349,0.16258344104982983,0.13561145970569255,0.4703566957474635,False,False
17,loudness_sma3_stddevRisingSlope,0.267132254640622,0.01591722714718645,0.07135964146938212,0.2938425156266524,0.007755531258318872,0.08634342398979947,0.2938425156266524,0.13561145970569255,0.1081867712771957,False,False
15,loudness_sma3_pctlrange02,0.26293532556630406,0.017714689438804557,0.06913498543065831,0.307604452303046,0.005214354528404865,0.0946204990766569,0.307604452303046,0.13561145970569255,0.1081867712771957,False,False
12,loudness_sma3_percentile200,0.262536161116301,0.01789439225705203,0.06892523589368436,0.23984472990612332,0.031033948567288926,0.05752549446374125,0.23984472990612332,0.13561145970569255,0.21516236891749943,False,False
14,loudness_sma3_percentile800,0.26063157645485785,0.018773556869845952,0.06792881864534442,0.290127289761074,0.008605765897049658,0.08417384426410619,0.290127289761074,0.13561145970569255,0.1081867712771957,False,False
