,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
49,F2bandwidth_sma3nz_stddevNorm,0.3487864336967522,0.0018786381729877005,0.12165197633089893,0.14013294128692555,0.22415363379312983,0.019637241233724925,0.14013294128692555,0.06254369159826419,0.533122156048525,False,False
13,loudness_sma3_percentile500,0.3430808045980075,0.002253877784851098,0.1177044384836162,0.2395332309443944,0.035890511243203756,0.057376168726660584,0.2395332309443944,0.06254369159826419,0.19032408772884643,False,False
12,loudness_sma3_percentile200,0.33582271362820904,0.0028277930378406094,0.1127768949886141,0.19970748907878413,0.08162208437569153,0.03988308119415268,0.19970748907878413,0.06254369159826419,0.3122931923939502,False,False
10,loudness_sma3_amean,0.33565021786475857,0.0028428950726483724,0.1126610687526599,0.2515527610119948,0.027322414439408808,0.06327879157275777,0.2515527610119948,0.06254369159826419,0.19032408772884643,False,False
14,loudness_sma3_percentile800,0.3208819267324263,0.0044365714342980275,0.10296521090351422,0.257203113218861,0.023935172613633312,0.06615344144947424,0.257203113218861,0.06596390698089662,0.19032408772884643,False,False
87,equivalentSoundLevel_dBp,0.32041751506159827,0.00449753911233386,0.10266738395824955,0.3102943737222195,0.0060247975957868445,0.09628259836366443,0.3102943737222195,0.06596390698089662,0.13254554710731056,False,False
15,loudness_sma3_pctlrange02,0.31448631457987997,0.005344197143821094,0.09890164205803523,0.26901675272304687,0.01799150629458234,0.07237001324565294,0.26901675272304687,0.06718419266517947,0.19032408772884643,False,False
20,spectralFlux_sma3_amean,0.29131880665800025,0.010154756691256366,0.08486664711264133,0.2532727030548808,0.026250907692985416,0.06414706211272583,0.2532727030548808,0.07493984209111866,0.19032408772884643,False,False
18,loudness_sma3_meanFallingSlope,0.2897796136918273,0.0105786631082815,0.08397222451138467,0.27156818628179913,0.016889286713046764,0.07374927980038595,0.27156818628179913,0.07493984209111866,0.19032408772884643,False,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.28931520202099925,0.010709557519881568,0.08370328612045161,0.24711058774601743,0.030262194364289674,0.06106364257618218,0.24711058774601743,0.07493984209111866,0.19032408772884643,False,False
16,loudness_sma3_meanRisingSlope,0.2852151104128315,0.011927708631749802,0.08134765920780365,0.2434259371875236,0.032898610542237715,0.05925618689562418,0.2434259371875236,0.07493984209111866,0.19032408772884643,False,False
50,F2amplitudeLogRelF0_sma3nz_amean,0.28094252304121337,0.013323444522628443,0.0789287012527627,0.23832366039351177,0.03686522845373174,0.056798167103361934,0.23832366039351177,0.07493984209111866,0.19032408772884643,False,False
19,loudness_sma3_stddevFallingSlope,0.2809292541363326,0.013327990486026278,0.07892124582959613,0.21243307021482252,0.06361986999851513,0.04512780932089572,0.21243307021482252,0.07493984209111866,0.2578469439212347,False,False
83,MeanVoicedSegmentLengthSec,0.2805109203852959,0.01347200320719425,0.07868637645540581,0.1721350523058436,0.13440068310792555,0.029630476232335515,0.1721350523058436,0.07493984209111866,0.37796090467186,False,False
56,F3amplitudeLogRelF0_sma3nz_amean,0.2790981452627819,0.013968358351258241,0.07789577468912492,0.2320767418853921,0.04225745371921468,0.05385961412413891,0.2320767418853921,0.07493984209111866,0.1957187330153101,False,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.2784347000187419,0.01420685523516427,0.07752588217452677,-0.16417958589962178,0.15363527241235925,0.026954936426171288,0.16417958589962178,0.07493984209111866,0.4096940597662913,False,False
80,spectralFluxUV_sma3nz_amean,0.2765903222403104,0.014888459712684583,0.07650220635699874,0.21989628206309,0.05465449164857502,0.04835437486517004,0.21989628206309,0.07493984209111866,0.2404797632537301,False,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.2734588606884413,0.01611044112570928,0.07477974848902033,-0.1872188747957738,0.10301285822894468,0.03505090707979562,0.1872188747957738,0.07493984209111866,0.3486589047748897,False,False
66,spectralFluxV_sma3nz_amean,0.2732863649249908,0.016180193178764256,0.07468543725391524,0.24795515380507166,0.029683627946374802,0.061481758298496746,0.24795515380507166,0.07493984209111866,0.19032408772884643,False,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.26917300441194236,0.01792227395814758,0.07245410630415154,-0.1927398775487938,0.09307239838144718,0.03714866039752403,0.1927398775487938,0.07885800541584936,0.32761484230269405,False,False
17,loudness_sma3_stddevRisingSlope,0.2596061239928843,0.02260671001344103,0.06739533961460882,0.16187939629006426,0.15956146408068259,0.02620493894323567,0.16187939629006426,0.09473288005632433,0.4129826129147079,False,False
71,mfcc2V_sma3nz_stddevNorm,0.2504903863397736,0.02800255977815389,0.06274543364864904,0.1465952138205084,0.20329739085596168,0.02149015671508058,0.1465952138205084,0.11201023911261555,0.4969491776479063,False,False
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.23410944351309573,0.04043536185537289,0.054807231542011364,-0.009442763026445054,0.9350392207400862,8.916577357359776e-05,0.009442763026445054,0.15470921057707887,0.9680406050015009,False,False
84,StddevVoicedSegmentLengthSec,0.22969952206791333,0.044474177699172925,0.052761870438227804,0.18097433101326196,0.1152321984978343,0.03275170848569771,0.18097433101326196,0.15901134981127105,0.36215833813605064,False,False
31,jitterLocal_sma3nz_stddevNorm,0.22896972750296996,0.04517367892365655,0.052427136112784316,0.24614378463238332,0.030936123901607895,0.0605867627131531,0.24614378463238332,0.15901134981127105,0.19032408772884643,False,False
26,mfcc3_sma3_amean,0.22701769360563548,0.04708945880571311,0.05153703321002219,0.09049979397290125,0.4337730558507396,0.008190212709137574,0.09049979397290125,0.15937970672702897,0.7675448017728199,False,False
28,mfcc4_sma3_amean,0.2186450146258496,0.056081089953327015,0.04780564242073798,0.35057334759309594,0.0017732637988365646,0.12290167204262967,0.35057334759309594,0.18278281169973248,0.13254554710731056,False,False
34,HNRdBACF_sma3nz_amean,0.21490318344946355,0.060529411942020876,0.046183378256713786,0.12101606239872226,0.2944536192659756,0.014644887358491438,0.12101606239872226,0.19023529467492276,0.6644081665488679,False,False
67,spectralFluxV_sma3nz_stddevNorm,0.2089454451579836,0.06819957131150063,0.043658199052267935,0.17082312533025723,0.13744032897158545,0.02918054014759677,0.17082312533025723,0.1992065667152388,0.37796090467186,False,False
77,hammarbergIndexUV_sma3nz_amean,-0.20776451262359227,0.06980916294521275,0.043166092705718834,-0.08968840847774052,0.4379231420551894,0.008044010615270039,0.08968840847774052,0.1992065667152388,0.7675448017728199,False,False
74,mfcc4V_sma3nz_amean,0.2074991345259762,0.07017504054741366,0.04305589082902917,0.3331071242177013,0.0030740709515774504,0.11096035620458707,0.3331071242177013,0.1992065667152388,0.13254554710731056,False,False
72,mfcc3V_sma3nz_amean,0.1935800533060153,0.09162816284845048,0.037473237037959725,0.09310284038637225,0.42061035537463426,0.008668138888010306,0.09310284038637225,0.2395112767041836,0.7675448017728199,False,False
41,F1frequency_sma3nz_stddevNorm,0.1930758349205448,0.09249276523275095,0.03727827803026547,0.23584711616303164,0.038929927035445865,0.05562386220241854,0.23584711616303164,0.2395112767041836,0.19032408772884643,False,False
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.19304929711078322,0.09253844781752547,0.03726803111496746,0.08682352384911221,0.452754158267472,0.007538324293577357,0.08682352384911221,0.2395112767041836,0.7675448017728199,False,False
