,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
49,F2bandwidth_sma3nz_stddevNorm,0.3304847517137402,0.0027531553489954295,0.1092201711152925,0.13484431398305308,0.23304257104867215,0.018182989013560205,0.13484431398305308,0.09253370790981709,0.5689739523134734,False,False
13,loudness_sma3_percentile500,0.3235563868750343,0.0034157164190214344,0.10468873548762686,0.24417807584404802,0.029052182607909774,0.059622932722901666,0.24417807584404802,0.09253370790981709,0.17836718143415226,False,False
12,loudness_sma3_percentile200,0.3154361546187638,0.0043706687219402,0.09949996764067265,0.20514066511061924,0.06793728434588409,0.042082692482027236,0.20514066511061924,0.09253370790981709,0.27174913738353634,False,False
10,loudness_sma3_amean,0.3153888752460926,0.004376862024703859,0.09947014262899537,0.2560737118497774,0.021864316395161107,0.06557374590052283,0.2560737118497774,0.09253370790981709,0.17491453116128886,False,False
87,equivalentSoundLevel_dBp,0.3024934263500357,0.006387279321505007,0.09150227298498446,0.3056890247927826,0.005825016110822619,0.09344577987876244,0.3056890247927826,0.09253370790981709,0.1281503544380976,False,False
14,loudness_sma3_percentile800,0.30163057779878716,0.006547080718182855,0.0909810054632302,0.26157222053311197,0.019092759818530626,0.06842002655462297,0.26157222053311197,0.09253370790981709,0.17491453116128886,False,False
15,loudness_sma3_pctlrange02,0.2955906379400474,0.007767815124026122,0.0873738252378042,0.27304305250437805,0.01426611340804357,0.07455250852090854,0.27304305250437805,0.09253370790981709,0.15692724748847928,False,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.2757349173096614,0.013300226876948323,0.0760297446237658,0.23566808619648713,0.03533975836622552,0.055539446851514886,0.23566808619648713,0.09253370790981709,0.19436867101424035,False,False
18,loudness_sma3_meanFallingSlope,0.2731092962349142,0.01424163487351527,0.07458868768993011,0.2754938294854534,0.01338435899696679,0.07589685008456008,0.2754938294854534,0.09253370790981709,0.15692724748847928,False,False
20,spectralFlux_sma3_amean,0.2730620168622431,0.014259101939780253,0.07456286505287592,0.25773325111687756,0.02099376977564982,0.06642642873127547,0.25773325111687756,0.09253370790981709,0.17491453116128886,False,False
50,F2amplitudeLogRelF0_sma3nz_amean,0.26819381317542085,0.016159745937392108,0.07192792142557254,0.22684978429531072,0.04301796372823051,0.051460824634829004,0.22684978429531072,0.09253370790981709,0.22035251521553395,False,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.2680401543137514,0.016223131560373527,0.07184552432453965,-0.1569748219780577,0.1643571408865332,0.024641094735042907,0.1569748219780577,0.09253370790981709,0.4253949528827918,False,False
56,F3amplitudeLogRelF0_sma3nz_amean,0.26753189807899846,0.016434320388864488,0.07157331648975163,0.2217838196035038,0.048022196391427026,0.049188062637919513,0.2217838196035038,0.09253370790981709,0.22241859381292517,False,False
83,MeanVoicedSegmentLengthSec,0.26643766643371913,0.016897042017775983,0.07098903009464579,0.17407507069042083,0.12251895013998737,0.03030213023587501,0.17407507069042083,0.09253370790981709,0.35938892041062964,False,False
