,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.24289204953751156,2.8082026813619924e-05,0.05899654772853297,-0.1254527080491948,0.0324105156174995,0.015738381956876508,0.1254527080491948,0.0024712183595985535,0.23767711452832965,True,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.22436870502855666,0.00011324767717607248,0.050341315796191465,-0.13716830145259407,0.019236275804601913,0.01881514292338972,0.13716830145259407,0.003408578841448791,0.23767711452832965,True,False
30,jitterLocal_sma3nz_amean,-0.22401210772792793,0.00011620155141302695,0.050181424408708784,-0.15531741181096206,0.007948749199065411,0.024123498411655977,0.15531741181096206,0.003408578841448791,0.23767711452832965,True,False
49,F2bandwidth_sma3nz_stddevNorm,0.1897933067713275,0.001140665271841273,0.03602149929519523,0.06657369685154615,0.25762159470541945,0.004432057112481566,0.06657369685154615,0.025094635980508005,0.619966361529925,True,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.17628425754633437,0.0025452423847101362,0.031076139458662343,-0.06781742586844694,0.24881701625489744,0.004599203251422296,0.06781742586844694,0.0447962659708984,0.619966361529925,True,False
78,slopeUV0500_sma3nz_amean,-0.16727441944474614,0.004217826226070841,0.027980731400576865,-0.295367585069517,2.8689592961879225e-07,0.08724201030979836,0.295367585069517,0.057818825305191154,2.524684180645372e-05,False,True
54,F3bandwidth_sma3nz_amean,-0.16074455057622677,0.005992567316838975,0.025838810539953128,0.003718521760239181,0.9496387557661815,1.3827404081372295e-05,0.003718521760239181,0.057818825305191154,0.9975575057137153,False,False
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.1603156461211809,0.006129753684835669,0.025701106391251706,0.02314111265057524,0.6942372010703133,0.0005355110947066134,0.02314111265057524,0.057818825305191154,0.9975575057137153,False,False
79,slopeUV5001500_sma3nz_amean,0.15946596497668178,0.006409862809665981,0.0254293939859443,0.10554502253223416,0.07221848436650147,0.011139751781329817,0.10554502253223416,0.057818825305191154,0.3530681457917849,False,False
42,F1bandwidth_sma3nz_amean,-0.15899409402725243,0.006570321057408086,0.025279121935546784,0.04042583369462836,0.4921294875803721,0.0016342480299057498,0.04042583369462836,0.057818825305191154,0.8491646060210342,False,False
15,loudness_sma3_pctlrange02,0.15624013767996422,0.007580527454616657,0.024410980622254178,0.0621489076314737,0.2906760852006815,0.0038624867197854505,0.0621489076314737,0.060644219636933255,0.6731446183594729,False,False
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.15352437938492028,0.00871012116920618,0.023569735065524934,-0.12807454571429358,0.02893373757705749,0.016403089259922676,0.12807454571429358,0.06303066622576663,0.23767711452832965,False,False
