,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.2535097559817159,1.0953197620714231e-07,0.06426719637790913,-0.15342259977984804,0.001473390420083899,0.023538494123207427,0.15342259977984804,9.638813906228523e-06,0.024888864234254605,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.24664706912997228,2.446800517390305e-07,0.060834776710405325,-0.1459331384399171,0.0025034988301174325,0.02129648089492401,0.1459331384399171,1.0765922276517341e-05,0.031472556721476294,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.20208072971648727,2.5874543730067664e-05,0.040836621322747985,-0.11409498129901485,0.018351365518297663,0.01301766475762255,0.11409498129901485,0.0007589866160819848,0.0949953038594232,True,False
56,F3amplitudeLogRelF0_sma3nz_amean,0.17856913160012236,0.00020809192025281675,0.03188693476042182,0.16340768358849017,0.0007000360183139693,0.02670207105575612,0.16340768358849017,0.004268501627661032,0.015400792402907324,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.17672308780586907,0.00024252850157164952,0.031231049763640908,0.16666413895394805,0.0005440709188174926,0.027776935213260905,0.16666413895394805,0.004268501627661032,0.015400792402907324,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.16985169393378702,0.00042321030524981076,0.02884959793217686,0.1677654248643709,0.0004990922964497428,0.02814523777992288,0.1677654248643709,0.005064104708056366,0.015400792402907324,True,True
31,jitterLocal_sma3nz_stddevNorm,0.16880882215224005,0.00045968803892272586,0.028496418436426613,0.12205581896165206,0.011595874302304734,0.014897622942399583,0.12205581896165206,0.005064104708056366,0.06821723303706824,True,False
74,mfcc4V_sma3nz_amean,-0.16878998164126965,0.00046037315527785143,0.028490057902460147,0.028910028743680826,0.5513291763611599,0.0008357897619604515,0.028910028743680826,0.005064104708056366,0.7953601232751158,True,False
54,F3bandwidth_sma3nz_amean,-0.14876593387671125,0.00205440067433223,0.022131303082210025,0.008971471732271773,0.8533493677594522,8.048730504295149e-05,0.008971471732271773,0.020087473260137358,0.962753132856818,True,False
15,loudness_sma3_pctlrange02,0.14634357665289816,0.0024333160923911113,0.021416442427562677,0.13137924572966936,0.006554832199399869,0.017260506208496843,0.13137924572966936,0.021221690023033694,0.04806876946226571,True,True
16,loudness_sma3_meanRisingSlope,0.14509427519824097,0.002652711252879212,0.021052348695302887,0.12370914741586807,0.01050749224697203,0.015303953154360977,0.12370914741586807,0.021221690023033694,0.06821723303706824,True,False
59,alphaRatioV_sma3nz_stddevNorm,-0.14199445335981675,0.0032770196367688325,0.020162424784953174,-0.021208449412775887,0.662100158346255,0.0004497983264942739,0.021208449412775887,0.023209850210244735,0.8740576216027938,True,False
28,mfcc4_sma3_amean,-0.1413228929849039,0.0034287278719679726,0.019972160081622597,0.048547634612956726,0.31690571169568826,0.002356872826513154,0.048547634612956726,0.023209850210244735,0.6062544049830558,True,False
55,F3bandwidth_sma3nz_stddevNorm,0.13851024453929645,0.004135758531378535,0.0191850878423357,0.046668085943117374,0.33602663824814616,0.0021779102455941894,0.046668085943117374,0.02599619648295079,0.6242420829166123,True,False
14,loudness_sma3_percentile800,0.13557509565758114,0.005011770980922441,0.018380606562562275,0.120649309966514,0.012599037733609549,0.014556255995395975,0.120649309966514,0.02940238975474499,0.06929470753485252,True,False
12,loudness_sma3_percentile200,0.13210775936765184,0.006259637665567128,0.017452460085141404,0.07441993072639785,0.12467731571205597,0.005538326089321855,0.07441993072639785,0.0344280071606192,0.2965298319638088,True,False
10,loudness_sma3_amean,0.13034085684982685,0.0069971564987329656,0.016988738964347057,0.11082695844794802,0.02199392949200343,0.012282614718823196,0.11082695844794802,0.03555399663732507,0.10186662080506852,True,False
