,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
15,loudness_sma3_pctlrange02,0.22957386153595843,6.754440035060611e-10,0.052704157900531415,0.15596943278516917,3.149665673065184e-05,0.024326463963327404,0.15596943278516917,4.2867207427494225e-08,0.00039595797032819453,True,True
16,loudness_sma3_meanRisingSlope,0.22746755383693631,9.742547142612324e-10,0.05174148804855952,0.15888979663348302,2.2223103451072453e-05,0.02524596747422959,0.15888979663348302,4.2867207427494225e-08,0.00032593885061572934,True,True
18,loudness_sma3_meanFallingSlope,0.2007716704106478,7.446201074114202e-08,0.04030926363948179,0.16320788228938998,1.3119002129766172e-05,0.026636812841387376,0.16320788228938998,2.184218981740166e-06,0.00023089443748388464,True,True
14,loudness_sma3_percentile800,0.1956361567941645,1.6085221573438522e-07,0.03827350584519091,0.14169631630802004,0.00015849438261433287,0.020077846055262468,0.14169631630802004,3.5387487461564746e-06,0.0014436744006642098,True,True
17,loudness_sma3_stddevRisingSlope,0.19106708033595415,3.137778219260393e-07,0.03650662918810596,0.11724561602416317,0.0018051857431379613,0.013746534476885506,0.11724561602416317,5.522489665898291e-06,0.009344490905655329,True,True
10,loudness_sma3_amean,0.1806888999976033,1.3493396705081627e-06,0.03264847858234388,0.1286855521767075,0.0006092521125636795,0.016559971339024107,0.1286855521767075,1.7145059897669763e-05,0.00398273840286558,True,True
66,spectralFluxV_sma3nz_amean,0.18061080332281637,1.3638115827691858e-06,0.03262026227691306,0.13802838150003344,0.00023449189053355546,0.019051834099518772,0.13802838150003344,1.7145059897669763e-05,0.0018759351242684436,True,True
87,equivalentSoundLevel_dBp,0.17904655012386647,1.6870750659897495e-06,0.03205766711125823,0.15063929392479836,5.858339871940513e-05,0.02269219687416179,0.15063929392479836,1.8557825725887245e-05,0.0006444173859134565,True,True
49,F2bandwidth_sma3nz_stddevNorm,0.17510513380572582,2.860026913113823e-06,0.030661807885121142,0.026895054424043833,0.4755474650834639,0.0007233439524722797,0.026895054424043833,2.796470759489071e-05,0.6454071070865747,True,False
19,loudness_sma3_stddevFallingSlope,0.17198689902811287,4.3068548065113665e-06,0.029579493437306294,0.14137703666026388,0.00016405390916638746,0.019987466494837597,0.14137703666026388,3.790032229730003e-05,0.0014436744006642098,True,True
13,loudness_sma3_percentile500,0.17095272759325986,4.925284440951896e-06,0.02922483507157531,0.1257124507006006,0.0008150480838928309,0.01580362026115094,0.1257124507006006,3.940227552761517e-05,0.0047816154255046085,True,True
20,spectralFlux_sma3_amean,0.17010541733354193,5.494355227491155e-06,0.028935853006218464,0.12165962614324097,0.0011999715698616522,0.014801064633313162,0.12165962614324097,4.029193833493514e-05,0.006599843634239087,True,True
78,slopeUV0500_sma3nz_amean,-0.16366624009502712,1.2395235729829758e-05,0.02678663814684306,-0.32238914057780854,1.5417658414977322e-18,0.103934757962498,0.32238914057780854,8.39062110942322e-05,1.3567539405180044e-16,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.14059431751390997,0.00017846751874285775,0.01976676211720213,-0.07392745721313088,0.049587170865093635,0.005465268929999296,0.07392745721313088,0.001121795832097963,0.18972482765774956,True,False
55,F3bandwidth_sma3nz_stddevNorm,0.13855064919448729,0.00022190079283707792,0.01919628239221388,0.026823605747775568,0.4767211586434927,0.0007195058253120985,0.026823605747775568,0.0013018179846441907,0.6454071070865747,True,False
