,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
15,loudness_sma3_pctlrange02,0.1855527076295005,2.5938512603433747e-08,0.03442980730863889,0.18435412779811886,3.1975647887546644e-08,0.03398644443620514,0.18435412779811886,2.2825891091021697e-06,5.627714028208209e-07,True,True
16,loudness_sma3_meanRisingSlope,0.18046015890918948,6.250901772976696e-08,0.03256586895352992,0.18671591356695094,2.114373093932416e-08,0.0348628323791411,0.18671591356695094,2.750396780109746e-06,4.651620806651315e-07,True,True
14,loudness_sma3_percentile800,0.1758326692984087,1.3607176256567148e-07,0.030917127592603563,0.17260603616746165,2.3127210667050484e-07,0.02979284372144308,0.17260603616746165,3.9914383685930305e-06,2.907420769572061e-06,True,True
10,loudness_sma3_amean,0.16831508789813476,4.611869544254947e-07,0.028329968814156833,0.15887454823585806,1.9820125094077534e-06,0.02524112207714799,0.15887454823585806,1.0146112997360882e-05,1.744171008278823e-05,True,True
13,loudness_sma3_percentile500,0.1613547724693643,1.3621451984938104e-06,0.026035362598640324,0.15587322423748576,3.0968059066547486e-06,0.024296462034189517,0.15587322423748576,2.3973755493491062e-05,2.477444725323799e-05,True,True
18,loudness_sma3_meanFallingSlope,0.15915774252648016,1.8994731045091812e-06,0.02533118700612535,0.18857673431013167,1.520587768271442e-08,0.03556118472307399,0.18857673431013167,2.785893886613466e-05,4.4603907869295636e-07,True,True
66,spectralFluxV_sma3nz_amean,0.15587218391005228,3.09728051443463e-06,0.02429613771688916,0.16607293024737432,6.569478664269661e-07,0.027580218160949257,0.16607293024737432,3.893724075289249e-05,6.423490249508113e-06,True,True
17,loudness_sma3_stddevRisingSlope,0.15325388940427828,4.5406176807089335e-06,0.02348675461753876,0.14974055655892216,7.512012587614499e-06,0.022422234278575766,0.14974055655892216,4.994679448779827e-05,5.0850546746928916e-05,True,True
87,equivalentSoundLevel_dBp,0.1513104651176241,6.007080753657671e-06,0.02289485685411174,0.17992658352264287,6.844562759200566e-08,0.032373575458130584,0.17992658352264287,5.466031547749429e-05,1.0038692046827498e-06,True,True
20,spectralFlux_sma3_amean,0.15107659396297107,6.2113994860788964e-06,0.022824137243452426,0.1514925344686484,5.852479716951355e-06,0.022949987999734626,0.1514925344686484,5.466031547749429e-05,4.291818459097661e-05,True,True
19,loudness_sma3_stddevFallingSlope,0.1388064667218393,3.3498682768004044e-05,0.01926723520380108,0.16744157351120992,5.296401556466757e-07,0.028036680539909913,0.16744157351120992,0.00026798946214403235,5.8260417121134324e-06,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.135597073482206,5.089970868916275e-05,0.018386566336938776,0.050213861462178294,0.1350892682626334,0.0025214318829428345,0.050213861462178294,0.0003732645303871935,0.31283830545030894,True,False
36,logRelF0H1H2_sma3nz_amean,-0.13269485898177946,7.371688897048086e-05,0.01760792560019434,-0.0899093013836256,0.0073758644462974575,0.00808368247529162,0.0899093013836256,0.0004990066330309473,0.030908384346389345,True,True
12,loudness_sma3_percentile200,0.13115184486644443,8.948674634041767e-05,0.017200806411871907,0.1054235401554475,0.0016658762096580873,0.011114122818907252,0.1054235401554475,0.000562488119854054,0.008623359202935981,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.12049267120563192,0.0003223673633717832,0.014518483814268521,-0.05655445166788127,0.09231554190782239,0.0031984060034547187,0.05655445166788127,0.0018912218651144614,0.24132906504397345,True,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.11800972119634612,0.0004283250364041171,0.013926294296839342,-0.03945939351028994,0.24039454717794856,0.0015570437361999117,0.03945939351028994,0.002355787700222644,0.4701048922590994,True,False
80,spectralFluxUV_sma3nz_amean,0.11554817356779568,0.0005647099480365577,0.013351380414853436,0.08372341076906181,0.012618429872081172,0.007009609510805055,0.08372341076906181,0.002905553684429226,0.04608335967725718,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.11508791005320411,0.0005943177990877963,0.0132452270404144,-0.06842207778475189,0.041620192236259124,0.0046815807283826375,0.06842207778475189,0.002905553684429226,0.1202836587558466,True,False
81,loudnessPeaksPerSec,-0.10999416995570457,0.0010334893865394299,0.012098717424244423,-0.019712939514213948,0.5576533850655221,0.0003885999842910576,0.019712939514213948,0.0047866876850247275,0.7305314119035323,True,False
54,F3bandwidth_sma3nz_amean,-0.10850584160327462,0.0012096986917552724,0.01177351766203492,-0.004272477544569793,0.8988878451355236,1.8254064368853128e-05,0.004272477544569793,0.005322674243723198,0.9218456136876716,True,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.10773647068930904,0.0013112820127524334,0.011607147116588347,-0.0464751344457511,0.16668227236711025,0.00215993812175064,0.0464751344457511,0.005494896053438768,0.36670099920764254,True,False
49,F2bandwidth_sma3nz_stddevNorm,0.10658977808503771,0.0014773361795485391,0.011361380792217586,0.03179510593577766,0.34422867826930303,0.0010109287614673238,0.03179510593577766,0.0059093447181941565,0.5911490435944435,True,False
59,alphaRatioV_sma3nz_stddevNorm,-0.10506976131562851,0.001727294867554659,0.011039654742923144,-0.0064799497026385745,0.8471788290752458,4.198974814872575e-05,0.0064799497026385745,0.006608780362817826,0.9218456136876716,True,False
53,F3frequency_sma3nz_stddevNorm,-0.10089289178309815,0.0026272316625924976,0.010179375612355955,0.01693970043563349,0.6143793619971206,0.0002869534508490014,0.01693970043563349,0.009633182762839159,0.7616777512880185,True,False
76,alphaRatioUV_sma3nz_amean,0.0988300036050276,0.0032141893322880717,0.009767369612569767,-0.016932234085741547,0.6145354584255603,0.0002867005511343479,0.016932234085741547,0.011313946449654012,0.7616777512880185,True,False
77,hammarbergIndexUV_sma3nz_amean,-0.09703999895624081,0.0038176062044286965,0.009416761397427217,0.024047181936880834,0.4744361804245244,0.0005782669591054479,0.024047181936880834,0.01292112869191251,0.6869309464890616,True,False
86,StddevUnvoicedSegmentLength,-0.09639982701954715,0.004057215664294296,0.009292926649398613,-0.06817223882710623,0.042372652516264146,0.004647454146700009,0.06817223882710623,0.013223517720662891,0.1202836587558466,True,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.09463400709728911,0.004790408801384088,0.008955595299289767,0.08816396073277398,0.008610041184114566,0.007772883972090112,0.08816396073277398,0.014801262744447567,0.034440164736458265,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.094440378859673,0.004877688858965675,0.008918985159158573,0.08029904203456081,0.016756799051574237,0.006447936151668165,0.08029904203456081,0.014801262744447567,0.05671531986686665,True,False
60,hammarbergIndexV_sma3nz_amean,-0.09238857786877655,0.005894772256299427,0.008535649320614989,0.03653454211226949,0.27707210319156533,0.0013347727673531926,0.03653454211226949,0.017291331951811654,0.5300509800186467,True,False
31,jitterLocal_sma3nz_stddevNorm,0.09199736291470594,0.006109083068774293,0.008463514783260111,0.08689229300376224,0.009622079010333733,0.007550270583451668,0.08689229300376224,0.017341913227488313,0.0368149109960595,True,True
70,mfcc2V_sma3nz_amean,-0.09146169225803819,0.006413888853622562,0.008365241150704082,-0.03984789813178689,0.23579247893750827,0.001587854985521265,0.03984789813178689,0.017563291949662593,0.4701048922590994,True,False
50,F2amplitudeLogRelF0_sma3nz_amean,0.09116884986157077,0.0065862344811234725,0.008311759185081632,0.08328524126468918,0.013091863544675337,0.006936431412517486,0.08328524126468918,0.017563291949662593,0.04608335967725718,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.08482492825908451,0.011494460505655557,0.007195268454158834,-0.09114705453416103,0.006599226340799652,0.008307785550253324,0.09114705453416103,0.02975036836757909,0.02903659589951847,True,True
