,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
0,F0semitoneFrom275Hz_sma3nz_amean,0.5514808501965691,0.0002738346519982809,0.3041311281335307,0.2021350572354925,0.2171846853933125,0.040858581363595825,0.2021350572354925,0.01939481305114293,0.5621250680768088,True,False
71,mfcc2V_sma3nz_stddevNorm,-0.5258756534893293,0.000585618261435497,0.27654520293282914,-0.4419584482988189,0.004849094512419293,0.19532727002269978,0.4419584482988189,0.01939481305114293,0.05334003963661222,True,False
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.507003297350527,0.0009879983281798847,0.25705234352430684,0.08844941992080367,0.592341284848613,0.007823299884326661,0.08844941992080367,0.01939481305114293,0.8141097825988773,True,False
25,mfcc2_sma3_stddevNorm,-0.5056771317840166,0.0010238376276155148,0.25570936160930974,-0.4666753236920103,0.0027463980731637005,0.2177858577430426,0.4666753236920103,0.01939481305114293,0.05334003963661222,True,False
22,mfcc1_sma3_amean,-0.5029227879151102,0.0011019780142694847,0.25293133060430695,-0.14527901334130566,0.37753699815072655,0.021105991717423268,0.14527901334130566,0.01939481305114293,0.7210796917014638,True,False
15,loudness_sma3_pctlrange02,0.4836423808327663,0.001813343620144939,0.23390995253758654,0.37024703156158034,0.02033567727750125,0.13708286438016187,0.37024703156158034,0.02659570642879244,0.11888197262479147,True,False
68,mfcc1V_sma3nz_amean,-0.45487478931307845,0.003621532589379587,0.2069110739526175,-0.10249318412037821,0.534676415566115,0.010504852791133747,0.10249318412037821,0.03831729044447153,0.7813524118963284,True,False
20,spectralFlux_sma3_amean,0.4499781779905784,0.0040506102932499535,0.20248036066772063,0.5750836747809399,0.0001284208560988544,0.33072123299954986,0.5750836747809399,0.03831729044447153,0.007284700348230964,True,True
63,slopeV0500_sma3nz_stddevNorm,0.4482439614805263,0.004212839026426715,0.20092264900375556,0.1980185860240211,0.22689290069913604,0.03921136041095264,0.1980185860240211,0.03831729044447153,0.570473578900685,True,False
66,spectralFluxV_sma3nz_amean,0.4466117577063596,0.0043706546581590636,0.19946206212156403,0.567362392891475,0.00016556137155070372,0.3219000848675405,0.567362392891475,0.03831729044447153,0.007284700348230964,True,True
70,mfcc2V_sma3nz_amean,0.4417151463838595,0.004875312876072214,0.19511227054491442,0.004506043540568974,0.9782804508834421,2.0304428389503373e-05,0.004506043540568974,0.03831729044447153,0.9935973716655717,True,False
