,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
25,mfcc2_sma3_stddevNorm,-0.4871583506920677,0.0004455682121730189,0.23732325864901563,-0.38730096271023573,0.006535939098348768,0.1500020357162754,0.38730096271023573,0.02144731247362037,0.06349858230008068,True,False
71,mfcc2V_sma3nz_stddevNorm,-0.4842628261225174,0.00048743891985500844,0.23451048476416755,-0.35591803560380025,0.01303660419811854,0.12667764806806803,0.35591803560380025,0.02144731247362037,0.08788133743405255,True,False
12,loudness_sma3_percentile200,0.46055230417563425,0.0009879663597781602,0.21210842488148593,0.3837825887966158,0.007085274854695866,0.1472890754634323,0.3837825887966158,0.02691454321537691,0.06349858230008068,True,False
20,spectralFlux_sma3_amean,0.4413216504306967,0.0016902150266147702,0.19476479913887407,0.5677470291341343,2.570503683225424e-05,0.32233668909063556,0.5677470291341343,0.02691454321537691,0.0017066695912819414,True,True
66,spectralFluxV_sma3nz_amean,0.43514817351825935,0.00199520571663289,0.18935393291627714,0.5573155486863128,3.878794525640776e-05,0.31060062080752593,0.5573155486863128,0.02691454321537691,0.0017066695912819414,True,True
13,loudness_sma3_percentile500,0.42908396168391827,0.002341364917177016,0.18411304617436625,0.4414354587016894,0.0016850050312364794,0.1948652641991709,0.4414354587016894,0.02691454321537691,0.03075635520126492,True,True
10,loudness_sma3_amean,0.4266801299658011,0.0024926598288620137,0.18205593330763295,0.4399842294243159,0.001752522361793774,0.19358612214210907,0.4399842294243159,0.02691454321537691,0.03075635520126492,True,True
14,loudness_sma3_percentile800,0.4263523347315124,0.0025139468564361407,0.1817763133310116,0.4601230613332698,0.0010002216142223936,0.21171323157069996,0.4601230613332698,0.02691454321537691,0.029339834017190213,True,True
76,alphaRatioUV_sma3nz_amean,0.41968732533928016,0.002983074724388744,0.1761374510504388,0.35858006706569867,0.012325954900874157,0.12857966449684097,0.35858006706569867,0.02691454321537691,0.08788133743405255,True,False
0,F0semitoneFrom275Hz_sma3nz_amean,0.4187037792647759,0.003058470819929194,0.1753128547706062,0.18694726756882388,0.20325979908423708,0.03494928085144943,0.18694726756882388,0.02691454321537691,0.4968572866503573,True,False
87,equivalentSoundLevel_dBp,0.40744947622086364,0.004048487117078592,0.1660150756726561,0.37507357850290785,0.008620461636815534,0.14068018929097698,0.37507357850290785,0.03238789693662874,0.06896369309452427,True,False
68,mfcc1V_sma3nz_amean,-0.40253254770653296,0.004562714304725855,0.16203245196311222,-0.11710009799184146,0.42798737404965115,0.013712432949698872,0.11710009799184146,0.03345990490132294,0.7242863253147942,True,False
22,mfcc1_sma3_amean,-0.3685511084186036,0.00995105926484266,0.13582991951658133,-0.14989389487524896,0.30921033637618506,0.022468179720872186,0.14989389487524896,0.06558983744339661,0.6111746814348539,False,False
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.3663658068566789,0.010434746865994915,0.13422390443374535,0.10299896361818052,0.4860257751783405,0.010608786506419275,0.10299896361818052,0.06558983744339661,0.7776412402853448,False,False
60,hammarbergIndexV_sma3nz_amean,-0.358061660921365,0.012461685155484936,0.12820815302176655,-0.21481374420516214,0.14258805645680994,0.04614494469944083,0.21481374420516214,0.07012538737565072,0.4352562267714446,False,False
77,hammarbergIndexUV_sma3nz_amean,-0.35697605789400527,0.012750070431936494,0.1274319059095442,-0.308612804531067,0.032828917849438824,0.09524186312053055,0.308612804531067,0.07012538737565072,0.15204972477634823,False,False
53,F3frequency_sma3nz_stddevNorm,-0.3489926594393774,0.015051519482487742,0.12179587634256926,-0.24522167421371305,0.09297283366359418,0.06013366950417642,0.24522167421371305,0.07791374790934831,0.3272643744958515,False,False
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,-0.3379129002331512,0.01882502249202627,0.11418512814397959,-0.22314009732117873,0.12738313935471485,0.04979150303250512,0.22314009732117873,0.08786071603292468,0.41517467641536693,False,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.3357169524506847,0.01966088040527367,0.1127058721627753,0.20207621988162996,0.16839533265132012,0.040834798641648865,0.20207621988162996,0.08786071603292468,0.4630871647911303,False,False
58,alphaRatioV_sma3nz_amean,0.3339140786620969,0.020370344763243602,0.11149861192875703,0.2566686122256146,0.07823639287662407,0.06587877650182292,0.2566686122256146,0.08786071603292468,0.29933924231056164,False,False
15,loudness_sma3_pctlrange02,0.33243900010779764,0.0209667617805843,0.11051568879267228,0.3492252659755016,0.014979773426258957,0.12195828639565982,0.3492252659755016,0.08786071603292468,0.08788133743405255,False,False
