,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
78,slopeUV0500_sma3nz_amean,-0.2447362247023524,1.534538943933068e-15,0.059895819681560325,-0.1920378708263974,4.982001459701765e-10,0.03687854383153609,0.1920378708263974,1.3503942706610998e-13,2.9227741896917024e-09,True,True
19,loudness_sma3_stddevFallingSlope,0.21788108001710751,1.4829636987895202e-12,0.047472165029421205,0.22970156144703271,8.002985005075211e-14,0.05276280733120495,0.22970156144703271,5.4586306156647686e-11,6.402388004060169e-13,True,True
16,loudness_sma3_meanRisingSlope,0.2161922238341716,2.220505358024989e-12,0.046739077646364556,0.2526075635713941,1.7350844587253446e-16,0.0638105811734759,0.2526075635713941,5.4586306156647686e-11,3.817185809195758e-15,True,True
14,loudness_sma3_percentile800,0.21559068711735696,2.561818331840103e-12,0.04647934437173411,0.2534381946990569,1.3724339449333566e-16,0.06423091853231706,0.2534381946990569,5.4586306156647686e-11,3.817185809195758e-15,True,True
87,equivalentSoundLevel_dBp,0.21478364691206817,3.1014946679913457e-12,0.04613201498084797,0.22280535771721915,4.483829680764776e-13,0.04964222742749799,0.22280535771721915,5.4586306156647686e-11,3.2881417658941692e-12,True,True
18,loudness_sma3_meanFallingSlope,0.21383964995499347,3.874938382447084e-12,0.04572739589287414,0.24607254879378382,1.0655850762986864e-15,0.06055169926986912,0.24607254879378382,5.6832429609223903e-11,1.3395926673469202e-14,True,True
10,loudness_sma3_amean,0.2103070156203243,8.833306261377269e-12,0.04422904081912733,0.251351981202088,2.4691239067659236e-16,0.0631778184542148,0.251351981202088,9.851700191923162e-11,4.3456580759080255e-15,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.20984702632298485,9.823320369135223e-12,0.0440357744565995,0.18277907553891826,3.328655175721292e-09,0.03340819045486158,0.18277907553891826,9.851700191923162e-11,1.8307603466467106e-08,True,True
15,loudness_sma3_pctlrange02,0.20973706705981346,1.0075602469012325e-11,0.04398963729885269,0.24952006570202914,4.117015940541863e-16,0.06226026318794494,0.24952006570202914,9.851700191923162e-11,6.038290046128066e-15,True,True
20,spectralFlux_sma3_amean,0.20767509218713007,1.616813237692342e-11,0.04312894391493297,0.26592251814190976,3.647919692192753e-18,0.07071478565493433,0.26592251814190976,1.422795649169261e-10,3.2101693291296227e-16,True,True
34,HNRdBACF_sma3nz_amean,0.20470522256113607,3.167688208932612e-11,0.041904228143804255,0.16710598010997987,6.673603891927328e-08,0.02792440858851699,0.16710598010997987,2.5341505671460896e-10,3.262650791608916e-07,True,True
26,mfcc3_sma3_amean,-0.20413853667724108,3.5972864276047876e-11,0.0416725421567253,-0.23590240086824857,1.619253131853529e-14,0.05564994273540384,0.23590240086824857,2.638010046910178e-10,1.5832697289234505e-13,True,True
66,spectralFluxV_sma3nz_amean,0.20003211135487992,8.942105795378439e-11,0.04001284557309108,0.2611128950968029,1.510158636794912e-17,0.068179943985834,0.2611128950968029,6.053117769179251e-10,6.644698001897612e-16,True,True
13,loudness_sma3_percentile500,0.19897636145452355,1.1265774498222999e-10,0.039591592417681204,0.2380938630624602,9.10486842558465e-15,0.056688687628005545,0.2380938630624602,7.081343970311599e-10,1.0015355268143115e-13,True,True
17,loudness_sma3_stddevRisingSlope,0.19720016205061677,1.656909087673929e-10,0.03888790391278952,0.2334929949899318,3.0291962037660765e-14,0.054518978709368324,0.2334929949899318,9.720533314353719e-10,2.6656926593141475e-13,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.1919170778173402,5.110159313016559e-10,0.03683216475794701,0.1680272932569383,5.637175818716679e-08,0.028233171279253143,0.1680272932569383,2.8105876221591073e-09,2.9180674826298104e-07,True,True
35,HNRdBACF_sma3nz_stddevNorm,-0.18742737589251163,1.2982769404902052e-09,0.03512902123395285,-0.07334858769331626,0.018441869028137586,0.005380015316604105,0.07334858769331626,6.720492397831651e-09,0.04386174255340831,True,True
80,spectralFluxUV_sma3nz_amean,0.17539938487943005,1.4125618897998715e-08,0.030764944216082436,0.21330516649925044,4.393517590506466e-12,0.04549909405527295,0.21330516649925044,6.905858127910483e-08,2.9740734458813e-11,True,True
49,F2bandwidth_sma3nz_stddevNorm,-0.15318652503764904,7.640799669427311e-07,0.023466111453110276,-0.14205768677498132,4.621155130132491e-06,0.0201803863718587,0.14205768677498132,3.5388966889979128e-06,1.9364840545317102e-05,True,True
12,loudness_sma3_percentile200,0.14811423438500002,1.7639012961449936e-06,0.02193782642745472,0.2030174129344715,4.621417687011541e-11,0.04121606995460572,0.2030174129344715,7.761165703037972e-06,2.904891117550112e-10,True,True
