,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
78,slopeUV0500_sma3nz_amean,-0.22762213442500515,2.3622349770600623e-16,0.051811836080195114,-0.19535739877385067,2.3066723927959617e-12,0.03816451325568531,0.19535739877385067,2.0787667798128547e-14,1.4499083611860331e-11,True,True
10,loudness_sma3_amean,0.20015922685562168,6.455038875960698e-13,0.040063716095440224,0.26111948115283845,3.395589434447706e-21,0.06818338343752756,0.26111948115283845,2.3515774501002947e-11,6.939480098854588e-20,True,True
14,loudness_sma3_percentile800,0.19935080337255448,8.016741307160095e-13,0.03974074280528288,0.26220739469036686,2.2975398741902724e-21,0.06875271783030983,0.26220739469036686,2.3515774501002947e-11,6.7394502976248e-20,True,True
19,loudness_sma3_stddevFallingSlope,0.19552173196446104,2.209475360156591e-12,0.03822874767038255,0.241152180779947,3.201174230319251e-18,0.05815437429492423,0.241152180779947,4.6834504300672925e-11,2.817033322680941e-17,True,True
16,loudness_sma3_meanRisingSlope,0.19455251329884826,2.846584509987164e-12,0.03785068043089853,0.2607019577296164,3.942886419803743e-21,0.0679655107640547,0.2607019577296164,4.6834504300672925e-11,6.939480098854588e-20,True,True
87,equivalentSoundLevel_dBp,0.1941112274292155,3.193261656864063e-12,0.03767916861407662,0.228607212837782,1.7428980310681393e-16,0.05226125776145895,0.228607212837782,4.6834504300672925e-11,1.3943184248545114e-15,True,True
13,loudness_sma3_percentile500,0.1924796972842551,4.872380954112492e-12,0.03704843386663848,0.24965637657419223,1.8646133064104103e-19,0.06232830636415488,0.24965637657419223,6.125278913741419e-11,2.0510746370514512e-18,True,True
18,loudness_sma3_meanFallingSlope,0.19067456885535863,7.742838292066069e-12,0.0363567912081769,0.2550279506589696,2.9257473548368425e-20,0.06503925561731383,0.2550279506589696,8.517122121272675e-11,3.678082388937745e-19,True,True
20,spectralFlux_sma3_amean,0.1895229200155365,1.0380323707304595e-11,0.035918937211215446,0.27180723383936134,6.755254606478446e-23,0.07387917236740525,0.27180723383936134,1.014964984714227e-10,5.944624053701033e-21,True,True
15,loudness_sma3_pctlrange02,0.1883146111982292,1.4090534401055461e-11,0.03546239279074023,0.2580025842239198,1.0294078394485315e-20,0.06656533346622083,0.2580025842239198,1.2399670272928806e-10,1.509798164524513e-19,True,True
66,spectralFluxV_sma3nz_amean,0.18405982933983386,4.067124191374236e-11,0.033878020776608765,0.26773442493945565,3.069471998555448e-22,0.07168172229766101,0.26773442493945565,3.253699353099389e-10,1.350567679364397e-20,True,True
17,loudness_sma3_stddevRisingSlope,0.18297560295832987,5.307229166743764e-11,0.033480071277964374,0.24410100648802943,1.2092443689061448e-18,0.059585301368468985,0.24410100648802943,3.8919680556120937e-10,1.1823722718193415e-17,True,True
12,loudness_sma3_percentile200,0.17650709507441772,2.511241267161522e-10,0.031154754611609537,0.22016497524449738,2.254451777260384e-15,0.04847261632441014,0.22016497524449738,1.699917165463184e-09,1.5260904338377983e-14,True,True
80,spectralFluxUV_sma3nz_amean,0.16841309923056913,1.6207272009773654e-09,0.028362971992445526,0.2248119821061584,5.580134250045527e-16,0.05054042729849969,0.2248119821061584,1.0187428120429154e-08,4.092098450033387e-15,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.13291630801591597,2.0588774386795783e-06,0.01766674493658185,0.1484735876324313,1.1014120396085843e-07,0.022044406224445253,0.1484735876324313,1.2078747640253526e-05,5.701427028562084e-07,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.1301420007645739,3.3581394553491073e-06,0.016936940363006355,0.1511054818235796,6.504693473950326e-08,0.022832866637136146,0.1511054818235796,1.846976700442009e-05,3.5775814106726794e-07,True,True
76,alphaRatioUV_sma3nz_amean,0.1271128487624659,5.6647693947894086e-06,0.016157676320509528,0.06917678512089404,0.013783213688779309,0.004785427599662347,0.06917678512089404,2.9323512161262823e-05,0.03032307011531448,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.11807602711061259,2.514342552214772e-05,0.013941948178226119,-0.06266107044447496,0.025720382198564238,0.003926409749247453,0.06266107044447496,0.0001229234136638333,0.04619170680558476,True,True
34,HNRdBACF_sma3nz_amean,0.11517269175459874,3.9703223842106244e-05,0.013264748925999817,0.10072879375090787,0.00032936941174944355,0.010146289890512937,0.10072879375090787,0.00018388861568975523,0.0011147887782288859,True,True
26,mfcc3_sma3_amean,-0.1101087087087334,8.587203565246468e-05,0.012123927733504703,-0.16400256530622326,4.313500161594052e-09,0.026896841427022023,0.16400256530622326,0.00037783695687084465,2.530586761468511e-08,True,True
63,slopeV0500_sma3nz_stddevNorm,0.10842865285088009,0.00011013345184091493,0.011756772759056667,0.0004924101849590301,0.9860297442456313,2.424677902513862e-07,0.0004924101849590301,0.00046151160771431014,0.9860297442456313,True,False
36,logRelF0H1H2_sma3nz_amean,-0.10716655411280973,0.00013246330422250866,0.011484670320413776,-0.1245996652415585,8.663939572135453e-06,0.01552507657830844,0.1245996652415585,0.0005298532168900346,3.8121334117396e-05,True,True
62,slopeV0500_sma3nz_amean,-0.09812102318387846,0.00046945096870045,0.009627735190651214,-0.022148341444619038,0.43087955569678266,0.0004905490287474293,0.022148341444619038,0.0017961602280712869,0.4969022933696963,True,False
22,mfcc1_sma3_amean,-0.09357320662973509,0.0008537168795563788,0.008755944998971098,-0.011992095784282938,0.6697785294487216,0.00014381036129941662,0.011992095784282938,0.003130295225040056,0.7276606245862655,True,False
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.08823297081731464,0.001668374988573173,0.007785057139249097,0.12643730812660173,6.355195471734505e-06,0.01598639288630123,0.12643730812660173,0.005872679959777569,2.9434589553296657e-05,True,True
85,MeanUnvoicedSegmentLength,-0.08683536074579908,0.001976811861514785,0.007540379875853063,-0.10501151841461762,0.000180719607547827,0.011027418999743575,0.10501151841461762,0.006690747838973118,0.0006878368113645474,True,True
23,mfcc1_sma3_stddevNorm,0.08207832958160768,0.0034598254728958034,0.006736852186907015,-0.006834637633010899,0.807973438338994,4.6712271574568825e-05,0.006834637633010899,0.011276468207956693,0.8464483639741842,True,False
67,spectralFluxV_sma3nz_stddevNorm,0.08000188791340074,0.004379900871549752,0.006400302069708335,0.13002581471102223,3.426912302334992e-06,0.016906712491265085,0.13002581471102223,0.013765402739156362,1.6753793478082183e-05,True,True
65,slopeV5001500_sma3nz_stddevNorm,-0.07548510089005285,0.007186597383355136,0.005698000456381458,-0.04651147053853886,0.09795803915299728,0.0021633168916573684,0.04651147053853886,0.021807605852939723,0.146106905855318,True,False
82,VoicedSegmentsPerSec,0.07284374801400177,0.009493378627318843,0.005306211624727387,0.10474987502279161,0.00018759185764487656,0.010972536317290461,0.10474987502279161,0.02784724397346861,0.0006878368113645474,True,True
83,MeanVoicedSegmentLengthSec,0.06566633483365251,0.019407710836836504,0.004312067530485366,0.023045747135898315,0.41243776255709236,0.0005311064610517654,0.023045747135898315,0.05509285656908427,0.48392697473365504,False,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.06508013926270827,0.02052042617339657,0.004235424526453502,0.08264722959809385,0.0032404459723095213,0.006830564560240041,0.08264722959809385,0.05643117197684056,0.008911226423851183,False,True
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.06233062048950697,0.02651241634308188,0.0038851062506069464,-0.030814007134023606,0.27307855686956706,0.0009495030356556577,0.030814007134023606,0.06967663271746549,0.33376268061835973,False,False
