,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
19,loudness_sma3_stddevFallingSlope,0.3189290292439236,6.951563584036236e-11,0.10171572569447146,0.2797300547691094,1.3162856456771486e-08,0.07824890354112894,0.2797300547691094,6.117375953951888e-09,1.788373025144352e-07,True,True
16,loudness_sma3_meanRisingSlope,0.3021995343913506,7.176185005440453e-10,0.0913245585863491,0.2917915103251596,2.850226550680229e-09,0.08514228549783771,0.2917915103251596,3.157521402393799e-08,5.016398729197203e-08,True,True
18,loudness_sma3_meanFallingSlope,0.28771104566890265,4.82175982664949e-09,0.08277764579989338,0.2611918933479011,1.2026334179748312e-07,0.06822120515066135,0.2611918933479011,1.0764966656240716e-07,9.62106734379865e-07,True,True
15,loudness_sma3_pctlrange02,0.2875960079864718,4.893166661927598e-09,0.08271146380975473,0.3138123856734278,1.4418861848912765e-10,0.09847821340204818,0.3138123856734278,1.0764966656240716e-07,9.119766790836664e-09,True,True
14,loudness_sma3_percentile800,0.2819838192534035,9.944376585114133e-09,0.07951487432073613,0.3112305257794595,2.0726742706446965e-10,0.09686444017695879,0.3112305257794595,1.4710057855303275e-07,9.119766790836664e-09,True,True
10,loudness_sma3_amean,0.28191553637512634,1.0029584901343142e-08,0.07947636964967518,0.307432254674672,3.5125511470929434e-10,0.09451459121435238,0.307432254674672,1.4710057855303275e-07,1.0303483364805968e-08,True,True
17,loudness_sma3_stddevRisingSlope,0.27250530221255137,3.179804838243482e-08,0.07425913973395395,0.25019658377828147,4.132794580346261e-07,0.06259833053432262,0.25019658377828147,3.9974689395060916e-07,3.0307160255872586e-06,True,True
13,loudness_sma3_percentile500,0.2673195969567227,5.895717247959063e-08,0.07145976691710466,0.29374885753515206,2.2083142297892722e-09,0.08628839130320706,0.29374885753515206,6.485288972754969e-07,4.858291305536399e-08,True,True
59,alphaRatioV_sma3nz_stddevNorm,-0.2625174138672176,1.0323428040498092e-07,0.06891539258353202,-0.1758035231453529,0.00041843997862520653,0.030906878750318636,0.1758035231453529,1.0094018528487022e-06,0.001600987744305138,True,True
76,alphaRatioUV_sma3nz_amean,0.2608784351139032,1.2466969135096824e-07,0.068057557907479,0.1971432862651919,7.353311679502804e-05,0.0388654753194394,0.1971432862651919,1.0970932838885206e-06,0.00034057443568223514,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.24963366762161446,4.395685357235155e-07,0.06231696801021868,-0.16480384399291503,0.0009523176166390938,0.027160306994841076,0.16480384399291503,3.516548285788124e-06,0.0029929982237228664,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.24693535588169424,5.895465747046413e-07,0.060977069984418986,-0.21274903308169454,1.82340989943392e-05,0.04526215107719596,0.21274903308169454,4.323341547834037e-06,0.00010028754446886559,True,True
66,spectralFluxV_sma3nz_amean,0.24592780407778195,6.572743361825745e-07,0.060480484818519906,0.26691707845911306,6.18178094867299e-08,0.07124472677314832,0.26691707845911306,4.449241660312811e-06,5.439967234832231e-07,True,True
20,spectralFlux_sma3_amean,0.23739614294904013,1.6199738015748494e-06,0.056356928687081094,0.2747558430015503,2.422523429757269e-08,0.07549077326349257,0.2747558430015503,1.018269246704191e-05,2.6647757727329956e-07,True,True
12,loudness_sma3_percentile200,0.23568176851762798,1.9341068882626436e-06,0.05554589601159678,0.27910231619800946,1.4225694518193708e-08,0.07789810290709365,0.27910231619800946,1.1346760411140843e-05,1.788373025144352e-07,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.23316450124247332,2.5029289072196625e-06,0.05436568463965134,-0.18306413195614643,0.0002365997281324766,0.03351247640885739,0.18306413195614643,1.3766108989708143e-05,0.0010410388037828972,True,True
87,equivalentSoundLevel_dBp,0.23163837891297814,2.922284237694926e-06,0.053656338585432437,0.2706680807053153,3.9631834339659465e-08,0.07326120991269906,0.2706680807053153,1.4942821686060974e-05,3.8751126909889253e-07,True,True
74,mfcc4V_sma3nz_amean,-0.2311940660175217,3.0564862539670176e-06,0.05345069616171419,-0.24716994232501904,5.74768042250362e-07,0.06109298038895324,0.24716994232501904,1.4942821686060974e-05,3.890737516771681e-06,True,True
28,mfcc4_sma3_amean,-0.2293978469695079,3.661509655040766e-06,0.05262337219424577,-0.24440483931671045,7.740110754838952e-07,0.05973372548142705,0.24440483931671045,1.695857103387302e-05,4.865212474470198e-06,True,True
80,spectralFluxUV_sma3nz_amean,0.21718507484030908,1.2031702611753765e-05,0.047169356733390656,0.22191334339513902,7.651038417141789e-06,0.04924553197680889,0.22191334339513902,5.293949149171657e-05,4.488609204723183e-05,True,True
47,F2frequency_sma3nz_stddevNorm,0.20914761104309842,2.5393005741386586e-05,0.04374272320503519,0.1623923958567747,0.0011329583559816932,0.02637129023210342,0.1623923958567747,0.0001064087859639057,0.0034379425974616898,True,True
36,logRelF0H1H2_sma3nz_amean,-0.20280574388577366,4.487770653271782e-05,0.04113016975306202,-0.06508207322871072,0.19452436502582018,0.004235676255747264,0.06508207322871072,0.00017951082613087128,0.29013803597071486,True,False
60,hammarbergIndexV_sma3nz_amean,-0.19405443949857357,9.570913493042464e-05,0.03765712548910555,-0.1367723402931758,0.00621297960487189,0.018706673069272282,0.1367723402931758,0.0003661914727772769,0.014387952769177008,True,True
67,spectralFluxV_sma3nz_stddevNorm,0.1927291826360105,0.00010703495884173113,0.03714453783954469,0.1710299208770288,0.0006015508814249799,0.029251233835202735,0.1710299208770288,0.00039246151575301417,0.002036018367899932,True,True
54,F3bandwidth_sma3nz_amean,-0.19202539480310074,0.0001135503970333122,0.03687375224928671,-0.1301993551179505,0.009223359082167187,0.016951872073130182,0.1301993551179505,0.0003996973975572589,0.020811682031556727,True,True
11,loudness_sma3_stddevNorm,0.19069776700726412,0.00012686775036990273,0.036365638341556795,0.19924774804971218,6.130265391728834e-05,0.03969966510288159,0.19924774804971218,0.0004159140767661088,0.0003173313849836102,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.19062768221969908,0.0001276100008259652,0.03633891322845458,-0.17340250253217585,0.000502842079338589,0.03006842788442125,0.17340250253217585,0.0004159140767661088,0.001770004119271833,True,True
75,mfcc4V_sma3nz_stddevNorm,-0.189347093740009,0.00014191147352692906,0.035852321907787754,-0.06793199547275419,0.17565722019819752,0.004614756008910296,0.06793199547275419,0.0004460074882274913,0.26651440305933416,True,False
58,alphaRatioV_sma3nz_amean,0.18858488611123983,0.0001511238546606932,0.035564259269589296,0.1735523323685147,0.0004971439747106409,0.030120412070551394,0.1735523323685147,0.0004585827313841725,0.001770004119271833,True,True
29,mfcc4_sma3_stddevNorm,-0.181804585972977,0.00026160940762506765,0.03305290748080558,-0.04094405024770546,0.4147101111050944,0.0016764152506866298,0.04094405024770546,0.0007673875957001985,0.5213498539606901,True,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.17692643818138848,0.00038367013152815845,0.03130296452755268,-0.15922582756532688,0.0014181284793006426,0.02535286416386321,0.15922582756532688,0.00108912811530574,0.0036704501817193106,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.17110029642971838,0.0005983811479055352,0.029275311438337503,-0.11263379815165234,0.024451243140605646,0.012686372486067162,0.11263379815165234,0.0016455481567402216,0.05037599250744009,True,False
52,F3frequency_sma3nz_amean,-0.162213848845928,0.0011475149962306404,0.026313332757409574,-0.1237642672839888,0.013362780622941632,0.015317593856342621,0.1237642672839888,0.0030600399899483742,0.029398117370471592,True,True
46,F2frequency_sma3nz_amean,-0.1612666135844939,0.0012276632378383143,0.026006920657010473,-0.13896198995004147,0.005426561780620596,0.019310434650875428,0.13896198995004147,0.0031774813214638722,0.013643926762703214,True,True
42,F1bandwidth_sma3nz_amean,-0.15833784713038815,0.001509184044239836,0.025070873833886165,-0.04429758613587402,0.3775060553921875,0.0019622761374651783,0.04429758613587402,0.0037758570176464586,0.49565435153887705,True,False
24,mfcc2_sma3_amean,-0.15800506293611785,0.0015446687799462787,0.024965599913446563,-0.18184679407345336,0.00026073278502181156,0.033068256514792956,0.18184679407345336,0.0037758570176464586,0.0010925945277104484,True,True
