,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
19,loudness_sma3_stddevFallingSlope,0.284864938179922,1.7228362247283661e-09,0.08114803300425077,0.2811291804640354,2.856288530719007e-09,0.07903361610838018,0.2811291804640354,1.5160958777609622e-07,3.609403318375417e-08,True,True
16,loudness_sma3_meanRisingSlope,0.2710177303209398,1.081118487334395e-08,0.07345061014831364,0.2928946371362436,5.665508420058905e-10,0.0857872684631718,0.2928946371362436,4.756921344271338e-07,9.971294819303674e-09,True,True
18,loudness_sma3_meanFallingSlope,0.25719150695454696,6.118961717471598e-08,0.06614747124955077,0.26360718314612314,2.7714615838377793e-08,0.06948874700623371,0.26360718314612314,1.5490162698732456e-06,2.2171692670702234e-07,True,True
15,loudness_sma3_pctlrange02,0.25603638209007623,7.040983044878389e-08,0.0655546289537755,0.31382535350168783,2.639666687586426e-11,0.09848635250045933,0.31382535350168783,1.5490162698732456e-06,1.6621545152756222e-09,True,True
10,loudness_sma3_amean,0.25284057173121693,1.0345100235949208e-07,0.06392835471336866,0.3078501033547791,6.495214740301337e-11,0.09477168613554816,0.3078501033547791,1.6451523341556364e-06,1.9052629904883922e-09,True,True
14,loudness_sma3_percentile800,0.25216297569631546,1.1216947732879339e-07,0.06358616631202058,0.31146276064758455,3.777623898353687e-11,0.09700905127021454,0.31146276064758455,1.6451523341556364e-06,1.6621545152756222e-09,True,True
59,alphaRatioV_sma3nz_stddevNorm,-0.24981729563705726,1.4816332639111772e-07,0.06240868119941287,-0.20536656293660663,1.7310543524208844e-05,0.04217542517239521,0.20536656293660663,1.8626246746311942e-06,8.960751941943402e-05,True,True
76,alphaRatioUV_sma3nz_amean,0.2472412472319079,2.0048697683092937e-07,0.06112823433278941,0.19595967205235798,4.1999612350796896e-05,0.03840019307086769,0.19595967205235798,2.205356745140223e-06,0.0002053314381594515,True,True
17,loudness_sma3_stddevRisingSlope,0.2447886940621813,2.6655563819047207e-07,0.05992150474066819,0.25265110036620736,1.0582075239260817e-07,0.06383257851625539,0.25265110036620736,2.6063217956401713e-06,7.409566746832743e-07,True,True
13,loudness_sma3_percentile500,0.23998136492834152,4.6181619603895203e-07,0.057591055512869825,0.29481198202107883,4.3216418411834527e-10,0.08691410474319691,0.29481198202107883,4.063982525142778e-06,9.507612050603596e-09,True,True
