,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
15,loudness_sma3_pctlrange02,0.24521895369150906,1.0439062381245764e-06,0.060132335249558466,0.25907483002085424,2.3582191409655594e-07,0.06711976755033452,0.25907483002085424,5.161485280625762e-05,1.209917893392216e-05,True,True
19,loudness_sma3_stddevFallingSlope,0.24012027557722054,1.765795415248943e-06,0.057657746743280336,0.22589524249291135,7.201450413900063e-06,0.05102866058093122,0.22589524249291135,5.161485280625762e-05,9.599288572989336e-05,True,True
14,loudness_sma3_percentile800,0.24004499726273404,1.7793977570448043e-06,0.05762160071086599,0.2576808275966466,2.749813394073218e-07,0.06639940891089272,0.2576808275966466,5.161485280625762e-05,1.209917893392216e-05,True,True
10,loudness_sma3_amean,0.23731597665632237,2.34612967301171e-06,0.05631887277634414,0.2532340063225832,4.462235527655169e-07,0.06412746195818611,0.2532340063225832,5.161485280625762e-05,1.3089224214455163e-05,True,True
13,loudness_sma3_percentile500,0.2299226078521698,4.880823341584501e-06,0.05286440560154266,0.24117448985996384,1.5854556984720408e-06,0.0581651345592138,0.24117448985996384,7.205775097274223e-05,2.790402029310792e-05,True,True
18,loudness_sma3_meanFallingSlope,0.22985511694952673,4.913028475414243e-06,0.05283337478788061,0.24714896791874227,8.529653506166376e-07,0.061082612343299494,0.24714896791874227,7.205775097274223e-05,1.8765237713566026e-05,True,True
54,F3bandwidth_sma3nz_amean,-0.22791315589679464,5.931472945531806e-06,0.05194440663083662,-0.1893026889127062,0.00017974827957308124,0.035835508029580826,0.1893026889127062,7.456708845811413e-05,0.0010545232401620768,True,True
16,loudness_sma3_meanRisingSlope,0.22248947133153674,9.951472840159874e-06,0.049501564853386706,0.2140298690347275,2.1747729099672543e-05,0.04580878483902261,0.2140298690347275,0.00010946620124175861,0.0002126444623079093,True,True
83,MeanVoicedSegmentLengthSec,0.2139009315564621,2.2003208769680663e-05,0.04575360852072228,0.1551867795104478,0.0022017508742916275,0.02408293653482434,0.1551867795104478,0.0002151424857479887,0.007546623471297944,True,True
87,equivalentSoundLevel_dBp,0.20578744573837945,4.523764299603347e-05,0.04234847282352647,0.2007536517003095,6.976805351220632e-05,0.04030202867100918,0.2007536517003095,0.00039809125836509456,0.0005456189561861252,True,True
82,VoicedSegmentsPerSec,-0.20407755686753798,5.247225314118643e-05,0.0416476492170232,-0.19617357638675553,0.0001025346236819721,0.03848407207237021,0.19617357638675553,0.0004197780251294914,0.0006940805295395034,True,True
12,loudness_sma3_percentile200,0.20306704320107452,5.724749455526715e-05,0.04123622403442707,0.22528246161263493,7.635797728514245e-06,0.050752187510248334,0.22528246161263493,0.0004198149600719591,9.599288572989336e-05,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.19959672323430233,7.695768117428618e-05,0.03983885192587069,-0.11336180175333603,0.025742897591995592,0.01285089809676266,0.11336180175333603,0.0004857019336919788,0.05525304849013688,True,False
17,loudness_sma3_stddevRisingSlope,0.19954869053021276,7.727076217826936e-05,0.03981967989232262,0.19999575140011067,7.440258493447161e-05,0.039998300578094864,0.19999575140011067,0.0004857019336919788,0.0005456189561861252,True,True
76,alphaRatioUV_sma3nz_amean,0.1984863420801142,8.45096505731136e-05,0.03939682799234411,0.12194606874581694,0.01638766089349144,0.01487084368255951,0.12194606874581694,0.0004870165185328295,0.04120326167506419,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.19755138536579894,9.140406198496047e-05,0.0390265498599464,0.15664396166681968,0.001996972440722872,0.024537330726676073,0.15664396166681968,0.0004870165185328295,0.007546623471297944,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.19720593575854403,9.408273653475116e-05,0.038890181098403,0.15868302274744636,0.0017395830174737517,0.02518030170826658,0.15868302274744636,0.0004870165185328295,0.007289681216080483,True,True
67,spectralFluxV_sma3nz_stddevNorm,0.1954255256546667,0.00010909944957624902,0.03819113607740279,0.18113574840608207,0.00034162331905383456,0.03281015935063146,0.18113574840608207,0.0005333750868172175,0.00187892825479609,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.19282754109706973,0.00013509782166759853,0.03718246060554212,0.1549976933259601,0.002229684207428938,0.02402428493636838,0.1549976933259601,0.0006257162266709827,0.007546623471297944,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.19210248110083855,0.0001433307301592608,0.036903363245098034,-0.13518766949263414,0.007742731697631107,0.018275705982849683,0.13518766949263414,0.0006306552127007476,0.02129251216848554,True,True
20,spectralFlux_sma3_amean,0.18267357672981546,0.00030334182271487756,0.033369635635263774,0.21579523449557877,1.852077534624802e-05,0.04656758323100183,0.21579523449557877,0.001271146685662344,0.00020372852880872822,True,True
66,spectralFluxV_sma3nz_amean,0.17184119191788494,0.0006866224582301223,0.029529395239759365,0.20075530315452406,6.975825866479334e-05,0.04030269174466486,0.20075530315452406,0.002746489832920489,0.0005456189561861252,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.17112371166957369,0.0007235983059115968,0.029283324695571388,-0.15267727478819784,0.002599825928869338,0.023310350236750873,0.15267727478819784,0.002768550040009588,0.008473506731129694,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.16558966503071823,0.0010770173043207394,0.027419937164985468,0.12100631133469657,0.01724082316940403,0.014642527382829515,0.12100631133469657,0.0039490634491760445,0.042144234414098744,True,True
86,StddevUnvoicedSegmentLength,-0.16026689141650885,0.0015610284616622476,0.025685476484311038,-0.0826145989104935,0.10464537732553657,0.006825171953141714,0.0826145989104935,0.005494820185051111,0.17375081518202298,True,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.14813963166875246,0.0034895995213797956,0.021945350470953646,-0.10515861098852453,0.038662802389692295,0.011058333465035831,0.10515861098852453,0.011810952226208538,0.07912387465797494,True,False
