,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.2301186887251079,1.677279575026714e-06,0.0529546109005631,-0.11423413057538533,0.018623240057291046,0.013049436588314185,0.11423413057538533,0.00014760060260235084,0.04202166987286185,True,True
15,loudness_sma3_pctlrange02,0.21315259985872964,9.550758753547195e-06,0.04543403082653571,0.2637325510282583,3.5387664534530965e-08,0.06955485847187289,0.2637325510282583,0.0002980175475811399,1.812047837950489e-06,True,True
19,loudness_sma3_stddevFallingSlope,0.21252434439563278,1.0159689122084314e-05,0.04516659696079353,0.23226624786562203,1.3327135683972816e-06,0.05394760989757457,0.23226624786562203,0.0002980175475811399,1.730407036609496e-05,True,True
14,loudness_sma3_percentile800,0.20955951228748973,1.3566768216589517e-05,0.04391518919017056,0.26249822364062136,4.118290540796566e-08,0.06890531741448166,0.26249822364062136,0.00029846890076496937,1.812047837950489e-06,True,True
10,loudness_sma3_amean,0.20636613034701876,1.8440444860697487e-05,0.04258697975440274,0.25834756258200586,6.819284404274211e-08,0.06674346309206343,0.25834756258200586,0.0003245518295482758,2.000323425253769e-06,True,True
13,loudness_sma3_percentile500,0.2010679583962908,3.0367846055798956e-05,0.04042832389365253,0.24706555061571545,2.5708567968371915e-07,0.06104138630104665,0.24706555061571545,0.00041095796912779477,4.524707962433457e-06,True,True
18,loudness_sma3_meanFallingSlope,0.20027359970444852,3.268983845334731e-05,0.040109514738577684,0.2527462852714853,1.328400875937142e-07,0.06388068471853503,0.2527462852714853,0.00041095796912779477,2.9224819270617124e-06,True,True
83,MeanVoicedSegmentLengthSec,0.1931744856398514,6.23496766448237e-05,0.037316381902221155,0.16212933068924584,0.0008058225948428488,0.026285919869742835,0.16212933068924584,0.0006400819089840403,0.004071054448798374,True,True
16,loudness_sma3_meanRisingSlope,0.19262835123727556,6.54629225097314e-05,0.037105681700391205,0.221205797003204,4.2544279207871875e-06,0.0489320046278227,0.221205797003204,0.0006400819089840403,4.159885078103027e-05,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.1903226895990158,8.029500208677887e-05,0.03622272617620332,-0.12393545205568253,0.010639903963062575,0.015359996276246382,0.12393545205568253,0.0007065960183636541,0.027486829565483244,True,True
12,loudness_sma3_percentile200,0.18055863064471922,0.00018569759452901445,0.03260141910029614,0.2319658646091131,1.3764601427575536e-06,0.05380816234385338,0.2319658646091131,0.0013738367676796655,1.730407036609496e-05,True,True
87,equivalentSoundLevel_dBp,0.17942543399766062,0.00020411278595607507,0.032193486365248866,0.2079009926996634,1.5920647126136924e-05,0.04322282276550549,0.2079009926996634,0.0013738367676796655,0.00011859150694241582,True,True
82,VoicedSegmentsPerSec,-0.17904460028557212,0.00021067602460085862,0.03205696889142029,-0.15112420035402774,0.001804876908105034,0.02283852393264432,0.15112420035402774,0.0013738367676796655,0.006905615996227956,True,True
67,spectralFluxV_sma3nz_stddevNorm,0.1772675090274933,0.0002439972692464351,0.03142376975681242,0.19072368195553055,7.750650086260877e-05,0.03637552285867437,0.19072368195553055,0.0013738367676796655,0.0005246593904545824,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.17699624859409446,0.00024949721074916275,0.031327672016382486,0.15873448417525823,0.0010391332976911504,0.025196636466385307,0.15873448417525823,0.0013738367676796655,0.004354463342705773,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.17698203821050548,0.00024978850321448465,0.03132264184914482,0.16097661252429865,0.000878977665081467,0.025913469779798186,0.16097661252429865,0.0013738367676796655,0.004071054448798374,True,True
76,alphaRatioUV_sma3nz_amean,0.17524850521148566,0.00028780697746612805,0.030712038578860117,0.12804819195563721,0.008296357132795267,0.016396339463107715,0.12804819195563721,0.00148982435394231,0.023550949280193013,True,True
17,loudness_sma3_stddevRisingSlope,0.1730448279360353,0.00034394462960740793,0.02994451247541206,0.2077381754101721,1.6171569128511247e-05,0.043155149522747425,0.2077381754101721,0.001681507078080661,0.00011859150694241582,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.17187111585957243,0.0003778579352684697,0.029539680466814572,0.1562933601047522,0.001243804594653853,0.024427614412833747,0.1562933601047522,0.001750078858085544,0.004975218378615412,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.17113091276773681,0.0004008202917535902,0.029285789304718746,-0.1443418552131612,0.0028917041724397636,0.020834571166377193,0.1443418552131612,0.001763609283715797,0.010602915298945801,True,True
20,spectralFlux_sma3_amean,0.15936752176983723,0.0009913845340980675,0.025398006995059546,0.2222001249746985,3.8420052999664016e-06,0.049372895538771625,0.2222001249746985,0.004154373285744283,4.159885078103027e-05,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.15645253387921093,0.001229403987960069,0.024477395357225644,-0.14076036267433004,0.0036801656037981022,0.019813479700208924,0.14076036267433004,0.004917615951840276,0.012455945120547422,True,True
66,spectralFluxV_sma3nz_amean,0.1540524790376052,0.0014637097031581243,0.023732166297631786,0.2079317368891042,1.5873683416024142e-05,0.04323560720571966,0.2079317368891042,0.005600280603387606,0.00011859150694241582,True,True
86,StddevUnvoicedSegmentLength,-0.14914643204604913,0.002074967002953078,0.022244658192066752,-0.06965300295277263,0.1522158371472664,0.004851540820338953,0.06965300295277263,0.007608212344161286,0.24354533943562623,True,False
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.14135202765151642,0.0035377655944365313,0.01998039572119506,0.10621662833134335,0.02875221692669857,0.01128197213407873,0.10621662833134335,0.012452934892416589,0.06325487723873685,True,False
27,mfcc3_sma3_stddevNorm,-0.13694879635170867,0.004728876993512809,0.018754972822181776,0.005835257446439823,0.9046403050116977,3.405022946623141e-05,0.005835257446439823,0.016005429824197198,0.9578533072903341,True,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.13508903792439336,0.005332599137577721,0.01824904816733819,-0.11846505814738738,0.014657042622354696,0.014033970001863873,0.11846505814738738,0.017380323115068128,0.03394262502018982,True,True
47,F2frequency_sma3nz_stddevNorm,0.12739600992876446,0.00863418001060003,0.01622974334576985,0.130155717997647,0.007283797613378403,0.01694051092748301,0.130155717997647,0.027135994319028665,0.021365806332576648,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.1261030229153169,0.00934035700648934,0.015901972388380935,-0.12348038240326792,0.010932261758999017,0.015247404838457277,0.12348038240326792,0.028343152295553863,0.027486829565483244,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.12398275473726336,0.010609915666175352,0.0153717234722404,-0.16148787386277255,0.0008458055247788199,0.02607833340471874,0.16148787386277255,0.031122419287447703,0.004071054448798374,True,True
30,jitterLocal_sma3nz_amean,-0.12124281060602367,0.012475703698254258,0.014699819123648126,-0.13638411410112952,0.004905321748423584,0.018600626579149918,0.13638411410112952,0.035414900820850796,0.01541672549504555,True,True
64,slopeV5001500_sma3nz_amean,-0.11983308588955034,0.013544079158395238,0.01435996847381235,-0.1688816404827758,0.000478814763882099,0.028521008492153534,0.1688816404827758,0.037246217685586905,0.002809046614774981,True,True
32,shimmerLocaldB_sma3nz_amean,-0.11776981713900375,0.015252855145495622,0.013869729828954382,-0.09387821556220581,0.053404958911623515,0.00881311935714398,0.09387821556220581,0.04067428038798832,0.10680991782324703,True,False
80,spectralFluxUV_sma3nz_amean,0.1170635839844707,0.015879738872920657,0.013703882695289224,0.17723922577423248,0.0002445653890887689,0.03141374315304936,0.17723922577423248,0.04110050061226523,0.0015372681599865473,True,True
29,mfcc4_sma3_stddevNorm,-0.11601884217297198,0.016848482907855438,0.013460371739156983,-0.015524325333348474,0.7499229652095143,0.0002410046770556452,0.015524325333348474,0.04236189988260796,0.8353572270688261,True,False
78,slopeUV0500_sma3nz_amean,-0.11531263167680118,0.017532246694786178,0.013297003024229611,-0.08953670895867512,0.06548510563683506,0.008016822251150493,0.08953670895867512,0.042856603031699546,0.12805976213425524,True,False
73,mfcc3V_sma3nz_stddevNorm,-0.11448785010254987,0.018361392105218814,0.013107467821103929,0.03424144093906194,0.48193162384662735,0.001172476277583267,0.03424144093906194,0.04295559321662571,0.603485776613861,True,False
36,logRelF0H1H2_sma3nz_amean,-0.11422401064724753,0.0186337513738064,0.013047124608342517,-0.1258137756766382,0.009505190763068227,0.01582910615001144,0.1258137756766382,0.04295559321662571,0.02534717536818194,True,True
34,HNRdBACF_sma3nz_amean,0.11377946248063847,0.019100625458198094,0.012945766082383018,0.09952095905783485,0.040530628357174706,0.00990442129179124,0.09952095905783485,0.04295559321662571,0.08699256818125303,True,False
81,loudnessPeaksPerSec,-0.11338327017815414,0.019525269643920776,0.012855765956292297,-0.13406557693493804,0.005693645343412289,0.017973578918897788,0.13406557693493804,0.04295559321662571,0.017277268628285568,True,True
75,mfcc4V_sma3nz_stddevNorm,-0.11123754064286925,0.02197075390102313,0.012373790448273988,-0.029040588283919946,0.5509462548597073,0.0008433557678761485,0.029040588283919946,0.046273183200340434,0.6676268314405852,True,False
74,mfcc4V_sma3nz_amean,-0.11080128186668711,0.02249921567974738,0.012276924063301047,-0.16002741046338434,0.0009437717544561038,0.02560877209961649,0.16002741046338434,0.046273183200340434,0.004152595719606857,True,True
63,slopeV0500_sma3nz_stddevNorm,0.11071033541171754,0.02261075997289362,0.012256778366974998,-0.002479177362623819,0.9594061931142338,6.1463203953463944e-06,0.002479177362623819,0.046273183200340434,0.9594061931142338,True,False
84,StddevVoicedSegmentLengthSec,0.10977917360180435,0.023780641994204852,0.012051466956695097,0.11918701728432522,0.014060065089445628,0.014205545089134039,0.11918701728432522,0.047561283988409704,0.03344015480733014,True,True
21,spectralFlux_sma3_stddevNorm,0.10601372787231177,0.029060411744316374,0.011238910497384572,0.16746304337290865,0.0005350271156378707,0.028043870895716687,0.16746304337290865,0.0568292496333298,0.0029426491360082887,False,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.0976618085742739,0.04444708655244807,0.009537828853998119,0.06387526427978203,0.1892738732024839,0.004080049386811999,0.06387526427978203,0.08502920905685718,0.27576077145742073,False,False
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,-0.09689979771980028,0.046141853447145845,0.009389570798138212,-0.07985950123136706,0.10055333754245659,0.006377539936922718,0.07985950123136706,0.0863932575180603,0.1735037981124741,False,False
68,mfcc1V_sma3nz_amean,-0.09424484289372455,0.0524758619239071,0.008882090412062822,0.04709812419372571,0.33330227674445384,0.0022182333025676107,0.04709812419372571,0.09620574686049636,0.4444030356592718,False,False
62,slopeV0500_sma3nz_amean,-0.0920071811579108,0.0583621560110955,0.008465321384624616,-0.07142578327604845,0.14202793763626348,0.005101642516597043,0.07142578327604845,0.10481366793829397,0.24035497138444586,False,False
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,-0.09089080300935982,0.06149727312161109,0.008261138071686254,-0.12057194834362106,0.012974480907313688,0.014537594727376825,0.12057194834362106,0.1082352006940355,0.031715397773433456,False,True
28,mfcc4_sma3_amean,-0.08934198469741,0.0660756688215976,0.007981990229672243,-0.14127835780833825,0.00355521972934862,0.01995957438502085,0.14127835780833825,0.11401291875099193,0.012455945120547422,False,True
38,logRelF0H1A3_sma3nz_amean,-0.08881545005724706,0.06769447990105025,0.007888184168871347,-0.06988278050122322,0.15086490743969377,0.004883603010582145,0.06988278050122322,0.11455988906331581,0.24354533943562623,False,False
60,hammarbergIndexV_sma3nz_amean,-0.085337853406718,0.07922005526695229,0.00728254922406649,-0.04720315059793771,0.33222419068895487,0.0022281374263715876,0.04720315059793771,0.1315351861036189,0.4444030356592718,False,False
35,HNRdBACF_sma3nz_stddevNorm,-0.08331390005076764,0.08662910161433542,0.0069412059416693,-0.0037768127430113183,0.9381939507129112,1.4264314495772678e-05,0.0037768127430113183,0.14117335077891696,0.9594061931142338,False,False
59,alphaRatioV_sma3nz_stddevNorm,-0.07458572455725593,0.1251732258581315,0.00556303030773085,0.021946565179073597,0.6522579492794173,0.0004816517231593257,0.021946565179073597,0.2002771613730104,0.745437656319334,False,False
55,F3bandwidth_sma3nz_stddevNorm,0.07247556154086568,0.13624594707867155,0.005252707020663808,0.06360563885257177,0.19115235294207575,0.004045677293843787,0.06360563885257177,0.21405100411788341,0.27576077145742073,False,False
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.07203561278932497,0.13864667312181084,0.005189129509933559,-0.07028237940101684,0.14853726177316096,0.004939612854268476,0.07028237940101684,0.21405100411788341,0.24354533943562623,False,False
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,-0.0702230396889825,0.14888117471353668,0.004931275303160411,-0.08048458210056704,0.0979098133213944,0.0064777679559029164,0.08048458210056704,0.22588867887571085,0.17232127144565412,False,False
11,loudness_sma3_stddevNorm,0.0623444469389755,0.20012076921901348,0.0038868300641267317,0.13687836542064613,0.00475056739182009,0.018735686920227933,0.13687836542064613,0.2984852151063252,0.01541672549504555,False,True
79,slopeUV5001500_sma3nz_amean,-0.06125984421306364,0.20807507430297725,0.0037527685130088265,-0.06463361734183218,0.18406318271241495,0.00417750449069039,0.06463361734183218,0.3051767756443667,0.27453491658800877,False,False
48,F2bandwidth_sma3nz_amean,-0.058503043983835386,0.22931511657648326,0.0034226061553745777,-0.033854226383419325,0.48690329704072877,0.0011461086440198052,0.033854226383419325,0.328613725887438,0.603485776613861,False,False
61,hammarbergIndexV_sma3nz_stddevNorm,0.058227046755906904,0.23152330687524042,0.0033903889739145686,-0.06821134838262757,0.1609019287147078,0.004652788048176189,0.06821134838262757,0.328613725887438,0.2528458879802551,False,False
53,F3frequency_sma3nz_stddevNorm,0.05738397627620202,0.23836157145040066,0.0032929207332677165,0.0454792546240849,0.35020381383662347,0.0020683626011623476,0.0454792546240849,0.33294949662913104,0.4599691883227293,False,False
33,shimmerLocaldB_sma3nz_stddevNorm,0.05346386404126588,0.2720193326833934,0.0028583847582229626,0.08314803635640061,0.08726020593837538,0.006913595949925318,0.08314803635640061,0.3740265824396659,0.15997704422035489,False,False
37,logRelF0H1H2_sma3nz_stddevNorm,-0.05276568055635416,0.27833834071166963,0.0027842170445752114,-0.09425227188297644,0.05245717566611497,0.00888349075510251,0.09425227188297644,0.37682729204041426,0.10680991782324703,False,False
72,mfcc3V_sma3nz_amean,0.050854541856785326,0.29614135557106186,0.0025861844274635308,0.056236060960674454,0.24789904983843422,0.0031624945523726932,0.056236060960674454,0.3948551407614158,0.3462716886632097,False,False
65,slopeV5001500_sma3nz_stddevNorm,0.04961713323248584,0.3080647893888583,0.0024618599102102503,0.028830921478928993,0.5538268033541218,0.0008312220333241691,0.028830921478928993,0.40462240994357507,0.6676268314405852,False,False
42,F1bandwidth_sma3nz_amean,-0.04780136199611426,0.3261264731647391,0.002284970208683557,0.009911555645044322,0.8387489986561172,9.823893530480998e-05,0.009911555645044322,0.41616307722429097,0.9226238985217289,False,False
41,F1frequency_sma3nz_stddevNorm,0.04778328323032603,0.3263096855508645,0.002283242156269557,0.09487444535737662,0.05091176928783658,0.00900116038186984,0.09487444535737662,0.41616307722429097,0.10667227850784806,False,False
49,F2bandwidth_sma3nz_stddevNorm,0.046440480927741515,0.3401039951439425,0.0021567182687999235,0.04789358565513298,0.32519290455940053,0.0022937955469055594,0.04789358565513298,0.42755930818095633,0.4444030356592718,False,False
58,alphaRatioV_sma3nz_amean,0.04553504265339605,0.3496125051765242,0.002073440109446598,0.020674006465933103,0.6712066796101985,0.00042741454335344377,0.020674006465933103,0.43332254162724126,0.7572588180217624,False,False
85,MeanUnvoicedSegmentLength,-0.04227331441660601,0.3852414488451834,0.0017870331117652298,-0.021957420406868086,0.6520972484576468,0.0004821283109239471,0.021957420406868086,0.4708506596996686,0.745437656319334,False,False
52,F3frequency_sma3nz_amean,-0.04149992528672543,0.3940030343664085,0.0017222437988037927,0.0029091144226678976,0.9523741665662325,8.462946724174375e-06,0.0029091144226678976,0.47496256197594444,0.9594061931142338,False,False
43,F1bandwidth_sma3nz_stddevNorm,-0.03789948776472707,0.4363485217281906,0.0014363711728286968,-0.08247500464638992,0.08985909310159486,0.006802126391422038,0.08247500464638992,0.5189009447578483,0.1613795957742928,False,False
25,mfcc2_sma3_stddevNorm,-0.03585824502302384,0.4614729643762221,0.0012858137361312137,-0.03704016162366625,0.44682845383251235,0.0013719735731073182,0.03704016162366625,0.5374473085711267,0.578248587312663,False,False
