,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
30,jitterLocal_sma3nz_amean,-0.2614797353622876,9.053918128158688e-21,0.06837165200513194,-0.15380745207077406,5.5020768201106896e-08,0.02365673231250346,0.15380745207077406,7.967447952779645e-19,6.392559782936791e-07,True,True
67,spectralFluxV_sma3nz_stddevNorm,0.23100958956215914,1.9545946161072841e-16,0.053365430469677226,0.23604145256826278,4.129413900370573e-17,0.05571556733053545,0.23604145256826278,8.60021631087205e-15,3.6338842323261045e-15,True,True
34,HNRdBACF_sma3nz_amean,0.214215528023059,2.69800996197361e-14,0.04588829244619797,0.22222044750324188,2.7079103648473146e-15,0.04938192728854108,0.22222044750324188,7.91416255512259e-13,1.1914805605328184e-13,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.21105467704163636,6.524386486428226e-14,0.044544076701149425,-0.12329215366043961,1.3816037655203162e-05,0.015200955154229452,0.12329215366043961,1.4353650270142098e-12,7.151831256811049e-05,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.20968866646086587,9.514876847829501e-14,0.043969336842136254,0.1535344188393057,5.8114179844879916e-08,0.023572817768323345,0.1535344188393057,1.6746183252179922e-12,6.392559782936791e-07,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.20837251415765634,1.3652778831731047e-13,0.04341910465638269,0.16339910453122253,7.575209504128059e-09,0.026699267361605387,0.16339910453122253,2.0024075619872203e-12,1.1110307272721153e-07,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.2065884113800225,2.2188600840222721e-13,0.042678771716521416,0.20580929859729696,2.739260200163826e-13,0.04235746738911134,0.20580929859729696,2.789424105627999e-12,8.035163253813891e-12,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.20286952395465718,6.020339181919814e-13,0.04115604374958923,0.14253152976420244,4.864272933466718e-07,0.020315236976923726,0.14253152976420244,6.622373100111795e-12,4.280560181450712e-06,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.1910412387165096,1.2695607547821561e-11,0.036496754890338406,0.20175952205793404,8.079880282881882e-13,0.04070690474104598,0.20175952205793404,1.2413482935647747e-10,1.777573662234014e-11,True,True
62,slopeV0500_sma3nz_amean,0.18930167979693924,1.9561732664109296e-11,0.035835125973942915,0.1058948456549568,0.00019174813979176545,0.011213718336287122,0.1058948456549568,1.721432474441618e-10,0.0007336450565945809,True,True
0,F0semitoneFrom275Hz_sma3nz_amean,0.17292991463725493,9.376928804789166e-10,0.029904755376448277,0.17112914366213347,1.4043305271307157e-09,0.029285183810535118,0.17112914366213347,7.501543043831333e-09,2.4716217277500597e-08,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.17223176757066758,1.097200731323533e-09,0.02966378176051646,-0.07629495007357055,0.007285951925919012,0.005820919406728623,0.07629495007357055,8.046138696372576e-09,0.017328750526510082,True,True
79,slopeUV5001500_sma3nz_amean,0.16949643842813306,2.0179115925004305e-09,0.0287290426398219,0.06794945235728667,0.016883755217102295,0.00461712807565517,0.06794945235728667,1.3659709241541375e-08,0.03809667843858979,True,True
83,MeanVoicedSegmentLengthSec,0.16846273672997214,2.5338952670023e-09,0.028379693666551905,0.09818068956486078,0.0005470776191503838,0.009639447803431563,0.09818068956486078,1.592734167830017e-08,0.0019022068004290443,True,True
69,mfcc1V_sma3nz_stddevNorm,0.16633522876620843,4.030820623743462e-09,0.027667408328706893,-0.015334299579716272,0.5901691154853326,0.00023514074360048666,0.015334299579716272,2.3647480992628313e-08,0.7114367419549215,True,False
