,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.2543495597376576,1.0748853753611932e-27,0.06469369853874025,-0.17880594388614562,2.916039875073178e-14,0.03197156556901546,0.17880594388614562,9.4589913031785e-26,2.332831900058542e-13,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.24490756533888736,9.763590519592476e-26,0.05997971556022138,0.2009070608981792,1.1274106216512369e-17,0.04036364711874468,0.2009070608981792,3.8819668624571466e-24,1.984242694106177e-16,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.2442560648602684,1.3233977940194817e-25,0.05966102522102365,0.2022781913134142,6.708128861408137e-18,0.0409164666810262,0.2022781913134142,3.8819668624571466e-24,1.47578834950979e-16,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.24353213404525942,1.8535221800059925e-25,0.059307900312638204,0.20978018970909326,3.6648329125848357e-19,0.044007727994383156,0.20978018970909326,4.077748796013183e-24,1.0785048330952475e-17,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.23304174863611235,2.159708908106139e-23,0.05430845660737697,-0.15190841556295118,1.165558180895282e-10,0.023076166718846266,0.15190841556295118,3.801087678266805e-22,6.410569994924051e-10,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.2160965416326542,2.9036820985113154e-20,0.046697715305593454,-0.14811662563450742,3.3621180786477394e-10,0.021938534789352822,0.14811662563450742,4.258733744483263e-19,1.740390534829418e-09,True,True
15,loudness_sma3_pctlrange02,0.20729211968286695,9.732094575447556e-19,0.04297002288261604,0.19196939279029207,3.0356552445837317e-16,0.03685224776827344,0.19196939279029207,1.2234633180562641e-17,3.816252307476691e-15,True,True
67,spectralFluxV_sma3nz_stddevNorm,0.19814452941981264,3.172877584644439e-17,0.039261254538999,0.21448882318024587,5.578780703031232e-20,0.04600545526924678,0.21448882318024587,3.4901653431088827e-16,4.909327018667484e-18,True,True
83,MeanVoicedSegmentLengthSec,0.1921162301280559,2.8794442705320653e-16,0.036908645878616135,0.1321039857418736,2.1977869546121844e-08,0.017451463048889143,0.1321039857418736,2.815456620075797e-15,9.209773905041534e-08,True,True
16,loudness_sma3_meanRisingSlope,0.19095201064333295,4.3723670082290423e-16,0.03646267036873154,0.199746749126264,1.744321764155442e-17,0.039898763786510645,0.199746749126264,3.8476829672415574e-15,2.558338587427982e-16,True,True
14,loudness_sma3_percentile800,0.18848273550301067,1.051136898540428e-15,0.03552574158269788,0.18626180153611452,2.2901706000632696e-15,0.034693458711478914,0.18626180153611452,8.409095188323424e-15,2.5191876600695965e-14,True,True
69,mfcc1V_sma3nz_stddevNorm,0.18786558983370585,1.3063487353290061e-15,0.035293479843566206,0.006034372699799414,0.7991205116512823,3.641365388008447e-05,0.006034372699799414,9.579890725746045e-15,0.8459757981877902,True,False
85,MeanUnvoicedSegmentLength,-0.1831780878606153,6.6457128304406474e-15,0.0335542118722713,-0.12429773053369375,1.4223650656221938e-07,0.015449925815826744,0.12429773053369375,4.498636377529053e-14,5.442092424989263e-07,True,True
10,loudness_sma3_amean,0.18078655028118204,1.4991353714086074e-14,0.03268377676257036,0.18128025092104574,1.2685315472406865e-14,0.03286252937399731,0.18128025092104574,9.423136620282675e-14,1.149731652081794e-13,True,True
30,jitterLocal_sma3nz_amean,-0.17860958126512014,3.1135915257191145e-14,0.03190138251970155,-0.10265406006915734,1.4207769699955612e-05,0.010537856048682162,0.10265406006915734,1.826640361755214e-13,4.465299048557478e-05,True,True
17,loudness_sma3_stddevRisingSlope,0.1756435321809307,8.305105420480708e-14,0.03085065039699364,0.18119315075621034,1.3065132410020386e-14,0.03283095788096277,0.18119315075621034,4.567807981264389e-13,1.149731652081794e-13,True,True
18,loudness_sma3_meanFallingSlope,0.17544913723550803,8.85143757208552e-14,0.03078239975668413,0.17282474080815297,2.0771336249544586e-13,0.029868391035405253,0.17282474080815297,4.581920625550152e-13,1.4060596845845565e-12,True,True
13,loudness_sma3_percentile500,0.17314256946108267,1.8745900550744222e-13,0.029978349359585838,0.17472587365127418,1.121193226710015e-13,0.030529130923201028,0.17472587365127418,9.164662491474953e-13,8.222083662540111e-13,True,True
40,F1frequency_sma3nz_amean,-0.1706726693683301,4.1396595985573496e-13,0.029129160069311318,-0.08287753167857946,0.00046324142842274566,0.006868685257133942,0.08287753167857946,1.917316024594983e-12,0.0011323679361444894,True,True
86,StddevUnvoicedSegmentLength,-0.16679753580552964,1.4014348979825701e-12,0.027821417950796942,-0.13445442168973457,1.2255769731321925e-08,0.018077991511920966,0.13445442168973457,6.166313551123309e-12,5.392538681781647e-08,True,True
21,spectralFlux_sma3_stddevNorm,0.16630334770141725,1.6338778396491678e-12,0.027656803456698482,0.1552393943768631,4.495109203988472e-11,0.024099269566495236,0.1552393943768631,6.846726185196512e-12,2.8254972139356107e-10,True,True
12,loudness_sma3_percentile200,0.16208773418089062,5.936848255124322e-12,0.026272433571895057,0.13910174430839925,3.7487334434659204e-09,0.019349295269639282,0.13910174430839925,2.374739302049729e-11,1.7362554896052684e-08,True,True
87,equivalentSoundLevel_dBp,0.15943250761276254,1.3151885085298153e-11,0.025418724483693585,0.20977199122821186,3.676721021915616e-19,0.04400428830384899,0.20977199122821186,5.0320255978532065e-11,1.0785048330952475e-17,True,True
19,loudness_sma3_stddevFallingSlope,0.1543894961131746,5.743509605818434e-11,0.023836116510079955,0.1405057631873019,2.6005642045610835e-09,0.019741869488846164,0.1405057631873019,2.105953522133426e-10,1.2713869444520851e-08,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.15141060901787665,1.34152876649752e-10,0.022925172523164308,-0.1098873355864247,3.347132620771941e-06,0.012075226522283522,0.1098873355864247,4.72218125807127e-10,1.1328756562612723e-05,True,True
68,mfcc1V_sma3nz_amean,-0.15071883117124052,1.6297716343698014e-10,0.022716166069624903,-0.016486053814357738,0.48686637028647034,0.0002717899703698993,0.016486053814357738,5.51615014709779e-10,0.595058897016797,True,False
54,F3bandwidth_sma3nz_amean,-0.14656556119901493,5.145894440645165e-10,0.02148146372958219,-0.01876648024599013,0.428655364324513,0.00035218078082313776,0.01876648024599013,1.6771804102843501e-09,0.5466908994283645,True,False
66,spectralFluxV_sma3nz_amean,0.1392876370508686,3.5722982897318067e-09,0.019401045835214504,0.12220884899353494,2.3008714528633857e-07,0.014935002772324627,0.12220884899353494,1.1227223196299963e-08,8.436528660499081e-07,True,True
76,alphaRatioUV_sma3nz_amean,0.13894124242860564,3.907863966746284e-09,0.019304668847604563,0.08841987746026453,0.0001868323778086947,0.007818074730088196,0.08841987746026453,1.1858345830126655e-08,0.0004982196741565192,True,True
84,StddevVoicedSegmentLengthSec,0.13597859039172838,8.346676506634491e-09,0.018490177044921445,0.15486714097566245,5.0053200805153255e-11,0.023983831353975707,0.15486714097566245,2.4483584419461177e-08,2.936454447235658e-10,True,True
59,alphaRatioV_sma3nz_stddevNorm,-0.13255141450444086,1.968066707919687e-08,0.017569877487128092,-0.008277565768179623,0.7270219760844133,6.851809504653912e-05,0.008277565768179623,5.586770009578467e-08,0.7839006713378702,True,False
46,F2frequency_sma3nz_amean,-0.13197783282969433,2.2671238259981627e-08,0.017418148358422744,0.013008157242633182,0.5832753970367293,0.0001692121548490701,0.013008157242633182,6.234590521494947e-08,0.675371512358318,True,False
20,spectralFlux_sma3_amean,0.13106434749736273,2.8364726713919663e-08,0.017177863184909454,0.11818477217003129,5.683948327252104e-07,0.013967640372882202,0.11818477217003129,7.56392712371191e-08,2.0007498111927404e-06,True,True
42,F1bandwidth_sma3nz_amean,-0.12467246670343046,1.303695315226781e-07,0.015543223953917978,0.02968765639395175,0.21047085227685514,0.0008813569421653442,0.02968765639395175,3.3742702276457865e-07,0.30563893785216784,True,False
52,F3frequency_sma3nz_amean,-0.12449605833214734,1.358315963070088e-07,0.015499268540241435,0.03173521594592128,0.1806738416132417,0.0010071239311342565,0.03173521594592128,3.4151944214333644e-07,0.27412582865457363,True,False
81,loudnessPeaksPerSec,-0.12355583273706144,1.6888486349717986e-07,0.015266043803348705,-0.07456580115950077,0.0016383394150196217,0.0055600587025582075,0.07456580115950077,4.1282966632643965e-07,0.003669892512961254,True,True
62,slopeV0500_sma3nz_amean,0.12097819230013915,3.043349519002928e-07,0.014635723012209447,0.04833231095541363,0.04140264073072648,0.002336012282290796,0.04833231095541363,7.238236693844801e-07,0.07286864768607859,True,False
41,F1frequency_sma3nz_stddevNorm,0.11284736492896322,1.8034568100200541e-06,0.012734527771410598,0.12510981157478404,1.1772812911409866e-07,0.015652464952277966,0.12510981157478404,4.176426296888546e-06,4.7091251645639463e-07,True,True
53,F3frequency_sma3nz_stddevNorm,-0.1116994690335717,2.2964705805669695e-06,0.012476771382381843,-0.03825304458718678,0.10656902582120699,0.0014632954201892997,0.03825304458718678,5.181779771535726e-06,0.17051044131393117,True,False
48,F2bandwidth_sma3nz_amean,-0.1111133769105394,2.595704738074109e-06,0.01234618252846359,0.0013764128402644188,0.9537116078209051,1.8945123068447646e-06,0.0013764128402644188,5.71055042376304e-06,0.9646738102096512,True,False
74,mfcc4V_sma3nz_amean,-0.1063398667452771,6.880560779070344e-06,0.01130816725940329,-0.09517106092697424,5.7531603333507024e-05,0.009057530837965842,0.09517106092697424,1.4768032891663178e-05,0.00016875936977828727,True,True
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.1047054408855497,9.518091930683724e-06,0.010963229351037343,0.014123237407416283,0.5514166583965875,0.00019946583486624261,0.014123237407416283,1.994266880714685e-05,0.6469955458519959,True,False
79,slopeUV5001500_sma3nz_amean,0.10251397672626318,1.4597841981310307e-05,0.010509115424232829,0.029297984205073156,0.21652262384299045,0.0008583718784807161,0.029297984205073156,2.987465335710016e-05,0.30732243384166386,True,False
72,mfcc3V_sma3nz_amean,0.10031618776377908,2.22265188100695e-05,0.010063337527457781,0.09125256058119506,0.00011508075545656454,0.008327029812624674,0.09125256058119506,4.4453037620139e-05,0.0003164720775055525,True,True
11,loudness_sma3_stddevNorm,0.09905241301075823,2.819617273307759e-05,0.009811380523253827,0.09613789851625218,4.8286654801318905e-05,0.009242495531121202,0.09613789851625218,5.5139182233573956e-05,0.00014652502146607116,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.09439867752358537,6.609600884814975e-05,0.008911110318201862,0.07444134926899204,0.0016681329604369334,0.005541514480988062,0.07444134926899204,0.00012644453866602563,0.003669892512961254,True,True
31,jitterLocal_sma3nz_stddevNorm,0.0889175913316288,0.0001717561732278565,0.00790633804821855,0.0814151742285335,0.0005834945775237909,0.006628430594662466,0.0814151742285335,0.00032158602646917815,0.0013877708870836108,True,True
22,mfcc1_sma3_amean,-0.08791154000887347,0.00020350723306510537,0.007728438866731761,-0.018500415415869057,0.4352312457654996,0.00034226537055972545,0.018500415415869057,0.0003730965939526932,0.5471478518194852,True,False
26,mfcc3_sma3_amean,0.0877185753325376,0.0002101951703119416,0.007694548458370074,0.06342286005580444,0.0074200101396985725,0.004022459177658155,0.06342286005580444,0.0003774933670908339,0.014840020279397145,True,True
60,hammarbergIndexV_sma3nz_amean,-0.08474849683327704,0.0003429648428078442,0.007182307715499968,0.012214583686794655,0.6064580608292621,0.00014919605464171011,0.012214583686794655,0.0006036181233418057,0.6914253711168232,True,False
49,F2bandwidth_sma3nz_stddevNorm,0.08046579522122292,0.0006764818174636114,0.0064747442005837815,0.09295525155435529,8.542687730540358e-05,0.008640678791533471,0.09295525155435529,0.0011672627438587804,0.00024250210331856498,True,True
28,mfcc4_sma3_amean,-0.08005113268756127,0.0007212660536297467,0.00640818384456154,-0.0686743828738154,0.003736653798693151,0.00471617086309939,0.0686743828738154,0.001220604090758033,0.007829179387738031,True,True
38,logRelF0H1A3_sma3nz_amean,-0.0781247937439618,0.0009677311582890216,0.006103483397536574,0.023014277085531623,0.33170128414707434,0.0005296569497696259,0.023014277085531623,0.0016067989043289416,0.4560892657022272,True,False
80,spectralFluxUV_sma3nz_amean,0.07573443303110158,0.0013815075869752455,0.0057357043465424105,0.05066255876043893,0.032522597091146986,0.0025666948601549273,0.05066255876043893,0.0022193674959312183,0.05954430669279647,True,False
37,logRelF0H1H2_sma3nz_stddevNorm,0.07570690354103074,0.0013871046849570114,0.0057315352437709325,-0.011998053867048645,0.6128543062171842,0.00014395329659660093,0.011998053867048645,0.0022193674959312183,0.6914253711168232,True,False
36,logRelF0H1H2_sma3nz_amean,-0.07177610637702335,0.0024384958658281715,0.005151809446645772,-0.04038407958349982,0.08842159812790326,0.001630873883806447,0.04038407958349982,0.0038319220748728408,0.14963655067799012,True,False
61,hammarbergIndexV_sma3nz_stddevNorm,0.07148935358969613,0.002538358027445845,0.005110727676672599,0.005776819264334213,0.807522352815618,3.337164081278288e-05,0.005776819264334213,0.003918868533600604,0.8459757981877902,True,False
34,HNRdBACF_sma3nz_amean,0.07097958296937343,0.002725160301036333,0.005038101198506166,0.0689253128244077,0.0036119985089708728,0.00475069874794246,0.0689253128244077,0.0041347259739861605,0.0077525821655960205,True,True
33,shimmerLocaldB_sma3nz_stddevNorm,0.06777939209949288,0.00421373078012968,0.004594045993376798,0.0873707993724219,0.00022277239920100246,0.007633656582975999,0.0873707993724219,0.006284886587312066,0.0005765873861673004,True,True
65,slopeV5001500_sma3nz_stddevNorm,-0.06616025444310045,0.0052191266322234465,0.004377179267975793,0.00021970533537841593,0.9926073286472413,4.827043439374222e-08,0.00021970533537841593,0.007654719060594389,0.9926073286472413,True,False
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.06521816377599356,0.005899252049412735,0.004253408886312318,-0.01652888460872974,0.485735115685517,0.0002732040264087029,0.01652888460872974,0.008510396399152798,0.595058897016797,True,False
63,slopeV0500_sma3nz_stddevNorm,0.057280307702497285,0.015622146698991325,0.00328103365049277,0.0016432377161213797,0.944751537467486,2.700230191683808e-06,0.0016432377161213797,0.02217336950824575,0.9646738102096512,True,False
