,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
15,loudness_sma3_pctlrange02,0.2144976731245404,6.898092893136604e-35,0.04600925177584218,0.2182034558715141,4.504799161039082e-36,0.0476127481542718,0.2182034558715141,6.070321745960212e-33,3.964223261714392e-34,True,True
16,loudness_sma3_meanRisingSlope,0.20547841174857762,4.279029241484995e-32,0.042221377694718,0.21166509030043662,5.366885881368689e-34,0.04480211045189199,0.21166509030043662,1.882772866253398e-30,1.5742865252014822e-32,True,True
14,loudness_sma3_percentile800,0.20212414637467704,4.335405036907281e-31,0.04085417054769187,0.21647669882780288,1.6166189101007908e-35,0.04686216113538327,0.21647669882780288,1.271718810826136e-29,7.113123204443479e-34,True,True
10,loudness_sma3_amean,0.1946958691389423,6.328046732522102e-29,0.037906481459768146,0.20893623854111762,3.766955745310018e-33,0.0436543517757108,0.20893623854111762,1.3921702811548625e-27,8.287302639682039e-32,True,True
18,loudness_sma3_meanFallingSlope,0.1914555402184378,5.228147271450213e-28,0.036655223880333855,0.1926671634950192,2.3842182715923302e-28,0.037120635889216456,0.1926671634950192,9.201539197752376e-27,2.9973029700017866e-27,True,True
87,equivalentSoundLevel_dBp,0.18777632063674438,5.4938746057459624e-27,0.03525994659187343,0.20576222860923524,3.511037483647073e-32,0.042338094722239185,0.20576222860923524,8.057682755094079e-26,6.179425971218849e-31,True,True
17,loudness_sma3_stddevRisingSlope,0.18687860943738993,9.681620636512264e-27,0.034923614665252525,0.19109422812490967,6.600773914445647e-28,0.036517004022655015,0.19109422812490967,1.2171180228758276e-25,7.260851305890211e-27,True,True
13,loudness_sma3_percentile500,0.1852255879931366,2.727717687976743e-26,0.03430851844740319,0.19734103718519724,1.0977438081063144e-29,0.038943484957329404,0.19734103718519724,3.000489456774417e-25,1.6100242518892612e-28,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.1766229479211674,5.118312876323988e-24,0.03119566573236341,0.17136950163258158,1.101067876412244e-22,0.02936750608979938,0.17136950163258158,4.59980008234026e-23,8.074497760356457e-22,True,True
67,spectralFluxV_sma3nz_stddevNorm,0.1765875143263322,5.227045548113932e-24,0.031183150215952585,0.180071362343477,6.478435828572818e-25,0.03242569553623579,0.180071362343477,4.59980008234026e-23,6.334470587937866e-24,True,True
19,loudness_sma3_stddevFallingSlope,0.17484754469150443,1.459502428098382e-23,0.03057166388464764,0.16593573364457717,2.3781112920386274e-21,0.02753466770016406,0.16593573364457717,1.1676019424787055e-22,1.6097984130723016e-20,True,True
20,spectralFlux_sma3_amean,0.16152295105609324,2.6740818828177966e-20,0.026089663717869093,0.1776001968851516,2.8614356511177844e-24,0.03154182993364461,0.1776001968851516,1.9609933807330509e-19,2.2891485208942275e-23,True,True
66,spectralFluxV_sma3nz_amean,0.16091055546495958,3.721448871643448e-20,0.025892206860041834,0.17828458590877172,1.900441639336868e-24,0.031785393572662204,0.17828458590877172,2.519134620804795e-19,1.6723886426164436e-23,True,True
34,HNRdBACF_sma3nz_amean,0.16027904268760804,5.225667936628342e-20,0.025689371524856078,0.1644316137315738,5.466881787904765e-21,0.02703775559436949,0.1644316137315738,3.2847055601663865e-19,3.4363256952544234e-20,True,True
30,jitterLocal_sma3nz_amean,-0.1535987928257685,1.742600159142693e-18,0.02359258915753335,-0.10487944275369249,2.3566549928860375e-09,0.01099969751232506,0.10487944275369249,1.0223254266970467e-17,9.42661997154415e-09,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.14918203866036037,1.6283173456221298e-17,0.022255280658861256,0.14057587921409517,1.0473557954809475e-15,0.019761577816815874,0.14057587921409517,8.955745400921714e-17,5.421606470724905e-15,True,True
12,loudness_sma3_percentile200,0.14723649859359966,4.2666878831400147e-17,0.021678586518103074,0.15442474569748327,1.1389076493228036e-18,0.023847002083732378,0.15442474569748327,2.2086384336254195e-16,6.681591542693781e-18,True,True
76,alphaRatioUV_sma3nz_amean,0.13156454142778234,6.269656756036028e-14,0.017309228561102657,0.0736157005956968,2.8482072869057077e-05,0.005419271374195274,0.0736157005956968,3.065165525173169e-13,7.161206892791493e-05,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.12401406933637987,1.5683445831503172e-12,0.015379489393368435,0.10961142620288272,4.317334248182408e-10,0.012014664754230004,0.10961142620288272,7.263911753538311e-12,1.8091686373335804e-09,True,True
21,spectralFlux_sma3_stddevNorm,0.1229013625216217,2.4804555010755755e-12,0.01510474490967108,0.1218001480759904,3.88875274425186e-12,0.014835276071333189,0.1218001480759904,1.0914004204732532e-11,1.8011065341798088e-11,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.12108664296170789,5.192846605839402e-12,0.014661975103736123,-0.07555571091624406,1.7399936100411254e-05,0.005708665452059043,0.07555571091624406,2.1760500062565113e-11,4.6399829601096675e-05,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.11806621208613616,1.733733354455805e-11,0.013939630436368484,-0.0667060665872126,0.00014972886748904502,0.004449699319537642,0.0667060665872126,6.93493341782322e-11,0.00030642186834967355,True,True
35,HNRdBACF_sma3nz_stddevNorm,-0.1176352663798975,2.0540848472892974e-11,0.013838055896269444,-0.009818171224960006,0.577220898525839,9.639648620263267e-05,0.009818171224960006,7.85910724180253e-11,0.6512235778240235,True,False
50,F2amplitudeLogRelF0_sma3nz_amean,0.11659182481515445,3.0889507405659424e-11,0.013593653613727667,0.09991412415918229,1.2933076282475329e-08,0.009982832206496494,0.09991412415918229,1.1326152715408456e-10,4.742127970240954e-08,True,True
78,slopeUV0500_sma3nz_amean,-0.11389904198445655,8.707554868169358e-11,0.012972991764976996,-0.12423964449396496,1.4284439803330667e-12,0.015435489263986798,0.12423964449396496,3.0650593135956137e-10,6.983503903850547e-12,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.11240312981211147,1.5327092150575075e-10,0.01263446359155838,0.09200680347956834,1.6509815165150003e-07,0.008465251886527908,0.09200680347956834,5.18763118942541e-10,5.188799051904286e-07,True,True
86,StddevUnvoicedSegmentLength,-0.11006088546537358,3.6606157425732324e-10,0.012113398509422082,-0.055923538551854446,0.0014850221842220375,0.0031274421641607503,0.055923538551854446,1.1930895753572017e-09,0.0027225406710737355,True,True
80,spectralFluxUV_sma3nz_amean,0.10481462688994146,2.4108603021636156e-09,0.010986106010077639,0.10459698747714768,2.6018992851419755e-09,0.010940529789294589,0.10459698747714768,7.436909188949251e-09,9.95509291706495e-09,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.10476777105901552,2.4507996190855483e-09,0.010976285852674291,-0.09909013906422522,1.7023420403427437e-08,0.009818855659767492,0.09909013906422522,7.436909188949251e-09,5.761773059621594e-08,True,True
