,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
15,loudness_sma3_pctlrange02,0.2104769864712941,2.0892082656861997e-42,0.044300561834037314,0.234632988057506,1.489747138320772e-52,0.05505263908479375,0.234632988057506,1.838503273803856e-40,6.554887408611396e-51,True,True
14,loudness_sma3_percentile800,0.206600985456377,6.866042692203238e-41,0.0426839671915461,0.23629017964476523,2.7072224013484358e-53,0.055833048996555425,0.23629017964476523,3.0210587845694245e-39,2.3823557131866234e-51,True,True
16,loudness_sma3_meanRisingSlope,0.20565174283186524,1.5977943263010066e-40,0.04229263932978364,0.23023296629866277,1.292656267759685e-50,0.05300721877068119,0.23023296629866277,4.6868633571496197e-39,3.7917917187617426e-49,True,True
10,loudness_sma3_amean,0.20321987359814245,1.3644869899342251e-39,0.041298317025244995,0.22890915957440888,4.86120948548209e-50,0.05239940333706219,0.22890915957440888,3.001871377855295e-38,1.0694660868060598e-48,True,True
13,loudness_sma3_percentile500,0.19539387524404941,1.1268507009889195e-36,0.03817876648288715,0.21837563713180946,1.3629836075370973e-45,0.04768791889272372,0.21837563713180946,1.9832572337404984e-35,1.9990426243877429e-44,True,True
17,loudness_sma3_stddevRisingSlope,0.19170860853244368,2.415985396148576e-35,0.03675219058544574,0.2142514377021723,6.511179207394187e-44,0.04590367855744782,0.2142514377021723,3.5434452476845784e-34,8.185482432152693e-43,True,True
18,loudness_sma3_meanFallingSlope,0.1904821141245804,6.609364930637727e-35,0.036283435801369675,0.20971131923648334,4.188039413443372e-42,0.043978837415906226,0.20971131923648334,8.308915912801715e-34,4.606843354787709e-41,True,True
87,equivalentSoundLevel_dBp,0.18734896405426066,8.378223800059441e-34,0.03509963433220465,0.22234083582240477,3.0698937341486543e-47,0.049435447274205555,0.22234083582240477,9.216046180065385e-33,5.4030129721016314e-46,True,True
19,loudness_sma3_stddevFallingSlope,0.17835363045257732,9.604696568799294e-31,0.03181001749561452,0.18809286651461984,4.602832463861865e-34,0.0353789264336866,0.18809286651461984,9.39125886727042e-30,3.682265971089492e-33,True,True
66,spectralFluxV_sma3nz_amean,0.1742189607276427,2.1657210419316592e-29,0.03035224627701991,0.19774429248064793,1.5441847536235583e-37,0.039102805208672035,0.19774429248064793,1.90583451689986e-28,1.509869536876368e-36,True,True
20,spectralFlux_sma3_amean,0.1714070986537654,1.7251729208650597e-28,0.02938039346890167,0.19615007426682107,5.961596316940213e-37,0.038474851634879424,0.19615007426682107,1.3801383366920477e-27,5.246204758907387e-36,True,True
12,loudness_sma3_percentile200,0.17064561401498227,3.0078707677669886e-28,0.02911992558255031,0.17612409818952907,5.2030724458741725e-30,0.031019697963074876,0.17612409818952907,2.2057718963624583e-27,3.815586460307727e-29,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.15129471295930802,1.7354641151962408e-22,0.022890090169439405,0.15208544784045638,1.042323953283899e-22,0.023129983444832178,0.15208544784045638,1.1747757087482245e-21,6.551750563498794e-22,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.1482488230508194,1.205670979512577e-21,0.021977713535953163,-0.09486346321397911,1.089262801678134e-09,0.008999076652949967,0.09486346321397911,7.578503299793341e-21,3.7197040108975408e-09,True,True
67,spectralFluxV_sma3nz_stddevNorm,0.14761592112365066,1.7945157559699964e-21,0.021790460169183852,0.17321269038928472,4.569669223975398e-29,0.030002636111894205,0.17321269038928472,1.0527825768357314e-20,3.0933145516141153e-28,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.14675091838281304,3.081647801425962e-21,0.021535832046199053,-0.11027297870639437,1.3258216217501597e-12,0.012160129832780905,0.11027297870639437,1.694906290784279e-20,5.555823938762574e-12,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.1464447557438969,3.7287521669041715e-21,0.021446066484889625,0.1436785557381244,2.0487338665420118e-20,0.02064352737899332,0.1436785557381244,1.9294554217038047e-20,1.1268036265981064e-19,True,True
76,alphaRatioUV_sma3nz_amean,0.1463534205323197,3.946613362575965e-21,0.021419323701510017,0.09163358949949814,3.9253174768017916e-09,0.008396714724562536,0.09163358949949814,1.9294554217038047e-20,1.1911308205467506e-08,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.14581398813909086,5.515106652033556e-21,0.02126171913702693,0.14584573998521896,5.407727392178364e-21,0.0212709798718361,0.14584573998521896,2.5543651862050154e-20,3.1725334034113076e-20,True,True
54,F3bandwidth_sma3nz_amean,-0.13585702394324772,2.1179827564808596e-18,0.018457130954716187,-0.006759736198646787,0.6647291803097233,4.5694033475295716e-05,0.006759736198646787,9.319124128515782e-18,0.7451147341009694,True,False
83,MeanVoicedSegmentLengthSec,0.12148229203886331,5.384644023694673e-15,0.014757947279015672,0.09522059111293012,9.428151932391592e-10,0.009066960971895827,0.09522059111293012,2.256422257548244e-14,3.4569890418769174e-09,True,True
85,MeanUnvoicedSegmentLength,-0.1184671564097392,2.4946481797619527e-14,0.014034467147809614,-0.08524741320318595,4.3639641790945927e-08,0.007267121457834722,0.08524741320318595,9.97859271904781e-14,1.129496611059777e-07,True,True
80,spectralFluxUV_sma3nz_amean,0.11794502470225758,3.240558811697886e-14,0.013911028852016151,0.12745384391564685,2.306817632837021e-16,0.016244482328874068,0.12745384391564685,1.239865980127887e-13,1.1941173628803405e-15,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.11660800025011883,6.298904138881858e-14,0.013597425722331713,-0.07512338944735761,1.4126195475442791e-06,0.005643523642059361,0.07512338944735761,2.3095981842566816e-13,3.5517291481113307e-06,True,True
86,StddevUnvoicedSegmentLength,-0.11276872050339162,4.0731784047454465e-13,0.012716784323972058,-0.0711680758875254,4.909803310979342e-06,0.005064895025532574,0.0711680758875254,1.433758798470397e-12,1.1078530547850823e-05,True,True
36,logRelF0H1H2_sma3nz_amean,-0.11137273609627699,7.907259041131902e-13,0.012403886345570958,-0.08863869830899068,1.2401033569808524e-08,0.007856818837912267,0.08863869830899068,2.676303060075413e-12,3.5202934004617745e-08,True,True
21,spectralFlux_sma3_stddevNorm,0.11096501642920255,9.582921646759905e-13,0.012313234871133191,0.1133159598539647,3.133492809647341e-13,0.012840506757625339,0.1133159598539647,3.123322610795821e-12,1.37873683624483e-12,True,True
