,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
13,loudness_sma3_percentile500,0.4681398402620886,9.443637158028731e-11,0.21915491004061383,0.47256553008462493,5.941558982404157e-11,0.22331818022416255,0.47256553008462493,6.963209369432623e-09,1.7428573015052196e-09,True,True
10,loudness_sma3_amean,0.4631330730776752,1.5825475839619598e-10,0.21449224337837125,0.4825044415192599,2.048044889693302e-11,0.23281053608581292,0.4825044415192599,6.963209369432623e-09,1.7428573015052196e-09,True,True
14,loudness_sma3_percentile800,0.45642263073680495,3.1205799730362156e-10,0.20832161784870581,0.4763811932520642,3.963453336407528e-11,0.2269390412842605,0.4763811932520642,8.331025433281174e-09,1.7428573015052196e-09,True,True
87,equivalentSoundLevel_dBp,0.4544831896859566,3.7868297424005335e-10,0.2065549697071212,0.46132500596988024,1.9030038360713938e-10,0.21282076113311005,0.46132500596988024,8.331025433281174e-09,3.997295913467262e-09,True,True
12,loudness_sma3_percentile200,0.40737147717100114,2.9205374607378063e-08,0.1659515204124835,0.44664201815458626,8.179522220302782e-10,0.19948909238120177,0.44664201815458626,5.14014593089854e-07,1.0282827934094927e-08,True,True
20,spectralFlux_sma3_amean,0.40465483799592783,3.6787175793345375e-08,0.1637455379135106,0.3329748037857004,8.077905554551566e-06,0.11087221995612567,0.3329748037857004,5.395452449690655e-07,4.7390379253369186e-05,True,True
66,spectralFluxV_sma3nz_amean,0.3972714558157894,6.81765988784497e-08,0.1578246096059967,0.322924473608444,1.556349231586848e-05,0.10428021565529065,0.322924473608444,8.570772430433677e-07,8.056396022331919e-05,True,True
0,F0semitoneFrom275Hz_sma3nz_amean,0.36897243996938617,6.338229176168499e-07,0.13614066145696227,0.359569121991385,1.270391341697939e-06,0.12928995348965552,0.359569121991385,6.972052093785349e-06,9.316203172451553e-06,True,True
72,mfcc3V_sma3nz_amean,-0.35811891555471226,1.4114260527889125e-06,0.12824915767808312,-0.3975888008711345,6.641291859023156e-08,0.15807685457814666,0.3975888008711345,1.2543671629118022e-05,5.844336835940377e-07,True,True
26,mfcc3_sma3_amean,-0.3579826689323252,1.4254172305815933e-06,0.12815159125591077,-0.40476130971077184,3.645732968463318e-08,0.16383171783877937,0.40476130971077184,1.2543671629118022e-05,3.564716680275244e-07,True,True
