,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
13,loudness_sma3_percentile500,0.4749748610887786,3.244993967596177e-13,0.22560111866630456,0.4874328502254427,6.246482751755496e-14,0.23759078347889884,0.4874328502254427,2.8555946914846356e-11,2.5298503946542815e-12,True,True
10,loudness_sma3_amean,0.4691841349611078,6.82484278112562e-13,0.220133752499203,0.4964663150439506,1.8126606247366724e-14,0.24647880197331923,0.4964663150439506,3.0029308236952723e-11,1.5951413497682717e-12,True,True
12,loudness_sma3_percentile200,0.45971703613964204,2.233809668696058e-12,0.21133975331701696,0.47980595880660426,1.7264495848703355e-13,0.23021375810632483,0.47980595880660426,6.552508361508437e-11,3.798189086714738e-12,True,True
14,loudness_sma3_percentile800,0.4502096019603608,7.087406341354515e-12,0.20268868569730653,0.48503319448532395,8.624489981775958e-14,0.2352571997526381,0.48503319448532395,1.5592293950979933e-10,2.5298503946542815e-12,True,True
87,equivalentSoundLevel_dBp,0.4397041929602902,2.436755280520779e-11,0.19333977730686008,0.409121885863118,7.034308139151864e-10,0.16738071749219413,0.409121885863118,4.288689293716571e-10,1.0316985270756068e-08,True,True
72,mfcc3V_sma3nz_amean,-0.37851919848575566,1.4727120678370364e-08,0.1432767836222989,-0.3504024153501098,1.8505925288659455e-07,0.12278185268319086,0.3504024153501098,2.15997769949432e-07,1.4804740230927564e-06,True,True
26,mfcc3_sma3_amean,-0.37609858653671396,1.8490040882809046e-08,0.14145014679491413,-0.35685221088179403,1.0578568519735386e-07,0.1273435004112244,0.35685221088179403,2.32446228241028e-07,9.30914029736714e-07,True,True
20,spectralFlux_sma3_amean,0.3736270700150847,2.3281231432787685e-08,0.13959718744805702,0.31249069400589347,3.882888164892051e-06,0.09765043384028495,0.31249069400589347,2.5609354576066455e-07,2.440672560789289e-05,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.363330314305525,5.9565474412539353e-08,0.13200891729335157,0.3800955871877424,1.2686089317742596e-08,0.14447265539959467,0.3800955871877424,5.378693542711226e-07,1.240417622179276e-07,True,True
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,-0.3630425072386204,6.112151753080939e-08,0.13179986206210376,-0.19578887638465964,0.004400449422689666,0.03833328411596753,0.19578887638465964,5.378693542711226e-07,0.009219989266587871,True,True
0,F0semitoneFrom275Hz_sma3nz_amean,0.3597424145216567,8.200243140244774e-08,0.12941460480587147,0.30721626083762027,5.744490856917217e-06,0.09438183092304873,0.30721626083762027,6.56019451219582e-07,2.736746113634969e-05,True,True
66,spectralFluxV_sma3nz_amean,0.35784209624991065,9.697733005437221e-08,0.12805096584853032,0.3071292633363033,5.781356794641918e-06,0.09432838439750034,0.3071292633363033,7.111670870653962e-07,2.736746113634969e-05,True,True
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,-0.3444097007008552,3.07733120291565e-07,0.11861804193685266,-0.20802463380663894,0.002447279283443429,0.04327424827038623,0.20802463380663894,2.0831165065890555e-06,0.00569219732011063,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.3383984768772051,5.071473701423481e-07,0.11451352915281231,0.4017936585536806,1.4992748840937534e-09,0.16143814405395168,0.4017936585536806,3.187783469466188e-06,1.8848027114321472e-08,True,True
30,jitterLocal_sma3nz_amean,-0.3285546851039121,1.1237468583969765e-06,0.10794818110373085,-0.23144129259291293,0.000725143331219936,0.053565071917078336,0.23144129259291293,6.351989553848765e-06,0.0019941441608548236,True,True
28,mfcc4_sma3_amean,-0.32821010768514086,1.1549071916088664e-06,0.10772187478669176,-0.27952711500257077,3.977936141390204e-05,0.07813540802166043,0.27952711500257077,6.351989553848765e-06,0.00014002335217693518,True,True
34,HNRdBACF_sma3nz_amean,0.3240429743149499,1.6034392764657037e-06,0.10500384920287927,0.4568614978704999,3.1716507281084342e-12,0.2087224282364768,0.4568614978704999,8.300156254645995e-06,5.582105281470844e-11,True,True
74,mfcc4V_sma3nz_amean,-0.31463506519899,3.3041646295960867e-06,0.09899522425277267,-0.26814503502374265,8.323092552879258e-05,0.07190175980788417,0.26814503502374265,1.615369374469198e-05,0.0002817046710205287,True,True
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.31149280663941,4.183957734754998e-06,0.09702776858809685,-0.22406534489720445,0.001078127761621564,0.050205278783903184,0.22406534489720445,1.9378330560970516e-05,0.0027107212292199322,True,True
25,mfcc2_sma3_stddevNorm,-0.3072890683846533,5.713809839732012e-06,0.09442657154870814,-0.06646674306500147,0.33780768799318556,0.004417827933668921,0.06646674306500147,2.4351700189604255e-05,0.4371628903441225,True,False
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,-0.30705922075937203,5.811201181610106e-06,0.09428536505335276,-0.20021981480394738,0.003571677231001865,0.040087974240126986,0.20021981480394738,2.4351700189604255e-05,0.007837589969123392,True,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.30391430354198806,7.312719898216478e-06,0.09236390389741166,0.17759693184780584,0.009914547253403646,0.03154067020175419,0.17759693184780584,2.9250879592865913e-05,0.019388447962211574,True,True
17,loudness_sma3_stddevRisingSlope,0.2958858723880445,1.2992516084666186e-05,0.08754844947883414,0.3298761802900668,1.0115274188780927e-06,0.10881829432276467,0.3298761802900668,4.9710496323940195e-05,7.417867738439347e-06,True,True
32,shimmerLocaldB_sma3nz_amean,-0.2767763794106588,4.769176760091183e-05,0.07660516419967295,-0.2867165498869058,2.453478566293906e-05,0.08220637997905055,0.2867165498869058,0.0001748698145366767,0.00010281243515898273,True,True
78,slopeUV0500_sma3nz_amean,-0.27605145544698,5.001126919215228e-05,0.07620440605439599,-0.2844284200855571,2.865511847512475e-05,0.08089952615236613,0.2844284200855571,0.000176039667556376,0.00010963697503525992,True,True
84,StddevVoicedSegmentLengthSec,-0.27019892988054656,7.30249487816161e-05,0.07300746170859251,0.002946478971160139,0.9661449350000613,8.681738327488912e-06,0.002946478971160139,0.00024027762197691518,0.9681727580920777,True,False
15,loudness_sma3_pctlrange02,0.2700504251369418,7.372154310655353e-05,0.072927232116643,0.30922076853298747,4.954420976645502e-06,0.09561748369213141,0.30922076853298747,0.00024027762197691518,2.724931537155026e-05,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.2683846624003021,8.197469711045428e-05,0.07203032701172414,0.29574565884680365,1.3121603997408066e-05,0.08746549472672997,0.29574565884680365,0.00025448404123862577,5.7735057588595495e-05,True,True
71,mfcc2V_sma3nz_stddevNorm,-0.26802554713635013,8.386405904454712e-05,0.07183769391773985,-0.0166019820569708,0.8109768136065674,0.0002756258082199804,0.0166019820569708,0.00025448404123862577,0.8703165804558285,True,False
35,HNRdBACF_sma3nz_stddevNorm,-0.2651253010372595,0.00010069035450945784,0.07029142525009748,-0.2664713708017127,9.25216932343424e-05,0.07100699145694385,0.2664713708017127,0.000295358373227743,0.00030155218535637523,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.2637636556614415,0.0001096375803295722,0.06957126604788748,0.30683233362135687,5.908883654439138e-06,0.09414608095552765,0.30683233362135687,0.0003112292602903985,2.736746113634969e-05,True,True
83,MeanVoicedSegmentLengthSec,0.25933334573598404,0.00014417195553167309,0.06725378421061944,0.38788780990735877,5.997553916667527e-09,0.15045695307472728,0.38788780990735877,0.00039647287771210095,6.597309308334279e-08,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.25385285506172267,0.00020096045881675065,0.06444127202298798,0.31006440716297334,4.6537958815868575e-06,0.09613993658932611,0.31006440716297334,0.0005320514761781666,2.724931537155026e-05,True,True
54,F3bandwidth_sma3nz_amean,-0.25321139192719977,0.0002088262359309608,0.06411600900170997,-0.1997541654649487,0.003651604417432489,0.039901726620598106,0.1997541654649487,0.0005320514761781666,0.007837589969123392,True,True
82,VoicedSegmentsPerSec,-0.25298965149157976,0.0002116113825708617,0.06400376376183098,-0.31298668150269676,3.7410279436760162e-06,0.09796066279807054,0.31298668150269676,0.0005320514761781666,2.440672560789289e-05,True,True
36,logRelF0H1H2_sma3nz_amean,-0.2507359687762262,0.00024195125169267082,0.0628685260381527,-0.2844771252827713,2.856098612088753e-05,0.08092723480914955,0.2844771252827713,0.0005914363930265286,0.00010963697503525992,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.24888704562377773,0.00026981733961620755,0.061944761479332415,-0.2486254363407158,0.0002739931119431186,0.061814607595611325,0.2486254363407158,0.0006417277266547638,0.0008611212089640871,True,True
39,logRelF0H1A3_sma3nz_stddevNorm,-0.24825794334073134,0.00027996061596840865,0.061632006431769776,-0.2340692379528994,0.000627674116552832,0.054788408155851044,0.2340692379528994,0.0006483298475057884,0.0017817845889241681,True,True
86,StddevUnvoicedSegmentLength,-0.24359891352005142,0.00036687120128736894,0.05934043066814949,-0.24214607497083468,0.00039872142872146186,0.05863472162378109,0.24214607497083468,0.0008278119413663709,0.0012099133009478844,True,True
