,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
78,slopeUV0500_sma3nz_amean,-0.2669856833324389,2.9888286787138264e-12,0.07128135510448934,-0.21007954043641203,4.984610423490412e-08,0.04413341330997408,0.21007954043641203,2.630169237268167e-10,1.462152390890521e-06,True,True
34,HNRdBACF_sma3nz_amean,0.19220154995654956,6.403778523355091e-07,0.036941435805700015,0.12623301217062857,0.0011446845095491771,0.01593477336167006,0.12623301217062857,2.81766255027624e-05,0.005301696675806715,True,True
87,equivalentSoundLevel_dBp,0.18672050119263237,1.3377663846879641e-06,0.034864545565627826,0.12496038942597218,0.0012851854623629772,0.015615098925490619,0.12496038942597218,2.9653344429645824e-05,0.0056548160343971,True,True
35,HNRdBACF_sma3nz_stddevNorm,-0.1866636367080122,1.3478792922566284e-06,0.03484331326906076,-0.05335269333060615,0.17066406108518378,0.0028465098856297064,0.05335269333060615,2.9653344429645824e-05,0.2781192106573365,True,False
20,spectralFlux_sma3_amean,0.18166685301344823,2.5892666807092916e-06,0.03300284548380981,0.2196727416191464,1.1503117401610099e-08,0.04825611341047226,0.2196727416191464,4.124039618670456e-05,1.0122743313416886e-06,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.1792390447746503,3.5332642261384693e-06,0.0321266351717291,0.10968996005722823,0.004753119345798589,0.012031887337356323,0.10968996005722823,4.124039618670456e-05,0.01673098009721103,True,True
80,spectralFluxUV_sma3nz_amean,0.17865329688980713,3.806078921581155e-06,0.03191700048959757,0.18400384079268278,1.912166329651567e-06,0.033857413426458954,0.18400384079268278,4.124039618670456e-05,1.5297330637212538e-05,True,True
13,loudness_sma3_percentile500,0.17835610919177897,3.952087715675642e-06,0.031810901686029784,0.19731188338008113,3.160331836761747e-07,0.038931979322994734,0.19731188338008113,4.124039618670456e-05,3.4763650204379216e-06,True,True
16,loudness_sma3_meanRisingSlope,0.17716962764373517,4.590174762032392e-06,0.03138907695941977,0.2112219241012379,4.200925412040953e-08,0.04461470122102911,0.2112219241012379,4.124039618670456e-05,1.462152390890521e-06,True,True
17,loudness_sma3_stddevRisingSlope,0.17635376153529195,5.084862157715273e-06,0.031100649207646616,0.19918748760086818,2.4272803003020006e-07,0.039675655216746014,0.19918748760086818,4.124039618670456e-05,3.4027863929013164e-06,True,True
14,loudness_sma3_percentile800,0.17589772675243326,5.383154547390249e-06,0.030940010276673674,0.1994467580605367,2.3398603088567366e-07,0.03977900930085826,0.1994467580605367,4.124039618670456e-05,3.4027863929013164e-06,True,True
10,loudness_sma3_amean,0.17554724304691283,5.623690389096076e-06,0.030816834541371883,0.1984151278522272,2.706761903444229e-07,0.039368562960615666,0.1984151278522272,4.124039618670456e-05,3.4027863929013164e-06,True,True
19,loudness_sma3_stddevFallingSlope,0.17018733019342447,1.0857363011528516e-05,0.02896372735836569,0.17276092083658298,7.936421795805614e-06,0.029846335768304092,0.17276092083658298,7.349599577034688e-05,5.372347061776108e-05,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.16703063646909408,1.584679946432423e-05,0.02789923351927066,0.10063978255400052,0.009622164854890576,0.010128365832516507,0.10063978255400052,9.960845377575231e-05,0.03024108954394181,True,True
15,loudness_sma3_pctlrange02,0.16441245795660178,2.157151849293355e-05,0.02703145633133135,0.19534329655940688,4.157611820444527e-07,0.038159003510696385,0.19534329655940688,0.00012088622946329744,4.065220446656871e-06,True,True
18,loudness_sma3_meanFallingSlope,0.16418397214323158,2.215503095262366e-05,0.026956376708729444,0.19066921116228355,7.88531555620561e-07,0.036354748085247475,0.19066921116228355,0.00012088622946329744,6.939077689460937e-06,True,True
66,spectralFluxV_sma3nz_amean,0.16373225895240082,2.3353021600864277e-05,0.026808252621656037,0.20526656966037765,1.0140176400751576e-07,0.04213436462013867,0.20526656966037765,0.00012088622946329744,2.230838808165347e-06,True,True
62,slopeV0500_sma3nz_amean,-0.1607714366991669,3.286619067718845e-05,0.02584745485831423,-0.16381591486840497,2.3126615536987946e-05,0.026835653964172503,0.16381591486840497,0.0001606791544218102,0.00014536729766106708,True,True
26,mfcc3_sma3_amean,-0.14628373773309403,0.00016055701507923368,0.02139893192516464,-0.18003600823007643,3.1919706123313036e-06,0.03241296425942015,0.18003600823007643,0.0007436324908932929,2.3407784490429562e-05,True,True
49,F2bandwidth_sma3nz_stddevNorm,-0.14067407417139585,0.0002857035465122958,0.019789195143979383,-0.09969722067478394,0.010325057255095253,0.009939535810276566,0.09969722067478394,0.0012570956046541017,0.031331208222358006,True,True
79,slopeUV5001500_sma3nz_amean,0.13010640085890876,0.0007995343613466098,0.016927675544459054,0.06554647892787603,0.09221719446154512,0.004296340899842497,0.06554647892787603,0.0033504297046905553,0.16906485651283273,True,False
12,loudness_sma3_percentile200,0.1256384674745635,0.0012084604907694695,0.01578502450935695,0.15711931288613618,4.968493766084529e-05,0.024686478481811557,0.15711931288613618,0.004833841963077878,0.0002914849676102924,True,True
65,slopeV5001500_sma3nz_stddevNorm,-0.12388050203613522,0.001416685230223216,0.015346378784724904,-0.006971766508927078,0.8580111368311222,4.860552825499726e-05,0.006971766508927078,0.005420360880854044,0.9207924395260824,True,False
48,F2bandwidth_sma3nz_amean,0.11957589172378486,0.002073319477981922,0.01429839388153832,0.061099311287269045,0.11656602259933894,0.0037331258397786025,0.061099311287269045,0.007602171419267048,0.2031744537402043,True,False
63,slopeV0500_sma3nz_stddevNorm,0.11227537955915477,0.0038490993589833057,0.012605760855152269,-0.037976072617982984,0.329626984543689,0.001442182091486317,0.037976072617982984,0.013548829743621234,0.4689750765665456,True,False
39,logRelF0H1A3_sma3nz_stddevNorm,-0.11167417560589332,0.004044160037841036,0.0124711214972559,-0.11201426259629368,0.003932746486399391,0.012547195024991438,0.11201426259629368,0.013687926281923505,0.014420070450131103,True,True
