,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
78,slopeUV0500_sma3nz_amean,-0.25672214764822165,2.5499679989748228e-14,0.06590626109311531,-0.2240977541210383,3.5031869389687495e-11,0.05021980340209334,0.2240977541210383,2.243971839097844e-12,3.0828045062924993e-09,True,True
62,slopeV0500_sma3nz_amean,-0.16148617066658902,2.101511227460733e-06,0.026077783316558717,-0.13399119166005385,8.577973314977454e-05,0.017953639442481285,0.13399119166005385,6.270947075430244e-05,0.000503241101145344,True,True
13,loudness_sma3_percentile500,0.16136959025063133,2.1378228666239467e-06,0.02604014465765665,0.2005685921856299,3.3619485224751386e-09,0.04022776017132552,0.2005685921856299,6.270947075430244e-05,3.833418767225689e-08,True,True
10,loudness_sma3_amean,0.1590023210784921,3.0193351587740787e-06,0.025281738108347895,0.2013274162392321,2.925761406866037e-09,0.040532728529565014,0.2013274162392321,6.642537349302973e-05,3.833418767225689e-08,True,True
65,slopeV5001500_sma3nz_stddevNorm,-0.15506282893336762,5.304518502295409e-06,0.02404448091681883,-0.012434086431236663,0.7167194936535254,0.0001546065053794637,0.012434086431236663,8.5164273064625e-05,0.8514712119711887,True,False
87,equivalentSoundLevel_dBp,0.153355222878125,6.743368395682311e-06,0.023517824383999394,0.1467526466268128,1.6650097572603187e-05,0.021536339291974193,0.1467526466268128,8.5164273064625e-05,0.00010465775617064861,True,True
14,loudness_sma3_percentile800,0.1533223442736945,6.774430811958807e-06,0.023507741253581304,0.20090492855289344,3.161331207806311e-09,0.040362790316843214,0.20090492855289344,8.5164273064625e-05,3.833418767225689e-08,True,True
12,loudness_sma3_percentile200,0.15131183595374037,8.956475637542763e-06,0.022895271699691636,0.17140927983527576,4.676181650063934e-07,0.029381141213647873,0.17140927983527576,8.533422056687396e-05,3.165415270812509e-06,True,True
80,spectralFluxUV_sma3nz_amean,0.15077398214233143,9.645310577245474e-06,0.022732793691056075,0.18741050654185318,3.43489797028419e-08,0.03512269796227399,0.18741050654185318,8.533422056687396e-05,2.747918376227352e-07,True,True
20,spectralFlux_sma3_amean,0.15073506067049827,9.69707051896295e-06,0.022721058515338795,0.2171474597658409,1.4255234591794326e-10,0.047153019282757495,0.2171474597658409,8.533422056687396e-05,6.272303220389503e-09,True,True
63,slopeV0500_sma3nz_stddevNorm,0.1471300803292872,1.5827939847301865e-05,0.021647260537702506,-0.031107282829403057,0.3639072637838407,0.0009676630450284742,0.031107282829403057,0.00011852533366368801,0.5687197564610713,True,False
17,loudness_sma3_stddevRisingSlope,0.1463943802062459,1.7467966275714892e-05,0.02143131455597088,0.20037193466343528,3.4849261520233536e-09,0.040148912200767974,0.20037193466343528,0.00011852533366368801,3.833418767225689e-08,True,True
16,loudness_sma3_meanRisingSlope,0.14637664738289335,1.750942429122664e-05,0.0214261228990559,0.20963685542874771,6.16439210810239e-10,0.04394761115405367,0.20963685542874771,0.00011852533366368801,1.8082216850433677e-08,True,True
19,loudness_sma3_stddevFallingSlope,0.14223065150294942,3.0249046550612104e-05,0.020229558226953447,0.17936575434399343,1.314383769103982e-07,0.0321720738313898,0.17936575434399343,0.00019013686403241895,9.638814306762535e-07,True,True
66,spectralFluxV_sma3nz_amean,0.13828678351462,5.0183586764847746e-05,0.01912323449481938,0.20501848733226355,1.4767605582504838e-09,0.04203258014800951,0.20501848733226355,0.0002944103756871068,3.248873228151064e-08,True,True
15,loudness_sma3_pctlrange02,0.13590381759806722,6.769729011094664e-05,0.018469847637728725,0.19605519239701305,7.598122563173834e-09,0.0384376384658298,0.19605519239701305,0.00037233509561020655,7.429275395103304e-08,True,True
18,loudness_sma3_meanFallingSlope,0.13411517711259072,8.448141997022072e-05,0.017986880731941577,0.192652220875493,1.3874839520545815e-08,0.03711487820825974,0.192652220875493,0.0004316977464773487,1.2209858778080317e-07,True,True
76,alphaRatioUV_sma3nz_amean,0.1337553176015617,8.83018117794577e-05,0.01789048498669464,0.06499275226830793,0.057626700399911884,0.004224057847409646,0.06499275226830793,0.0004316977464773487,0.12677874087980615,True,False
22,mfcc1_sma3_amean,-0.12676155771268086,0.00020404595765237567,0.01606849251374532,-0.07738764041379935,0.02372209705646098,0.005988846888815511,0.07738764041379935,0.0009450549617583715,0.0652357669052677,True,False
