,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.2987948345084191,6.263382921956193e-07,0.08927835312891355,-0.227005131899073,0.00017831482328876328,0.051531329908515534,0.227005131899073,5.51177697132145e-05,0.005230568149803723,True,True
19,loudness_sma3_stddevFallingSlope,0.27585993804966175,4.557888952476873e-06,0.07609870542076322,0.18110646948893996,0.002923897776104931,0.032799553290748344,0.18110646948893996,0.00020054711390898243,0.01656840860019864,True,True
16,loudness_sma3_meanRisingSlope,0.2477069099937907,4.126804975250917e-05,0.06135871325867192,0.19539694033409843,0.0013049973364822835,0.03817996429192722,0.19539694033409843,0.0010537953791368289,0.011346179899524378,True,True
36,logRelF0H1H2_sma3nz_amean,-0.24568026552567862,4.789978996076495e-05,0.06035879286876795,-0.17094324893247992,0.005015067455241198,0.029221594355591796,0.17094324893247992,0.0010537953791368289,0.022066296803061273,True,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,-0.23949942296427842,7.487565643053661e-05,0.05735997360022234,-0.15691510552095927,0.010089088060705995,0.024622350340653784,0.15691510552095927,0.0011141928743066028,0.03288295367933806,True,True
52,F3frequency_sma3nz_amean,-0.2392963511202493,7.596769597545019e-05,0.05726274365946564,-0.23559847159557026,9.867073759375923e-05,0.05550663981816873,0.23559847159557026,0.0011141928743066028,0.0049746759137452405,True,True
18,loudness_sma3_meanFallingSlope,0.2365204091535666,9.2479258450834e-05,0.055941903946170546,0.20195977413757793,0.0008838715875526999,0.04078775036970149,0.20195977413757793,0.0011625963919533416,0.011111528529233942,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.23315092077856403,0.00011704835830205206,0.05435935185989224,-0.1794389108060837,0.0032007152977656466,0.032198322711273666,0.1794389108060837,0.0012875319413225726,0.01656840860019864,True,True
10,loudness_sma3_amean,0.22840192274705476,0.00016220568407413312,0.05216743831455157,0.19939888713532697,0.0010305058867077052,0.03975991619080686,0.19939888713532697,0.0015860111331693016,0.011335564753784758,True,True
76,alphaRatioUV_sma3nz_amean,0.22567236138672442,0.00019506953210420068,0.050928014693860345,0.18890413110505552,0.0018960375275411884,0.035684770748556006,0.18890413110505552,0.001716611882516966,0.01338461890486212,True,True
14,loudness_sma3_percentile800,0.22171465410548308,0.0002538996005129969,0.049157387845114,0.20761685230427956,0.000625541274283469,0.04310475736073704,0.20761685230427956,0.0018765619437681711,0.010932968944772825,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.22038528564503287,0.0002771167756595748,0.048569674128842735,-0.16515058520643083,0.006735925935074611,0.02727471579402657,0.16515058520643083,0.0018765619437681711,0.026943703740298443,True,True
15,loudness_sma3_pctlrange02,0.22037964476047647,0.00027721937805666165,0.048567187824753805,0.21356720139875474,0.00043055804254026953,0.045610949513296264,0.21356720139875474,0.0018765619437681711,0.00947227693588593,True,True
40,F1frequency_sma3nz_amean,-0.2182173056805363,0.0003192660163935627,0.04761879249847262,-0.20476617082875367,0.0007454297007799653,0.04192918471587033,0.20476617082875367,0.0020068149601881083,0.010932968944772825,True,True
13,loudness_sma3_percentile500,0.2126579005677624,0.00045615203431244186,0.04522338267388832,0.19563211388729923,0.0012871732117252998,0.03827192398401322,0.19563211388729923,0.002527516947696987,0.011346179899524378,True,True
29,mfcc4_sma3_stddevNorm,-0.21155479425451754,0.0004890946676490445,0.04475543097207125,-0.07824182001779648,0.20165698857311654,0.006121782399697257,0.07824182001779648,0.002527516947696987,0.33275433058420845,True,False
17,loudness_sma3_stddevRisingSlope,0.21150810026568984,0.0004905366196056117,0.044735676478001106,0.15735946776892207,0.009876066441951244,0.024762002096518423,0.15735946776892207,0.002527516947696987,0.03288295367933806,True,True
54,F3bandwidth_sma3nz_amean,-0.21067324935134768,0.0005169921029380201,0.044383217992255114,-0.18026266893488366,0.003061132163658328,0.03249462981152747,0.18026266893488366,0.002527516947696987,0.01656840860019864,True,True
47,F2frequency_sma3nz_stddevNorm,0.2064425859340733,0.0006725844471155246,0.04261854128714724,0.16834929186077496,0.005729717130318672,0.028341484070024393,0.16834929186077496,0.003115127965587693,0.02401024321276396,True,True
66,spectralFluxV_sma3nz_amean,0.20333038457133615,0.0008135398810392966,0.04134324528992745,0.18361502385753958,0.002548238169286176,0.03371447698620483,0.18361502385753958,0.0034100273768272065,0.016017497064084535,True,True
46,F2frequency_sma3nz_amean,-0.20332599721668124,0.0008137565331064926,0.04134146114415787,-0.23364971295307632,0.00011306081622148274,0.05459218836305496,0.23364971295307632,0.0034100273768272065,0.0049746759137452405,True,True
80,spectralFluxUV_sma3nz_amean,0.19648109719000664,0.0012246707882440826,0.03860482155298883,0.1366525032059231,0.025276798625900928,0.018673906632444823,0.1366525032059231,0.00489868315297633,0.0674047963357358,True,False
20,spectralFlux_sma3_amean,0.1941329223021817,0.0014047396499852604,0.03768759152158492,0.18816194409711784,0.001977273247309177,0.0354049172064069,0.18816194409711784,0.00522537192505721,0.01338461890486212,True,True
12,loudness_sma3_percentile200,0.19388503676417698,0.0014251014341065118,0.03759140748104626,0.17222959894200612,0.00469130128358604,0.029663034751724278,0.17222959894200612,0.00522537192505721,0.022066296803061273,True,True
87,equivalentSoundLevel_dBp,0.18950520328863427,0.001832494118366035,0.0359122220734666,0.15844228283871084,0.009373577281633847,0.025103956991142044,0.15844228283871084,0.006450379296648442,0.03288295367933806,True,True
0,F0semitoneFrom275Hz_sma3nz_amean,-0.18753089369390621,0.00204882988417897,0.035167836089635154,-0.12093289605727922,0.04795494528770731,0.0146247653488007,0.12093289605727922,0.0069345011464518975,0.12057243386623552,True,False
59,alphaRatioV_sma3nz_stddevNorm,-0.18614762344769517,0.0022140171339144863,0.034650937715224914,-0.14234060780140936,0.019742470940228095,0.02026084862927464,0.14234060780140936,0.007216055843869437,0.05791124809133575,True,False
