,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.28160095147053443,9.222036246510348e-07,0.07929909586911028,-0.19737209688278454,0.0006656525451021514,0.03895574462790728,0.19737209688278454,8.115391896929106e-05,0.008368203424141333,True,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,-0.23372728893302502,5.194356822785706e-05,0.05462844559198176,-0.0902001900644374,0.12278961537497245,0.008136074287660632,0.0902001900644374,0.0018675317597094132,0.22990396070207608,True,False
19,loudness_sma3_stddevFallingSlope,0.23103577851658622,6.366585544463908e-05,0.05337753095476508,0.18538720733326766,0.001408474186468256,0.03436841664282797,0.18538720733326766,0.0018675317597094132,0.012394572840920654,True,True
52,F3frequency_sma3nz_amean,-0.22084331160454423,0.0001346545616050501,0.04877176828046182,-0.011044202975252862,0.8504316766659541,0.00012197441935858418,0.011044202975252862,0.0024059503674674332,0.8804469123129878,True,False
36,logRelF0H1H2_sma3nz_amean,-0.2206331603883393,0.00013670172542428597,0.04867899146294665,-0.15819385490527196,0.006566989535028361,0.025025295729790238,0.15819385490527196,0.0024059503674674332,0.02889475395412479,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.2100501556100067,0.000286943740855194,0.04412106787178803,-0.10525287443554827,0.07154050353547119,0.011078167576945292,0.10525287443554827,0.004132649279786935,0.17487678642004068,True,False
16,loudness_sma3_meanRisingSlope,0.20805236082553075,0.0003287334654375971,0.04328578484507684,0.1998995859107295,0.0005651175922829443,0.03995984444728113,0.1998995859107295,0.004132649279786935,0.008288391353483185,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.20170066532455788,0.0005022714711001671,0.04068315839236931,-0.16157436667786867,0.005488176792506995,0.026106275967354358,0.16157436667786867,0.005524986182101838,0.026831086541145306,True,True
76,alphaRatioUV_sma3nz_amean,0.19830695909101967,0.0006266813534692571,0.03932565002392735,0.17909525280150657,0.002051152405524238,0.03207510957603554,0.17909525280150657,0.005643476504856471,0.015308045996512818,True,True
18,loudness_sma3_meanFallingSlope,0.19657927134953987,0.0007004467766874647,0.03864340992431602,0.2058390794951798,0.0003816096369372562,0.042369726647422945,0.2058390794951798,0.005643476504856471,0.008288391353483185,True,True
40,F1frequency_sma3nz_amean,-0.1964686168166431,0.0007054345631070589,0.03859991739384493,-0.10689514467150356,0.06720368862379535,0.011426571954341675,0.10689514467150356,0.005643476504856471,0.17393895879099971,True,False
47,F2frequency_sma3nz_stddevNorm,0.19333643732535294,0.0008609945492643498,0.03737897799766012,0.16315029679424053,0.00504194761125298,0.026618019344048772,0.16315029679424053,0.006223520142029356,0.026498552769560712,True,True
54,F3bandwidth_sma3nz_amean,-0.19229452979319636,0.0009193836573452458,0.03697718618838648,-0.06515792128547934,0.26542936389552213,0.004245554706244722,0.06515792128547934,0.006223520142029356,0.40272041418630944,True,False
10,loudness_sma3_amean,0.18866022815558262,0.0011528143380954065,0.03559268168771649,0.20351323082574097,0.0004456215122151745,0.04141763512113132,0.20351323082574097,0.006995698867047028,0.008288391353483185,True,True
29,mfcc4_sma3_stddevNorm,-0.18811160902515386,0.0011924486705193796,0.03538597745003235,-0.07598014790731684,0.1939038270293092,0.005772982876017744,0.07598014790731684,0.006995698867047028,0.3159914218255409,True,False
