,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
19,loudness_sma3_stddevFallingSlope,0.19973429732925616,0.0012869630782265172,0.0398937895296117,0.14313102430193664,0.02172111782807863,0.020486490117721575,0.14313102430193664,0.01979873705182466,0.1257318959549381,True,False
18,loudness_sma3_meanFallingSlope,0.1995675090417415,0.0012993295483296207,0.03982719066512558,0.15935460693695996,0.01051049425363636,0.025393890752033008,0.15935460693695996,0.01979873705182466,0.11537830440936854,True,False
15,loudness_sma3_pctlrange02,0.19883541492016119,0.0013549105005187887,0.03953552222647266,0.15245317669153183,0.014428539015414384,0.023241971083339422,0.15245317669153183,0.01979873705182466,0.11537830440936854,True,False
16,loudness_sma3_meanRisingSlope,0.1987523756451007,0.001361350679490738,0.03950250682457122,0.13970198457412916,0.025112359648564335,0.01951664449395022,0.13970198457412916,0.01979873705182466,0.1257318959549381,True,False
14,loudness_sma3_percentile800,0.19715546650932206,0.0014907896717147138,0.03887027797450841,0.15498670859225838,0.012862153947501403,0.02402087984026162,0.15498670859225838,0.01979873705182466,0.11537830440936854,True,False
10,loudness_sma3_amean,0.1959183942321389,0.0015987059781929639,0.03838401719849979,0.1559509425243074,0.01230651818209497,0.024320696474219833,0.1559509425243074,0.01979873705182466,0.11537830440936854,True,False
13,loudness_sma3_percentile500,0.1954098673895676,0.001645105012420762,0.03818501627320839,0.1524713138861995,0.014416756088675858,0.02324750155818397,0.1524713138861995,0.01979873705182466,0.11537830440936854,True,False
63,slopeV0500_sma3nz_stddevNorm,0.19321748858049193,0.0018595809183352108,0.03733299789335253,0.004411960466284341,0.9438874977075282,1.9465395156055942e-05,0.004411960466284341,0.01979873705182466,0.9731242558644766,True,False
86,StddevUnvoicedSegmentLength,-0.19035008454240276,0.002178606209435106,0.03623315468529988,-0.05353423447546785,0.39274575675455364,0.002865914260874371,0.05353423447546785,0.01979873705182466,0.5799792931628625,True,False
76,alphaRatioUV_sma3nz_amean,0.18807281288756117,0.002466671031113001,0.03537138294743959,0.10784288519417548,0.08444445364760061,0.011630087887004113,0.10784288519417548,0.01979873705182466,0.2562452386547881,True,False
77,hammarbergIndexUV_sma3nz_amean,-0.18772433176567493,0.002513688267036111,0.03524042473686919,-0.1010628184718185,0.10600711248410795,0.01021369327746774,0.1010628184718185,0.01979873705182466,0.2643972796108673,True,False
67,spectralFluxV_sma3nz_stddevNorm,0.18640046091420132,0.0026998277797942714,0.03474513182902669,0.13953494575875555,0.02528859700178453,0.019470001087898856,0.13953494575875555,0.01979873705182466,0.1257318959549381,True,False
87,equivalentSoundLevel_dBp,0.17497120479508513,0.0049072320857970675,0.03061492250744362,0.10296133760858672,0.09957256234437303,0.010601037042149375,0.10296133760858672,0.0308977527333735,0.2643972796108673,True,False
12,loudness_sma3_percentile200,0.1749378471375822,0.0049155515712185115,0.030603250361132078,0.1436916481564136,0.02120615429501292,0.020647289749906563,0.1436916481564136,0.0308977527333735,0.1257318959549381,True,False
17,loudness_sma3_stddevRisingSlope,0.1675633207485564,0.007098010478297778,0.02807746646028359,0.09998880845126018,0.1097898106739704,0.0099977618155028,0.09998880845126018,0.0416416614726803,0.2643972796108673,True,False
20,spectralFlux_sma3_amean,0.16336699840842694,0.008694045206526243,0.02668877616897897,0.13783219564017365,0.027146659353907095,0.018997714154991106,0.13783219564017365,0.04781724863589434,0.1257318959549381,True,False
56,F3amplitudeLogRelF0_sma3nz_amean,0.16081336326596848,0.00981455270221695,0.025860937804912342,0.10431192598210469,0.09518661792179897,0.010880977902096087,0.10431192598210469,0.04806249543459528,0.2643972796108673,True,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.16025231585626493,0.010077232815634043,0.0256808047372961,0.10277901815739565,0.10017671687716058,0.010563526573398265,0.10277901815739565,0.04806249543459528,0.2643972796108673,True,False
54,F3bandwidth_sma3nz_amean,-0.15962739208113022,0.010377129696105799,0.025480904302622873,-0.2044550855351674,0.0009787025827429536,0.041801882001192614,0.2044550855351674,0.04806249543459528,0.08612582728137992,True,False
