,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.18127390513022243,0.0021632247723376986,0.03286022868116088,-0.13943736884799976,0.018724395904297447,0.019442779831253133,0.13943736884799976,0.05315464295607272,0.12086590006046682,False,False
63,slopeV0500_sma3nz_stddevNorm,0.17635491051142183,0.00286103484727614,0.0311010544614916,0.005436612406607302,0.9273209450344316,2.955675445967644e-05,0.005436612406607302,0.05315464295607272,0.9834058093821522,False,False
77,hammarbergIndexUV_sma3nz_amean,-0.17606716779526577,0.0029075782388742755,0.030999647575446272,-0.10879234088701424,0.06713746410408836,0.01183577343567631,0.10879234088701424,0.05315464295607272,0.26720020622625196,False,False
19,loudness_sma3_stddevFallingSlope,0.1692153494502321,0.004239858068340771,0.02863383448956416,0.144393534834275,0.01487503912551799,0.020849492901936988,0.144393534834275,0.05315464295607272,0.12073087537713269,False,False
86,StddevUnvoicedSegmentLength,-0.16856603154220068,0.004391088530686102,0.028414506989886193,-0.02801557773920908,0.6382571696366669,0.0007848725960616673,0.02801557773920908,0.05315464295607272,0.7800920962225928,False,False
68,mfcc1V_sma3nz_amean,-0.16852927311097687,0.004399793502764546,0.02840211589531423,-0.02014011567045144,0.7354049063207642,0.0004056242592191637,0.02014011567045144,0.05315464295607272,0.86287509008303,False,False
18,loudness_sma3_meanFallingSlope,0.16434553274916922,0.005498361881843846,0.02700945413460825,0.15907796285266934,0.007228453051326148,0.025305798265355246,0.15907796285266934,0.05315464295607272,0.12073087537713269,False,False
16,loudness_sma3_meanRisingSlope,0.16331661305417683,0.005803751333012925,0.02667231609948772,0.14052332474240514,0.017813805297671077,0.019746804796659453,0.14052332474240514,0.05315464295607272,0.12086590006046682,False,False
15,loudness_sma3_pctlrange02,0.16162085452798056,0.0063403687626149684,0.026121300618354652,0.15205029151831867,0.010286907561578304,0.02311929115080569,0.15205029151831867,0.05315464295607272,0.12073087537713269,False,False
76,alphaRatioUV_sma3nz_amean,0.1601887234202897,0.006827705175612175,0.02566042711102207,0.10675933712524896,0.07244004598236387,0.01139755606342256,0.10675933712524896,0.05315464295607272,0.26720020622625196,False,False
14,loudness_sma3_percentile800,0.15893141148162682,0.007282865422513152,0.02525919355554218,0.1543702343083178,0.009169819595655323,0.02383016924040494,0.1543702343083178,0.05315464295607272,0.12073087537713269,False,False
13,loudness_sma3_percentile500,0.15764979773427368,0.00777450677335589,0.0248534587256574,0.15226946991422352,0.010176444162096353,0.023185991467958623,0.15226946991422352,0.05315464295607272,0.12073087537713269,False,False
10,loudness_sma3_amean,0.15726299965828752,0.007928588843316566,0.02473165106152254,0.15532097223984212,0.008744059426446727,0.024124604417529807,0.15532097223984212,0.05315464295607272,0.12073087537713269,False,False
67,spectralFluxV_sma3nz_stddevNorm,0.15598684918826514,0.008456420470284297,0.02433189711968257,0.14419302521846517,0.01501614218867552,0.020791628521652932,0.14419302521846517,0.05315464295607272,0.12073087537713269,False,False
73,mfcc3V_sma3nz_stddevNorm,-0.142617975268927,0.01616592071030878,0.020339886869808272,0.00019888005905135034,0.9973376199996173,3.95532778882686e-08,0.00019888005905135034,0.08831183441745155,0.9973376199996173,False,False
12,loudness_sma3_percentile200,0.1420161610192794,0.016625152192387412,0.020168589990653896,0.14408681403850251,0.015091359422141586,0.020761009979766005,0.14408681403850251,0.08831183441745155,0.12073087537713269,False,False
87,equivalentSoundLevel_dBp,0.14145923489763515,0.017060240739734958,0.02001071513782432,0.1055258100593156,0.07582034936452507,0.011135696588674755,0.1055258100593156,0.08831183441745155,0.26720020622625196,False,False
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.13927509941556665,0.018863882143826755,0.019397553317215974,-0.13038162487455252,0.028025751617387372,0.016999368104928532,0.13038162487455252,0.08968333412535295,0.14507447896059344,False,False
