,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
79,slopeUV5001500_sma3nz_amean,0.22282540114368235,5.403581324612997e-10,0.04965115939484296,0.14586681324326747,5.4930270472326655e-05,0.02127712720574627,0.14586681324326747,4.755151565659437e-08,0.0016112879338549154,True,True
30,jitterLocal_sma3nz_amean,-0.20104129708034377,2.314427273036706e-08,0.04041760313174704,-0.1018435678670063,0.00497780300851617,0.010372112315881518,0.1018435678670063,1.0183480001361505e-06,0.030123223094535148,True,True
34,HNRdBACF_sma3nz_amean,0.19164078636644702,1.0354970314925253e-07,0.036726190999150185,0.13884206797401452,0.0001243494619425985,0.019277119839300867,0.13884206797401452,3.0374579590447413e-06,0.002735688162737167,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.18756177338052918,1.9393033117636915e-07,0.03517941883364899,0.1054852514215231,0.0036207116048267117,0.01112713826746194,0.1054852514215231,4.266467285880121e-06,0.024509432401903893,True,True
67,spectralFluxV_sma3nz_stddevNorm,0.1808525989805913,5.284494465267314e-07,0.032707662558034575,0.15795468891891445,1.2314389356383126e-05,0.024949683751471035,0.15795468891891445,9.300710258870472e-06,0.0005428345723948575,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.17869437006774871,7.238938335054996e-07,0.03193167789390953,0.10072836951383532,0.0054769496535518455,0.010146204424915749,0.10072836951383532,1.0617109558080661e-05,0.030123223094535148,True,True
21,spectralFlux_sma3_stddevNorm,0.15557603299423203,1.66767956593386e-05,0.024203902042222374,0.12384364478502526,0.0006275126436334788,0.015337248353639513,0.12384364478502526,0.00018568699139211183,0.007010076972144999,True,True
53,F3frequency_sma3nz_stddevNorm,-0.15548000867659864,1.6880635581101076e-05,0.024174033098075188,-0.09488314618370525,0.008906529872143692,0.00900281142971838,0.09488314618370525,0.00018568699139211183,0.04125129624992868,True,True
65,slopeV5001500_sma3nz_stddevNorm,-0.14992130102489018,3.368937178507522e-05,0.022476396500995737,-0.00766471744676486,0.8330295370825261,5.874789353874163e-05,0.00766471744676486,0.00032940719078740214,0.8782882204164021,True,False
24,mfcc2_sma3_amean,0.1485328771299409,3.988614682479796e-05,0.02206201558849812,0.1579403094393664,1.2337149372610398e-05,0.024945141345802814,0.1579403094393664,0.0003509980920582221,0.0005428345723948575,True,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.14184908849977246,8.805799564007507e-05,0.020121163908216277,0.009637238136077222,0.7909524288960198,9.287635889146117e-05,0.009637238136077222,0.0007044639651206005,0.8782882204164021,True,False
0,F0semitoneFrom275Hz_sma3nz_amean,0.1398206023327004,0.00011122493034174513,0.01954980083667915,0.05194185858614974,0.15283114780563165,0.0026979566733835777,0.05194185858614974,0.0008156494891727978,0.33622852517238966,True,False
50,F2amplitudeLogRelF0_sma3nz_amean,0.13757944805854472,0.00014344306350560202,0.018928104528093802,0.06905086194877583,0.05723881109547694,0.004768021535868898,0.06905086194877583,0.0009492491291283589,0.1816947809829212,True,False
68,mfcc1V_sma3nz_amean,-0.13704139360204592,0.00015238945644650086,0.018780343560390874,-0.012923863455520315,0.7222301230189223,0.0001670262466169335,0.012923863455520315,0.0009492491291283589,0.8263947591944107,True,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.1365063377796756,0.00016180382882869754,0.01863398025401889,0.07565629545839672,0.03717112902135358,0.00572387504248822,0.07565629545839672,0.0009492491291283589,0.12580997514919673,True,False
64,slopeV5001500_sma3nz_amean,0.13570737451681902,0.0001768834284700447,0.018416491498248182,0.05434789302631034,0.13467452096320873,0.002953693476399272,0.05434789302631034,0.0009728588565852458,0.30388097037852224,True,False
41,F1frequency_sma3nz_stddevNorm,0.1344961750635453,0.000202278728323225,0.018089221106723827,0.12149053986433465,0.000796599655925568,0.014759951276527487,0.12149053986433465,0.0010470898877908117,0.007010076972144999,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.13015148585756312,0.00032431689549079995,0.01693940927093145,-0.05435272963600665,0.13463977702044014,0.0029542192188848357,0.05435272963600665,0.0015855492668439108,0.30388097037852224,True,False
56,F3amplitudeLogRelF0_sma3nz_amean,0.12685606986191725,0.00045956391948044937,0.01609246246081163,0.05767341281806664,0.11237619267489281,0.0033262225460831338,0.05767341281806664,0.0021285065744357655,0.26727310690244777,True,False
62,slopeV0500_sma3nz_amean,0.12416469209218699,0.0006072199625123107,0.015416870762347603,0.02508321356241057,0.4901872582308431,0.0006291676026174975,0.02508321356241057,0.002671767835054167,0.6753662536112975,True,False
