,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.19845389250387238,2.4413418347525357e-11,0.03938394744993853,-0.1183816150101697,7.586066768593843e-05,0.014014206772416035,0.1183816150101697,1.974258195807481e-09,0.0008344673445453228,True,True
68,mfcc1V_sma3nz_amean,-0.19445456750228685,6.166749519415989e-11,0.037812578822501434,-0.04457392375154663,0.1374224715731977,0.001986834678608693,0.04457392375154663,1.974258195807481e-09,0.26873727774314216,True,False
54,F3bandwidth_sma3nz_amean,-0.19407264407810773,6.730425667525503e-11,0.037664191179467885,-0.0566367926276375,0.05902063767048465,0.0032077262791460137,0.0566367926276375,1.974258195807481e-09,0.13895787279395805,True,False
50,F2amplitudeLogRelF0_sma3nz_amean,0.18993776585311084,1.7153707476508857e-10,0.03607635489727116,0.13641611844519888,4.988674149118788e-06,0.01860935737165453,0.13641611844519888,3.5225379842712793e-09,7.54241789493223e-05,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.18883519839583443,2.193706270194772e-10,0.03565873215319415,0.13933962385122325,3.100372409372757e-06,0.019415530775000384,0.13933962385122325,3.5225379842712793e-09,6.820819300620066e-05,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.18842741035938876,2.4017304438213266e-10,0.035504888974745484,0.13588350769496546,5.434579980772052e-06,0.018464327663487736,0.13588350769496546,3.5225379842712793e-09,7.54241789493223e-05,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.18423082323515474,6.030636496069435e-10,0.033940996229902834,-0.11405492936898069,0.00013811616509146259,0.013008526913363174,0.11405492936898069,7.581371595058719e-09,0.0012154222528048709,True,True
40,F1frequency_sma3nz_amean,-0.1797353946860489,1.5792795448406255e-09,0.032304812102949776,-0.08177376010959765,0.0063645154131869,0.006686947842462024,0.08177376010959765,1.737207499324688e-08,0.022403094254417884,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.171927442963167,7.937855857476493e-09,0.029559045643853043,-0.11734847096999121,8.769388960384648e-05,0.01377066363899487,0.11734847096999121,7.761459060643682e-08,0.0008574513650153878,True,True
46,F2frequency_sma3nz_amean,-0.1653275236188404,2.937496441638691e-08,0.02733319006593823,-0.0016929722353311838,0.9550299100525623,2.8661549896022653e-06,0.0016929722353311838,2.584996868642048e-07,0.9772399079607614,True,False
15,loudness_sma3_pctlrange02,0.161155832087591,6.541853717660285e-08,0.02597120221584382,0.09932019120110698,0.0009116067299002093,0.00986450038022445,0.09932019120110698,5.122702472112042e-07,0.004590584156920321,True,True
69,mfcc1V_sma3nz_stddevNorm,0.1608091761667,6.985503371061874e-08,0.02585959113941276,-0.006886570999469271,0.8185668862256583,4.74248601307312e-05,0.006886570999469271,5.122702472112042e-07,0.8893072344179992,True,False
21,spectralFlux_sma3_stddevNorm,0.15841918179314052,1.093982762560874e-07,0.025096637160008105,0.15243475570921206,3.267108467469375e-07,0.023236354748127158,0.15243475570921206,7.370343147888256e-07,9.5835181712435e-06,True,True
41,F1frequency_sma3nz_stddevNorm,0.15804643679925065,1.1725545917094954e-07,0.02497867618493953,0.18662772503772865,3.5737522498071546e-10,0.03482990775275805,0.18662772503772865,7.370343147888256e-07,3.144901979830296e-08,True,True
67,spectralFluxV_sma3nz_stddevNorm,0.1565423986109011,1.5486950010830925e-07,0.02450552256285425,0.1569764588019029,1.429588916746049e-07,0.024641608617985516,0.1569764588019029,9.085677339687477e-07,6.290191233682615e-06,True,True
85,MeanUnvoicedSegmentLength,-0.15235229436087286,3.315774877948496e-07,0.02321122159702205,-0.10464980403343532,0.00047335439787608814,0.010951581484236417,0.10464980403343532,1.8236761828716727e-06,0.0029753705009354114,True,True
83,MeanVoicedSegmentLengthSec,0.14902478697044969,5.982255937036363e-07,0.02220838713158791,0.08288473988274399,0.0056821536763265006,0.006869880105430132,0.08288473988274399,3.0966971909364704e-06,0.021740414065944874,True,True
86,StddevUnvoicedSegmentLength,-0.1425023320807429,1.833127519927426e-06,0.020306914648450327,-0.11140853510159966,0.00019724546114269423,0.012411861693484363,0.11140853510159966,8.961956764089637e-06,0.0015040491123780528,True,True
53,F3frequency_sma3nz_stddevNorm,-0.14186643513478828,2.039277418655475e-06,0.02012608541785309,-0.03933710893419346,0.18992757649321315,0.001547408139300603,0.03933710893419346,9.152490240793366e-06,0.3095116061370881,True,False
30,jitterLocal_sma3nz_amean,-0.14174783295995055,2.0801114183621285e-06,0.020092448148842045,-0.07020041032665275,0.019221585547194508,0.004928097610030414,0.07020041032665275,9.152490240793366e-06,0.052859360254784896,True,False
52,F3frequency_sma3nz_amean,-0.13888846757790838,3.3386179163485196e-06,0.019290006426139705,0.027702248880398562,0.35605111385855637,0.0007674145930315434,0.027702248880398562,1.39903988875557e-05,0.5220657489457836,True,False
16,loudness_sma3_meanRisingSlope,0.13847654996050546,3.5713753098332076e-06,0.019175754888964364,0.11111512532178104,0.0002050976062333708,0.012346571075275106,0.11111512532178104,1.428550123933283e-05,0.0015040491123780528,True,True
14,loudness_sma3_percentile800,0.13497777406915154,6.281656857883056e-06,0.018218999492662917,0.08381678152957203,0.005161321805199267,0.007025252865976007,0.08381678152957203,2.4034165369291693e-05,0.020645287220797066,True,True
